date_obj,Iron%20full%20helm price
2015-03-26,336
2015-03-27,336
2015-03-28,334
2015-03-29,329
2015-03-30,330
2015-03-31,328
2015-04-01,325
2015-04-02,321
2015-04-03,323
2015-04-04,329
2015-04-05,333
2015-04-06,336
2015-04-07,337
2015-04-08,345
2015-04-09,347
2015-04-10,352
2015-04-11,355
2015-04-12,356
2015-04-13,364
2015-04-14,356
2015-04-15,356
2015-04-16,347
2015-04-17,340
2015-04-18,338
2015-04-19,330
2015-04-20,325
2015-04-21,324
2015-04-22,325
2015-04-23,322
2015-04-24,308
2015-04-25,297
2015-04-26,291
2015-04-27,295
2015-04-28,295
2015-04-29,301
2015-04-30,297
2015-05-01,289
2015-05-02,284
2015-05-03,284
2015-05-04,282
2015-05-05,287
2015-05-06,288
2015-05-07,276
2015-05-08,275
2015-05-09,280
2015-05-10,276
2015-05-11,284
2015-05-12,289
2015-05-13,282
2015-05-14,282
2015-05-15,283
2015-05-16,278
2015-05-17,282
2015-05-18,293
2015-05-19,291
2015-05-20,291
2015-05-21,292
2015-05-22,292
2015-05-23,290
2015-05-24,282
2015-05-25,279
2015-05-26,269
2015-05-27,264
2015-05-28,261
2015-05-29,254
2015-05-30,254
2015-05-31,255
2015-06-01,253
2015-06-02,248
2015-06-03,246
2015-06-04,244
2015-06-05,240
2015-06-06,243
2015-06-07,247
2015-06-08,241
2015-06-09,236
2015-06-10,233
2015-06-11,233
2015-06-12,227
2015-06-13,221
2015-06-14,221
2015-06-15,224
2015-06-16,222
2015-06-17,231
2015-06-18,237
2015-06-19,245
2015-06-20,247
2015-06-21,253
2015-06-22,262
2015-06-23,270
2015-06-24,284
2015-06-25,297
2015-06-26,301
2015-06-27,298
2015-06-28,298
2015-06-29,304
2015-06-30,298
2015-07-01,295
2015-07-02,292
2015-07-03,286
2015-07-04,279
2015-07-05,282
2015-07-06,288
2015-07-07,296
2015-07-08,300
2015-07-09,303
2015-07-10,302
2015-07-11,310
2015-07-12,319
2015-07-13,307
2015-07-14,296
2015-07-15,291
2015-07-16,295
2015-07-17,300
2015-07-18,301
2015-07-19,301
2015-07-20,290
2015-07-21,282
2015-07-22,289
2015-07-23,291
2015-07-24,302
2015-07-25,298
2015-07-26,292
2015-07-27,294
2015-07-28,303
2015-07-29,308
2015-07-30,312
2015-07-31,315
2015-08-01,312
2015-08-02,313
2015-08-03,306
2015-08-04,312
2015-08-05,309
2015-08-06,310
2015-08-07,315
2015-08-08,320
2015-08-09,317
2015-08-10,307
2015-08-11,303
2015-08-12,292
2015-08-13,292
2015-08-14,285
2015-08-15,289
2015-08-16,289
2015-08-17,287
2015-08-18,285
2015-08-19,287
2015-08-20,297
2015-08-21,300
2015-08-22,296
2015-08-23,284
2015-08-24,285
2015-08-25,290
2015-08-26,287
2015-08-27,282
2015-08-28,277
2015-08-29,275
2015-08-30,281
2015-08-31,288
2015-09-01,285
2015-09-02,276
2015-09-03,271
2015-09-04,271
2015-09-05,277
2015-09-06,278
2015-09-07,271
2015-09-08,265
2015-09-09,266
2015-09-10,272
2015-09-11,267
2015-09-12,264
2015-09-13,260
2015-09-14,257
2015-09-15,257
2015-09-16,253
2015-09-17,256
2015-09-18,263
2015-09-19,261
2015-09-20,265
2015-09-21,269
2015-09-22,272
2015-09-23,277
2015-09-24,278
2015-09-25,275
2015-09-27,268
2015-09-28,265
2015-09-29,262
2015-09-30,266
2015-10-05,244
2015-10-06,234
2015-10-07,229
2015-10-08,224
2015-10-09,222
2015-10-10,222
2015-10-11,223
2015-10-12,228
2015-10-13,227
2015-10-14,221
2015-10-15,218
2015-10-16,212
2015-10-17,211
2015-10-18,217
2015-10-19,223
2015-10-20,224
2015-10-22,233
2015-10-23,224
2015-10-24,220
2015-10-25,221
2015-10-26,220
2015-10-27,223
2015-10-29,222
2015-10-30,225
2015-10-31,224
2015-11-01,230
2015-11-02,222
2015-11-03,225
2015-11-04,225
2015-11-05,226
2015-11-06,233
2015-11-07,227
2015-11-08,226
2015-11-09,227
2015-11-10,223
2015-11-11,223
2015-11-12,221
2015-11-13,213
2015-11-14,217
2015-11-15,221
2015-11-16,229
2015-11-17,229
2015-11-18,228
2015-11-19,230
2015-11-20,230
2015-11-21,231
2015-11-22,232
2015-11-23,236
2015-11-24,235
2015-11-25,232
2015-11-26,238
2015-11-27,239
2015-11-28,243
2015-11-29,243
2015-11-30,242
2015-12-01,239
2015-12-02,240
2015-12-03,241
2015-12-04,247
2015-12-05,248
2015-12-06,251
2015-12-07,253
2015-12-08,255
2015-12-10,252
2015-12-11,256
2015-12-12,248
2015-12-13,253
2015-12-14,259
2015-12-15,258
2015-12-16,260
2015-12-17,261
2015-12-18,262
2015-12-19,261
2015-12-20,256
2015-12-21,248
2015-12-22,244
2015-12-23,246
2015-12-24,250
2015-12-25,249
2015-12-26,246
2015-12-27,247
2015-12-28,249
2015-12-29,256
2015-12-30,254
2015-12-31,263
2016-01-01,257
2016-01-02,259
2016-01-03,265
2016-01-04,270
2016-01-05,275
2016-01-06,279
2016-01-07,285
2016-01-08,292
2016-01-09,300
2016-01-10,298
2016-01-11,297
2016-01-12,291
2016-01-13,293
2016-01-14,290
2016-01-15,281
2016-01-16,281
2016-01-17,273
2016-01-18,265
2016-01-19,256
2016-01-20,258
2016-01-21,259
2016-01-22,259
2016-01-23,260
2016-01-24,258
2016-01-25,261
2016-01-26,259
2016-01-27,257
2016-01-28,254
2016-01-29,254
2016-01-30,252
2016-01-31,258
2016-02-01,263
2016-02-02,260
2016-02-03,260
2016-02-04,258
2016-02-05,254
2016-02-06,248
2016-02-07,241
2016-02-08,239
2016-02-09,238
2016-02-10,240
2016-02-11,238
2016-02-12,239
2016-02-13,241
2016-02-14,243
2016-02-15,242
2016-02-16,238
2016-02-17,240
2016-02-18,243
2016-02-19,240
2016-02-20,240
2016-02-21,241
2016-02-22,241
2016-02-23,243
2016-02-24,247
2016-02-25,248
2016-02-26,248
2016-02-27,250
2016-02-28,245
2016-02-29,244
2016-03-01,237
2016-03-02,232
2016-03-03,232
2016-03-04,230
2016-03-05,226
2016-03-06,227
2016-03-07,217
2016-03-08,213
2016-03-09,212
2016-03-10,211
2016-03-11,210
2016-03-12,209
2016-03-13,208
2016-03-14,208
2016-03-15,210
2016-03-16,207
2016-03-17,199
2016-03-18,201
2016-03-19,196
2016-03-20,193
2016-03-21,192
2016-03-22,194
2016-03-23,198
2016-03-24,199
2016-03-25,199
2016-03-26,198
2016-03-27,199
2016-03-28,200
2016-03-29,199
2016-03-30,202
2016-03-31,202
2016-04-01,207
2016-04-02,209
2016-04-03,210
2016-04-04,211
2016-04-05,212
2016-04-06,217
2016-04-07,213
2016-04-08,212
2016-04-09,211
2016-04-10,210
2016-04-11,210
2016-04-12,205
2016-04-13,204
2016-04-14,209
2016-04-15,213
2016-04-16,210
2016-04-17,207
2016-04-18,201
2016-04-19,202
2016-04-20,205
2016-04-21,208
2016-04-22,212
2016-04-23,217
2016-04-24,221
2016-04-25,227
2016-04-26,231
2016-04-27,236
2016-04-28,238
2016-04-29,233
2016-04-30,232
2016-05-01,222
2016-05-02,221
2016-05-03,220
2016-05-04,220
2016-05-05,223
2016-05-06,229
2016-05-07,236
2016-05-08,236
2016-05-09,235
2016-05-10,236
2016-05-11,243
2016-05-12,240
2016-05-13,234
2016-05-14,230
2016-05-15,225
2016-05-16,218
2016-05-17,212
2016-05-18,207
2016-05-19,213
2016-05-22,201
2016-05-23,202
2016-05-24,202
2016-05-25,205
2016-05-26,205
2016-05-27,200
2016-05-28,197
2016-05-29,191
2016-05-30,188
2016-05-31,186
2016-06-01,184
2016-06-02,185
2016-06-03,184
2016-06-04,184
2016-06-05,183
2016-06-06,182
2016-06-07,184
2016-06-08,183
2016-06-09,185
2016-06-10,187
2016-06-11,188
2016-06-12,192
2016-06-13,190
2016-06-14,192
