date_obj,Iron%20hasta price
2015-03-26,50000
2015-03-27,50000
2015-03-28,50000
2015-03-29,47674
2015-03-30,47674
2015-03-31,47674
2015-04-01,47674
2015-04-02,47674
2015-04-03,47674
2015-04-04,47674
2015-04-05,47674
2015-04-06,47674
2015-04-07,47674
2015-04-08,47674
2015-04-09,47674
2015-04-10,47674
2015-04-11,47674
2015-04-12,47674
2015-04-13,47674
2015-04-14,47674
2015-04-15,47674
2015-04-16,47674
2015-04-17,47674
2015-04-18,47674
2015-04-19,47674
2015-04-20,47674
2015-04-21,47674
2015-04-22,47674
2015-04-23,47674
2015-04-24,47674
2015-04-25,47674
2015-04-26,47674
2015-04-27,47674
2015-04-28,47674
2015-04-29,47674
2015-04-30,47674
2015-05-01,45343
2015-05-02,45343
2015-05-03,45343
2015-05-04,45343
2015-05-05,45343
2015-05-06,45343
2015-05-07,45343
2015-05-08,45343
2015-05-09,45343
2015-05-10,45343
2015-05-11,45343
2015-05-12,45343
2015-05-13,45343
2015-05-14,45343
2015-05-15,45343
2015-05-16,45343
2015-05-17,45343
2015-05-18,45343
2015-05-19,45343
2015-05-20,45343
2015-05-21,45343
2015-05-22,45343
2015-05-23,45343
2015-05-24,45343
2015-05-25,43109
2015-05-26,43109
2015-05-27,43109
2015-05-28,43109
2015-05-29,43109
2015-05-30,43109
2015-05-31,43109
2015-06-01,43109
2015-06-02,43109
2015-06-03,43109
2015-06-04,43109
2015-06-05,43109
2015-06-06,43109
2015-06-07,43109
2015-06-08,43109
2015-06-09,40977
2015-06-10,40977
2015-06-11,40977
2015-06-12,40977
2015-06-13,40977
2015-06-14,40977
2015-06-15,40977
2015-06-16,40977
2015-06-17,40977
2015-06-18,40977
2015-06-19,40977
2015-06-20,40977
2015-06-21,40977
2015-06-22,40977
2015-06-23,40977
2015-06-24,40977
2015-06-25,40977
2015-06-26,40977
2015-06-27,40977
2015-06-28,38974
2015-06-29,38974
2015-06-30,38974
2015-07-01,38974
2015-07-02,38974
2015-07-03,38974
2015-07-04,38974
2015-07-05,38974
2015-07-06,38974
2015-07-07,38974
2015-07-08,38974
2015-07-09,38974
2015-07-10,38974
2015-07-11,38974
2015-07-12,38974
2015-07-13,38974
2015-07-14,38974
2015-07-15,38974
2015-07-16,37053
2015-07-17,37053
2015-07-18,37053
2015-07-19,37053
2015-07-20,37053
2015-07-21,37053
2015-07-22,37053
2015-07-23,37053
2015-07-24,37053
2015-07-25,37053
2015-07-26,37053
2015-07-27,37053
2015-07-28,37053
2015-07-29,35222
2015-07-30,35222
2015-07-31,35222
2015-08-01,35222
2015-08-02,35222
2015-08-03,35222
2015-08-04,35222
2015-08-05,35222
2015-08-06,35222
2015-08-07,35222
2015-08-08,35222
2015-08-09,35222
2015-08-10,35222
2015-08-11,35222
2015-08-12,35222
2015-08-13,33495
2015-08-14,33495
2015-08-15,33495
2015-08-16,33495
2015-08-17,33495
2015-08-18,33495
2015-08-19,33495
2015-08-20,33495
2015-08-21,33495
2015-08-22,33495
2015-08-23,33495
2015-08-24,33495
2015-08-25,33495
2015-08-26,33495
2015-08-27,31837
2015-08-28,31837
2015-08-29,31837
2015-08-30,31837
2015-08-31,31837
2015-09-01,31837
2015-09-02,31837
2015-09-03,31837
2015-09-04,31837
2015-09-05,31837
2015-09-06,31837
2015-09-07,30266
2015-09-08,30266
2015-09-09,30266
2015-09-10,30266
2015-09-11,30266
2015-09-12,30266
2015-09-13,30266
2015-09-14,30266
2015-09-15,30266
2015-09-16,30266
2015-09-17,28798
2015-09-18,28798
2015-09-19,28798
2015-09-20,28798
2015-09-21,28798
2015-09-22,28798
2015-09-23,28798
2015-09-24,28798
2015-09-25,28798
2015-09-27,28798
2015-09-28,28798
2015-09-29,28798
2015-09-30,28798
2015-10-05,27655
2015-10-06,27655
2015-10-07,27655
2015-10-08,27655
2015-10-09,27655
2015-10-10,27655
2015-10-11,27655
2015-10-12,27655
2015-10-13,27655
2015-10-14,27655
2015-10-15,27655
2015-10-16,27655
2015-10-17,27655
2015-10-18,27655
2015-10-19,26310
2015-10-20,26310
