date_obj,Iron%20kiteshield%20(t) price
2015-03-26,79501
2015-03-27,79501
2015-03-28,76613
2015-03-29,74062
2015-03-30,72661
2015-03-31,70181
2015-04-01,70181
2015-04-02,68108
2015-04-03,65334
2015-04-04,63302
2015-04-05,63302
2015-04-06,62005
2015-04-07,60159
2015-04-08,60159
2015-04-09,58387
2015-04-10,57499
2015-04-11,56495
2015-04-12,55777
2015-04-13,54550
2015-04-14,54550
2015-04-15,54214
2015-04-16,54214
2015-04-17,53985
2015-04-18,55002
2015-04-19,55355
2015-04-20,55355
2015-04-21,54567
2015-04-22,54567
2015-04-23,54092
2015-04-24,53043
2015-04-25,53043
2015-04-26,53770
2015-04-27,53177
2015-04-28,52547
2015-04-29,52547
2015-04-30,52123
2015-05-01,51242
2015-05-02,50894
2015-05-03,50894
2015-05-04,50390
2015-05-05,49216
2015-05-06,48342
2015-05-07,48442
2015-05-08,48593
2015-05-09,48499
2015-05-10,49218
2015-05-11,49218
2015-05-12,48929
2015-05-13,48929
2015-05-14,47935
2015-05-15,47935
2015-05-16,47906
2015-05-17,48236
2015-05-18,47694
2015-05-19,47694
2015-05-20,46817
2015-05-21,46817
2015-05-22,47260
2015-05-23,47260
2015-05-24,47396
2015-05-25,46707
2015-05-26,46535
2015-05-27,46535
2015-05-28,47016
2015-05-29,47016
2015-05-30,47599
2015-05-31,47599
2015-06-01,49400
2015-06-02,49400
2015-06-03,49912
2015-06-04,49912
2015-06-05,49943
2015-06-06,50307
2015-06-07,51681
2015-06-08,51681
2015-06-09,52838
2015-06-10,53406
2015-06-11,53406
2015-06-12,54172
2015-06-13,54020
2015-06-14,54020
2015-06-15,55995
2015-06-16,58521
2015-06-17,58521
2015-06-18,61448
2015-06-19,61448
2015-06-20,64103
2015-06-21,64103
2015-06-22,67196
2015-06-23,67196
2015-06-24,70065
2015-06-25,70065
2015-06-26,72927
2015-06-27,72927
2015-06-28,76051
2015-06-29,76051
2015-06-30,79123
2015-07-01,79123
2015-07-02,80036
2015-07-03,79925
2015-07-04,79925
2015-07-05,78145
2015-07-06,78145
2015-07-07,79786
2015-07-08,82755
2015-07-09,82755
2015-07-10,81792
2015-07-11,81792
2015-07-12,80040
2015-07-13,80040
2015-07-14,78524
2015-07-15,78524
2015-07-16,78738
2015-07-17,79125
2015-07-18,79125
2015-07-19,78215
2015-07-20,78320
2015-07-21,78320
2015-07-22,78391
2015-07-23,78391
2015-07-24,78713
2015-07-25,78713
2015-07-26,81525
2015-07-27,81525
2015-07-28,82163
2015-07-29,81448
2015-07-30,81448
2015-07-31,81611
2015-08-01,81611
2015-08-02,82555
2015-08-03,82555
2015-08-04,83755
2015-08-05,84832
2015-08-06,84832
2015-08-07,84189
2015-08-08,84754
2015-08-09,84754
2015-08-10,85063
2015-08-11,85063
2015-08-12,84472
2015-08-13,84472
2015-08-14,83448
2015-08-15,83448
2015-08-16,83828
2015-08-17,84317
2015-08-18,84317
2015-08-19,85045
2015-08-20,85045
2015-08-21,84698
2015-08-22,82249
2015-08-23,82249
2015-08-24,82123
2015-08-25,82123
2015-08-26,83719
2015-08-27,84178
2015-08-28,84178
2015-08-29,83928
2015-08-30,83928
2015-08-31,83288
2015-09-01,83288
2015-09-02,80397
2015-09-03,78528
2015-09-04,76225
2015-09-05,76225
2015-09-06,76444
2015-09-07,76444
2015-09-08,76969
2015-09-09,76969
2015-09-10,79062
2015-09-11,79062
2015-09-12,79463
2015-09-13,79463
2015-09-14,80752
2015-09-15,80946
2015-09-16,80946
2015-09-17,80342
2015-09-18,80342
2015-09-19,78298
2015-09-20,78298
2015-09-21,76072
2015-09-22,75449
2015-09-23,75203
2015-09-24,75203
2015-09-25,75455
2015-09-27,72898
2015-09-28,70604
2015-09-29,70604
2015-09-30,70721
2015-10-05,69893
2015-10-06,69694
2015-10-07,69694
2015-10-08,70356
2015-10-09,70044
2015-10-10,70044
2015-10-11,69342
2015-10-12,69342
2015-10-13,69626
2015-10-14,69626
2015-10-15,70666
2015-10-16,71020
2015-10-17,71020
2015-10-18,72333
2015-10-19,75377
2015-10-20,78030
2015-10-22,81286
2015-10-23,84598
2015-10-24,84598
2015-10-25,86798
2015-10-26,89201
2015-10-27,89201
2015-10-29,90284
2015-10-30,92496
2015-10-31,92496
2015-11-01,91332
2015-11-02,91855
2015-11-03,91855
2015-11-04,90734
2015-11-05,90868
2015-11-06,90868
2015-11-07,89333
2015-11-08,89333
2015-11-09,89451
2015-11-10,89451
2015-11-11,88617
2015-11-12,88617
2015-11-13,88575
2015-11-14,88575
2015-11-15,88244
2015-11-16,88244
2015-11-17,87349
2015-11-18,87349
2015-11-19,85621
2015-11-20,84546
2015-11-21,84546
2015-11-22,83093
2015-11-23,83093
2015-11-24,82744
2015-11-25,83590
2015-11-26,83590
2015-11-27,83994
2015-11-28,83994
2015-11-29,83415
2015-11-30,83415
2015-12-01,82817
2015-12-02,82817
2015-12-03,82856
2015-12-04,82856
2015-12-05,83592
2015-12-06,85276
2015-12-07,85276
2015-12-08,86209
2015-12-10,88591
2015-12-11,90719
2015-12-12,90719
2015-12-13,90918
2015-12-14,90918
2015-12-15,91619
2015-12-16,94926
2015-12-17,94926
2015-12-18,96605
2015-12-19,96605
2015-12-20,97046
2015-12-21,97046
2015-12-22,99437
2015-12-23,99437
2015-12-24,99808
2015-12-25,99808
2015-12-26,100773
2015-12-27,101952
2015-12-28,101952
2015-12-29,102585
2015-12-30,102585
2015-12-31,102983
2016-01-01,102983
2016-01-02,103566
2016-01-03,103929
2016-01-04,102597
2016-01-05,102597
2016-01-06,101715
2016-01-07,101715
2016-01-08,101058
2016-01-09,101058
2016-01-10,99950
2016-01-11,99950
2016-01-12,98824
2016-01-13,98824
2016-01-14,99222
2016-01-15,98950
2016-01-16,98950
2016-01-17,99436
2016-01-18,98135
2016-01-19,98135
2016-01-20,98945
2016-01-21,98945
2016-01-22,98760
2016-01-23,98760
2016-01-24,99215
2016-01-25,96986
2016-01-26,96986
2016-01-27,97029
2016-01-28,97029
2016-01-29,96705
2016-01-30,96705
2016-01-31,95632
2016-02-01,95533
2016-02-02,95533
2016-02-03,93947
2016-02-04,93947
2016-02-05,93179
2016-02-06,92283
2016-02-07,92283
2016-02-08,90613
2016-02-09,90613
2016-02-10,92397
2016-02-11,92397
2016-02-12,91890
2016-02-13,89209
2016-02-14,89209
2016-02-15,87001
2016-02-16,87001
2016-02-17,88442
2016-02-18,88442
2016-02-19,86859
2016-02-20,86897
2016-02-21,85977
2016-02-22,85977
2016-02-23,87104
2016-02-24,87104
2016-02-25,86570
2016-02-26,86570
2016-02-27,85238
2016-02-28,85238
2016-02-29,85070
2016-03-01,82213
2016-03-02,82213
2016-03-03,81843
2016-03-04,81843
2016-03-05,82701
2016-03-06,82310
2016-03-07,82310
2016-03-08,82555
2016-03-09,82383
2016-03-10,81360
2016-03-11,81360
2016-03-12,81032
2016-03-13,81032
2016-03-14,80387
2016-03-15,77815
2016-03-16,76629
2016-03-17,76629
2016-03-18,76986
2016-03-19,76465
2016-03-20,76295
2016-03-21,76295
2016-03-22,76563
2016-03-23,74954
2016-03-24,74954
2016-03-25,75977
2016-03-26,78592
2016-03-27,78592
2016-03-28,80044
2016-03-29,81095
2016-03-30,81095
2016-03-31,82042
2016-04-01,82042
2016-04-02,82577
2016-04-03,81034
2016-04-04,79560
2016-04-05,79560
2016-04-06,81122
2016-04-07,81122
2016-04-08,80335
2016-04-09,80339
2016-04-10,80276
2016-04-11,80276
2016-04-12,80346
2016-04-13,80346
2016-04-14,81250
2016-04-15,82308
2016-04-16,82301
2016-04-17,83923
2016-04-18,86097
2016-04-19,86097
2016-04-20,86464
2016-04-21,86464
2016-04-22,87947
2016-04-23,87947
2016-04-24,87106
2016-04-25,87577
2016-04-26,87577
2016-04-27,87884
2016-04-28,87884
2016-04-29,88067
2016-04-30,87453
2016-05-01,87453
2016-05-02,86857
2016-05-03,85390
2016-05-04,85390
2016-05-05,84411
2016-05-06,84411
2016-05-07,82637
2016-05-08,82637
2016-05-09,81956
2016-05-10,81307
2016-05-11,81307
2016-05-12,81284
2016-05-13,81018
2016-05-14,80248
2016-05-15,78032
2016-05-16,78032
2016-05-17,78426
2016-05-18,79735
2016-05-19,79735
2016-05-22,79250
2016-05-23,77911
2016-05-24,76746
2016-05-25,76746
2016-05-26,75774
2016-05-27,75880
2016-05-28,75880
2016-05-29,75321
2016-05-30,75321
2016-05-31,76851
2016-06-01,77942
2016-06-02,77942
2016-06-03,77440
2016-06-04,75154
2016-06-05,75154
2016-06-06,73821
2016-06-07,73821
2016-06-08,72370
2016-06-09,72266
2016-06-10,72688
2016-06-11,72688
2016-06-12,71830
2016-06-13,71830
2016-06-14,70602
2016-06-15,71728
2016-06-16,71728
2016-06-17,73330
2016-06-18,73330
2016-06-19,71777
2016-06-20,69155
2016-06-21,66345
2016-06-22,65144
2016-06-23,65501
2016-06-24,65501
2016-06-25,65393
2016-06-26,65393
2016-06-27,65024
2016-06-28,64794
2016-06-29,65006
2016-06-30,64478
2016-07-01,63683
2016-07-02,63683
2016-07-03,62808
2016-07-04,62368
2016-07-05,62368
2016-07-06,61691
2016-07-07,60023
2016-07-08,59748
2016-07-09,58664
2016-07-10,57671
2016-07-11,56349
2016-07-12,55773
2016-07-13,53886
2016-07-14,53234
2016-07-15,51413
2016-07-16,51053
2016-07-17,51053
2016-07-18,50883
2016-07-23,47348
2016-07-24,46827
2016-07-25,47432
2016-07-26,47432
2016-07-27,47349
2016-07-28,47349
2016-07-29,46654
2016-07-30,45784
2016-07-31,45784
2016-08-01,44845
2016-08-02,44967
2016-08-03,43645
2016-08-04,42066
2016-08-05,42066
2016-08-06,41186
2016-08-07,41067
2016-08-08,41067
2016-08-09,41050
2016-08-10,40539
2016-08-11,40539
2016-08-12,40813
2016-08-13,39199
2016-08-14,37682
2016-08-15,37176
2016-08-16,36056
2016-08-17,35683
2016-08-18,35390
2016-08-19,35492
2016-08-20,34118
2016-08-21,34118
2016-08-22,33719
2016-08-23,33277
2016-08-24,32789
2016-08-25,32789
2016-08-26,33632
2016-08-28,34580
2016-08-31,35421
2016-09-01,36802
2016-09-02,36802
2016-09-03,36839
2016-09-04,36467
2016-09-05,36297
2016-09-06,36378
2016-09-07,36378
2016-09-08,37957
2016-09-09,37957
2016-09-10,38215
2016-09-11,38215
2016-09-12,38293
2016-09-13,39068
2016-09-14,39068
2016-09-15,40908
2016-09-16,40908
2016-09-17,42199
2016-09-18,43422
2016-09-19,45490
2016-09-20,45490
2016-09-21,47637
2016-09-22,49755
2016-09-23,49755
2016-09-24,51228
2016-09-25,52694
2016-09-26,52694
2016-09-27,53302
2016-09-28,54108
2016-09-29,54108
2016-09-30,54490
2016-10-01,54614
2016-10-02,54614
2016-10-03,53752
2016-10-04,54958
2016-10-05,54958
2016-10-06,54207
2016-10-07,54207
2016-10-08,53345
2016-10-09,53345
2016-10-10,54958
2016-10-11,54648
2016-10-12,54648
2016-10-13,55861
2016-10-14,57819
2016-10-15,59534
2016-10-16,59534
2016-10-17,60782
2016-10-18,60782
2016-10-19,61524
2016-10-20,61524
2016-10-21,61505
2016-10-22,61505
2016-10-23,62889
2016-10-24,63013
2016-10-25,63013
2016-10-26,63569
2016-10-27,63569
2016-10-28,65528
2016-10-29,68049
2016-10-30,68049
2016-10-31,70997
2016-11-01,70997
2016-11-02,70260
2016-11-03,70260
2016-11-04,69887
2016-11-05,69887
2016-11-06,71292
2016-11-07,71292
2016-11-08,71272
2016-11-09,71272
2016-11-10,69899
2016-11-11,69899
2016-11-12,68189
2016-11-13,68189
2016-11-14,65269
2016-12-07,53464
2016-12-08,53312
2016-12-09,52938
2016-12-10,52938
2016-12-11,52507
2016-12-12,52507
2016-12-13,52128
2016-12-14,53048
2016-12-15,53048
2016-12-16,52810
2016-12-17,52151
2016-12-18,52151
2016-12-19,52024
2016-12-20,50816
2016-12-21,50177
2016-12-22,50177
2016-12-23,50087
2016-12-24,50087
2016-12-25,50159
2016-12-26,50159
2016-12-27,50195
2016-12-28,50195
2016-12-29,50889
2016-12-30,50889
2016-12-31,51226
2017-01-01,51226
2017-01-02,53187
2017-01-03,53187
2017-01-04,55767
2017-01-05,55767
2017-01-06,55384
2017-01-07,55838
2017-01-08,54111
2017-01-09,53101
2017-01-10,53101
2017-01-11,51789
2017-01-12,53112
2017-01-13,53112
2017-01-14,52640
2017-01-15,52398
2017-01-16,52398
2017-01-17,51881
2017-01-18,52646
2017-01-19,52646
2017-01-20,52936
2017-01-21,54078
2017-01-22,55886
2017-01-27,62401
2017-01-28,62486
2017-01-29,63799
2017-01-30,63799
2017-01-31,65381
2017-02-01,66276
2017-02-02,66276
2017-02-03,67588
2017-02-04,69171
2017-02-05,69171
2017-02-06,70278
2017-02-07,70278
2017-02-08,71111
2017-02-09,71111
2017-02-10,72591
2017-02-11,73042
2017-02-12,73042
2017-02-13,75000
2017-02-14,78540
2017-02-15,78540
2017-02-16,80603
2017-02-18,81148
2017-02-19,81381
2017-02-20,81381
2017-02-21,80087
2017-02-22,80087
2017-02-23,78843
2017-02-24,78843
2017-02-25,76643
2017-02-26,76643
2017-02-27,72901
2017-02-28,70712
2017-03-01,70712
2017-03-02,68905
2017-03-03,68905
2017-03-04,67723
2017-03-05,67723
2017-03-06,65051
2017-03-07,62767
2017-03-08,62767
2017-03-09,62167
2017-03-10,60553
2017-03-11,60066
2017-03-12,60066
2017-03-13,58654
2017-03-14,56488
2017-03-15,55035
2017-03-16,54678
2017-03-17,55847
2017-03-18,55847
2017-03-19,57251
2017-03-20,57109
2017-03-21,57315
2017-03-22,57315
2017-03-23,58183
2017-03-24,58183
2017-03-25,59176
2017-03-26,60813
2017-03-27,60813
2017-03-28,61137
2017-03-29,60788
2017-03-30,60639
2017-03-31,59880
2017-04-01,59815
2017-04-02,59815
2017-04-03,60018
2017-04-04,60158
2017-04-12,59927
2017-04-13,60237
2017-04-14,60237
2017-04-15,62002
2017-04-16,63933
2017-04-17,65411
2017-04-18,66697
2017-04-19,66697
2017-04-20,66674
2017-04-21,65794
2017-04-22,65794
2017-04-23,64550
2017-04-24,64448
2017-04-25,62194
2017-04-26,62194
2017-04-27,61258
2017-04-28,61258
2017-04-29,59712
2017-04-30,58772
2017-05-01,58772
2017-05-02,60381
2017-05-03,60504
2017-05-04,61038
2017-05-05,61038
2017-05-06,60300
2017-05-07,60300
2017-05-08,59060
2017-05-09,58504
2017-05-10,58504
2017-05-11,57686
2017-05-12,56506
2017-05-13,55765
2017-05-14,55765
2017-05-15,55267
2017-05-16,55325
2017-05-17,55325
2017-05-18,56194
2017-05-19,56194
2017-05-20,56953
2017-05-21,56953
2017-05-22,56906
2017-05-23,56906
2017-05-24,56041
2017-05-25,56041
2017-05-26,55619
2017-05-27,55505
2017-05-28,55505
2017-05-29,55952
2017-05-30,55952
2017-05-31,57633
2017-06-01,58326
2017-06-02,57983
2017-06-03,57983
2017-06-04,57648
2017-06-06,57291
2017-06-07,57259
2017-06-08,57259
2017-06-09,56976
2017-06-10,56162
2017-06-11,57253
2017-06-12,57253
2017-06-13,58629
2017-06-14,60334
2017-06-15,60334
2017-06-16,60450
2017-06-17,60450
2017-06-18,60995
2017-06-19,60995
2017-06-20,60273
2017-06-21,60273
2017-06-22,60702
2017-06-23,60702
2017-06-24,61867
2017-06-25,61867
2017-06-26,62749
2017-06-27,64598
2017-06-28,64598
2017-06-29,67534
2017-06-30,67534
2017-07-01,70572
2017-07-02,70465
2017-07-03,71214
2017-07-04,72746
2017-07-05,72746
2017-07-06,73563
2017-07-07,73563
2017-07-08,75072
2017-07-13,81413
2017-07-14,77676
2017-07-15,77676
2017-07-16,75136
2017-07-17,72336
2017-07-18,72336
2017-07-19,69272
2017-07-20,66566
2017-07-21,64326
2017-07-22,62463
2017-07-23,63093
2017-07-24,63093
2017-07-25,63268
2017-07-26,65064
2017-07-27,65435
2017-07-28,65435
2017-07-29,66431
2017-07-30,68216
2017-07-31,68216
2017-08-01,68779
2017-08-02,70055
2017-08-03,70055
2017-08-04,69420
2017-08-05,67472
2017-08-06,67472
2017-08-09,64868
2017-08-10,66788
2017-08-11,66788
2017-08-12,67852
2017-08-13,67852
2017-08-14,68563
2017-08-15,70706
2017-08-16,70706
2017-08-17,71384
2017-08-18,71384
2017-08-19,71042
2017-08-20,71855
2017-08-21,71855
2017-08-22,68959
2017-08-23,68652
2017-08-24,68652
2017-08-25,69111
2017-08-26,68978
2017-08-27,69942
2017-08-28,69942
2017-08-29,71295
2017-08-30,71481
2017-08-31,71481
2017-09-01,73094
2017-09-02,72691
2017-09-03,72691
2017-09-04,72334
2017-09-05,71210
2017-09-06,68193
2017-09-07,66343
2017-09-08,66343
2017-09-09,66920
2017-09-10,68772
2017-09-11,70849
2017-09-12,70849
2017-09-13,74045
2017-09-14,77165
2017-09-15,77165
2017-09-16,77834
2017-09-17,78577
2017-09-19,80379
2017-09-20,82490
2017-09-21,82490
2017-09-22,83635
2017-09-23,83635
2017-09-24,82517
2017-09-25,82517
2017-09-26,78391
2017-09-27,78391
2017-09-28,74955
2017-09-29,72645
2017-09-30,72645
2017-10-01,72013
2017-10-02,70614
2017-10-03,70614
2017-10-04,69586
2017-10-05,70984
2017-10-06,70984
2017-10-07,71696
2017-10-08,71696
2017-10-09,72093
2017-10-10,71817
2017-10-11,71817
2017-10-12,71088
2017-10-13,69965
2017-10-14,69965
2017-10-15,71119
2017-10-16,71620
2017-10-17,71620
2017-10-18,71936
2017-10-19,71936
2017-10-20,71459
2017-10-21,71459
2017-10-22,71024
2017-10-23,71024
2017-10-24,69621
2017-10-25,67011
2017-10-26,67011
2017-10-27,64237
2017-10-28,64237
2017-10-29,62801
2017-10-30,61267
2017-10-31,61267
2017-11-01,61272
2017-11-02,61272
2017-11-03,61053
2017-11-04,59512
2017-11-05,59512
2017-11-06,58219
2017-11-07,58219
2017-11-08,59212
2017-11-09,59240
2017-11-10,59240
2017-11-11,58238
2017-11-12,56645
2017-11-13,56645
2017-11-14,55683
2017-11-15,55322
2017-11-16,54883
2017-11-17,54883
2017-11-18,56913
2017-11-19,57710
2017-11-20,55878
2017-11-21,54700
2017-11-22,54700
2017-11-23,52564
2017-11-24,52564
2017-11-25,51103
2017-11-26,51103
2017-11-27,51360
2017-11-28,51422
2017-11-29,51422
2017-11-30,51810
2017-12-01,52755
2017-12-02,52755
2017-12-03,53923
2017-12-04,53923
2017-12-05,53730
2017-12-06,53730
2017-12-07,53238
2017-12-08,53238
2017-12-09,54890
2017-12-10,55777
2017-12-11,55777
2017-12-12,56978
2017-12-13,56978
2017-12-14,57145
2017-12-15,58430
2017-12-16,58430
2017-12-17,58827
2017-12-18,58017
2017-12-19,58017
2017-12-20,57652
2017-12-21,58388
2017-12-22,58388
2017-12-23,59711
2017-12-24,59711
2017-12-25,61481
2017-12-26,62195
2017-12-27,62371
2017-12-28,62371
2017-12-29,63568
2017-12-30,63292
2017-12-31,63292
2018-01-01,61869
2018-01-02,60460
2018-01-03,61571
2018-01-04,61571
2018-01-05,59666
2018-01-06,58704
2018-01-07,59251
2018-01-08,59251
2018-01-09,59613
2018-01-10,59613
2018-01-11,57318
2018-01-12,58520
2018-01-13,59340
2018-01-14,59340
2018-01-15,59384
2018-01-16,62123
2018-01-17,62863
2018-01-18,62913
2018-01-19,62913
2018-01-20,63813
2018-01-21,63813
2018-01-22,65516
2018-01-23,67979
2018-01-25,68867
2018-01-26,69653
2018-01-27,69653
2018-01-28,69356
2018-01-29,69356
2018-01-30,67301
2018-01-31,67301
2018-02-01,67192
2018-02-02,67192
2018-02-03,67910
2018-02-04,66727
2018-02-05,66727
2018-02-06,66892
2018-02-07,68346
2018-02-08,68346
2018-02-09,67601
2018-02-10,67601
2018-02-11,68682
2018-02-12,68682
2018-02-13,68715
2018-02-14,67574
2018-02-15,67574
2018-02-16,65820
2018-02-17,66313
2018-02-18,66313
2018-02-19,67290
2018-02-20,67290
2018-02-21,67388
2018-02-22,67388
2018-02-23,69005
2018-02-24,69005
2018-02-25,68737
2018-02-26,69327
2018-02-27,67778
2018-02-28,67778
2018-03-01,67075
2018-03-02,66710
2018-03-03,64909
2018-03-04,64909
2018-03-05,65130
2018-03-06,66545
2018-03-07,66981
2018-03-08,66981
2018-03-09,66956
2018-03-10,66956
2018-03-11,66699
2018-03-12,67373
2018-03-13,67373
2018-03-14,67893
2018-03-15,67893
2018-03-16,69614
2018-03-17,71165
2018-03-18,71599
2018-03-19,71599
2018-03-20,73958
2018-03-21,73958
2018-03-23,75924
2018-03-24,76813
2018-03-25,76813
2018-03-26,78216
2018-03-27,78873
2018-03-28,78873
2018-03-29,78945
2018-03-30,78945
2018-03-31,78958
2018-04-01,78958
2018-04-02,78612
2018-04-03,78612
2018-04-04,78699
2018-04-05,78699
2018-04-06,78041
2018-04-07,78041
2018-04-08,77640
2018-04-09,77640
2018-04-10,78376
2018-04-11,78376
2018-04-12,78722
2018-04-13,78722
2018-04-14,78722
2018-04-15,77630
2018-04-16,77630
2018-04-17,78364
2018-04-18,78364
2018-04-19,76076
2018-04-20,76076
2018-04-21,75228
2018-04-22,75228
2018-04-23,72965
2018-04-24,72965
2018-04-25,69990
2018-04-26,69990
