date_obj,Iron%20limbs price
2015-03-26,825
2015-03-27,825
2015-03-28,825
2015-03-29,825
2015-03-30,825
2015-03-31,825
2015-04-01,825
2015-04-02,825
2015-04-03,825
2015-04-04,825
2015-04-05,825
2015-04-06,825
2015-04-07,825
2015-04-08,825
2015-04-09,825
2015-04-10,825
2015-04-11,825
2015-04-12,825
2015-04-13,825
2015-04-14,825
2015-04-15,825
2015-04-16,825
2015-04-17,825
2015-04-18,825
2015-04-19,825
2015-04-20,825
2015-04-21,825
2015-04-22,825
2015-04-23,825
2015-04-24,825
2015-04-25,825
2015-04-26,825
2015-04-27,825
2015-04-28,825
2015-04-29,825
2015-04-30,825
2015-05-01,825
2015-05-02,825
2015-05-03,825
2015-05-04,825
2015-05-05,784
2015-05-06,784
2015-05-07,784
2015-05-08,784
2015-05-09,784
2015-05-10,784
2015-05-11,784
2015-05-12,784
2015-05-13,784
2015-05-14,784
2015-05-15,784
2015-05-16,784
2015-05-17,784
2015-05-18,784
2015-05-19,784
2015-05-20,784
2015-05-21,784
2015-05-22,784
2015-05-23,784
2015-05-24,784
2015-05-25,784
2015-05-26,784
2015-05-27,784
2015-05-28,784
2015-05-29,784
2015-05-30,784
2015-05-31,784
2015-06-01,784
2015-06-02,784
2015-06-03,784
2015-06-04,784
2015-06-05,784
2015-06-06,784
2015-06-07,784
2015-06-08,784
2015-06-09,784
2015-06-10,784
2015-06-11,784
2015-06-12,784
2015-06-13,784
2015-06-14,784
2015-06-15,784
2015-06-16,784
2015-06-17,784
2015-06-18,784
2015-06-19,784
2015-06-20,784
2015-06-21,784
2015-06-22,746
2015-06-23,746
2015-06-24,746
2015-06-25,746
2015-06-26,746
2015-06-27,746
2015-06-28,746
2015-06-29,746
2015-06-30,746
2015-07-01,746
2015-07-02,746
2015-07-03,746
2015-07-04,746
2015-07-05,746
2015-07-06,746
2015-07-07,746
2015-07-08,746
2015-07-09,746
2015-07-10,746
2015-07-11,746
2015-07-12,746
2015-07-13,746
2015-07-14,746
2015-07-15,746
2015-07-16,746
2015-07-17,746
2015-07-18,746
2015-07-19,746
2015-07-20,746
2015-07-21,746
2015-07-22,746
2015-07-23,746
2015-07-24,746
2015-07-25,746
2015-07-26,746
2015-07-27,746
2015-07-28,746
2015-07-29,746
2015-07-30,746
2015-07-31,746
2015-08-01,746
2015-08-02,746
2015-08-03,746
2015-08-04,746
2015-08-05,746
2015-08-06,746
2015-08-07,746
2015-08-08,746
2015-08-09,746
2015-08-10,746
2015-08-11,746
2015-08-12,746
2015-08-13,746
2015-08-14,746
2015-08-15,711
2015-08-16,711
2015-08-17,711
2015-08-18,711
2015-08-19,711
2015-08-20,711
2015-08-21,711
2015-08-22,711
2015-08-23,711
2015-08-24,711
2015-08-25,711
2015-08-26,711
2015-08-27,711
2015-08-28,711
2015-08-29,711
2015-08-30,711
2015-08-31,711
2015-09-01,711
2015-09-02,711
2015-09-03,711
2015-09-04,711
2015-09-05,711
2015-09-06,711
2015-09-07,711
