date_obj,Iron%20ore price
2015-03-26,38
2015-03-27,39
2015-03-28,41
2015-03-29,41
2015-03-30,39
2015-03-31,37
2015-04-01,36
2015-04-02,36
2015-04-03,37
2015-04-04,38
2015-04-05,40
2015-04-06,42
2015-04-07,44
2015-04-08,46
2015-04-09,49
2015-04-10,51
2015-04-11,54
2015-04-12,57
2015-04-13,56
2015-04-14,55
2015-04-15,57
2015-04-16,58
2015-04-17,60
2015-04-18,62
2015-04-19,62
2015-04-20,60
2015-04-21,58
2015-04-22,56
2015-04-23,55
2015-04-24,56
2015-04-25,55
2015-04-26,54
2015-04-27,53
2015-04-28,52
2015-04-29,55
2015-04-30,57
2015-05-01,60
2015-05-02,63
2015-05-03,67
2015-05-04,69
2015-05-05,69
2015-05-06,71
2015-05-07,74
2015-05-08,78
2015-05-09,82
2015-05-10,80
2015-05-11,76
2015-05-12,72
2015-05-13,68
2015-05-14,65
2015-05-15,65
2015-05-16,68
2015-05-17,69
2015-05-18,66
2015-05-19,65
2015-05-20,64
2015-05-21,67
2015-05-22,70
2015-05-23,74
2015-05-24,78
2015-05-25,81
2015-05-26,84
2015-05-27,87
2015-05-28,88
2015-05-29,89
2015-05-30,85
2015-05-31,80
2015-06-01,76
2015-06-02,74
2015-06-03,72
2015-06-04,71
2015-06-05,69
2015-06-06,69
2015-06-07,67
2015-06-08,66
2015-06-09,67
2015-06-10,67
2015-06-11,67
2015-06-12,69
2015-06-13,72
2015-06-14,75
2015-06-15,72
2015-06-16,69
2015-06-17,68
2015-06-18,69
2015-06-19,70
2015-06-20,70
2015-06-21,67
2015-06-22,64
2015-06-23,63
2015-06-24,61
2015-06-25,62
2015-06-26,63
2015-06-27,65
2015-06-28,65
2015-06-29,63
2015-06-30,62
2015-07-01,61
2015-07-02,61
2015-07-03,62
2015-07-04,63
2015-07-05,62
2015-07-06,64
2015-07-07,66
2015-07-08,68
2015-07-09,70
2015-07-10,74
2015-07-11,78
2015-07-12,81
2015-07-13,76
2015-07-14,72
2015-07-15,70
2015-07-16,71
2015-07-17,74
2015-07-18,75
2015-07-19,74
2015-07-20,70
2015-07-21,67
2015-07-22,66
2015-07-23,66
2015-07-24,67
2015-07-25,65
2015-07-26,63
2015-07-27,61
2015-07-28,60
2015-07-29,60
2015-07-30,60
2015-07-31,60
2015-08-01,61
2015-08-02,61
2015-08-03,63
2015-08-04,65
2015-08-05,66
2015-08-06,66
2015-08-07,67
2015-08-08,69
2015-08-09,69
2015-08-10,71
