date_obj,Iron%20platebody price
2015-03-26,128
2015-03-27,126
2015-03-28,126
2015-03-29,124
2015-03-30,125
2015-03-31,124
2015-04-01,126
2015-04-02,124
2015-04-03,121
2015-04-04,117
2015-04-05,115
2015-04-06,116
2015-04-07,114
2015-04-08,112
2015-04-09,111
2015-04-10,111
2015-04-11,112
2015-04-12,114
2015-04-13,117
2015-04-14,119
2015-04-15,124
2015-04-16,126
2015-04-17,130
2015-04-18,132
2015-04-19,130
2015-04-20,128
2015-04-21,129
2015-04-22,129
2015-04-23,126
2015-04-24,125
2015-04-25,126
2015-04-26,128
2015-04-27,128
2015-04-28,131
2015-04-29,131
2015-04-30,134
2015-05-01,135
2015-05-02,136
2015-05-03,138
2015-05-04,139
2015-05-05,140
2015-05-06,139
2015-05-07,139
2015-05-08,139
2015-05-09,138
2015-05-10,137
2015-05-11,136
2015-05-12,134
2015-05-13,133
2015-05-14,131
2015-05-15,129
2015-05-16,131
2015-05-17,133
2015-05-18,133
2015-05-19,135
2015-05-20,134
2015-05-21,136
2015-05-22,136
2015-05-23,135
2015-05-24,135
2015-05-25,136
2015-05-26,142
2015-05-27,147
2015-05-28,149
2015-05-29,150
2015-05-30,150
2015-05-31,150
2015-06-01,145
2015-06-02,146
2015-06-03,149
2015-06-04,153
2015-06-05,155
2015-06-06,157
2015-06-07,159
2015-06-08,164
2015-06-09,166
2015-06-10,169
2015-06-11,172
2015-06-12,170
2015-06-13,170
2015-06-14,169
2015-06-15,170
2015-06-16,173
2015-06-17,176
2015-06-18,176
2015-06-19,176
2015-06-20,170
2015-06-21,167
2015-06-22,164
2015-06-23,166
2015-06-24,168
2015-06-25,171
2015-06-26,173
2015-06-27,168
2015-06-28,166
2015-06-29,169
2015-06-30,165
2015-07-01,164
2015-07-02,163
2015-07-03,161
2015-07-04,160
2015-07-05,153
2015-07-06,147
2015-07-07,147
2015-07-08,146
2015-07-09,147
2015-07-10,151
2015-07-11,150
2015-07-12,150
2015-07-13,152
2015-07-14,152
2015-07-15,152
2015-07-16,151
2015-07-17,153
2015-07-18,156
2015-07-19,158
2015-07-20,155
2015-07-21,158
2015-07-22,159
2015-07-23,163
2015-07-24,166
2015-07-25,167
2015-07-26,166
2015-07-27,169
2015-07-28,170
2015-07-29,170
2015-07-30,171
2015-07-31,170
2015-08-01,170
2015-08-02,170
2015-08-03,172
2015-08-04,173
2015-08-05,173
2015-08-06,174
2015-08-07,171
2015-08-08,174
2015-08-09,174
2015-08-10,177
2015-08-11,178
2015-08-12,177
2015-08-13,177
2015-08-14,177
2015-08-15,177
2015-08-16,175
2015-08-17,176
2015-08-18,181
2015-08-19,182
2015-08-20,183
2015-08-21,185
2015-08-22,181
2015-08-23,184
2015-08-24,181
2015-08-25,182
2015-08-26,184
2015-08-27,178
2015-08-28,174
2015-08-29,171
2015-08-30,170
2015-08-31,168
2015-09-01,161
2015-09-02,160
2015-09-03,161
2015-09-04,160
2015-09-05,156
2015-09-06,152
2015-09-07,150
2015-09-08,149
2015-09-09,149
2015-09-10,150
2015-09-11,151
2015-09-12,149
2015-09-13,147
2015-09-14,146
2015-09-15,147
2015-09-16,146
2015-09-17,149
2015-09-18,151
2015-09-19,152
2015-09-20,152
2015-09-21,149
2015-09-22,152
2015-09-23,152
2015-09-24,152
2015-09-25,156
2015-09-27,155
2015-09-28,160
2015-09-29,159
2015-09-30,162
2015-10-05,165
2015-10-06,162
2015-10-07,167
2015-10-08,170
2015-10-09,173
2015-10-10,177
2015-10-11,174
2015-10-12,177
2015-10-13,177
2015-10-14,178
2015-10-15,177
2015-10-16,178
2015-10-17,176
2015-10-18,174
2015-10-19,176
2015-10-20,174
2015-10-22,169
2015-10-23,172
2015-10-24,173
2015-10-25,176
2015-10-26,174
2015-10-27,176
2015-10-29,169
2015-10-30,165
2015-10-31,164
2015-11-01,157
2015-11-02,155
2015-11-03,158
2015-11-04,163
2015-11-05,167
2015-11-06,169
2015-11-07,174
2015-11-08,173
2015-11-09,176
2015-11-10,180
2015-11-11,180
2015-11-12,185
2015-11-13,186
2015-11-14,190
2015-11-15,196
2015-11-16,202
2015-11-17,203
2015-11-18,206
2015-11-19,213
2015-11-20,219
2015-11-21,217
2015-11-22,223
2015-11-23,222
2015-11-24,220
2015-11-25,219
2015-11-26,213
2015-11-27,213
2015-11-28,215
2015-11-29,216
2015-11-30,219
2015-12-01,217
2015-12-02,223
2015-12-03,224
2015-12-04,225
2015-12-05,221
2015-12-06,221
2015-12-07,216
2015-12-08,215
2015-12-09,217
2015-12-10,221
2015-12-11,217
2015-12-12,221
2015-12-13,224
2015-12-14,221
2015-12-15,217
2015-12-16,216
2015-12-17,217
2015-12-18,220
2015-12-19,221
2015-12-20,222
2015-12-21,220
2015-12-22,216
2015-12-23,214
2015-12-24,219
2015-12-25,215
2015-12-26,208
2015-12-27,203
2015-12-28,204
2015-12-29,206
2015-12-30,202
2015-12-31,198
2016-01-01,193
2016-01-02,188
2016-01-03,185
2016-01-04,183
2016-01-05,186
2016-01-06,187
2016-01-07,184
2016-01-08,187
2016-01-09,188
2016-01-10,188
2016-01-11,187
2016-01-12,189
2016-01-13,188
2016-01-14,191
2016-01-15,190
2016-01-16,186
2016-01-17,187
2016-01-18,187
2016-01-19,187
2016-01-20,194
2016-01-21,198
2016-01-22,195
2016-01-23,197
2016-01-24,200
2016-01-25,199
2016-01-26,197
2016-01-27,197
2016-01-28,205
2016-01-29,206
2016-01-30,209
2016-01-31,209
2016-02-01,208
2016-02-02,208
2016-02-03,205
2016-02-04,206
2016-02-05,198
2016-02-06,196
2016-02-07,193
2016-02-08,189
2016-02-09,185
2016-02-10,186
2016-02-11,182
2016-02-12,183
2016-02-13,184
2016-02-14,185
2016-02-15,186
2016-02-16,188
2016-02-17,184
2016-02-18,182
2016-02-19,185
2016-02-20,180
2016-02-21,179
2016-02-22,174
2016-02-23,172
2016-02-24,175
2016-02-25,176
2016-02-26,176
2016-02-27,178
2016-02-28,178
2016-02-29,179
2016-03-01,179
2016-03-02,176
2016-03-03,178
2016-03-04,181
2016-03-05,177
2016-03-06,173
2016-03-07,172
2016-03-08,173
2016-03-09,176
2016-03-10,172
2016-03-11,172
2016-03-12,174
2016-03-13,170
2016-03-14,173
2016-03-15,173
2016-03-16,170
2016-03-17,171
2016-03-18,170
2016-03-19,165
2016-03-20,167
2016-03-21,163
2016-03-22,161
2016-03-23,163
2016-03-24,169
2016-03-25,170
2016-03-26,171
2016-03-27,169
2016-03-28,168
2016-03-29,172
2016-03-30,174
2016-03-31,173
2016-04-01,172
2016-04-02,170
2016-04-03,165
2016-04-04,167
2016-04-05,169
2016-04-06,169
2016-04-07,171
2016-04-08,176
2016-04-09,180
2016-04-10,182
2016-04-11,181
2016-04-12,182
2016-04-13,186
2016-04-14,190
2016-04-15,196
2016-04-16,197
2016-04-17,197
2016-04-18,197
2016-04-19,196
2016-04-20,193
2016-04-21,200
2016-04-22,195
2016-04-23,190
2016-04-24,187
2016-04-25,187
2016-04-26,182
2016-04-27,180
2016-04-28,179
2016-04-29,179
2016-04-30,178
2016-05-01,177
2016-05-02,178
2016-05-03,177
2016-05-04,179
2016-05-05,183
2016-05-06,184
2016-05-07,183
2016-05-08,179
2016-05-09,175
2016-05-10,174
2016-05-11,177
2016-05-12,174
2016-05-13,176
2016-05-14,178
2016-05-15,179
2016-05-16,183
2016-05-17,187
2016-05-18,188
2016-05-19,188
