date_obj,Iron%20set%20(lg) price
2015-03-26,1628
2015-03-27,1572
2015-03-28,1525
2015-03-29,1496
2015-03-30,1471
2015-03-31,1494
2015-04-01,1475
2015-04-02,1474
2015-04-03,1468
2015-04-04,1444
2015-04-05,1432
2015-04-06,1457
2015-04-07,1481
2015-04-08,1454
2015-04-09,1475
2015-04-10,1526
2015-04-11,1527
2015-04-12,1523
2015-04-13,1513
2015-04-14,1459
2015-04-15,1481
2015-04-16,1488
2015-04-17,1500
2015-04-18,1515
2015-04-19,1492
2015-04-20,1477
2015-04-21,1453
2015-04-22,1389
2015-04-23,1322
2015-04-24,1289
2015-04-25,1258
2015-04-26,1244
2015-04-27,1278
2015-04-28,1308
2015-04-29,1329
2015-04-30,1368
2015-05-01,1331
2015-05-02,1330
2015-05-03,1313
2015-05-04,1292
2015-05-05,1274
2015-05-06,1226
2015-05-07,1210
2015-05-08,1207
2015-05-09,1244
2015-05-10,1264
2015-05-11,1255
2015-05-12,1241
2015-05-13,1219
2015-05-14,1243
2015-05-15,1282
2015-05-16,1322
2015-05-17,1346
2015-05-18,1287
2015-05-19,1224
2015-05-20,1192
2015-05-21,1173
2015-05-22,1154
2015-05-23,1175
2015-05-24,1181
2015-05-25,1160
2015-05-26,1142
2015-05-27,1131
2015-05-28,1127
2015-05-29,1117
2015-05-30,1120
2015-05-31,1103
2015-06-01,1104
2015-06-02,1118
2015-06-03,1131
2015-06-04,1130
2015-06-05,1135
2015-06-06,1129
2015-06-07,1116
2015-06-08,1104
2015-06-09,1120
2015-06-10,1109
2015-06-11,1120
2015-06-12,1152
2015-06-13,1171
2015-06-14,1173
2015-06-15,1190
2015-06-16,1230
2015-06-17,1259
2015-06-18,1275
2015-06-19,1266
2015-06-20,1279
2015-06-21,1290
2015-06-22,1291
2015-06-23,1312
2015-06-24,1329
2015-06-25,1342
2015-06-26,1334
2015-06-27,1296
2015-06-28,1302
2015-06-29,1246
2015-06-30,1234
2015-07-01,1242
2015-07-02,1185
2015-07-03,1195
2015-07-04,1205
2015-07-05,1162
2015-07-06,1201
2015-07-07,1225
2015-07-08,1254
2015-07-09,1252
2015-07-10,1236
2015-07-11,1274
2015-07-12,1243
2015-07-13,1220
2015-07-14,1214
2015-07-15,1217
2015-07-16,1245
2015-07-17,1269
2015-07-18,1243
2015-07-19,1199
2015-07-20,1197
2015-07-21,1233
2015-07-22,1248
2015-07-23,1218
2015-07-24,1192
2015-07-25,1160
2015-07-26,1138
2015-07-27,1154
2015-07-28,1180
2015-07-29,1166
2015-07-30,1150
2015-07-31,1143
2015-08-01,1131
2015-08-02,1130
2015-08-03,1165
2015-08-04,1158
2015-08-05,1185
2015-08-06,1214
2015-08-07,1238
2015-08-08,1264
2015-08-09,1216
2015-08-10,1224
2015-08-11,1259
2015-08-12,1259
2015-08-13,1299
2015-08-14,1297
2015-08-15,1349
2015-08-16,1353
2015-08-17,1347
2015-08-18,1387
2015-08-19,1385
2015-08-20,1379
2015-08-21,1389
2015-08-22,1408
2015-08-23,1373
2015-08-24,1330
2015-08-25,1323
2015-08-26,1303
2015-08-27,1261
2015-08-28,1202
2015-08-29,1193
2015-08-30,1170
2015-08-31,1164
2015-09-01,1170
2015-09-02,1121
2015-09-03,1136
2015-09-04,1127
2015-09-05,1089
2015-09-06,1053
2015-09-07,1030
2015-09-08,1019
2015-09-09,1010
2015-09-10,989
2015-09-11,977
2015-09-12,967
2015-09-13,962
2015-09-14,962
2015-09-15,975
2015-09-16,945
2015-09-17,944
2015-09-18,959
2015-09-19,981
2015-09-20,982
2015-09-21,999
2015-09-22,1001
2015-09-23,979
2015-09-24,970
2015-09-25,957
2015-09-27,945
2015-09-28,961
2015-09-29,963
2015-09-30,973
2015-10-05,880
2015-10-06,868
2015-10-07,859
2015-10-08,890
2015-10-09,889
2015-10-10,917
2015-10-11,920
2015-10-12,939
2015-10-13,947
2015-10-14,962
2015-10-15,978
2015-10-16,980
2015-10-17,984
2015-10-18,1006
2015-10-19,1023
2015-10-20,1048
2015-10-22,1086
2015-10-23,1089
2015-10-24,1063
2015-10-25,1019
