date_obj,Jade%20amulet price
2017-02-01,12500
2017-02-02,12500
2017-02-03,12500
2017-02-04,12500
2017-02-05,12500
2017-02-06,12500
2017-02-07,12500
2017-02-08,12500
2017-02-09,12500
2017-02-10,11879
2017-02-11,11879
2017-02-12,11879
2017-02-13,11879
2017-02-14,11879
2017-02-15,11879
2017-02-16,11879
2017-02-18,11879
2017-02-19,11879
2017-02-20,11879
2017-02-21,11879
2017-02-22,11879
2017-02-23,11879
2017-02-24,11879
2017-02-25,11879
2017-02-26,11879
2017-02-27,11879
2017-02-28,11290
2017-03-01,11290
2017-03-02,11290
2017-03-03,11290
2017-03-04,11290
2017-03-05,11290
2017-03-06,11290
2017-03-07,11290
2017-03-08,11290
2017-03-09,11290
2017-03-10,11290
2017-03-11,11290
2017-03-12,11290
2017-03-13,11290
2017-03-14,11290
2017-03-15,10728
2017-03-16,10728
2017-03-17,10728
2017-03-18,10728
2017-03-19,10728
2017-03-20,10728
2017-03-21,10728
2017-03-22,10728
2017-03-23,10728
2017-03-24,10728
2017-03-25,10728
2017-03-26,10728
2017-03-27,10728
2017-03-28,10728
2017-03-29,10728
2017-03-30,10728
2017-03-31,10728
2017-04-01,10196
2017-04-02,10196
2017-04-03,10196
2017-04-04,10196
2017-04-12,500
2017-04-13,500
2017-04-14,500
2017-04-15,500
2017-04-16,500
2017-04-17,500
2017-04-18,500
2017-04-19,500
2017-04-20,500
2017-04-21,500
2017-04-22,500
2017-04-23,500
2017-04-24,500
2017-04-25,500
2017-04-26,500
2017-04-27,500
2017-04-28,500
2017-04-29,500
2017-04-30,500
2017-05-01,491
2017-05-02,491
2017-05-03,491
2017-05-04,491
2017-05-05,491
2017-05-06,491
2017-05-07,491
2017-05-08,491
2017-05-09,491
2017-05-10,491
2017-05-11,491
2017-05-12,491
2017-05-13,491
2017-05-14,491
2017-05-15,491
2017-05-16,491
2017-05-17,491
2017-05-18,491
2017-05-19,491
2017-05-20,491
2017-05-21,491
2017-05-22,491
2017-05-23,491
2017-05-24,508
2017-05-25,508
2017-05-26,508
2017-05-27,508
2017-05-28,508
2017-05-29,508
2017-05-30,508
2017-05-31,508
2017-06-01,508
2017-06-02,508
2017-06-03,508
2017-06-04,508
2017-06-06,508
2017-06-07,508
2017-06-08,508
2017-06-09,508
2017-06-10,508
2017-06-11,529
2017-06-12,529
2017-06-13,529
2017-06-14,529
2017-06-15,529
2017-06-16,529
2017-06-17,529
2017-06-18,529
2017-06-19,529
2017-06-20,529
2017-06-21,529
2017-06-22,529
2017-06-23,529
2017-06-24,529
2017-06-25,529
2017-06-26,529
2017-06-27,529
2017-06-28,529
2017-06-29,529
2017-06-30,529
2017-07-01,529
2017-07-02,529
2017-07-03,529
2017-07-04,529
2017-07-05,529
2017-07-06,529
2017-07-07,553
2017-07-08,553
2017-07-13,553
2017-07-14,553
2017-07-15,553
2017-07-16,553
2017-07-17,553
2017-07-18,553
2017-07-19,553
2017-07-20,553
2017-07-21,553
2017-07-22,553
2017-07-23,553
2017-07-24,553
2017-07-25,553
2017-07-26,553
2017-07-27,553
2017-07-28,553
2017-07-29,553
2017-07-30,580
2017-07-31,580
2017-08-01,580
2017-08-02,580
2017-08-03,580
2017-08-04,580
2017-08-05,580
2017-08-06,580
2017-08-09,580
2017-08-10,580
2017-08-11,580
2017-08-12,580
2017-08-13,580
2017-08-14,580
2017-08-15,580
2017-08-16,580
2017-08-17,580
2017-08-18,580
2017-08-19,580
2017-08-20,606
2017-08-21,606
2017-08-22,606
2017-08-23,606
2017-08-24,606
2017-08-25,606
2017-08-26,606
2017-08-27,606
2017-08-28,606
2017-08-29,606
2017-08-30,606
2017-08-31,606
2017-09-01,606
2017-09-02,606
2017-09-03,606
2017-09-04,606
2017-09-05,606
2017-09-06,606
2017-09-07,606
2017-09-08,606
2017-09-09,606
2017-09-10,631
2017-09-11,631
2017-09-12,631
2017-09-13,631
2017-09-14,631
2017-09-15,631
2017-09-16,631
2017-09-17,631
2017-09-19,631
2017-09-20,631
2017-09-21,631
2017-09-22,631
2017-09-23,631
2017-09-24,631
2017-09-25,631
2017-09-26,631
2017-09-27,631
2017-09-28,631
2017-09-29,631
2017-09-30,631
2017-10-01,658
2017-10-02,658
2017-10-03,658
2017-10-04,658
2017-10-05,658
2017-10-06,658
2017-10-07,658
2017-10-08,658
2017-10-09,658
2017-10-10,658
2017-10-11,658
2017-10-12,658
2017-10-13,658
2017-10-14,658
2017-10-15,658
2017-10-16,658
2017-10-17,658
2017-10-18,658
2017-10-19,658
2017-10-20,658
2017-10-21,658
2017-10-22,658
2017-10-23,658
2017-10-24,658
2017-10-25,687
2017-10-26,687
2017-10-27,687
2017-10-28,687
2017-10-29,687
2017-10-30,687
2017-10-31,687
2017-11-01,687
2017-11-02,687
2017-11-03,687
2017-11-04,687
2017-11-05,687
2017-11-06,687
2017-11-07,687
2017-11-08,687
2017-11-09,687
2017-11-10,687
2017-11-11,687
2017-11-12,687
2017-11-13,687
2017-11-14,687
2017-11-15,687
2017-11-16,687
2017-11-17,687
2017-11-18,687
2017-11-19,687
2017-11-20,687
2017-11-21,687
2017-11-22,687
2017-11-23,716
2017-11-24,716
2017-11-25,716
2017-11-26,716
2017-11-27,716
2017-11-28,716
2017-11-29,716
2017-11-30,716
2017-12-01,716
2017-12-02,716
2017-12-03,716
2017-12-04,716
2017-12-05,716
2017-12-06,716
2017-12-07,716
2017-12-08,716
2017-12-09,716
2017-12-10,716
2017-12-11,716
2017-12-12,716
2017-12-14,716
2017-12-15,716
2017-12-16,716
2017-12-17,716
2017-12-18,746
2017-12-19,746
2017-12-20,746
2017-12-21,746
2017-12-22,746
2017-12-23,746
2017-12-24,746
2017-12-25,746
2017-12-26,746
2017-12-27,746
2017-12-28,746
2017-12-29,746
2017-12-30,746
2017-12-31,746
2018-01-01,746
2018-01-02,746
2018-01-03,746
2018-01-04,746
2018-01-05,746
2018-01-06,746
2018-01-07,746
2018-01-08,746
2018-01-09,746
2018-01-10,746
2018-01-11,776
2018-01-12,776
2018-01-13,776
2018-01-14,776
2018-01-15,776
2018-01-16,776
2018-01-17,776
2018-01-18,776
2018-01-19,776
2018-01-20,776
2018-01-21,776
2018-01-22,776
2018-01-23,776
2018-01-25,776
2018-01-26,776
2018-01-27,776
2018-01-28,806
2018-01-29,806
2018-01-30,806
2018-01-31,806
2018-02-01,806
2018-02-02,806
2018-02-03,806
2018-02-04,806
2018-02-05,806
2018-02-06,806
2018-02-07,806
2018-02-08,806
2018-02-09,806
2018-02-10,806
2018-02-11,806
2018-02-12,806
2018-02-13,806
2018-02-14,806
2018-02-15,806
2018-02-16,806
2018-02-17,806
2018-02-18,834
2018-02-19,834
2018-02-20,834
2018-02-21,834
2018-02-22,834
2018-02-23,834
2018-02-24,834
2018-02-25,834
2018-02-26,834
2018-02-27,834
2018-02-28,834
2018-03-01,834
2018-03-02,834
2018-03-03,834
2018-03-04,834
2018-03-05,834
2018-03-06,834
2018-03-07,834
2018-03-08,834
2018-03-09,834
2018-03-10,868
2018-03-11,868
2018-03-12,868
2018-03-13,868
2018-03-14,868
2018-03-15,868
2018-03-16,868
2018-03-17,868
2018-03-18,868
2018-03-19,868
2018-03-20,868
2018-03-21,868
2018-03-23,868
2018-03-24,868
2018-03-25,868
2018-03-26,868
2018-03-27,868
2018-03-28,868
2018-03-29,868
2018-03-30,894
2018-03-31,894
2018-04-01,894
2018-04-02,894
2018-04-03,894
2018-04-04,894
2018-04-05,894
2018-04-06,894
2018-04-07,894
2018-04-08,894
2018-04-09,894
2018-04-10,894
2018-04-11,894
2018-04-12,894
2018-04-13,894
2018-04-14,894
2018-04-15,894
2018-04-16,894
2018-04-17,894
2018-04-18,894
2018-04-19,894
2018-04-20,894
2018-04-21,894
2018-04-22,894
2018-04-23,894
2018-04-24,894
2018-04-25,894
2018-04-26,894
2018-04-27,885
2018-04-28,885
2018-04-29,885
2018-04-30,885
2018-05-01,885
2018-05-04,885
2018-05-05,885
2018-05-06,885
2018-05-07,885
2018-05-08,885
2018-05-09,885
2018-05-10,885
2018-05-11,885
2018-05-12,885
2018-05-13,885
2018-05-14,885
2018-05-15,885
2018-05-16,885
2018-05-17,885
2018-05-18,885
2018-05-19,885
2018-05-20,885
2018-05-21,885
2018-05-22,892
2018-05-23,892
2018-05-24,892
2018-05-25,892
2018-05-26,892
2018-05-27,892
2018-05-28,892
2018-05-29,892
2018-05-30,892
2018-05-31,892
2018-06-01,892
2018-06-02,892
2018-06-03,892
2018-06-04,892
2018-06-05,892
2018-06-06,892
2018-06-07,892
2018-06-08,892
2018-06-09,910
2018-06-10,910
2018-06-11,910
2018-06-12,910
2018-06-13,910
2018-06-14,910
2018-06-15,910
2018-06-16,910
2018-06-17,910
2018-06-18,910
2018-06-19,910
2018-06-20,910
2018-06-21,910
2018-06-22,910
2018-06-23,910
2018-06-24,910
2018-06-25,910
2018-06-26,910
2018-06-27,910
2018-06-28,910
2018-06-29,910
2018-06-30,910
2018-07-01,910
2018-07-02,910
2018-07-03,875
2018-07-04,875
2018-07-05,875
2018-07-06,875
2018-07-07,875
2018-07-08,875
2018-07-09,875
2018-07-10,875
2018-07-11,875
2018-07-12,875
2018-07-13,875
2018-07-14,875
2018-07-15,875
2018-07-16,875
2018-07-17,875
2018-07-18,875
2018-07-19,875
2018-07-20,875
2018-07-21,875
2018-07-22,875
2018-07-23,875
2018-07-24,875
2018-07-25,875
2018-07-26,875
2018-07-27,875
2018-07-28,875
2018-07-29,875
2018-07-30,875
2018-07-31,875
2018-08-01,875
2018-08-02,838
2018-08-03,838
2018-08-04,838
2018-08-05,838
2018-08-06,838
2018-08-07,838
2018-08-08,838
2018-08-09,838
2018-08-10,838
2018-08-11,838
2018-08-12,838
2018-08-14,838
2018-08-16,838
2018-08-17,838
2018-08-18,838
2018-08-19,838
2018-08-20,838
2018-08-21,838
2018-08-22,799
2018-08-23,799
2018-08-24,799
2018-08-25,799
2018-08-26,799
2018-08-27,799
2018-08-28,799
2018-08-29,799
2018-08-30,799
2018-08-31,799
2018-09-01,799
2018-09-02,799
2018-09-03,799
2018-09-05,799
2018-09-06,799
2018-09-07,799
2018-09-08,799
2018-09-09,799
2018-09-10,799
2018-09-11,799
2018-09-12,799
2018-09-13,775
2018-09-14,775
2018-09-15,775
2018-09-16,775
2018-09-17,775
2018-09-18,775
2018-09-19,775
2018-09-20,775
2018-09-21,775
2018-09-22,775
2018-09-23,775
2018-09-24,775
2018-09-25,775
2018-09-26,775
2018-09-27,775
2018-09-28,775
2018-09-29,775
2018-09-30,775
2018-10-02,772
2018-10-03,772
2018-10-04,772
2018-10-05,772
2018-10-06,772
2018-10-07,772
2018-10-08,772
2018-10-09,772
2018-10-10,772
2018-10-11,772
2018-10-12,772
2018-10-13,772
2018-10-14,772
2018-10-15,772
2018-10-16,772
2018-10-17,772
2018-10-18,772
2018-10-19,772
2018-10-20,772
2018-10-21,772
2018-10-22,772
2018-10-23,772
2018-10-24,752
2018-10-25,752
2018-10-26,752
2018-10-27,752
2018-10-28,752
2018-10-29,752
2018-10-30,752
2018-10-31,752
2018-11-01,752
2018-11-03,752
2018-11-04,752
2018-11-05,752
2018-11-06,779
2018-11-07,779
2018-11-08,779
2018-11-09,779
2018-11-10,779
2018-11-11,779
2018-11-12,779
2018-11-13,779
2018-11-14,809
2018-11-15,809
2018-11-16,809
2018-11-17,809
2018-11-18,809
2018-11-19,809
2018-11-20,809
2018-11-21,835
2018-11-22,835
2018-11-23,835
2018-11-24,835
2018-11-25,835
2018-11-26,835
2018-11-27,835
2018-11-28,835
2018-11-29,835
2018-12-01,812
2018-12-02,812
2018-12-03,812
2018-12-04,812
2018-12-05,812
2018-12-07,812
2018-12-09,812
2018-12-10,812
2018-12-11,812
2018-12-12,826
2018-12-13,826
2018-12-14,826
2018-12-15,826
2018-12-16,826
2018-12-17,826
2018-12-18,826
2018-12-19,826
2018-12-20,826
2018-12-21,859
