date_obj,Jade%20dragon%20bolts%20(e) price
2018-01-03,930
2018-01-04,930
2018-01-05,930
2018-01-06,930
2018-01-07,930
2018-01-08,972
2018-01-09,972
2018-01-10,972
2018-01-11,972
2018-01-12,972
2018-01-13,972
2018-01-14,972
2018-01-15,972
2018-01-16,972
2018-01-17,972
2018-01-18,972
2018-01-19,967
2018-01-20,967
2018-01-21,967
2018-01-22,967
2018-01-23,967
2018-01-25,919
2018-01-26,919
2018-01-27,919
2018-01-28,919
2018-01-29,919
2018-01-30,919
2018-01-31,919
2018-02-01,919
2018-02-02,896
2018-02-03,896
2018-02-04,896
2018-02-05,896
2018-02-06,896
2018-02-07,896
2018-02-08,896
2018-02-09,856
2018-02-10,856
2018-02-11,856
2018-02-12,856
2018-02-13,856
2018-02-14,856
2018-02-15,856
2018-02-16,817
2018-02-17,817
2018-02-18,817
2018-02-19,817
2018-02-20,817
2018-02-21,835
2018-02-22,835
2018-02-23,835
2018-02-24,835
2018-02-25,835
2018-02-26,835
2018-02-27,835
2018-02-28,835
2018-03-01,861
2018-03-02,861
2018-03-03,861
2018-03-04,861
2018-03-05,861
2018-03-06,861
2018-03-07,861
2018-03-08,861
2018-03-09,861
2018-03-10,861
2018-03-11,861
2018-03-12,861
2018-03-13,861
2018-03-14,861
2018-03-15,901
2018-03-16,901
2018-03-17,901
2018-03-18,901
2018-03-19,901
2018-03-20,901
2018-03-21,901
2018-03-23,901
2018-03-24,901
2018-03-25,901
2018-03-26,901
2018-03-27,901
2018-03-28,901
2018-03-29,901
2018-03-30,901
2018-03-31,901
2018-04-01,901
2018-04-02,939
2018-04-03,939
2018-04-04,939
2018-04-05,939
2018-04-06,939
2018-04-07,939
2018-04-08,939
2018-04-09,939
2018-04-10,939
2018-04-11,939
2018-04-12,939
2018-04-13,939
2018-04-14,939
2018-04-15,939
2018-04-16,939
2018-04-17,939
2018-04-18,961
2018-04-19,961
2018-04-20,961
2018-04-21,961
2018-04-22,961
2018-04-23,961
2018-04-24,961
2018-04-25,961
2018-04-26,961
2018-04-27,961
2018-04-28,961
2018-04-29,961
2018-04-30,961
2018-05-01,988
2018-05-04,988
2018-05-05,988
2018-05-06,988
2018-05-07,988
2018-05-08,988
2018-05-09,988
2018-05-10,988
2018-05-11,988
2018-05-12,988
2018-05-13,988
2018-05-14,988
2018-05-15,988
2018-05-16,988
2018-05-17,988
2018-05-18,988
2018-05-19,1027
2018-05-20,1027
2018-05-21,1027
2018-05-22,1027
2018-05-23,1027
2018-05-24,1027
2018-05-25,1027
2018-05-26,1027
2018-05-27,1027
2018-05-28,1027
2018-05-29,1027
2018-05-30,1027
2018-05-31,1027
2018-06-01,1027
2018-06-02,1027
2018-06-03,1027
2018-06-04,1027
2018-06-05,1067
2018-06-06,1067
2018-06-07,1067
2018-06-08,1067
2018-06-09,1067
2018-06-10,1067
2018-06-11,1067
2018-06-12,1067
2018-06-13,1067
2018-06-14,1067
2018-06-15,1067
2018-06-16,1067
2018-06-17,1067
2018-06-18,1067
2018-06-19,1067
2018-06-20,1067
2018-06-21,1067
2018-06-22,1067
2018-06-23,1117
2018-06-24,1117
2018-06-25,1117
2018-06-26,1117
2018-06-27,1117
2018-06-28,1117
2018-06-29,1117
2018-06-30,1117
2018-07-01,1117
2018-07-02,1117
2018-07-03,1117
2018-07-04,1117
2018-07-05,1117
2018-07-06,1117
2018-07-07,1117
2018-07-08,1117
2018-07-09,1117
2018-07-10,1117
2018-07-11,1117
2018-07-12,1117
2018-07-13,1117
2018-07-14,1117
2018-07-15,1117
2018-07-16,1117
2018-07-17,1117
2018-07-18,1117
2018-07-19,1117
2018-07-20,1117
2018-07-21,1117
2018-07-22,1117
2018-07-23,1117
2018-07-24,1117
2018-07-25,1117
2018-07-26,1117
2018-07-27,1117
2018-07-28,1117
2018-07-29,1117
2018-07-30,1117
2018-07-31,1163
2018-08-01,1163
2018-08-02,1163
2018-08-03,1163
2018-08-04,1163
2018-08-05,1163
2018-08-06,1163
2018-08-07,1163
2018-08-08,1163
2018-08-09,1163
2018-08-10,1163
2018-08-11,1163
2018-08-12,1163
2018-08-14,1163
2018-08-16,1163
2018-08-17,1163
2018-08-18,1163
2018-08-19,1163
2018-08-20,1172
2018-08-21,1172
2018-08-22,1172
2018-08-23,1172
