date_obj,Jar%20of%20dirt price
2015-03-26,534851
2015-03-27,534851
2015-03-28,510683
2015-03-29,510683
2015-03-30,510683
2015-03-31,510683
2015-04-01,510683
2015-04-02,510683
2015-04-03,510683
2015-04-04,510683
2015-04-05,510683
2015-04-06,487982
2015-04-07,487982
2015-04-08,487982
2015-04-09,487982
2015-04-10,487982
2015-04-11,487982
2015-04-12,487982
2015-04-13,487982
2015-04-14,487982
2015-04-15,487982
2015-04-16,487982
2015-04-17,465301
2015-04-18,465301
2015-04-19,465301
2015-04-20,465301
2015-04-21,465301
2015-04-22,465301
2015-04-23,465301
2015-04-24,465301
2015-04-25,465301
2015-04-26,465301
2015-04-27,444113
2015-04-28,444113
2015-04-29,444113
2015-04-30,444113
2015-05-01,444113
2015-05-02,444113
2015-05-03,444113
2015-05-04,444113
2015-05-05,444113
2015-05-06,444113
2015-05-07,444113
2015-05-08,423351
2015-05-09,423351
2015-05-10,423351
2015-05-11,423351
2015-05-12,423351
2015-05-13,423351
2015-05-14,423351
2015-05-15,423351
2015-05-16,423351
2015-05-17,423351
2015-05-18,403342
2015-05-19,403342
2015-05-20,403342
2015-05-21,403342
2015-05-22,403342
2015-05-23,403342
2015-05-24,403342
2015-05-25,403342
2015-05-26,403342
2015-05-27,403342
2015-05-28,384923
2015-05-29,384923
2015-05-30,384923
2015-05-31,384923
2015-06-01,384923
2015-06-02,384923
2015-06-03,384923
2015-06-04,384923
2015-06-05,367012
2015-06-06,367012
2015-06-07,367012
2015-06-08,367012
2015-06-09,367012
2015-06-10,367012
2015-06-11,367012
2015-06-12,367012
2015-06-13,350024
2015-06-14,350024
2015-06-15,350024
2015-06-16,350024
2015-06-17,350024
2015-06-18,350024
2015-06-19,350024
2015-06-20,350024
2015-06-21,350024
2015-06-22,333992
2015-06-23,333992
2015-06-24,333992
2015-06-25,333992
2015-06-26,333992
2015-06-27,333992
2015-06-28,333992
2015-06-29,318470
2015-06-30,318470
2015-07-01,318470
2015-07-02,318470
2015-07-03,318470
2015-07-04,318470
2015-07-05,318470
2015-07-06,303542
2015-07-07,303542
2015-07-08,303542
2015-07-09,303542
2015-07-10,303542
2015-07-11,303542
2015-07-12,303542
2015-07-13,289573
2015-07-14,289573
2015-07-15,289573
2015-07-16,289573
2015-07-17,289573
2015-07-18,289573
2015-07-19,289573
2015-07-20,276383
2015-07-21,276383
2015-07-22,276383
2015-07-23,276383
2015-07-24,276383
2015-07-25,276383
2015-07-26,276383
2015-07-27,276383
2015-07-28,276383
2015-07-29,263680
2015-07-30,263680
2015-07-31,263680
2015-08-01,263680
2015-08-02,263680
2015-08-03,263680
2015-08-04,263680
2015-08-05,263680
2015-08-06,251684
2015-08-07,251684
2015-08-08,251684
2015-08-09,251684
2015-08-10,251684
2015-08-11,251684
2015-08-12,240108
2015-08-13,240108
2015-08-14,240108
2015-08-15,240108
2015-08-16,240108
2015-08-17,240108
2015-08-18,229127
2015-08-19,229127
2015-08-20,229127
2015-08-21,229127
2015-08-22,229127
2015-08-23,229127
2015-08-24,218317
2015-08-25,218317
2015-08-26,218317
2015-08-27,218317
2015-08-28,207985
2015-08-29,207985
2015-08-30,207985
2015-08-31,207985
2015-09-01,207985
2015-09-02,207985
2015-09-03,198263
2015-09-04,198263
2015-09-05,198263
2015-09-06,198263
2015-09-07,198263
2015-09-08,198263
2015-09-09,189104
2015-09-10,189104
2015-09-11,189104
2015-09-12,189104
2015-09-13,189104
2015-09-14,189104
2015-09-15,189104
2015-09-16,180264
2015-09-17,180264
2015-09-18,180264
2015-09-19,180264
2015-09-20,180264
2015-09-21,180264
2015-09-22,180264
2015-09-23,171938
2015-09-24,171938
2015-09-25,171938
2015-09-27,171938
2015-09-28,171938
2015-09-29,171938
2015-09-30,171938
2015-10-05,163999
2015-10-06,156078
2015-10-07,156078
2015-10-08,156078
2015-10-09,156078
2015-10-10,156078
2015-10-11,156078
2015-10-12,148733
2015-10-13,148733
2015-10-14,148733
2015-10-15,148733
2015-10-16,148733
2015-10-17,148733
2015-10-18,148733
2015-10-19,141878
2015-10-20,141878
2015-10-22,141878
2015-10-23,141878
2015-10-24,141878
2015-10-25,141878
2015-10-26,135372
2015-10-27,135372
2015-10-29,135372
2015-10-30,135372
2015-10-31,135372
2015-11-01,135372
2015-11-02,135372
2015-11-03,135372
2015-11-04,135372
2015-11-05,135372
2015-11-06,129140
2015-11-07,129140
2015-11-08,129140
2015-11-09,129140
2015-11-10,129140
2015-11-11,129140
2015-11-12,129140
2015-11-13,129140
2015-11-14,129140
2015-11-15,129140
2015-11-16,123383
2015-11-17,123383
2015-11-18,123383
2015-11-19,123383
2015-11-20,123383
2015-11-21,123383
2015-11-22,123383
2015-11-23,123383
2015-11-24,123383
2015-11-25,123383
2015-11-26,123383
2015-11-27,117690
2015-11-28,117690
2015-11-29,117690
2015-11-30,117690
2015-12-01,117690
2015-12-02,117690
2015-12-03,117690
2015-12-04,117690
2015-12-05,117690
2015-12-06,112260
2015-12-07,112260
2015-12-08,112260
2015-12-09,112260
2015-12-10,112260
2015-12-11,112260
2015-12-12,112260
2015-12-13,112260
2015-12-14,112260
2015-12-15,107034
2015-12-16,107034
2015-12-17,107034
2015-12-18,107034
2015-12-19,107034
2015-12-20,107034
2015-12-21,107034
2015-12-22,107034
2015-12-23,107034
2015-12-24,102239
2015-12-25,102239
2015-12-26,102239
2015-12-27,102239
2015-12-28,102239
2015-12-29,102239
2015-12-30,102239
2015-12-31,102239
2016-01-01,97606
2016-01-02,97606
2016-01-03,97606
2016-01-04,97606
2016-01-05,97606
2016-01-06,97606
2016-01-07,97606
2016-01-08,93098
2016-01-09,93098
2016-01-10,93098
2016-01-11,93098
2016-01-12,93098
2016-01-13,93098
2016-01-14,93098
2016-01-15,93098
2016-01-16,88993
2016-01-17,88993
2016-01-18,88993
2016-01-19,88993
2016-01-20,88993
2016-01-21,88993
2016-01-22,88993
2016-01-23,88993
2016-01-24,85058
2016-01-25,85058
2016-01-26,85058
2016-01-27,85058
2016-01-28,85058
2016-01-29,85058
2016-01-30,85058
2016-01-31,81095
2016-02-01,81095
2016-02-02,81095
2016-02-03,81095
2016-02-04,81095
2016-02-05,81095
2016-02-06,81095
2016-02-07,77304
2016-02-08,77304
2016-02-09,77304
2016-02-10,77304
2016-02-11,77304
2016-02-12,77304
2016-02-13,77304
2016-02-14,73869
2016-02-15,73869
2016-02-16,73869
2016-02-17,73869
2016-02-18,73869
2016-02-19,73869
2016-02-20,73869
2016-02-21,73869
2016-02-22,70366
2016-02-23,70366
2016-02-24,70366
2016-02-25,70366
2016-02-26,70366
2016-02-27,70366
2016-02-28,70366
2016-02-29,67091
2016-03-01,67091
2016-03-02,67091
2016-03-03,67091
2016-03-04,67091
2016-03-05,67091
2016-03-06,67091
2016-03-07,67091
2016-03-08,64862
2016-03-09,64862
2016-03-10,64862
2016-03-11,64862
2016-03-12,64862
2016-03-13,64862
2016-03-14,64862
2016-03-15,64862
2016-03-16,64862
2016-03-17,62018
2016-03-18,62018
2016-03-19,62018
2016-03-20,62018
2016-03-21,62018
2016-03-22,62018
2016-03-23,62018
2016-03-24,62018
2016-03-25,62018
2016-03-26,59077
2016-03-27,59077
2016-03-28,59077
2016-03-29,59077
2016-03-30,59077
2016-03-31,59077
2016-04-01,59077
2016-04-02,59077
2016-04-03,59077
2016-04-04,56477
2016-04-05,56477
2016-04-06,56477
2016-04-07,56477
2016-04-08,56477
2016-04-09,56477
2016-04-10,56477
2016-04-11,56477
2016-04-12,56477
2016-04-13,56477
2016-04-14,53801
2016-04-15,53801
2016-04-16,53801
2016-04-17,53801
2016-04-18,53801
2016-04-19,53801
2016-04-20,53801
2016-04-21,53801
2016-04-22,51349
2016-04-23,51349
2016-04-24,51349
2016-04-25,51349
2016-04-26,51349
2016-04-27,51349
2016-04-28,51349
2016-04-29,48967
2016-04-30,48967
2016-05-01,48967
2016-05-02,48967
2016-05-03,48967
2016-05-04,48967
2016-05-05,47178
2016-05-06,47178
2016-05-07,47178
2016-05-08,47178
2016-05-09,47178
2016-05-10,47178
2016-05-11,47178
2016-05-12,47178
2016-05-13,45886
2016-05-14,45886
2016-05-15,45886
2016-05-16,45886
2016-05-17,45886
2016-05-18,45886
2016-05-19,45886
2016-05-22,44250
2016-05-23,44250
2016-05-24,44250
2016-05-25,44250
2016-05-26,44250
2016-05-27,44250
2016-05-28,44250
2016-05-29,42316
2016-05-30,42316
2016-05-31,42316
2016-06-01,42316
2016-06-02,42316
2016-06-03,42316
2016-06-04,42316
2016-06-05,42316
2016-06-06,42316
2016-06-07,40383
2016-06-08,40383
2016-06-09,40383
2016-06-10,40383
2016-06-11,40383
2016-06-12,40383
2016-06-13,40383
2016-06-14,38773
2016-06-15,38773
2016-06-16,38773
2016-06-17,38559
2016-06-18,38559
2016-06-19,38559
2016-06-20,38559
2016-06-21,38559
2016-06-22,39492
2016-06-23,39492
2016-06-24,39492
2016-06-25,39492
2016-06-26,39492
2016-06-27,39492
2016-06-28,39492
2016-06-29,38486
2016-06-30,38486
2016-07-01,38486
2016-07-02,38486
2016-07-03,38486
2016-07-04,38486
2016-07-05,38486
2016-07-06,37306
2016-07-07,37306
2016-07-08,37306
2016-07-09,37306
2016-07-10,37306
2016-07-11,37306
2016-07-12,37306
2016-07-13,38002
2016-07-14,38002
2016-07-15,39645
2016-07-16,39645
2016-07-17,39645
2016-07-18,39645
2016-07-23,41564
2016-07-24,41564
2016-07-25,41564
2016-07-26,41564
2016-07-27,41564
2016-07-28,41564
2016-07-29,43617
2016-07-30,43617
2016-07-31,43617
2016-08-01,43617
2016-08-02,43617
2016-08-03,43617
2016-08-04,45756
2016-08-05,45756
2016-08-06,45756
2016-08-07,45756
2016-08-08,45756
2016-08-09,45756
2016-08-10,48019
2016-08-11,48019
2016-08-12,48019
2016-08-13,48019
2016-08-14,48019
2016-08-15,48019
2016-08-16,48019
2016-08-17,48019
2016-08-18,50352
2016-08-19,50352
2016-08-20,50352
2016-08-21,50352
2016-08-22,50352
2016-08-23,50352
2016-08-24,50569
2016-08-25,48541
2016-08-26,48541
2016-08-28,46278
2016-08-31,46278
2016-09-01,44151
2016-09-02,44151
2016-09-03,44151
2016-09-04,44151
2016-09-05,44151
2016-09-06,42123
2016-09-07,42123
2016-09-08,42123
2016-09-09,42123
2016-09-10,42123
