date_obj,Jar%20of%20eyes price
2019-07-04,610000
2019-07-04,610000
2019-07-04,634813
2019-07-05,634813
2019-07-06,662874
2019-07-07,662874
2019-07-08,662874
2019-07-09,662874
2019-07-10,693350
2019-07-11,693350
2019-07-12,693350
2019-07-13,693350
2019-07-14,693350
2019-07-15,693350
2019-07-16,693350
2019-07-17,702805
2019-07-18,702805
2019-07-19,702805
2019-07-20,702805
2019-07-21,702805
2019-07-22,702805
2019-07-23,702805
2019-07-24,702805
2019-07-25,702805
2019-07-26,702805
2019-07-27,713254
2019-07-28,713254
2019-07-29,713254
2019-07-30,713254
2019-07-31,713254
2019-08-01,713254
2019-08-02,713254
2019-08-03,713254
2019-08-04,713254
2019-08-05,713254
2019-08-06,713254
2019-08-07,739745
2019-08-08,739745
2019-08-09,739745
2019-08-10,739745
2019-08-11,739745
2019-08-12,739745
2019-08-13,739745
2019-08-14,739745
2019-08-15,739745
2019-08-16,739745
2019-08-17,739745
2019-08-18,739745
2019-08-19,774123
2019-08-20,774123
2019-08-21,774123
2019-08-22,774123
2019-08-23,774123
2019-08-24,774123
2019-08-24,774123
2019-08-25,774123
2019-08-25,774123
2019-08-26,809839
2019-08-26,809839
2019-08-27,809839
2019-08-27,809839
2019-08-28,809839
2019-08-29,809839
2019-08-30,809839
2019-08-31,809839
2019-09-01,809839
2019-09-02,809839
2019-09-03,809839
2019-09-04,809839
2019-09-05,846299
2019-09-06,846299
2019-09-07,846299
2019-09-08,846299
2019-09-09,846299
2019-09-10,846299
2019-09-11,846299
2019-09-12,846299
2019-09-13,846299
2019-09-14,846299
2019-09-15,878216
2019-09-16,878216
2019-09-17,878216
2019-09-18,878216
2019-09-19,878216
2019-09-20,878216
2019-09-21,878216
2019-09-22,878216
2019-09-23,878216
2019-09-24,878216
2019-09-25,878216
2019-09-26,917219
2019-09-27,917219
2019-09-28,917219
2019-09-29,917219
2019-09-30,917219
2019-10-01,917219
2019-10-02,917219
2019-10-03,917219
2019-10-04,917219
2019-10-05,917219
2019-10-06,917219
2019-10-07,917219
2019-10-08,917219
2019-10-09,917219
2019-10-10,917219
2019-10-11,928009
2019-10-12,928009
2019-10-13,928009
2019-10-14,928009
2019-10-15,928009
2019-10-16,928009
2019-10-17,928009
2019-10-18,928009
2019-10-19,928009
2019-10-20,928009
2019-10-21,928009
2019-10-22,928009
2019-10-23,928009
2019-10-24,928009
2019-10-25,928009
2019-10-26,930052
2019-10-27,930052
2019-10-28,930052
2019-10-29,930052
2019-10-30,930052
2019-10-31,930052
2019-11-01,930052
2019-11-02,930052
2019-11-03,930052
2019-11-04,930052
2019-11-05,930052
2019-11-06,930052
2019-11-07,930052
2019-11-08,930052
2019-11-09,930052
2019-11-10,969337
2019-11-11,969337
2019-11-12,969337
2019-11-13,969337
2019-11-14,969337
2019-11-15,969337
2019-11-16,969337
2019-11-17,969337
2019-11-18,969337
2019-11-19,969337
2019-11-20,969337
2019-11-21,969337
2019-11-22,969337
2019-11-23,969337
2019-11-24,1013142
2019-11-25,1013142
2019-11-26,1013142
2019-11-27,1013142
2019-11-28,1013142
2019-11-29,1013142
2019-11-30,1013142
2019-12-01,1013142
2019-12-02,1013142
2019-12-03,1013142
2019-12-04,1013142
2019-12-05,1013142
2019-12-06,1013142
2019-12-07,1013142
