date_obj,Katana price
2015-03-26,671000
2015-03-27,671000
2015-03-28,656952
2015-03-29,651246
2015-03-30,649054
2015-03-31,652210
2015-04-01,652210
2015-04-02,658421
2015-04-03,658421
2015-04-04,665555
2015-04-05,665555
2015-04-06,660220
2015-04-07,663563
2015-04-08,663563
2015-04-09,676509
2015-04-10,695101
2015-04-11,718183
2015-04-12,738364
2015-04-13,746828
2015-04-14,746828
2015-04-15,732253
2015-04-16,732253
2015-04-17,710070
2015-04-18,698957
2015-04-19,720504
2015-04-20,720504
2015-04-21,756497
2015-04-22,756497
2015-04-23,732798
2015-04-24,708980
2015-04-25,697599
2015-04-26,710910
2015-04-27,736850
2015-04-28,756439
2015-04-29,756439
2015-04-30,733801
2015-05-01,711362
2015-05-02,686304
2015-05-03,686304
2015-05-04,662761
2015-05-05,646995
2015-05-06,616276
2015-05-07,592626
2015-05-08,567561
2015-05-09,543011
2015-05-10,523855
2015-05-11,523855
2015-05-12,508114
2015-05-13,486896
2015-05-14,472145
2015-05-15,459122
2015-05-16,457643
2015-05-17,444745
2015-05-18,432666
2015-05-19,421542
2015-05-20,421542
2015-05-21,407120
2015-05-22,394172
2015-05-23,388976
2015-05-24,388817
2015-05-25,400910
2015-05-26,408465
2015-05-27,397017
2015-05-28,387734
2015-05-29,378922
2015-05-30,387471
2015-05-31,404111
2015-06-01,423718
2015-06-02,423718
2015-06-03,442087
2015-06-04,448743
2015-06-05,450608
2015-06-06,451472
2015-06-07,460271
2015-06-08,468276
2015-06-09,483215
2015-06-10,490484
2015-06-11,490484
2015-06-12,480552
2015-06-13,472242
2015-06-14,471751
2015-06-15,480084
2015-06-16,473554
2015-06-17,476532
2015-06-18,479377
2015-06-19,485070
2015-06-20,485400
2015-06-21,485400
2015-06-22,493345
2015-06-23,503210
2015-06-24,505972
2015-06-25,505972
2015-06-26,492760
2015-06-27,492760
2015-06-28,482115
2015-06-29,474561
2015-06-30,473169
2015-07-01,479901
2015-07-02,479901
2015-07-03,488712
2015-07-04,486909
2015-07-05,489175
2015-07-06,493536
2015-07-07,492200
2015-07-08,496816
2015-07-09,496816
2015-07-10,494911
2015-07-11,501942
2015-07-12,510140
2015-07-13,533161
2015-07-14,559766
2015-07-15,584861
2015-07-16,613339
2015-07-17,642657
2015-07-18,665878
2015-07-19,699172
2015-07-20,729910
2015-07-21,710242
2015-07-22,693401
2015-07-23,693401
2015-07-24,675757
2015-07-25,659422
2015-07-26,651798
2015-07-27,628655
2015-07-28,607699
2015-07-29,586491
2015-07-30,570175
2015-07-31,566465
2015-08-01,555536
2015-08-02,531496
2015-08-03,514782
2015-08-04,511825
2015-08-05,507565
2015-08-06,507842
2015-08-07,524280
2015-08-08,525626
2015-08-09,542117
2015-08-10,558345
2015-08-11,557240
2015-08-12,543652
2015-08-13,540913
2015-08-14,550498
2015-08-15,547775
2015-08-16,558709
2015-08-17,561457
2015-08-18,554662
2015-08-19,548184
2015-08-20,555805
2015-08-21,544609
2015-08-22,536608
2015-08-23,533994
2015-08-24,535681
2015-08-25,535681
2015-08-26,536984
2015-08-27,535604
2015-08-28,535207
2015-08-29,527794
2015-08-30,521428
2015-08-31,503007
2015-09-01,485834
2015-09-02,498246
2015-09-03,516210
2015-09-04,529634
2015-09-05,529634
2015-09-06,527904
2015-09-07,521930
2015-09-08,517992
2015-09-09,518786
2015-09-10,517195
2015-09-11,525262
2015-09-12,548223
2015-09-13,575635
2015-09-14,601413
2015-09-15,631484
2015-09-16,658847
2015-09-17,691024
2015-09-18,710990
2015-09-19,723957
2015-09-20,702548
2015-09-21,681808
2015-09-22,654970
2015-09-23,626497
2015-09-24,626497
2015-09-25,602544
2015-09-27,593544
2015-09-28,583184
2015-09-29,570995
2015-09-30,568264
2015-10-05,583210
2015-10-06,557925
2015-10-07,539472
2015-10-08,524664
2015-10-09,513706
2015-10-10,513706
2015-10-11,507033
2015-10-12,514897
2015-10-13,514897
2015-10-14,540472
2015-10-15,537624
2015-10-16,529035
2015-10-17,529035
2015-10-18,547411
2015-10-19,570591
2015-10-20,585805
2015-10-22,602353
2015-10-23,602382
2015-10-24,599959
2015-10-25,603036
2015-10-26,600463
2015-10-27,628222
2015-10-29,689770
2015-10-30,712437
2015-10-31,690439
2015-11-01,690439
2015-11-02,661265
2015-11-03,638917
2015-11-04,612317
2015-11-05,598930
2015-11-06,598930
2015-11-07,583151
2015-11-08,583151
2015-11-09,588302
2015-11-10,588302
2015-11-11,581195
2015-11-12,580212
2015-11-13,580212
2015-11-14,575563
2015-11-15,582856
