date_obj,Large%20orrery%20(flatpack) price
2015-08-31,9500
2015-06-20,9500
2015-08-09,9500
2015-03-28,9500
2015-07-16,9500
2015-05-27,9500
2015-04-29,9500
2015-05-18,9500
2015-07-08,9500
2015-06-29,9500
2015-06-01,9500
2015-04-07,9500
2015-03-29,9500
2015-08-07,9500
2015-07-01,9500
2015-08-12,9500
2015-05-23,9500
2015-08-03,9500
2015-07-25,9500
2015-03-10,9500
2015-08-27,9500
2015-06-19,9500
2015-06-28,9500
2015-07-05,9500
2015-08-04,9500
2015-08-13,9500
2015-07-22,9500
2015-07-02,9500
2015-05-15,9500
2015-06-25,9500
2015-07-26,9500
2015-06-04,9500
2015-04-13,9500
2015-04-02,9500
2015-04-23,9500
2015-08-15,9500
2015-03-05,9500
2015-03-13,9500
2015-08-22,9500
2015-04-05,9500
2015-04-15,9500
2015-05-22,9500
2015-08-19,9500
2015-07-07,9500
2015-08-08,9500
2015-06-27,9500
2015-03-26,9500
2015-08-26,9500
2015-05-25,9500
2015-07-19,9500
2015-08-11,9500
2015-03-09,9500
2015-05-31,9500
2015-05-29,9500
2015-05-07,9500
2015-08-29,9500
2015-05-30,9500
2015-07-18,9500
2015-04-28,9500
2015-08-10,9500
2015-07-09,9500
2015-05-19,9500
2015-06-08,9500
2015-03-22,9500
2015-03-31,9500
2015-03-21,9500
2015-03-30,9500
2015-06-11,9500
2015-04-27,9500
2015-06-22,9500
2015-08-24,9500
2015-05-20,9500
2015-07-31,9500
2015-05-17,9500
2015-04-10,9500
2015-04-01,9500
2015-04-03,9500
2015-05-06,9500
2015-03-25,9500
2015-03-23,9500
2015-08-23,9500
2015-04-21,9500
2015-04-22,9500
2015-05-28,9500
2015-03-20,9500
2015-04-14,9500
2015-08-18,9500
2015-05-05,9500
2015-06-17,9500
2015-06-07,9500
2015-07-20,9500
2015-08-25,9500
2015-04-26,9500
2015-05-26,9500
2015-07-30,9500
2015-05-16,9500
2015-04-30,9500
2015-05-10,9500
2015-06-18,9500
2015-05-09,9500
2015-07-11,9500
2015-06-10,9500
2015-04-08,9500
2015-04-17,9500
2015-03-06,9500
2015-03-15,9500
2015-08-30,9500
2015-03-12,9500
2015-04-20,9500
2015-07-27,9500
