date_obj,Larupia%20hat price
2015-03-26,22109
2015-03-27,22109
2015-03-28,21003
2015-03-29,21003
2015-03-30,21003
2015-03-31,19952
2015-04-01,19952
2015-04-02,19952
2015-04-03,18966
2015-04-04,18966
2015-04-05,18966
2015-04-06,18017
2015-04-07,18017
2015-04-08,18017
2015-04-09,18017
2015-04-10,17116
2015-04-11,17116
2015-04-12,17116
2015-04-13,16271
2015-04-14,16271
2015-04-15,16271
2015-04-16,16271
2015-04-17,15457
2015-04-18,15457
2015-04-19,15457
2015-04-20,15457
2015-04-21,14686
2015-04-22,14686
2015-04-23,14686
2015-04-24,14686
2015-04-25,13951
2015-04-26,13951
2015-04-27,13951
2015-04-28,13263
2015-04-29,13263
2015-04-30,13263
2015-05-01,13263
2015-05-02,12599
2015-05-03,12599
2015-05-04,12599
2015-05-05,12599
2015-05-06,12008
2015-05-07,12008
2015-05-08,12008
2015-05-09,12008
2015-05-10,11407
2015-05-11,11407
2015-05-12,11407
2015-05-13,11407
2015-05-14,10846
2015-05-15,10846
2015-05-16,10846
2015-05-17,10846
2015-05-18,10316
2015-05-19,10316
2015-05-20,10316
2015-05-21,10316
2015-05-22,10316
2015-05-23,9817
2015-05-24,9817
2015-05-25,9817
2015-05-26,9817
2015-05-27,9345
2015-05-28,9345
2015-05-29,9345
2015-05-30,8897
2015-05-31,8897
2015-06-01,8897
2015-06-02,8549
2015-06-03,8549
2015-06-04,8549
2015-06-05,8206
2015-06-06,8206
2015-06-07,8206
2015-06-08,8052
2015-06-09,8052
2015-06-10,8052
2015-06-11,8010
2015-06-12,8010
2015-06-13,8010
2015-06-14,7886
2015-06-15,7886
2015-06-16,7886
2015-06-17,7693
2015-06-18,7693
2015-06-19,7693
2015-06-20,7317
2015-06-21,7317
2015-06-22,7317
2015-06-23,6963
2015-06-24,6963
2015-06-25,6963
2015-06-26,6791
2015-06-27,6791
2015-06-28,6791
2015-06-29,6791
2015-06-30,6479
2015-07-01,6479
2015-07-02,6479
2015-07-03,6479
2015-07-04,6158
2015-07-05,6158
2015-07-06,6158
2015-07-07,6158
2015-07-08,5850
2015-07-09,5850
2015-07-10,5850
2015-07-11,5850
2015-07-12,5565
2015-07-13,5565
2015-07-14,5565
2015-07-15,5327
2015-07-16,5327
2015-07-17,5327
2015-07-18,5327
2015-07-19,5131
2015-07-20,5131
2015-07-21,5131
2015-07-22,5010
2015-07-23,5010
2015-07-24,5010
2015-07-25,5010
2015-07-26,4832
2015-07-27,4832
2015-07-28,4832
2015-07-29,4594
2015-07-30,4594
2015-07-31,4594
2015-08-01,4594
2015-08-02,4392
2015-08-03,4392
2015-08-04,4392
2015-08-05,4392
2015-08-06,4329
2015-08-07,4329
2015-08-08,4329
2015-08-09,4220
2015-08-10,4220
2015-08-11,4220
2015-08-12,4220
2015-08-13,4360
2015-08-14,4360
2015-08-15,4360
2015-08-16,4465
2015-08-17,4465
2015-08-18,4465
2015-08-19,4454
2015-08-20,4454
2015-08-21,4454
2015-08-22,4454
2015-08-23,4235
2015-08-24,4235
2015-08-25,4235
2015-08-26,4235
2015-08-27,4068
2015-08-28,4068
2015-08-29,4068
2015-08-30,4068
2015-08-31,3925
2015-09-01,3925
2015-09-02,3925
2015-09-03,3925
2015-09-04,3860
2015-09-05,3860
2015-09-06,3860
2015-09-07,3860
2015-09-08,3765
2015-09-09,3765
2015-09-10,3765
2015-09-11,3765
2015-09-12,3704
2015-09-13,3704
2015-09-14,3704
2015-09-15,3700
2015-09-16,3700
