date_obj,Lava%20dragon%20bones price
2015-03-26,3071
2015-03-27,3071
2015-03-28,3093
2015-03-29,3138
2015-03-30,3138
2015-03-31,3225
2015-04-01,3225
2015-04-02,3271
2015-04-03,3418
2015-04-04,3464
2015-04-05,3464
2015-04-06,3406
2015-04-07,3406
2015-04-08,3405
2015-04-09,3405
2015-04-10,3460
2015-04-11,3561
2015-04-12,3561
2015-04-13,3643
2015-04-14,3643
2015-04-15,3715
2015-04-16,3715
2015-04-17,3733
2015-04-18,3733
2015-04-19,3654
2015-04-20,3654
2015-04-21,3615
2015-04-22,3615
2015-04-23,3510
2015-04-24,3510
2015-04-25,3566
2015-04-26,3566
2015-04-27,3699
2015-04-28,3680
2015-04-29,3680
2015-04-30,3814
2015-05-01,3811
2015-05-02,3851
2015-05-03,3851
2015-05-04,3927
2015-05-05,3927
2015-05-06,3988
2015-05-07,3988
2015-05-08,3881
2015-05-09,3881
2015-05-10,3955
2015-05-11,3955
2015-05-12,3885
2015-05-13,3885
2015-05-14,3783
2015-05-15,3783
2015-05-16,3828
2015-05-17,3905
2015-05-18,3905
2015-05-19,3970
2015-05-20,3970
2015-05-21,3970
2015-05-22,3830
2015-05-23,3830
2015-05-24,3788
2015-05-25,3906
2015-05-26,3906
2015-05-27,4015
2015-05-28,4002
2015-05-29,4074
2015-05-30,3956
2015-05-31,3956
2015-06-01,3907
2015-06-02,3907
2015-06-03,3928
2015-06-04,3928
2015-06-05,3877
2015-06-06,3790
2015-06-07,3838
2015-06-08,3838
2015-06-09,3824
2015-06-10,3839
2015-06-11,3839
2015-06-12,3987
2015-06-13,3993
2015-06-14,4119
2015-06-15,4225
2015-06-16,4123
2015-06-17,4123
2015-06-18,3990
2015-06-19,3990
2015-06-20,4023
2015-06-21,4023
2015-06-22,4119
2015-06-23,4119
2015-06-24,3987
2015-06-25,3987
2015-06-26,3788
2015-06-27,3788
2015-06-28,3636
2015-06-29,3636
2015-06-30,3759
2015-07-01,3819
2015-07-02,3819
2015-07-03,3841
2015-07-04,3803
2015-07-05,3803
2015-07-06,3907
2015-07-07,3932
2015-07-08,3813
2015-07-09,3813
2015-07-10,3992
2015-07-11,3992
2015-07-12,4044
2015-07-13,4188
2015-07-14,4098
2015-07-15,4127
2015-07-16,4127
2015-07-17,4230
2015-07-18,4230
2015-07-19,4084
2015-07-20,3880
2015-07-21,3880
2015-07-22,3854
2015-07-23,3854
2015-07-24,3951
2015-07-25,3951
2015-07-26,4060
2015-07-27,4060
2015-07-28,4215
2015-07-29,4137
2015-07-30,4137
2015-07-31,3953
2015-08-01,4104
2015-08-02,4256
2015-08-03,4256
2015-08-04,4229
2015-08-05,4250
2015-08-06,4371
2015-08-07,4371
2015-08-08,4363
2015-08-09,4147
2015-08-10,4178
2015-08-11,4276
2015-08-12,4276
2015-08-13,4397
2015-08-14,4411
2015-08-15,4411
2015-08-16,4195
2015-08-17,4138
2015-08-18,4138
2015-08-19,4211
2015-08-20,4211
2015-08-21,4247
2015-08-22,4285
2015-08-23,4285
2015-08-24,4398
2015-08-25,4398
2015-08-26,4380
2015-08-27,4166
2015-08-28,4166
2015-08-29,4198
2015-08-30,4198
2015-08-31,4306
2015-09-01,4203
2015-09-02,4203
2015-09-03,4162
2015-09-04,4220
2015-09-05,4220
2015-09-06,4431
2015-09-07,4431
2015-09-08,4516
2015-09-09,4342
2015-09-10,4312
2015-09-11,4329
2015-09-12,4502
2015-09-13,4585
2015-09-14,4585
2015-09-15,4617
2015-09-16,4617
2015-09-17,4719
2015-09-18,4719
2015-09-19,4807
2015-09-20,4807
2015-09-21,4932
2015-09-22,4892
2015-09-23,4649
2015-09-24,4649
2015-09-25,4416
2015-09-27,4450
2015-09-28,4385
2015-09-29,4385
2015-09-30,4467
2015-10-05,4408
2015-10-06,4422
2015-10-07,4422
2015-10-08,4215
2015-10-09,4289
2015-10-10,4289
2015-10-11,4336
2015-10-12,4343
2015-10-13,4343
2015-10-14,4389
2015-10-15,4404
2015-10-16,4350
2015-10-17,4350
2015-10-18,4488
2015-10-19,4562
2015-10-20,4517
2015-10-22,4549
2015-10-23,4633
2015-10-24,4633
2015-10-25,4626
2015-10-26,4714
2015-10-27,4714
2015-10-29,4487
2015-10-30,4486
2015-10-31,4670
2015-11-01,4670
2015-11-02,4832
2015-11-03,4832
2015-11-04,4828
2015-11-05,4828
2015-11-06,4878
2015-11-07,4878
2015-11-08,4955
2015-11-09,4955
2015-11-10,4955
2015-11-11,5102
2015-11-12,5102
2015-11-13,5102
2015-11-14,5143
2015-11-15,5143
2015-11-16,5192
2015-11-17,5192
2015-11-18,5427
2015-11-19,5427
2015-11-20,5663
2015-11-21,5663
2015-11-22,5768
2015-11-23,5768
2015-11-24,5742
2015-11-25,5475
2015-11-26,5475
2015-11-27,5367
2015-11-28,5367
2015-11-29,5218
2015-11-30,5218
2015-12-01,5095
2015-12-02,5095
2015-12-03,5181
2015-12-04,5181
2015-12-05,5373
2015-12-06,5373
2015-12-07,5638
2015-12-08,5638
2015-12-09,5773
2015-12-10,5773
2015-12-11,5958
2015-12-12,5958
2015-12-13,5854
2015-12-14,5854
2015-12-15,5699
2015-12-16,5699
2015-12-17,5714
2015-12-18,5474
2015-12-19,5474
2015-12-20,5218
2015-12-21,5218
2015-12-22,5054
2015-12-23,4868
2015-12-24,4868
2015-12-25,5054
2015-12-26,5054
2015-12-27,4865
2015-12-28,4865
2015-12-29,4685
2015-12-30,4668
2015-12-31,4668
2016-01-01,4902
2016-01-02,4902
2016-01-03,4910
2016-01-04,4759
2016-01-05,4759
2016-01-06,4681
2016-01-07,4681
2016-01-08,4476
2016-01-09,4476
2016-01-10,4684
2016-01-11,4684
2016-01-12,4871
2016-01-13,4871
2016-01-14,4880
2016-01-15,4731
2016-01-16,4878
2016-01-17,4878
2016-01-18,4979
2016-01-19,4979
2016-01-20,4929
2016-01-21,4929
2016-01-22,4803
2016-01-23,4803
2016-01-24,4928
2016-01-25,4796
2016-01-26,4796
2016-01-27,4599
2016-01-28,4599
2016-01-29,4762
2016-01-30,4762
2016-01-31,4964
2016-02-01,4869
2016-02-02,4869
2016-02-03,5040
2016-02-04,5040
2016-02-05,4846
2016-02-06,4921
2016-02-07,4921
2016-02-08,5083
2016-02-09,5083
2016-02-10,4916
2016-02-11,4916
2016-02-12,4997
2016-02-13,4989
2016-02-14,4989
2016-02-15,5073
2016-02-16,5073
2016-02-17,5084
2016-02-18,5084
2016-02-19,5005
2016-02-20,5005
2016-02-21,5229
2016-02-22,5229
2016-02-23,5491
2016-02-24,5491
2016-02-25,5763
2016-02-26,5763
2016-02-27,5768
2016-02-28,5768
2016-02-29,5479
2016-03-01,5347
2016-03-02,5347
2016-03-03,5264
2016-03-04,5264
2016-03-05,5119
2016-03-06,4969
2016-03-07,4969
2016-03-08,5038
2016-03-09,5101
2016-03-10,4944
2016-03-11,4944
2016-03-12,4994
2016-03-13,4994
2016-03-14,4787
2016-03-15,4777
2016-03-16,5012
2016-03-17,5012
2016-03-18,5244
2016-03-19,5244
2016-03-20,5108
2016-03-21,5108
2016-03-22,5030
2016-03-23,5106
2016-03-24,5074
2016-03-25,5080
2016-03-26,4990
2016-03-27,5083
2016-03-28,5183
2016-03-29,5039
2016-03-30,5039
2016-03-31,5119
2016-04-01,5117
2016-04-02,5112
2016-04-03,5098
2016-04-04,4999
2016-04-05,4988
2016-04-06,5164
2016-04-07,5164
2016-04-08,5333
2016-04-09,5400
2016-04-10,5346
2016-04-11,5346
2016-04-12,5311
2016-04-13,5357
2016-04-14,5491
2016-04-15,5573
2016-04-16,5634
2016-04-17,5536
2016-04-18,5309
2016-04-19,5181
2016-04-20,5055
2016-04-21,4871
2016-04-22,4871
2016-04-23,4832
2016-04-24,4884
2016-04-25,4956
2016-04-26,5115
2016-04-27,4965
2016-04-28,4979
2016-04-29,4979
2016-04-30,4925
2016-05-01,4970
2016-05-02,4953
2016-05-03,5062
2016-05-04,5128
2016-05-05,5072
2016-05-06,5072
2016-05-07,5037
2016-05-08,5037
2016-05-09,4904
2016-05-10,4824
2016-05-11,4824
2016-05-12,4731
2016-05-13,4828
2016-05-14,4813
2016-05-15,4781
2016-05-16,4781
2016-05-17,4841
2016-05-18,4779
2016-05-19,4779
2016-05-22,4942
2016-05-23,5009
