date_obj,Leather%20body%20(g) price
2019-04-11,40000
2019-04-11,42000
2019-04-12,44100
2019-04-13,46305
2019-04-14,48621
2019-04-15,580000
2019-04-16,580000
2019-04-17,576130
2019-04-18,568538
2019-04-19,556933
2019-04-20,543929
2019-04-21,524451
2019-04-22,499711
2019-04-23,478424
2019-04-24,454602
2019-04-25,432708
2019-04-26,411102
2019-04-27,394613
2019-04-28,380038
2019-04-29,371906
2019-04-30,372693
2019-05-01,370028
2019-05-02,365882
2019-05-03,365327
2019-05-04,365848
2019-05-05,382894
2019-05-06,387288
2019-05-07,391639
2019-05-08,393846
2019-05-09,392279
2019-05-10,394948
2019-05-11,395956
2019-05-12,394732
2019-05-13,398066
2019-05-14,401100
2019-05-15,414496
2019-05-16,421339
2019-05-17,423890
2019-05-18,433020
2019-05-19,445831
2019-05-20,455593
2019-05-21,472292
2019-05-22,490031
2019-05-23,507328
2019-05-24,522496
2019-05-25,530729
2019-05-26,532931
2019-05-27,545660
2019-05-28,553357
2019-05-29,547783
2019-05-30,539957
2019-05-31,534914
2019-06-01,525285
2019-06-02,527707
2019-06-03,534066
2019-06-04,534541
2019-06-05,534931
2019-06-06,530434
2019-06-07,520316
2019-06-08,509541
2019-06-09,498389
2019-06-10,498389
2019-06-11,483605
2019-06-12,468696
2019-06-13,459248
2019-06-14,451923
2019-06-15,451923
2019-06-16,442941
2019-06-17,439050
2019-06-18,439050
2019-06-19,436365
2019-06-20,423125
2019-06-21,405636
2019-06-22,395128
2019-06-23,389873
2019-06-24,385658
2019-06-25,374690
2019-06-26,370521
2019-06-27,372132
2019-06-28,372132
2019-06-29,377083
2019-06-30,391080
2019-07-01,407016
2019-07-02,421289
2019-07-03,414613
2019-07-04,402780
2019-07-05,397638
2019-07-06,390250
2019-07-07,378293
2019-07-08,366897
2019-07-09,366153
2019-07-10,371608
2019-07-11,378479
2019-07-12,378918
2019-07-13,378918
2019-07-14,379310
2019-07-15,379310
2019-07-16,385504
2019-07-17,383159
2019-07-18,381242
2019-07-19,380578
2019-07-20,383698
2019-07-21,378015
2019-07-22,382868
2019-07-23,388793
