date_obj,Lemon price
2015-03-26,6986
2015-03-27,6986
2015-03-28,6986
2015-03-29,6986
2015-03-30,6638
2015-03-31,6638
2015-04-01,6638
2015-04-02,6638
2015-04-03,6638
2015-04-04,6306
2015-04-05,6306
2015-04-06,6306
2015-04-07,6306
2015-04-08,5991
2015-04-09,5991
2015-04-10,5991
2015-04-11,5991
2015-04-12,5691
2015-04-13,5691
2015-04-14,5691
2015-04-15,5691
2015-04-16,5691
2015-04-17,5406
2015-04-18,5406
2015-04-19,5406
2015-04-20,5406
2015-04-21,5406
2015-04-22,5135
2015-04-23,5135
2015-04-24,5135
2015-04-25,5135
2015-04-26,5135
2015-04-27,4878
2015-04-28,4878
2015-04-29,4878
2015-04-30,4878
2015-05-01,4878
2015-05-02,4634
2015-05-03,4634
2015-05-04,4634
2015-05-05,4634
2015-05-06,4634
2015-05-07,4404
2015-05-08,4404
2015-05-09,4404
2015-05-10,4404
2015-05-11,4404
2015-05-12,4183
2015-05-13,4183
2015-05-14,4183
2015-05-15,4183
2015-05-16,4183
2015-05-17,3973
2015-05-18,3973
2015-05-19,3973
2015-05-20,3973
2015-05-21,3973
2015-05-22,3973
2015-05-23,3774
2015-05-24,3774
2015-05-25,3774
2015-05-26,3774
2015-05-27,3585
2015-05-28,3585
2015-05-29,3585
2015-05-30,3585
2015-05-31,3405
2015-06-01,3405
2015-06-02,3405
2015-06-03,3405
2015-06-04,3405
2015-06-05,3234
2015-06-06,3234
2015-06-07,3234
2015-06-08,3234
2015-06-09,3072
2015-06-10,3072
2015-06-11,3072
2015-06-12,3072
2015-06-13,3072
2015-06-14,2918
2015-06-15,2918
2015-06-16,2918
2015-06-17,2918
2015-06-18,2772
2015-06-19,2772
2015-06-20,2772
2015-06-21,2772
2015-06-22,2634
2015-06-23,2634
2015-06-24,2634
2015-06-25,2634
2015-06-26,2502
2015-06-27,2502
2015-06-28,2502
2015-06-29,2502
2015-06-30,2502
2015-07-01,2376
2015-07-02,2376
2015-07-03,2376
2015-07-04,2376
2015-07-05,2376
2015-07-06,2257
2015-07-07,2257
2015-07-08,2257
2015-07-09,2257
2015-07-10,2144
2015-07-11,2144
2015-07-12,2144
2015-07-13,2144
2015-07-14,2144
2015-07-15,2036
2015-07-16,2036
2015-07-17,2036
2015-07-18,2036
2015-07-19,1934
2015-07-20,1934
2015-07-21,1934
2015-07-22,1838
2015-07-23,1838
2015-07-24,1838
2015-07-25,1838
2015-07-26,1838
2015-07-27,1746
2015-07-28,1746
2015-07-29,1746
2015-07-30,1746
2015-07-31,1658
2015-08-01,1658
2015-08-02,1658
2015-08-03,1658
2015-08-04,1575
2015-08-05,1575
2015-08-06,1575
2015-08-07,1575
2015-08-08,1496
2015-08-09,1496
2015-08-10,1496
2015-08-11,1496
2015-08-12,1422
2015-08-13,1422
2015-08-14,1422
2015-08-15,1422
2015-08-16,1422
2015-08-17,1422
2015-08-18,1351
2015-08-19,1351
2015-08-20,1351
2015-08-21,1351
2015-08-22,1351
2015-08-23,1351
2015-08-24,1351
2015-08-25,1283
2015-08-26,1283
2015-08-27,1283
2015-08-28,1283
2015-08-29,1283
2015-08-30,1283
2015-08-31,1283
2015-09-01,1218
2015-09-02,1218
2015-09-03,1218
2015-09-04,1218
2015-09-05,1218
2015-09-06,1218
2015-09-07,1218
2015-09-08,1218
2015-09-09,1157
2015-09-10,1157
2015-09-11,1157
2015-09-12,1157
2015-09-13,1157
2015-09-14,1157
2015-09-15,1157
2015-09-16,1100
2015-09-17,1100
2015-09-18,1100
2015-09-19,1100
2015-09-20,1100
2015-09-21,1100
2015-09-22,1100
2015-09-23,1100
2015-09-24,1047
2015-09-25,1047
2015-09-27,1047
2015-09-28,1047
2015-09-29,1047
2015-09-30,1047
2015-10-05,994
2015-10-06,994
2015-10-07,994
2015-10-08,994
2015-10-09,994
2015-10-10,948
2015-10-11,948
2015-10-12,948
2015-10-13,948
2015-10-14,948
2015-10-15,948
2015-10-16,948
2015-10-17,948
2015-10-18,900
2015-10-19,900
2015-10-20,900
2015-10-22,900
2015-10-23,900
2015-10-24,900
2015-10-25,859
2015-10-26,859
2015-10-27,859
2015-10-29,859
2015-10-30,859
2015-10-31,859
2015-11-01,859
2015-11-02,859
2015-11-03,824
2015-11-04,824
2015-11-05,824
2015-11-06,824
2015-11-07,824
2015-11-08,824
2015-11-09,824
2015-11-10,824
2015-11-11,824
2015-11-12,802
2015-11-13,802
2015-11-14,802
2015-11-15,802
2015-11-16,802
2015-11-17,802
2015-11-18,802
2015-11-19,802
2015-11-20,802
2015-11-21,783
2015-11-22,783
2015-11-23,783
2015-11-24,783
2015-11-25,783
2015-11-26,783
2015-11-27,783
2015-11-28,783
2015-11-29,783
2015-11-30,765
2015-12-01,765
2015-12-02,765
2015-12-03,765
2015-12-04,765
2015-12-05,765
2015-12-06,765
2015-12-07,765
2015-12-08,765
2015-12-09,726
2015-12-10,726
2015-12-11,726
2015-12-12,726
2015-12-13,726
2015-12-14,726
2015-12-15,726
2015-12-16,726
2015-12-17,726
2015-12-18,707
2015-12-19,707
2015-12-20,707
2015-12-21,707
2015-12-22,707
2015-12-23,707
2015-12-24,707
2015-12-25,707
2015-12-26,707
2015-12-27,671
2015-12-28,671
2015-12-29,671
2015-12-30,671
2015-12-31,671
2016-01-01,671
2016-01-02,671
2016-01-03,637
2016-01-04,637
2016-01-05,637
2016-01-06,637
2016-01-07,637
2016-01-08,637
2016-01-09,637
2016-01-10,605
2016-01-11,605
2016-01-12,605
2016-01-13,605
2016-01-14,605
2016-01-15,605
2016-01-16,605
2016-01-17,574
2016-01-18,574
2016-01-19,574
2016-01-20,574
2016-01-21,574
2016-01-22,574
2016-01-23,547
2016-01-24,547
2016-01-25,547
2016-01-26,547
2016-01-27,547
2016-01-28,547
2016-01-29,547
2016-01-30,524
2016-01-31,524
2016-02-01,524
2016-02-02,524
2016-02-03,524
2016-02-04,524
2016-02-05,524
2016-02-06,497
2016-02-07,497
2016-02-08,497
2016-02-09,497
2016-02-10,497
2016-02-11,497
2016-02-12,497
2016-02-13,472
2016-02-14,472
2016-02-15,472
2016-02-16,472
2016-02-17,472
2016-02-18,472
2016-02-19,472
2016-02-20,472
2016-02-21,448
2016-02-22,448
2016-02-23,448
2016-02-24,448
2016-02-25,448
2016-02-26,448
2016-02-27,448
2016-02-28,448
2016-02-29,425
2016-03-01,425
2016-03-02,425
2016-03-03,425
2016-03-04,425
2016-03-05,425
2016-03-06,425
2016-03-07,403
2016-03-08,403
2016-03-09,403
2016-03-10,403
2016-03-11,403
2016-03-12,403
2016-03-13,403
2016-03-14,382
2016-03-15,382
2016-03-16,382
2016-03-17,382
2016-03-18,382
2016-03-19,382
2016-03-20,362
2016-03-21,362
2016-03-22,362
2016-03-23,362
2016-03-24,362
2016-03-25,362
2016-03-26,362
2016-03-27,362
2016-03-28,343
2016-03-29,343
2016-03-30,343
2016-03-31,343
2016-04-01,343
2016-04-02,343
2016-04-03,343
2016-04-04,343
2016-04-05,325
2016-04-06,325
2016-04-07,325
2016-04-08,325
2016-04-09,325
2016-04-10,325
2016-04-11,325
2016-04-12,308
2016-04-13,308
2016-04-14,308
2016-04-15,308
2016-04-16,308
2016-04-17,308
2016-04-18,308
2016-04-19,292
2016-04-20,292
2016-04-21,292
2016-04-22,292
2016-04-23,292
2016-04-24,292
2016-04-25,292
2016-04-26,292
2016-04-27,277
2016-04-28,277
