date_obj,Lesser%20demon%20mask price
2016-07-06,5000000
2016-07-07,5000000
2016-07-08,5000000
2016-07-09,4762762
2016-07-10,4762762
2016-07-11,4762762
2016-07-12,4762762
2016-07-13,4762762
2016-07-14,4529491
2016-07-15,4529491
2016-07-16,4529491
2016-07-17,4529491
2016-07-18,4529491
2016-07-23,4305539
2016-07-24,4305539
2016-07-25,4305539
2016-07-26,4305539
2016-07-27,4091893
2016-07-28,4091893
2016-07-29,4091893
2016-07-30,4091893
2016-07-31,4091893
2016-08-01,4091893
2016-08-02,3892694
2016-08-03,3892694
2016-08-04,3892694
2016-08-05,3892694
2016-08-06,3892694
2016-08-07,3892694
2016-08-08,3892694
2016-08-09,3892694
2016-08-10,3700160
2016-08-11,3700160
2016-08-12,3700160
2016-08-13,3700160
2016-08-14,3700160
2016-08-15,3700160
2016-08-16,3700160
2016-08-17,3700160
2016-08-18,3700160
2016-08-19,3700160
2016-08-20,3518753
2016-08-21,3518753
2016-08-22,3518753
2016-08-23,3518753
2016-08-24,3518753
2016-08-25,3518753
2016-08-26,3518753
2016-08-28,3346991
2016-08-31,3346991
2016-09-01,3346991
2016-09-02,3346991
2016-09-03,3182727
2016-09-04,3182727
2016-09-05,3182727
2016-09-06,3182727
2016-09-07,3182727
2016-09-08,3182727
2016-09-09,3182727
2016-09-10,3182727
2016-09-11,3182727
2016-09-12,3025476
2016-09-13,3025476
2016-09-14,3025476
2016-09-15,3025476
2016-09-16,3025476
2016-09-17,3025476
2016-09-18,3025476
2016-09-19,3025476
2016-09-20,3025476
2016-09-21,2876619
2016-09-22,2876619
2016-09-23,2876619
2016-09-24,2876619
2016-09-25,2876619
2016-09-26,2876619
2016-09-27,2876619
2016-09-28,2735629
2016-09-29,2735629
2016-09-30,2735629
2016-10-01,2735629
2016-10-02,2735629
2016-10-03,2735629
2016-10-04,2735629
2016-10-05,2735629
2016-10-06,2735629
2016-10-07,2599947
2016-10-08,2599947
2016-10-09,2599947
2016-10-10,2599947
2016-10-11,2599947
2016-10-12,2599947
2016-10-13,2599947
2016-10-14,2599947
2016-10-15,2470919
2016-10-16,2470919
2016-10-17,2470919
2016-10-18,2470919
2016-10-19,2470919
2016-10-20,2470919
2016-10-21,2470919
2016-10-22,2470919
2016-10-23,2470919
2016-10-24,2470919
2016-10-25,2349237
2016-10-26,2349237
2016-10-27,2349237
2016-10-28,2349237
2016-10-29,2349237
2016-10-30,2349237
2016-10-31,2349237
2016-11-01,2349237
2016-11-02,2233511
2016-11-03,2233511
2016-11-04,2233511
2016-11-05,2233511
2016-11-06,2233511
2016-11-07,2233511
2016-11-08,2233511
2016-11-09,2233511
2016-11-10,2123883
2016-11-11,2123883
2016-11-12,2123883
2016-11-13,2123883
2016-11-14,2123883
2016-12-07,1828608
2016-12-08,1828608
2016-12-09,1828608
2016-12-10,1828608
2016-12-11,1828608
2016-12-12,1828608
2016-12-13,1739039
2016-12-14,1739039
2016-12-15,1739039
2016-12-16,1739039
2016-12-17,1739039
2016-12-18,1739039
2016-12-19,1739039
2016-12-20,1654446
2016-12-21,1654446
2016-12-22,1654446
2016-12-23,1654446
2016-12-24,1654446
2016-12-25,1654446
2016-12-26,1654446
2016-12-27,1654446
2016-12-28,1573653
2016-12-29,1573653
2016-12-30,1573653
2016-12-31,1573653
2017-01-01,1573653
2017-01-02,1573653
2017-01-03,1573653
2017-01-04,1496970
2017-01-05,1496970
2017-01-06,1496970
2017-01-07,1496970
2017-01-08,1423997
2017-01-09,1423997
2017-01-10,1423997
2017-01-11,1423997
2017-01-12,1355817
2017-01-13,1355817
2017-01-14,1355817
2017-01-15,1355817
2017-01-16,1355817
2017-01-17,1289688
2017-01-18,1289688
2017-01-19,1289688
2017-01-20,1289688
2017-01-21,1289688
2017-01-22,1289688
2017-01-27,1226734
2017-01-28,1226734
2017-01-29,1226734
2017-01-30,1167256
2017-01-31,1167256
2017-02-01,1167256
2017-02-02,1167256
2017-02-03,1167256
2017-02-04,1167256
2017-02-05,1167256
2017-02-06,1110512
2017-02-07,1110512
2017-02-08,1110512
2017-02-09,1110512
2017-02-10,1110512
2017-02-11,1110512
2017-02-12,1110512
2017-02-13,1056673
2017-02-14,1056673
2017-02-15,1056673
2017-02-16,1056673
2017-02-18,1056673
2017-02-19,1005041
2017-02-20,1005041
2017-02-21,1005041
2017-02-22,1005041
2017-02-23,1005041
2017-02-24,1005041
2017-02-25,1005041
2017-02-26,1005041
2017-02-27,957816
2017-02-28,957816
2017-03-01,957816
2017-03-02,957816
2017-03-03,957816
2017-03-04,957816
2017-03-05,957816
2017-03-06,911439
2017-03-07,911439
2017-03-08,911439
2017-03-09,911439
2017-03-10,911439
2017-03-11,911439
2017-03-12,911439
2017-03-13,911439
2017-03-14,867147
2017-03-15,867147
2017-03-16,867147
2017-03-17,867147
2017-03-18,867147
2017-03-19,867147
2017-03-20,867147
2017-03-21,825265
2017-03-22,825265
2017-03-23,825265
2017-03-24,825265
2017-03-25,825265
2017-03-26,825265
2017-03-27,825265
2017-03-28,784693
2017-03-29,784693
2017-03-30,784693
2017-03-31,784693
2017-04-01,784693
2017-04-02,784693
2017-04-03,784693
2017-04-04,784693
2017-04-12,50421
2017-04-13,50421
2017-04-14,50421
2017-04-15,50421
2017-04-16,50421
2017-04-17,50421
2017-04-18,50421
2017-04-19,49674
2017-04-20,49674
2017-04-21,49674
2017-04-22,49674
2017-04-23,49674
2017-04-24,49674
2017-04-25,49674
2017-04-26,49674
2017-04-27,49674
2017-04-28,49157
2017-04-29,49157
2017-04-30,49157
2017-05-01,49157
2017-05-02,49157
2017-05-03,49157
2017-05-04,49157
2017-05-05,49157
2017-05-06,49157
2017-05-07,48405
2017-05-08,48405
2017-05-09,48405
2017-05-10,48405
2017-05-11,48405
2017-05-12,48405
2017-05-13,48405
2017-05-14,48405
2017-05-15,46407
2017-05-16,46407
2017-05-17,46407
2017-05-18,46407
2017-05-19,46407
2017-05-20,46407
2017-05-21,46407
2017-05-22,46407
2017-05-23,44344
2017-05-24,44344
2017-05-25,44344
2017-05-26,44344
2017-05-27,44344
2017-05-28,44344
2017-05-29,44344
2017-05-30,44344
2017-05-31,44344
2017-06-01,44344
2017-06-02,42964
2017-06-03,42964
2017-06-04,42964
2017-06-06,42964
2017-06-07,42964
2017-06-08,42964
2017-06-09,42964
2017-06-10,42964
2017-06-11,41373
2017-06-12,41373
2017-06-13,41373
2017-06-14,41373
2017-06-15,41373
2017-06-16,41373
2017-06-17,41373
2017-06-18,41373
2017-06-19,41373
2017-06-20,40508
2017-06-21,40508
2017-06-22,40508
2017-06-23,40508
2017-06-24,40508
2017-06-25,40508
2017-06-26,40508
