date_obj,Linen price
2015-03-04,25
2015-03-05,25
2015-03-06,25
2015-03-07,25
2015-03-08,25
2015-03-09,25
2015-03-10,25
2015-03-11,25
2015-03-12,27
2015-03-13,27
2015-03-14,27
2015-03-15,27
2015-03-16,27
2015-03-17,27
2015-03-18,27
2015-03-19,27
2015-03-20,27
2015-03-21,27
2015-03-22,29
2015-03-23,29
2015-03-24,29
2015-03-25,29
2015-03-26,29
2015-03-27,29
2015-03-28,29
2015-03-29,29
2015-03-30,29
2015-03-31,29
2015-04-01,31
2015-04-02,31
2015-04-03,31
2015-04-04,31
2015-04-05,31
2015-04-06,31
2015-04-07,31
2015-04-08,31
2015-04-09,31
2015-04-10,33
2015-04-11,33
2015-04-12,33
2015-04-13,33
2015-04-14,33
2015-04-15,33
2015-04-16,33
2015-04-17,33
2015-04-18,33
2015-04-19,33
2015-04-20,33
2015-04-21,35
2015-04-22,35
2015-04-23,35
2015-04-24,35
2015-04-25,35
2015-04-26,35
2015-04-27,35
2015-04-28,35
2015-04-29,35
2015-04-30,35
2015-05-01,37
2015-05-02,37
2015-05-03,37
2015-05-04,37
2015-05-05,37
2015-05-06,37
2015-05-07,37
2015-05-08,37
2015-05-09,37
2015-05-10,39
2015-05-11,39
2015-05-12,39
2015-05-13,39
2015-05-14,39
2015-05-15,39
2015-05-16,39
2015-05-17,39
2015-05-18,39
2015-05-19,39
2015-05-20,39
2015-05-21,39
2015-05-22,41
2015-05-23,41
2015-05-24,41
2015-05-25,41
2015-05-26,41
2015-05-27,41
2015-05-28,41
2015-05-29,44
2015-05-30,44
2015-05-31,44
2015-06-01,44
2015-06-02,44
2015-06-03,44
2015-06-04,44
2015-06-05,47
2015-06-06,47
2015-06-07,47
2015-06-08,47
2015-06-09,47
2015-06-10,47
2015-06-11,47
2015-06-12,50
2015-06-13,50
2015-06-14,50
2015-06-15,50
2015-06-16,50
2015-06-17,50
2015-06-18,50
2015-06-19,53
2015-06-20,53
2015-06-21,53
2015-06-22,53
2015-06-23,53
2015-06-24,53
2015-06-25,53
2015-06-26,56
2015-06-27,56
2015-06-28,56
2015-06-29,56
2015-06-30,56
2015-07-01,56
2015-07-02,56
2015-07-03,59
2015-07-04,59
2015-07-05,59
2015-07-06,59
2015-07-07,59
2015-07-08,59
2015-07-09,59
2015-07-10,61
2015-07-11,61
2015-07-12,61
2015-07-13,61
2015-07-14,61
2015-07-15,61
2015-07-16,61
2015-07-17,65
2015-07-18,65
2015-07-19,65
2015-07-20,65
2015-07-21,65
2015-07-22,65
2015-07-23,65
2015-07-24,69
2015-07-25,69
2015-07-26,69
2015-07-27,69
2015-07-28,69
2015-07-29,69
2015-07-30,73
2015-07-31,73
2015-08-01,73
2015-08-02,73
2015-08-03,73
2015-08-04,73
2015-08-05,73
2015-08-06,73
2015-08-07,77
2015-08-08,77
2015-08-09,77
2015-08-10,77
2015-08-11,77
2015-08-12,77
2015-08-13,77
2015-08-14,80
2015-08-15,80
2015-08-16,80
2015-08-17,80
2015-08-18,80
2015-08-19,80
2015-08-20,80
2015-08-21,84
2015-08-22,84
2015-08-23,84
2015-08-24,84
2015-08-25,84
2015-08-26,84
2015-08-27,84
2015-08-28,84
2015-08-29,89
2015-08-30,89
2015-09-02,89
2015-09-07,89
2015-09-08,94
2015-09-10,94
2015-09-14,94
2015-09-16,94
2015-09-22,98
2015-09-23,98
2015-09-24,98
2015-09-25,98
2015-09-27,102
2015-09-28,102
2015-09-29,102
2015-09-30,102
2015-10-05,108
2015-10-06,108
2015-10-07,108
2015-10-08,108
2015-10-09,108
2015-10-10,108
2015-10-11,108
2015-10-12,108
2015-10-13,112
2015-10-14,112
2015-10-15,112
2015-10-16,112
2015-10-17,112
2015-10-18,112
2015-10-19,112
2015-10-20,112
2015-10-22,118
2015-10-23,118
2015-10-24,118
2015-10-25,118
2015-10-26,118
2015-10-27,118
2015-10-29,118
2015-10-30,123
2015-10-31,123
2015-11-01,123
2015-11-02,123
2015-11-03,123
2015-11-04,123
2015-11-05,123
2015-11-06,123
2015-11-07,130
2015-11-08,130
2015-11-09,130
2015-11-10,130
2015-11-11,130
2015-11-12,130
2015-11-13,130
2015-11-14,130
2015-11-15,130
2015-11-16,136
2015-11-17,136
2015-11-18,136
2015-11-19,136
2015-11-20,136
2015-11-21,136
2015-11-22,136
2015-11-23,136
2015-11-24,136
2015-11-25,142
2015-11-26,142
2015-11-27,142
2015-11-28,142
2015-11-29,142
2015-11-30,142
2015-12-01,142
2015-12-02,142
2015-12-03,142
2015-12-04,149
2015-12-05,149
2015-12-06,149
2015-12-07,149
2015-12-08,149
2015-12-09,149
2015-12-10,149
2015-12-11,156
2015-12-12,156
2015-12-13,156
2015-12-14,156
2015-12-15,156
2015-12-16,156
2015-12-17,156
2015-12-18,161
2015-12-19,161
2015-12-20,161
2015-12-21,161
2015-12-22,161
2015-12-23,161
2015-12-24,161
2015-12-25,169
2015-12-26,169
2015-12-27,169
2015-12-28,169
2015-12-29,169
2015-12-30,177
2015-12-31,177
2016-01-01,177
2016-01-02,177
2016-01-03,177
2016-01-04,177
2016-01-05,185
2016-01-06,185
2016-01-07,185
2016-01-08,185
2016-01-09,185
2016-01-10,185
2016-01-11,185
2016-01-12,194
2016-01-13,194
2016-01-14,194
2016-01-15,194
2016-01-16,194
2016-01-17,194
2016-01-18,194
2016-01-19,203
2016-01-20,203
2016-01-21,203
2016-01-22,203
2016-01-23,203
2016-01-24,203
2016-01-25,213
2016-01-26,213
2016-01-27,213
2016-01-28,213
2016-01-29,213
2016-01-30,213
2016-01-31,213
2016-02-01,223
2016-02-02,223
2016-02-03,223
2016-02-04,223
2016-02-05,223
2016-02-06,223
2016-02-07,223
2016-02-08,235
2016-02-09,235
2016-02-10,235
2016-02-11,235
2016-02-12,235
2016-02-13,235
2016-02-14,235
2016-02-15,247
2016-02-16,247
2016-02-17,247
2016-02-18,247
2016-02-19,247
2016-02-20,247
2016-02-21,259
2016-02-22,259
2016-02-23,259
2016-02-24,259
2016-02-25,259
2016-02-26,259
2016-02-27,259
2016-02-28,271
2016-02-29,271
2016-03-01,271
2016-03-02,271
2016-03-03,271
2016-03-04,271
2016-03-05,283
2016-03-06,283
2016-03-07,283
2016-03-08,283
2016-03-09,283
