date_obj,Machete price
2015-03-26,9120
2015-03-27,9120
2015-03-28,9120
2015-03-29,9120
2015-03-30,8664
2015-03-31,8664
2015-04-01,8664
2015-04-02,8664
2015-04-03,8230
2015-04-04,8230
2015-04-05,8230
2015-04-06,7830
2015-04-07,7830
2015-04-08,7830
2015-04-09,7830
2015-04-10,7438
2015-04-11,7438
2015-04-12,7438
2015-04-13,7438
2015-04-14,7066
2015-04-15,7066
2015-04-16,7066
2015-04-17,6721
2015-04-18,6721
2015-04-19,6721
2015-04-20,6721
2015-04-21,6384
2015-04-22,6384
2015-04-23,6384
2015-04-24,6384
2015-04-25,6064
2015-04-26,6064
2015-04-27,6064
2015-04-28,5761
2015-04-29,5761
2015-04-30,5761
2015-05-01,5761
2015-05-02,5472
2015-05-03,5472
2015-05-04,5472
2015-05-05,5472
2015-05-06,5198
2015-05-07,5198
2015-05-08,5198
2015-05-09,4941
2015-05-10,4941
2015-05-11,4941
2015-05-12,4701
2015-05-13,4701
2015-05-14,4701
2015-05-15,4701
2015-05-16,4470
2015-05-17,4470
2015-05-18,4470
2015-05-19,4246
2015-05-20,4246
2015-05-21,4246
2015-05-22,4246
2015-05-23,4040
2015-05-24,4040
2015-05-25,4040
2015-05-26,3841
2015-05-27,3841
2015-05-28,3841
2015-05-29,3648
2015-05-30,3648
2015-05-31,3468
2015-06-01,3468
2015-06-02,3468
2015-06-03,3294
2015-06-04,3294
2015-06-05,3294
2015-06-06,3129
2015-06-07,3129
2015-06-08,3129
2015-06-09,2972
2015-06-10,2972
2015-06-11,2972
2015-06-12,2826
2015-06-13,2826
2015-06-14,2826
2015-06-15,2684
2015-06-16,2684
2015-06-17,2684
2015-06-18,2549
2015-06-19,2549
2015-06-20,2549
2015-06-21,2421
2015-06-22,2421
2015-06-23,2421
2015-06-24,2299
2015-06-25,2299
2015-06-26,2299
2015-06-27,2185
2015-06-28,2185
2015-06-29,2185
2015-06-30,2075
2015-07-01,2075
2015-07-02,2075
2015-07-03,1971
2015-07-04,1971
2015-07-05,1971
2015-07-06,1971
2015-07-07,1872
2015-07-08,1872
2015-07-09,1872
2015-07-10,1780
2015-07-11,1780
2015-07-12,1780
2015-07-13,1695
2015-07-14,1695
2015-07-15,1695
2015-07-16,1612
2015-07-17,1612
2015-07-18,1612
2015-07-19,1532
2015-07-20,1532
2015-07-21,1532
2015-07-22,1455
2015-07-23,1455
2015-07-24,1455
2015-07-25,1384
2015-07-26,1384
2015-07-27,1384
2015-07-28,1314
2015-07-29,1314
2015-07-30,1250
2015-07-31,1250
2015-08-01,1250
2015-08-02,1187
2015-08-03,1187
2015-08-04,1187
2015-08-05,1127
2015-08-06,1127
2015-08-07,1127
2015-08-08,1070
2015-08-09,1070
2015-08-10,1017
2015-08-11,1017
2015-08-12,1017
2015-08-13,969
2015-08-14,969
2015-08-15,969
2015-08-16,923
2015-08-17,923
2015-08-18,923
2015-08-19,876
2015-08-20,876
2015-08-21,876
2015-08-22,832
2015-08-23,832
2015-08-24,832
2015-08-25,832
2015-08-26,790
2015-08-27,790
2015-08-28,790
2015-08-29,750
2015-08-30,750
2015-08-31,750
2015-09-01,734
2015-09-02,734
2015-09-03,734
2015-09-04,742
2015-09-05,742
2015-09-06,742
2015-09-07,742
2015-09-08,739
2015-09-09,739
2015-09-10,739
2015-09-11,737
2015-09-12,737
2015-09-13,737
2015-09-14,737
2015-09-15,720
2015-09-16,720
2015-09-17,720
2015-09-18,720
2015-09-19,688
2015-09-20,688
2015-09-21,688
2015-09-22,670
2015-09-23,670
2015-09-24,670
2015-09-25,670
2015-09-27,643
2015-09-28,643
2015-09-29,643
2015-09-30,621
2015-10-05,613
2015-10-06,613
2015-10-07,613
2015-10-08,604
2015-10-09,604
2015-10-10,604
2015-10-11,608
