date_obj,Mage's%20book price
2015-03-05,6940651
2015-03-06,7258819
2015-03-07,7480699
2015-03-08,7604538
2015-03-09,7703041
2015-03-10,7836102
2015-03-11,7760772
2015-03-12,7988497
2015-03-13,8344058
2015-03-14,8702402
2015-03-15,8859262
2015-03-16,8869075
2015-03-17,8819363
2015-03-18,8627504
2015-03-19,8198092
2015-03-20,7788187
2015-03-21,7411977
2015-03-22,7065431
2015-03-23,6712159
2015-03-24,6623024
2015-03-25,6811285
2015-03-26,6788176
2015-03-27,6788176
2015-03-28,7029677
2015-03-29,7329340
2015-03-30,7315628
2015-03-31,7276773
2015-04-01,7274627
2015-04-02,7220306
2015-04-03,7459798
2015-04-04,7544921
2015-04-05,7499390
2015-04-06,7366641
2015-04-07,7123134
2015-04-08,7068003
2015-04-09,7132501
2015-04-10,7148915
2015-04-11,7158241
2015-04-12,6951297
2015-04-13,6837918
2015-04-14,6673496
2015-04-15,6590800
2015-04-16,6498433
2015-04-17,6496626
2015-04-18,6428777
2015-04-19,6313394
2015-04-20,6320899
2015-04-21,6239323
2015-04-22,6272513
2015-04-23,6125665
2015-04-24,5937659
2015-04-25,5887387
2015-04-26,5847166
2015-04-27,5825661
2015-04-28,5799983
2015-04-29,5946328
2015-04-30,6125518
2015-05-01,6165399
2015-05-02,6254572
2015-05-03,6297724
2015-05-04,6432548
2015-05-05,6385676
2015-05-06,6402246
2015-05-07,6421015
2015-05-08,6405639
2015-05-09,6417022
2015-05-10,6450530
2015-05-11,6426365
2015-05-12,6383790
2015-05-13,6359790
2015-05-14,6460887
2015-05-15,6544881
2015-05-16,6658506
2015-05-17,6620019
2015-05-18,6531807
2015-05-19,6441076
2015-05-20,6356427
2015-05-21,6281876
2015-05-22,6168367
2015-05-23,6091239
2015-05-24,5999085
2015-05-25,5989040
2015-05-26,6028703
2015-05-27,6002309
2015-05-28,6229329
2015-05-29,6436230
2015-05-30,6672269
2015-05-31,6998223
2015-06-01,7244995
2015-06-02,7274653
