date_obj,Mahogany%20table%20(flatpack) price
2015-03-05,5500
2015-03-06,5500
2015-03-07,5500
2015-03-08,5500
2015-03-09,5500
2015-03-10,5500
2015-03-11,5500
2015-03-12,5500
2015-03-13,5500
2015-03-14,5500
2015-03-15,5500
2015-03-16,5500
2015-03-17,5500
2015-03-18,5500
2015-03-19,5500
2015-03-20,5500
2015-03-21,5500
2015-03-22,5500
2015-03-23,5500
2015-03-24,5500
2015-03-25,5500
2015-03-26,5500
2015-03-27,5500
2015-03-28,5500
2015-03-29,5500
2015-03-30,5500
2015-03-31,5500
2015-04-01,5500
2015-04-02,5500
2015-04-03,5500
2015-04-04,5500
2015-04-05,5500
2015-04-06,5500
2015-04-07,5500
2015-04-08,5500
2015-04-09,5500
2015-04-10,5500
2015-04-11,5500
2015-04-12,5500
2015-04-13,5500
2015-04-14,5500
2015-04-15,5500
2015-04-16,5232
2015-04-17,5232
2015-04-18,5232
2015-04-19,5232
2015-04-20,5232
2015-04-21,5232
2015-04-22,5232
2015-04-23,5232
2015-04-24,5232
2015-04-25,5232
2015-04-26,5232
2015-04-27,5232
2015-04-28,5232
2015-04-29,5232
2015-04-30,5232
2015-05-01,5232
2015-05-02,5232
2015-05-03,5232
2015-05-04,5232
2015-05-05,5232
2015-05-06,5232
2015-05-07,5232
2015-05-08,5232
2015-05-09,5232
2015-05-10,5232
2015-05-11,5232
2015-05-12,5232
2015-05-13,5232
2015-05-14,5232
2015-05-15,5232
2015-05-16,5232
2015-05-17,5232
2015-05-18,5232
2015-05-19,5232
2015-05-20,5232
2015-05-21,5232
2015-05-22,5232
2015-05-23,5232
2015-05-24,5232
2015-05-25,5232
2015-05-26,5232
2015-05-27,5232
2015-05-28,4970
2015-05-29,4970
2015-05-30,4970
2015-05-31,4970
2015-06-01,4970
2015-06-02,4970
2015-06-03,4970
2015-06-04,4970
2015-06-05,4970
2015-06-06,4970
2015-06-07,4970
2015-06-08,4970
2015-06-09,4970
2015-06-10,4970
2015-06-11,4970
2015-06-12,4970
2015-06-13,4970
2015-06-14,4970
2015-06-15,4970
2015-06-16,4970
2015-06-17,4970
2015-06-18,4970
2015-06-19,4970
2015-06-20,4970
2015-06-21,4970
2015-06-22,4970
2015-06-23,4970
2015-06-24,4970
2015-06-25,4970
2015-06-26,4970
2015-06-27,4970
2015-06-28,4970
2015-06-29,4970
2015-06-30,4970
2015-07-01,4725
2015-07-02,4725
2015-07-03,4725
2015-07-04,4725
2015-07-05,4725
2015-07-06,4725
2015-07-07,4725
2015-07-08,4725
2015-07-09,4725
2015-07-10,4725
2015-07-11,4725
2015-07-12,4725
2015-07-13,4725
2015-07-14,4725
2015-07-15,4725
2015-07-16,4725
2015-07-17,4725
2015-07-18,4725
2015-07-19,4725
2015-07-20,4725
2015-07-21,4725
2015-07-22,4725
2015-07-23,4725
2015-07-24,4725
2015-07-25,4725
2015-07-26,4725
2015-07-27,4725
2015-07-28,4725
2015-07-29,4725
2015-07-30,4725
2015-07-31,4500
2015-08-01,4500
2015-08-02,4500
2015-08-03,4500
2015-08-04,4500
2015-08-05,4500
2015-08-06,4500
2015-08-07,4500
2015-08-08,4500
2015-08-09,4500
2015-08-10,4500
2015-08-11,4287
2015-08-12,4287
2015-08-13,4287
2015-08-14,4287
2015-08-15,4287
2015-08-16,4287
2015-08-17,4287
2015-08-18,4287
2015-08-19,4287
2015-08-20,4287
2015-08-21,4287
2015-08-22,4287
2015-08-23,4287
2015-08-24,4287
2015-08-25,4287
2015-08-26,4287
2015-08-27,4287
2015-08-28,4287
2015-08-29,4287
2015-08-30,4287
2015-08-31,4079
2015-09-02,4079
2015-09-07,4079
2015-09-08,4079
2015-09-10,4079
2015-09-14,4079
2015-09-16,4079
2015-09-22,4079
2015-09-23,4079
2015-09-24,4079
2015-09-25,4079
2015-09-27,4079
2015-09-28,3879
2015-09-29,3879
2015-09-30,3879
2015-10-05,3879
2015-10-06,3879
2015-10-07,3879
2015-10-08,3879
2015-10-09,3879
2015-10-10,3879
2015-10-11,3879
2015-10-12,3879
2015-10-13,3879
2015-10-14,3879
2015-10-15,3879
