date_obj,Mahogany%20telescope%20(flatpack) price
2015-08-31,670
2015-06-20,670
2015-08-09,670
2015-03-28,670
2015-07-16,670
2015-05-27,670
2015-04-29,670
2015-05-18,670
2015-07-08,670
2015-06-29,670
2015-06-01,670
2015-04-07,670
2015-03-29,670
2015-08-07,670
2015-07-01,670
2015-08-12,670
2015-05-23,670
2015-08-03,670
2015-07-25,670
2015-03-10,670
2015-08-27,670
2015-06-19,670
2015-06-28,670
2015-07-05,670
2015-08-04,670
2015-08-13,670
2015-07-22,670
2015-07-02,670
2015-05-15,670
2015-06-25,670
2015-07-26,670
2015-06-04,670
2015-04-13,670
2015-04-02,670
2015-04-23,670
2015-08-15,670
2015-03-05,670
2015-03-13,670
2015-08-22,670
2015-04-05,670
2015-04-15,670
2015-05-22,670
2015-08-19,670
2015-07-07,670
2015-08-08,670
2015-06-27,670
2015-03-26,670
2015-08-26,670
2015-05-25,670
2015-07-19,670
2015-08-11,670
2015-03-09,670
2015-05-31,670
2015-05-29,670
2015-05-07,670
2015-08-29,670
2015-05-30,670
2015-07-18,670
2015-04-28,670
2015-08-10,670
2015-07-09,670
2015-05-19,670
2015-06-08,670
2015-03-22,670
2015-03-31,670
2015-03-21,670
2015-03-30,670
2015-06-11,670
2015-04-27,670
2015-06-22,670
2015-08-24,670
2015-05-20,670
2015-07-31,670
2015-05-17,670
2015-04-10,670
2015-04-01,670
2015-04-03,670
2015-05-06,670
2015-03-25,670
2015-03-23,670
2015-08-23,670
2015-04-21,670
2015-04-22,670
2015-05-28,670
2015-03-20,670
2015-04-14,670
2015-08-18,670
2015-05-05,670
2015-06-17,670
2015-06-07,670
2015-07-20,670
2015-08-25,670
2015-04-26,670
2015-05-26,670
2015-07-30,670
2015-05-16,670
2015-04-30,670
2015-05-10,670
2015-06-18,670
2015-05-09,670
2015-07-11,670
2015-06-10,670
2015-04-08,670
2015-04-17,670
2015-03-06,670
2015-03-15,670
2015-08-30,670
2015-03-12,670
2015-04-20,670
2015-07-27,670
2015-06-24,670
2015-06-30,670
2015-03-11,670
2015-04-11,670
2015-07-21,670
2015-04-19,670
2015-05-01,670
2015-06-09,670
2015-07-12,670
2015-08-28,670
2015-08-16,670
2015-04-12,670
2015-07-24,670
2015-06-05,670
2015-05-03,670
2015-04-16,670
2015-05-04,670
2015-03-24,670
2015-03-14,670
2015-05-13,670
2015-05-08,670
2015-06-06,670
2015-08-17,670
2015-06-15,670
2015-06-16,670
2015-06-26,670
2015-07-29,670
2015-07-17,670
2015-06-23,670
2015-04-24,670
2015-08-06,670
2015-03-07,670
2015-04-04,670
2015-03-18,670
2015-03-08,670
2015-08-21,670
2015-07-10,670
2015-05-21,670
2015-06-21,670
2015-08-01,670
2015-03-19,670
2015-06-02,670
2015-04-09,670
2015-05-11,670
2015-07-15,670
2015-08-20,670
2015-08-14,670
2015-06-12,670
2015-07-04,670
2015-04-25,670
2015-08-02,670
2015-05-24,670
2015-06-13,670
2015-06-14,670
2015-05-12,670
2015-07-23,670
2015-05-14,670
2015-03-27,670
2015-07-28,670
2015-03-17,670
2015-05-02,670
2015-04-06,670
2015-07-13,670
2015-07-14,670
2015-03-16,670
2015-04-18,670
2015-08-05,670
2015-07-03,670
2015-07-06,670
2015-06-03,670
2015-08-31,670
2015-08-31,670
2015-09-02,670
2015-09-07,670
2015-09-08,670
2015-09-10,670
2015-09-14,670
2015-09-16,670
2015-09-22,670
2015-09-23,670
2015-09-24,670
2015-09-25,670
2015-09-27,670
2015-09-28,670
2015-09-29,670
2015-09-30,670
2015-10-05,670
2015-10-06,670
2015-10-07,670
2015-10-08,670
2015-10-09,670
2015-10-10,670
2015-10-11,670
2015-10-12,670
2015-10-13,670
2015-10-14,670
2015-10-15,670
2015-10-16,670
2015-10-17,670
2015-10-18,670
2015-10-19,670
2015-10-20,670
2015-10-22,670
2015-10-23,670
2015-10-24,670
2015-10-25,670
2015-10-26,670
2015-10-27,670
2015-10-29,670
2015-10-30,670
2015-10-31,670
2015-11-01,670
2015-11-02,670
2015-11-03,670
2015-11-04,670
2015-11-05,670
2015-11-06,670
2015-11-07,670
2015-11-08,670
2015-11-09,670
2015-11-10,670
2015-11-11,670
2015-11-12,670
2015-11-13,670
2015-11-14,670
2015-11-15,670
2015-11-16,670
2015-11-17,670
2015-11-18,670
2015-11-19,670
2015-11-20,670
2015-11-21,670
2015-11-22,670
2015-11-23,670
2015-11-24,670
2015-11-25,670
2015-11-26,670
2015-11-27,670
2015-11-28,670
2015-11-29,670
2015-11-30,670
2015-12-01,670
2015-12-02,670
2015-12-03,670
2015-12-04,670
2015-12-05,670
2015-12-06,670
2015-12-07,670
2015-12-08,670
2015-12-09,670
2015-12-10,670
2015-12-11,670
2015-12-12,670
2015-12-13,670
2015-12-14,670
2015-12-15,670
2015-12-16,670
