date_obj,Maple%20blackjack(d) price
2015-03-05,700
2015-03-06,700
2015-03-07,700
2015-03-08,700
2015-03-09,700
2015-03-10,700
2015-03-11,700
2015-03-12,700
2015-03-13,700
2015-03-14,700
2015-03-15,700
2015-03-16,700
2015-03-17,700
2015-03-18,700
2015-03-19,700
2015-03-20,700
2015-03-21,700
2015-03-22,700
2015-03-23,700
2015-03-24,700
2015-03-25,700
2015-03-26,700
2015-03-27,700
2015-03-28,714
2015-03-29,714
2015-03-30,714
2015-03-31,714
2015-04-01,714
2015-04-02,714
2015-04-03,714
2015-04-04,714
2015-04-05,714
2015-04-06,714
2015-04-07,714
2015-04-08,714
2015-04-09,714
2015-04-10,714
2015-04-11,714
2015-04-12,714
2015-04-13,714
2015-04-14,714
2015-04-15,714
2015-04-16,714
2015-04-17,714
2015-04-18,714
2015-04-19,714
2015-04-20,745
2015-04-21,745
2015-04-22,745
2015-04-23,745
2015-04-24,745
2015-04-25,745
2015-04-26,745
2015-04-27,745
2015-04-28,745
2015-04-29,745
2015-04-30,745
2015-05-01,745
2015-05-02,745
2015-05-03,745
2015-05-04,745
2015-05-05,745
2015-05-06,745
2015-05-07,745
2015-05-08,745
2015-05-09,745
2015-05-10,745
2015-05-11,745
2015-05-12,745
2015-05-13,745
2015-05-14,745
2015-05-15,745
2015-05-16,745
2015-05-17,770
2015-05-18,770
2015-05-19,770
2015-05-20,770
2015-05-21,770
2015-05-22,770
2015-05-23,770
2015-05-24,770
2015-05-25,770
2015-05-26,770
2015-05-27,770
2015-05-28,770
2015-05-29,770
2015-05-30,770
2015-05-31,770
2015-06-01,770
2015-06-02,770
2015-06-03,770
2015-06-04,770
2015-06-05,794
2015-06-06,794
2015-06-07,794
2015-06-08,794
2015-06-09,794
2015-06-10,794
2015-06-11,794
2015-06-12,794
2015-06-13,794
2015-06-14,794
2015-06-15,794
2015-06-16,794
2015-06-17,794
2015-06-18,794
2015-06-19,794
2015-06-20,794
2015-06-21,794
2015-06-22,794
2015-06-23,794
2015-06-24,821
2015-06-25,821
2015-06-26,821
2015-06-27,821
2015-06-28,821
2015-06-29,821
2015-06-30,821
2015-07-01,821
2015-07-02,821
2015-07-03,821
2015-07-04,821
2015-07-05,821
2015-07-06,821
2015-07-07,821
2015-07-08,821
2015-07-09,821
2015-07-10,821
2015-07-11,821
2015-07-12,821
2015-07-13,843
2015-07-14,843
2015-07-15,843
2015-07-16,843
2015-07-17,843
2015-07-18,843
2015-07-19,843
2015-07-20,843
2015-07-21,843
2015-07-22,843
2015-07-23,843
2015-07-24,843
2015-07-25,843
2015-07-26,843
2015-07-27,843
2015-07-28,843
2015-07-29,843
2015-07-30,843
2015-07-31,843
2015-08-01,843
2015-08-02,876
2015-08-03,876
2015-08-04,876
2015-08-05,876
2015-08-06,876
2015-08-07,876
2015-08-08,876
2015-08-09,876
2015-08-10,876
2015-08-11,876
2015-08-12,876
2015-08-13,876
2015-08-14,876
2015-08-15,876
2015-08-16,876
