date_obj,Menaphite%20purple%20kilt price
2015-03-05,21000
2015-03-06,21000
2015-03-07,21000
2015-03-08,21000
2015-03-09,21000
2015-03-10,21000
2015-03-11,21000
2015-03-12,21000
2015-03-13,21000
2015-03-14,21000
2015-03-15,21000
2015-03-16,21000
2015-03-17,21000
2015-03-18,21000
2015-03-19,21000
2015-03-20,21000
2015-03-21,21000
2015-03-22,21000
2015-03-23,21000
2015-03-24,21000
2015-03-25,21000
2015-03-26,21000
2015-03-27,21000
2015-03-28,21000
2015-03-29,21000
2015-03-30,21000
2015-03-31,21000
2015-04-01,21000
2015-04-02,21000
2015-04-03,21000
2015-04-04,21000
2015-04-05,21000
2015-04-06,21000
2015-04-07,21000
2015-04-08,21000
2015-04-09,21000
2015-04-10,21000
2015-04-11,21000
2015-04-12,21000
2015-04-13,21000
2015-04-14,21000
2015-04-15,21000
2015-04-16,21000
2015-04-17,21000
2015-04-18,21000
2015-04-19,21000
2015-04-20,21000
2015-04-21,21000
2015-04-22,21000
2015-04-23,21000
2015-04-24,21000
2015-04-25,21000
2015-04-26,21000
2015-04-27,21000
2015-04-28,21000
2015-04-29,21000
2015-04-30,21000
2015-05-01,21000
2015-05-02,21000
2015-05-03,21000
2015-05-04,21000
2015-05-05,21000
2015-05-06,20130
2015-05-07,20130
2015-05-08,20130
2015-05-09,20130
2015-05-10,20130
2015-05-11,20130
2015-05-12,20130
2015-05-13,20130
2015-05-14,20130
2015-05-15,20130
2015-05-16,20130
2015-05-17,20130
2015-05-18,20130
2015-05-19,20130
2015-05-20,20130
2015-05-21,20130
2015-05-22,20130
2015-05-23,20130
2015-05-24,20130
2015-05-25,20130
2015-05-26,20130
2015-05-27,20130
2015-05-28,20130
2015-05-29,20130
2015-05-30,20130
2015-05-31,20130
2015-06-01,20130
2015-06-02,20130
2015-06-03,20130
2015-06-04,20130
2015-06-05,20130
2015-06-06,20130
2015-06-07,20130
2015-06-08,20130
2015-06-09,20130
2015-06-10,20130
2015-06-11,20130
2015-06-12,20130
2015-06-13,20130
2015-06-14,20130
2015-06-15,20130
2015-06-16,20130
2015-06-17,20130
2015-06-18,20130
2015-06-19,20130
2015-06-20,20130
2015-06-21,20130
2015-06-22,20130
2015-06-23,20130
2015-06-24,20130
2015-06-25,20130
2015-06-26,19232
2015-06-27,19232
2015-06-28,19232
2015-06-29,19232
2015-06-30,19232
2015-07-01,19232
2015-07-02,19232
2015-07-03,19232
2015-07-04,19232
2015-07-05,19232
2015-07-06,19232
2015-07-07,19232
2015-07-08,19232
2015-07-09,19232
2015-07-10,19232
2015-07-11,19232
2015-07-12,19232
2015-07-13,19232
2015-07-14,19232
2015-07-15,19232
2015-07-16,19232
2015-07-17,19232
2015-07-18,19232
2015-07-19,19232
2015-07-20,19232
2015-07-21,19232
2015-07-22,19232
2015-07-23,19232
2015-07-24,19232
2015-07-25,19232
2015-07-26,19232
2015-07-27,19232
2015-07-28,19232
2015-07-29,19232
2015-07-30,19232
2015-07-31,19232
2015-08-01,19232
2015-08-02,19232
2015-08-03,19232
2015-08-04,19232
2015-08-05,19232
2015-08-06,19232
2015-08-07,19232
2015-08-08,19232
2015-08-09,19232
2015-08-10,18326
2015-08-11,18326
2015-08-12,18326
2015-08-13,18326
2015-08-14,18326
2015-08-15,18326
2015-08-16,18326
2015-08-17,18326
2015-08-18,18326
2015-08-19,18326
2015-08-20,18326
2015-08-21,18326
2015-08-22,18326
2015-08-23,18326
2015-08-24,18326
2015-08-25,18326
2015-08-26,18326
2015-08-27,18326
2015-08-28,18326
2015-08-29,18326
2015-08-30,18326
2015-08-31,18326
2015-09-02,18326
2015-09-07,18326
2015-09-08,18326
2015-09-10,18326
2015-09-14,17410
2015-09-16,17410
2015-09-22,17410
2015-09-23,17410
2015-09-24,17410
2015-09-25,17410
2015-09-27,17410
2015-09-28,17410
2015-09-29,17410
2015-09-30,17410
2015-10-05,17410
2015-10-06,17410
2015-10-07,17410
2015-10-08,17410
2015-10-09,17410
2015-10-10,17410
2015-10-11,17410
2015-10-12,17410
2015-10-13,17410
2015-10-14,17410
2015-10-15,17410
2015-10-16,17410
2015-10-17,17410
2015-10-18,17410
2015-10-19,17410
2015-10-20,17410
2015-10-22,17410
2015-10-23,17410
2015-10-24,17410
2015-10-25,17410
2015-10-26,17410
2015-10-27,17410
2015-10-29,16619
2015-10-30,16619
2015-10-31,16619
2015-11-01,16619
2015-11-02,16619
2015-11-03,16619
2015-11-04,16619
2015-11-05,16619
2015-11-06,16619
2015-11-07,16619
2015-11-08,16619
2015-11-09,16619
2015-11-10,16619
2015-11-11,16619
2015-11-12,16619
2015-11-13,16619
2015-11-14,16619
2015-11-15,16619
2015-11-16,16619
2015-11-17,16619
2015-11-18,16619
2015-11-19,16619
2015-11-20,16619
2015-11-21,16619
2015-11-22,16619
2015-11-23,16619
2015-11-24,16619
2015-11-25,16619
2015-11-26,16619
2015-11-27,16619
2015-11-28,16619
2015-11-29,16619
2015-11-30,16619
2015-12-01,16619
2015-12-02,16619
2015-12-03,16619
2015-12-04,16619
2015-12-05,16619
2015-12-06,16619
2015-12-07,16619
2015-12-08,16619
2015-12-09,16619
2015-12-10,16619
2015-12-11,16619
2015-12-12,16619
2015-12-13,16619
2015-12-14,16619
2015-12-15,16619
2015-12-16,16619
2015-12-17,16619
2015-12-18,16619
2015-12-19,16619
2015-12-20,16619
2015-12-21,15810
2015-12-22,15810
2015-12-23,15810
2015-12-24,15810
2015-12-25,15810
2015-12-26,15810
2015-12-27,15810
2015-12-28,15810
2015-12-29,15810
2015-12-30,15810
2015-12-31,15810
2016-01-01,15810
2016-01-02,15810
2016-01-03,15810
2016-01-04,15810
2016-01-05,15810
2016-01-06,15810
2016-01-07,15810
2016-01-08,15810
2016-01-09,15810
2016-01-10,15810
2016-01-11,15810
2016-01-12,15810
2016-01-13,15810
2016-01-14,15810
2016-01-15,15810
2016-01-16,15810
2016-01-17,15810
2016-01-18,15810
2016-01-19,15810
2016-01-20,15810
2016-01-21,15810
2016-01-22,15810
2016-01-23,15810
2016-01-24,15810
2016-01-25,15810
2016-01-26,15810
2016-01-27,15810
2016-01-28,15810
2016-01-29,15810
2016-01-30,15810
2016-01-31,15810
2016-02-01,15810
2016-02-02,15810
2016-02-03,15810
2016-02-04,15810
2016-02-05,15810
2016-02-06,15062
2016-02-07,15062
2016-02-08,15062
2016-02-09,15062
2016-02-10,15062
2016-02-11,15062
2016-02-12,15062
2016-02-13,15062
2016-02-14,15062
2016-02-15,15062
2016-02-16,15062
2016-02-17,15062
2016-02-18,15062
2016-02-19,15062
2016-02-20,15062
2016-02-21,15062
2016-02-22,15062
2016-02-23,15062
2016-02-24,15062
2016-02-25,15062
2016-02-26,15062
2016-02-27,15062
2016-02-28,15062
2016-02-29,15062
2016-03-01,15062
2016-03-02,15062
2016-03-03,15062
2016-03-04,15062
2016-03-05,15062
2016-03-06,15062
2016-03-07,15062
2016-03-08,15062
2016-03-09,15062
2016-03-10,15062
2016-03-11,15062
2016-03-12,15062
2016-03-13,15062
2016-03-14,15062
2016-03-15,15062
2016-03-16,14333
2016-03-17,14333
2016-03-18,14333
2016-03-19,14333
2016-03-20,14333
2016-03-21,14333
2016-03-22,14333
2016-03-23,14333
2016-03-24,14333
2016-03-25,14333
2016-03-26,14333
2016-03-27,14333
2016-03-28,14333
2016-03-29,14333
2016-03-30,14333
2016-03-31,14333
2016-04-01,14333
2016-04-02,14333
2016-04-03,14333
2016-04-04,14333
2016-04-05,14333
2016-04-06,14333
2016-04-07,14333
2016-04-08,14333
2016-04-09,14333
2016-04-10,14333
2016-04-11,14333
2016-04-12,14333
2016-04-13,14333
2016-04-14,14333
2016-04-15,14333
2016-04-16,14333
2016-04-17,14333
2016-04-18,14333
2016-04-19,14333
2016-04-20,14333
2016-04-21,14333
2016-04-22,14333
2016-04-23,14333
2016-04-24,14333
2016-04-25,14333
2016-04-26,14333
2016-04-27,14333
2016-04-28,14333
2016-04-29,14333
2016-04-30,14333
2016-05-01,14333
2016-05-02,14333
2016-05-03,13624
2016-05-04,13624
2016-05-05,13624
2016-05-06,13624
2016-05-07,13624
2016-05-08,13624
2016-05-09,13624
2016-05-10,13624
2016-05-11,13624
2016-05-12,13624
2016-05-13,13624
2016-05-14,13624
2016-05-15,13624
2016-05-16,13624
2016-05-17,13624
2016-05-18,13624
2016-05-19,13624
2016-05-22,13624
2016-05-23,13624
2016-05-24,13624
2016-05-25,13624
2016-05-26,13624
2016-05-27,13624
2016-05-28,13624
2016-05-29,13624
2016-05-30,13624
2016-05-31,13624
2016-06-01,13624
2016-06-02,13624
2016-06-03,13624
2016-06-04,13624
2016-06-05,13624
2016-06-06,13624
2016-06-07,13624
2016-06-08,13624
2016-06-09,13624
2016-06-10,13624
2016-06-11,13624
2016-06-12,13624
2016-06-13,13624
2016-06-14,13624
2016-06-15,13624
2016-06-16,13624
2016-06-17,13624
2016-06-18,13624
2016-06-19,13014
2016-06-20,13014
2016-06-21,13014
2016-06-22,13014
2016-06-23,13014
2016-06-24,13014
2016-06-25,13014
2016-06-26,13014
2016-06-27,13014
2016-06-28,13014
2016-06-29,13014
2016-06-30,13014
2016-07-01,13014
2016-07-02,13014
2016-07-03,13014
2016-07-04,13014
2016-07-05,13014
2016-07-06,13014
2016-07-07,13014
2016-07-08,13014
2016-07-09,12387
2016-07-10,12387
2016-07-11,12387
2016-07-12,12387
2016-07-13,12387
2016-07-14,12387
2016-07-15,12387
2016-07-16,12387
2016-07-17,12387
2016-07-18,12387
2016-07-23,11772
2016-07-24,11772
2016-07-25,11772
2016-07-26,11772
2016-07-27,11772
2016-07-28,11772
2016-07-29,11772
2016-07-30,11772
2016-07-31,11772
2016-08-01,11772
2016-08-02,11772
2016-08-03,11192
2016-08-04,11192
2016-08-05,11192
2016-08-06,11192
2016-08-07,11192
2016-08-08,11192
2016-08-09,11192
2016-08-10,11192
2016-08-11,11192
2016-08-12,11192
2016-08-13,11192
2016-08-14,11192
2016-08-15,11192
2016-08-16,11192
2016-08-17,11192
2016-08-18,11192
2016-08-19,11192
2016-08-20,10636
2016-08-21,10636
2016-08-22,10636
2016-08-23,10636
2016-08-24,10636
2016-08-25,10636
2016-08-26,10636
2016-08-28,10636
2016-08-31,10636
2016-09-01,10636
2016-09-02,10636
2016-09-03,10636
2016-09-04,10636
2016-09-05,10109
2016-09-06,10109
2016-09-07,10109
2016-09-08,10109
2016-09-09,10109
2016-09-10,10109
2016-09-11,10109
2016-09-12,10109
2016-09-13,10109
2016-09-14,10109
2016-09-15,10109
2016-09-16,10109
2016-09-17,10109
2016-09-18,10109
2016-09-19,10109
2016-09-20,10109
2016-09-21,10109
2016-09-22,10109
2016-09-23,10109
2016-09-24,10109
2016-09-25,10109
2016-09-26,10109
2016-09-27,9631
2016-09-28,9631
2016-09-29,9631
2016-09-30,9631
2016-10-01,9631
2016-10-02,9631
2016-10-03,9631
2016-10-04,9631
2016-10-05,9631
2016-10-06,9631
2016-10-07,9631
2016-10-08,9631
2016-10-09,9631
2016-10-10,9631
2016-10-11,9631
2016-10-12,9631
2016-10-13,9631
2016-10-14,9631
2016-10-15,9631
2016-10-16,9631
2016-10-17,9631
2016-10-18,9631
2016-10-19,9631
2016-10-20,9631
2016-10-21,9631
2016-10-22,9631
2016-10-23,9152
2016-10-24,9152
2016-10-25,9152
2016-10-26,9152
2016-10-27,9152
2016-10-28,9152
2016-10-29,9152
2016-10-30,9152
2016-10-31,9152
2016-11-01,9152
2016-11-02,9152
2016-11-03,9152
2016-11-04,9152
2016-11-05,9152
2016-11-06,9152
2016-11-07,9152
2016-11-08,9152
2016-11-09,9152
2016-11-10,9152
2016-11-11,9152
2016-11-12,9152
2016-11-13,9152
2016-11-14,9152
2016-12-07,8701
2016-12-08,8701
2016-12-09,8701
2016-12-10,8701
2016-12-11,8278
2016-12-12,8278
2016-12-13,8278
2016-12-14,8278
2016-12-15,8278
2016-12-16,8278
2016-12-17,8278
