date_obj,Menaphite%20purple%20robe price
2015-03-05,21000
2015-03-06,21000
2015-03-07,21000
2015-03-08,21000
2015-03-09,21000
2015-03-10,21000
2015-03-11,21000
2015-03-12,21000
2015-03-13,21000
2015-03-14,21000
2015-03-15,21000
2015-03-16,21000
2015-03-17,21000
2015-03-18,21000
2015-03-19,21000
2015-03-20,21000
2015-03-21,21000
2015-03-22,21000
2015-03-23,21000
2015-03-24,21000
2015-03-25,21000
2015-03-26,21000
2015-03-27,21000
2015-03-28,21000
2015-03-29,21000
2015-03-30,21000
2015-03-31,21000
2015-04-01,21000
2015-04-02,21000
2015-04-03,21000
2015-04-04,21000
2015-04-05,21000
2015-04-06,20262
2015-04-07,20262
2015-04-08,20262
2015-04-09,20262
2015-04-10,20262
2015-04-11,20262
2015-04-12,20262
2015-04-13,20262
2015-04-14,20262
2015-04-15,20262
2015-04-16,20262
2015-04-17,20262
2015-04-18,20262
2015-04-19,20262
2015-04-20,20262
2015-04-21,20262
2015-04-22,20262
2015-04-23,20262
2015-04-24,20262
2015-04-25,20262
2015-04-26,20262
2015-04-27,20262
2015-04-28,20262
2015-04-29,20262
2015-04-30,20262
2015-05-01,20262
2015-05-02,20262
2015-05-03,20262
2015-05-04,20262
2015-05-05,20262
2015-05-06,20262
2015-05-07,20262
2015-05-08,20262
2015-05-09,20262
2015-05-10,20262
2015-05-11,20262
2015-05-12,20262
2015-05-13,20262
2015-05-14,20262
2015-05-15,20262
2015-05-16,20262
2015-05-17,20262
2015-05-18,20262
2015-05-19,20262
2015-05-20,20262
2015-05-21,20262
2015-05-22,19394
2015-05-23,19394
2015-05-24,19394
2015-05-25,19394
2015-05-26,19394
2015-05-27,19394
2015-05-28,19394
2015-05-29,19394
2015-05-30,19394
2015-05-31,19394
2015-06-01,19394
2015-06-02,19394
2015-06-03,19394
2015-06-04,19394
2015-06-05,19394
2015-06-06,19394
2015-06-07,19394
2015-06-08,19394
2015-06-09,19394
2015-06-10,19394
2015-06-11,19394
2015-06-12,19394
2015-06-13,19394
2015-06-14,19394
2015-06-15,19394
2015-06-16,19394
2015-06-17,19394
2015-06-18,19394
2015-06-19,19394
2015-06-20,19394
2015-06-21,19394
2015-06-22,18436
2015-06-23,18436
2015-06-24,18436
2015-06-25,18436
2015-06-26,18436
2015-06-27,18436
2015-06-28,18436
2015-06-29,18436
2015-06-30,18436
2015-07-01,18436
2015-07-02,18436
2015-07-03,18436
2015-07-04,18436
2015-07-05,18436
2015-07-06,18436
2015-07-07,18436
2015-07-08,18436
2015-07-09,18436
2015-07-10,18436
2015-07-11,18436
2015-07-12,18436
2015-07-13,18436
2015-07-14,18436
2015-07-15,18436
2015-07-16,18436
2015-07-17,18436
2015-07-18,18436
2015-07-19,17518
2015-07-20,17518
2015-07-21,17518
2015-07-22,17518
2015-07-23,17518
2015-07-24,17518
2015-07-25,17518
2015-07-26,17518
2015-07-27,17518
2015-07-28,17518
2015-07-29,17518
2015-07-30,17518
2015-07-31,17518
2015-08-01,17518
2015-08-02,17518
2015-08-03,17518
2015-08-04,17518
2015-08-05,17518
2015-08-06,17518
2015-08-07,17518
2015-08-08,17518
2015-08-09,17518
2015-08-10,17518
2015-08-11,16690
2015-08-12,16690
2015-08-13,16690
2015-08-14,16690
2015-08-15,16690
2015-08-16,16690
2015-08-17,16690
2015-08-18,16690
2015-08-19,16690
2015-08-20,16690
2015-08-21,16690
2015-08-22,16690
2015-08-23,16690
2015-08-24,16690
2015-08-25,16690
2015-08-26,16690
2015-08-27,16690
2015-08-28,16690
2015-08-29,16690
2015-08-30,16690
2015-08-31,16690
2015-09-02,16690
2015-09-07,15902
2015-09-08,15902
2015-09-10,15902
2015-09-14,15902
2015-09-16,15902
2015-09-22,15902
2015-09-23,15902
2015-09-24,15902
2015-09-25,15902
2015-09-27,15902
2015-09-28,15902
2015-09-29,15902
2015-09-30,15902
2015-10-05,15121
2015-10-06,15121
2015-10-07,15121
2015-10-08,15121
2015-10-09,15121
2015-10-10,15121
2015-10-11,15121
2015-10-12,15121
2015-10-13,15121
2015-10-14,15121
2015-10-15,15121
2015-10-16,15121
2015-10-17,15121
2015-10-18,15121
2015-10-19,15121
2015-10-20,15121
2015-10-22,15121
2015-10-23,15121
2015-10-24,15121
2015-10-25,15121
2015-10-26,15121
2015-10-27,15121
2015-10-29,15121
2015-10-30,15121
2015-10-31,15121
2015-11-01,15121
2015-11-02,14380
2015-11-03,14380
2015-11-04,14380
2015-11-05,14380
2015-11-06,14380
2015-11-07,14380
2015-11-08,14380
2015-11-09,14380
2015-11-10,14380
2015-11-11,14380
2015-11-12,14380
2015-11-13,14380
2015-11-14,14380
2015-11-15,14380
2015-11-16,14380
2015-11-17,14380
2015-11-18,14380
2015-11-19,14380
2015-11-20,14380
2015-11-21,14380
2015-11-22,14380
2015-11-23,14380
2015-11-24,14380
2015-11-25,14380
2015-11-26,14380
2015-11-27,14380
2015-11-28,14380
2015-11-29,14380
2015-11-30,14380
2015-12-01,14380
2015-12-02,14380
2015-12-03,13681
2015-12-04,13681
2015-12-05,13681
2015-12-06,13681
2015-12-07,13681
2015-12-08,13681
2015-12-09,13681
2015-12-10,13681
2015-12-11,13681
2015-12-12,13681
2015-12-13,13681
2015-12-14,13681
2015-12-15,13681
2015-12-16,13681
2015-12-17,13681
2015-12-18,13681
2015-12-19,13681
2015-12-20,13681
2015-12-21,13681
2015-12-22,13681
2015-12-23,13681
2015-12-24,13681
2015-12-25,13681
2015-12-26,13681
2015-12-27,13681
2015-12-28,13681
2015-12-29,13681
2015-12-30,13019
2015-12-31,13019
2016-01-01,13019
2016-01-02,13019
2016-01-03,13019
2016-01-04,13019
2016-01-05,13019
2016-01-06,13019
2016-01-07,13019
2016-01-08,13019
2016-01-09,13019
2016-01-10,13019
2016-01-11,13019
2016-01-12,13019
2016-01-13,13019
2016-01-14,13019
2016-01-15,13019
2016-01-16,13019
2016-01-17,13019
2016-01-18,13019
2016-01-19,13019
2016-01-20,13019
2016-01-21,13019
2016-01-22,13019
2016-01-23,12374
2016-01-24,12374
2016-01-25,12374
2016-01-26,12374
2016-01-27,12374
2016-01-28,12374
2016-01-29,12374
2016-01-30,12374
2016-01-31,12374
2016-02-01,12374
2016-02-02,12374
2016-02-03,12374
2016-02-04,12374
2016-02-05,12374
2016-02-06,12374
2016-02-07,12374
2016-02-08,12374
2016-02-09,12374
2016-02-10,12374
2016-02-11,11785
2016-02-12,11785
2016-02-13,11785
2016-02-14,11785
2016-02-15,11785
2016-02-16,11785
2016-02-17,11785
2016-02-18,11785
2016-02-19,11785
2016-02-20,11785
2016-02-21,11785
2016-02-22,11785
2016-02-23,11785
2016-02-24,11785
2016-02-25,11785
2016-02-26,11785
2016-02-27,11785
2016-02-28,11785
2016-02-29,11785
2016-03-01,11785
2016-03-02,11785
2016-03-03,11785
2016-03-04,11785
2016-03-05,11785
2016-03-06,11785
2016-03-07,11785
2016-03-08,11233
2016-03-09,11233
2016-03-10,11233
2016-03-11,11233
2016-03-12,11233
2016-03-13,11233
2016-03-14,11233
2016-03-15,11233
2016-03-16,11233
2016-03-17,11233
2016-03-18,11233
2016-03-19,11233
2016-03-20,11233
2016-03-21,11233
2016-03-22,11233
2016-03-23,11233
2016-03-24,11233
2016-03-25,11233
2016-03-26,11233
2016-03-27,11233
2016-03-28,11233
2016-03-29,11233
2016-03-30,11233
2016-03-31,11233
2016-04-01,11233
2016-04-02,10717
2016-04-03,10717
2016-04-04,10717
2016-04-05,10717
2016-04-06,10717
2016-04-07,10717
2016-04-08,10717
2016-04-09,10717
2016-04-10,10717
2016-04-11,10717
2016-04-12,10717
2016-04-13,10717
2016-04-14,10717
2016-04-15,10717
2016-04-16,10717
2016-04-17,10717
2016-04-18,10717
2016-04-19,10717
2016-04-20,10717
2016-04-21,10717
2016-04-22,10717
2016-04-23,10717
2016-04-24,10717
2016-04-25,10717
2016-04-26,10717
2016-04-27,10717
2016-04-28,10717
2016-04-29,10189
2016-04-30,10189
2016-05-01,10189
2016-05-02,10189
2016-05-03,10189
2016-05-04,10189
2016-05-05,10189
2016-05-06,10189
2016-05-07,10189
2016-05-08,10189
2016-05-09,10189
2016-05-10,10189
2016-05-11,10189
2016-05-12,10189
2016-05-13,10189
2016-05-14,10189
2016-05-15,10189
2016-05-16,10189
2016-05-17,10189
2016-05-18,10189
2016-05-19,10189
2016-05-22,10189
2016-05-23,10189
2016-05-24,10189
2016-05-25,10189
2016-05-26,9765
2016-05-27,9765
2016-05-28,9765
2016-05-29,9765
2016-05-30,9765
2016-05-31,9765
2016-06-01,9765
2016-06-02,9765
2016-06-03,9765
2016-06-04,9765
2016-06-05,9765
2016-06-06,9765
2016-06-07,9765
2016-06-08,9765
2016-06-09,9765
2016-06-10,9765
2016-06-11,9765
2016-06-12,9765
2016-06-13,9765
2016-06-14,9765
2016-06-15,9765
2016-06-16,9765
2016-06-17,9765
2016-06-18,9765
2016-06-19,9765
2016-06-20,9311
2016-06-21,9311
2016-06-22,9311
2016-06-23,9311
2016-06-24,9311
2016-06-25,9311
2016-06-26,9311
2016-06-27,9311
2016-06-28,9311
2016-06-29,9311
2016-06-30,9311
2016-07-01,9311
2016-07-02,9311
2016-07-03,9311
2016-07-04,9311
2016-07-05,9311
2016-07-06,8851
2016-07-07,8851
2016-07-08,8851
2016-07-09,8851
2016-07-10,8491
2016-07-11,8491
2016-07-12,8491
2016-07-13,8491
2016-07-14,8491
2016-07-15,8491
2016-07-16,8201
2016-07-17,8201
2016-07-18,8201
2016-07-23,7790
2016-07-24,7790
2016-07-25,7790
2016-07-26,7790
2016-07-27,7790
2016-07-28,7790
2016-07-29,7790
2016-07-30,7404
2016-07-31,7404
2016-08-01,7404
2016-08-02,7404
2016-08-03,7404
2016-08-04,7404
2016-08-05,7404
2016-08-06,7404
2016-08-07,7054
2016-08-08,7054
2016-08-09,7054
2016-08-10,7054
2016-08-11,7054
2016-08-12,7054
2016-08-13,7054
2016-08-14,7054
2016-08-15,7054
2016-08-16,6701
2016-08-17,6701
2016-08-18,6701
2016-08-19,6701
2016-08-20,6701
2016-08-21,6701
2016-08-22,6701
2016-08-23,6701
2016-08-24,6461
2016-08-25,6461
2016-08-26,6461
2016-08-28,6461
2016-08-31,6461
2016-09-01,6461
2016-09-02,6461
2016-09-03,6396
2016-09-04,6396
2016-09-05,6396
2016-09-06,6396
2016-09-07,6396
2016-09-08,6396
2016-09-09,6396
2016-09-10,6396
2016-09-11,6396
2016-09-12,6396
2016-09-13,6396
2016-09-14,6396
2016-09-15,6396
2016-09-16,6396
2016-09-17,6332
2016-09-18,6332
2016-09-19,6332
2016-09-20,6332
2016-09-21,6332
2016-09-22,6332
2016-09-23,6332
2016-09-24,6332
2016-09-25,6332
2016-09-26,6332
2016-09-27,6332
2016-09-28,6332
2016-09-29,6332
2016-09-30,6214
2016-10-01,6214
2016-10-02,6214
2016-10-03,6214
2016-10-04,6214
2016-10-05,6214
2016-10-06,6214
2016-10-07,6214
2016-10-08,6214
2016-10-09,6214
2016-10-10,6214
2016-10-11,6214
2016-10-12,6214
2016-10-13,6214
2016-10-14,5905
2016-10-15,5905
2016-10-16,5905
2016-10-17,5905
2016-10-18,5905
2016-10-19,5905
2016-10-20,5905
2016-10-21,5905
2016-10-22,5905
2016-10-23,5905
2016-10-24,5905
2016-10-25,5905
2016-10-26,5905
2016-10-27,5619
2016-10-28,5619
2016-10-29,5619
2016-10-30,5619
2016-10-31,5619
2016-11-01,5619
2016-11-02,5619
2016-11-03,5619
2016-11-04,5619
2016-11-05,5619
2016-11-06,5619
2016-11-07,5619
2016-11-08,5619
2016-11-09,5354
2016-11-10,5354
2016-11-11,5354
2016-11-12,5354
2016-11-13,5354
2016-11-14,5354
2016-12-07,4861
2016-12-08,4861
2016-12-09,4861
2016-12-10,4861
2016-12-11,4861
2016-12-12,4861
2016-12-13,4861
2016-12-14,4861
2016-12-15,4861
2016-12-16,4861
2016-12-17,4699
