date_obj,Mithril%202h%20sword price
2015-03-26,1546
2015-03-27,1546
2015-03-28,1528
2015-03-29,1529
2015-03-30,1504
2015-03-31,1487
2015-04-01,1487
2015-04-02,1453
2015-04-03,1471
2015-04-04,1528
2015-04-05,1528
2015-04-06,1561
2015-04-07,1575
2015-04-08,1575
2015-04-09,1534
2015-04-10,1591
2015-04-11,1623
2015-04-12,1623
2015-04-13,1608
2015-04-14,1608
2015-04-15,1559
2015-04-16,1559
2015-04-17,1504
2015-04-18,1469
2015-04-19,1456
2015-04-20,1456
2015-04-21,1479
2015-04-22,1479
2015-04-23,1521
2015-04-24,1521
2015-04-25,1560
2015-04-26,1560
2015-04-27,1561
2015-04-28,1523
2015-04-29,1523
2015-04-30,1482
2015-05-01,1416
2015-05-02,1364
2015-05-03,1364
2015-05-04,1335
2015-05-05,1335
2015-05-06,1347
2015-05-07,1337
2015-05-08,1287
2015-05-09,1271
2015-05-10,1299
2015-05-11,1299
2015-05-12,1328
2015-05-13,1328
2015-05-14,1360
2015-05-15,1360
2015-05-16,1358
2015-05-17,1378
2015-05-18,1369
2015-05-19,1369
2015-05-20,1371
2015-05-21,1371
2015-05-22,1336
2015-05-23,1336
2015-05-24,1352
2015-05-25,1357
2015-05-26,1357
2015-05-27,1360
2015-05-28,1326
2015-05-29,1320
2015-05-30,1299
2015-05-31,1311
2015-06-01,1300
2015-06-02,1300
2015-06-03,1328
2015-06-04,1368
2015-06-05,1368
2015-06-06,1397
2015-06-07,1376
2015-06-08,1360
2015-06-09,1359
2015-06-10,1350
2015-06-11,1350
2015-06-12,1371
2015-06-13,1387
2015-06-14,1382
2015-06-15,1348
2015-06-16,1391
2015-06-17,1432
2015-06-18,1419
2015-06-19,1370
2015-06-20,1363
2015-06-21,1334
2015-06-22,1336
2015-06-23,1355
2015-06-24,1373
2015-06-25,1373
2015-06-26,1401
2015-06-27,1401
2015-06-28,1383
2015-06-29,1367
2015-06-30,1395
2015-07-01,1365
2015-07-02,1365
2015-07-03,1360
2015-07-04,1354
2015-07-05,1347
2015-07-06,1359
2015-07-07,1354
2015-07-08,1418
2015-07-09,1418
2015-07-10,1475
2015-07-11,1475
2015-07-12,1457
2015-07-13,1428
2015-07-14,1420
2015-07-15,1378
2015-07-16,1323
2015-07-17,1331
2015-07-18,1331
2015-07-19,1347
2015-07-20,1359
2015-07-21,1316
2015-07-22,1353
2015-07-23,1353
2015-07-24,1391
2015-07-25,1428
2015-07-26,1398
2015-07-27,1450
2015-07-28,1470
2015-07-29,1519
2015-07-30,1552
2015-07-31,1552
2015-08-01,1551
2015-08-02,1527
2015-08-03,1529
2015-08-04,1497
2015-08-05,1498
2015-08-06,1516
2015-08-07,1489
2015-08-08,1509
2015-08-09,1511
2015-08-10,1499
2015-08-11,1511
2015-08-12,1511
2015-08-13,1509
2015-08-14,1519
2015-08-15,1519
2015-08-16,1503
2015-08-17,1495
2015-08-18,1469
2015-08-19,1496
2015-08-20,1509
2015-08-21,1516
2015-08-22,1505
2015-08-23,1505
2015-08-24,1472
2015-08-25,1472
2015-08-26,1475
2015-08-27,1462
2015-08-28,1467
2015-08-29,1504
2015-08-30,1504
2015-08-31,1495
2015-09-01,1492
2015-09-02,1492
2015-09-03,1509
2015-09-04,1448
2015-09-05,1448
2015-09-06,1413
2015-09-07,1364
2015-09-08,1359
2015-09-09,1340
2015-09-10,1356
2015-09-11,1377
2015-09-12,1392
2015-09-13,1415
2015-09-14,1391
2015-09-15,1391
2015-09-16,1391
2015-09-17,1379
2015-09-18,1379
2015-09-19,1400
2015-09-20,1400
2015-09-21,1399
2015-09-22,1434
2015-09-23,1453
2015-09-24,1453
2015-09-25,1472
2015-09-27,1426
2015-09-28,1434
2015-09-29,1468
2015-09-30,1484
2015-10-05,1408
2015-10-06,1390
2015-10-07,1390
2015-10-08,1380
2015-10-09,1342
2015-10-10,1342
2015-10-11,1361
2015-10-12,1378
2015-10-13,1378
2015-10-14,1379
2015-10-15,1383
2015-10-16,1417
2015-10-17,1417
2015-10-18,1379
2015-10-19,1398
2015-10-20,1392
2015-10-22,1424
2015-10-23,1431
2015-10-24,1423
2015-10-25,1408
2015-10-26,1413
2015-10-27,1413
2015-10-29,1389
2015-10-30,1389
2015-10-31,1365
2015-11-01,1365
2015-11-02,1338
2015-11-03,1342
2015-11-04,1388
2015-11-05,1362
2015-11-06,1362
2015-11-07,1396
2015-11-08,1396
2015-11-09,1356
2015-11-10,1356
2015-11-11,1366
2015-11-12,1392
2015-11-13,1392
2015-11-14,1362
2015-11-15,1378
2015-11-16,1402
2015-11-17,1396
2015-11-18,1396
2015-11-19,1416
2015-11-20,1387
2015-11-21,1387
2015-11-22,1382
2015-11-23,1382
2015-11-24,1362
2015-11-25,1403
2015-11-26,1403
2015-11-27,1411
2015-11-28,1397
2015-11-29,1365
2015-11-30,1374
2015-12-01,1374
2015-12-02,1344
2015-12-03,1376
2015-12-04,1376
2015-12-05,1410
2015-12-06,1432
2015-12-07,1432
2015-12-08,1419
2015-12-09,1430
2015-12-10,1484
2015-12-11,1511
2015-12-12,1493
2015-12-13,1522
2015-12-14,1522
2015-12-15,1551
2015-12-16,1512
2015-12-17,1512
2015-12-18,1556
2015-12-19,1569
2015-12-20,1513
2015-12-21,1501
2015-12-22,1534
2015-12-23,1520
2015-12-24,1520
2015-12-25,1477
2015-12-26,1427
2015-12-27,1386
2015-12-28,1361
2015-12-29,1382
2015-12-30,1395
2015-12-31,1377
2016-01-01,1377
2016-01-02,1397
2016-01-03,1394
2016-01-04,1414
2016-01-05,1431
2016-01-06,1440
2016-01-07,1444
2016-01-08,1427
2016-01-09,1427
2016-01-10,1390
2016-01-11,1358
2016-01-12,1356
2016-01-13,1356
2016-01-14,1373
2016-01-15,1395
2016-01-16,1383
2016-01-17,1388
2016-01-18,1403
2016-01-19,1403
2016-01-20,1406
2016-01-21,1369
2016-01-22,1382
2016-01-23,1359
2016-01-24,1357
2016-01-25,1346
2016-01-26,1368
2016-01-27,1392
2016-01-28,1392
2016-01-29,1383
2016-01-30,1383
2016-01-31,1409
2016-02-01,1435
2016-02-02,1407
2016-02-03,1437
2016-02-04,1437
2016-02-05,1418
2016-02-06,1412
2016-02-07,1412
2016-02-08,1383
2016-02-09,1380
2016-02-10,1387
2016-02-11,1387
2016-02-12,1373
2016-02-13,1387
2016-02-14,1387
2016-02-15,1389
2016-02-16,1419
2016-02-17,1394
2016-02-18,1394
2016-02-19,1382
2016-02-20,1386
2016-02-21,1381
2016-02-22,1381
2016-02-23,1420
2016-02-24,1458
2016-02-25,1416
2016-02-26,1416
2016-02-27,1390
2016-02-28,1357
2016-02-29,1375
2016-03-01,1347
2016-03-02,1359
2016-03-03,1377
2016-03-04,1372
2016-03-05,1379
2016-03-06,1361
2016-03-07,1361
2016-03-08,1359
2016-03-09,1374
2016-03-10,1402
2016-03-11,1396
2016-03-12,1402
2016-03-13,1381
2016-03-14,1318
2016-03-15,1336
2016-03-16,1341
2016-03-17,1326
2016-03-18,1328
2016-03-19,1344
2016-03-20,1350
2016-03-21,1350
2016-03-22,1356
2016-03-23,1357
2016-03-24,1348
2016-03-25,1342
2016-03-26,1355
2016-03-27,1376
2016-03-28,1354
2016-03-29,1322
2016-03-30,1322
2016-03-31,1356
2016-04-01,1349
2016-04-02,1372
2016-04-03,1388
2016-04-04,1406
2016-04-05,1394
2016-04-06,1378
2016-04-07,1414
2016-04-08,1422
2016-04-09,1402
2016-04-10,1373
2016-04-11,1373
2016-04-12,1371
2016-04-13,1385
2016-04-14,1423
2016-04-15,1416
2016-04-16,1478
2016-04-17,1467
2016-04-18,1425
2016-04-19,1444
2016-04-20,1439
2016-04-21,1438
2016-04-22,1438
2016-04-23,1390
2016-04-24,1355
2016-04-25,1367
2016-04-26,1418
2016-04-27,1400
2016-04-28,1447
2016-04-29,1428
2016-04-30,1394
2016-05-01,1360
2016-05-02,1356
2016-05-03,1400
2016-05-04,1375
2016-05-05,1400
2016-05-06,1400
2016-05-07,1388
2016-05-08,1388
2016-05-09,1355
2016-05-10,1358
2016-05-11,1358
2016-05-12,1362
2016-05-13,1378
2016-05-14,1362
