date_obj,Mithril%20claws price
2015-03-26,4000
2015-03-27,4000
2015-03-28,4000
2015-03-29,4000
2015-03-30,4000
2015-03-31,4000
2015-04-01,4000
2015-04-02,4000
2015-04-03,4000
2015-04-04,4000
2015-04-05,4000
2015-04-06,4000
2015-04-07,4000
2015-04-08,4000
2015-04-09,4000
2015-04-10,4000
2015-04-11,4000
2015-04-12,4000
2015-04-13,3892
2015-04-14,3892
2015-04-15,3892
2015-04-16,3892
2015-04-17,3892
2015-04-18,3892
2015-04-19,3892
2015-04-20,3892
2015-04-21,3892
2015-04-22,3892
2015-04-23,3892
2015-04-24,3892
2015-04-25,3892
2015-04-26,3892
2015-04-27,3892
2015-04-28,3892
2015-04-29,3892
2015-04-30,3892
2015-05-01,3892
2015-05-02,3892
2015-05-03,3892
2015-05-04,3892
2015-05-05,3892
2015-05-06,3892
2015-05-07,3892
2015-05-08,3892
2015-05-09,3892
2015-05-10,3892
2015-05-11,3892
2015-05-12,3892
2015-05-13,3892
2015-05-14,3892
2015-05-15,3892
2015-05-16,3892
2015-05-17,3892
2015-05-18,3892
2015-05-19,3892
2015-05-20,3892
2015-05-21,3892
2015-05-22,3892
2015-05-23,3892
2015-05-24,3892
2015-05-25,3892
2015-05-26,3892
2015-05-27,3892
2015-05-28,3702
2015-05-29,3702
2015-05-30,3702
2015-05-31,3702
2015-06-01,3702
2015-06-02,3702
2015-06-03,3702
2015-06-04,3702
2015-06-05,3702
2015-06-06,3702
2015-06-07,3702
2015-06-08,3702
2015-06-09,3702
2015-06-10,3702
2015-06-11,3702
2015-06-12,3702
2015-06-13,3702
2015-06-14,3702
2015-06-15,3702
2015-06-16,3702
2015-06-17,3702
2015-06-18,3702
2015-06-19,3702
2015-06-20,3702
2015-06-21,3702
2015-06-22,3702
2015-06-23,3702
2015-06-24,3702
2015-06-25,3702
2015-06-26,3702
2015-06-27,3702
2015-06-28,3702
2015-06-29,3702
2015-06-30,3702
2015-07-01,3702
2015-07-02,3702
2015-07-03,3702
2015-07-04,3702
2015-07-05,3702
2015-07-06,3702
2015-07-07,3702
2015-07-08,3702
2015-07-09,3702
2015-07-10,3702
2015-07-11,3523
2015-07-12,3523
2015-07-13,3523
2015-07-14,3523
2015-07-15,3523
2015-07-16,3523
2015-07-17,3523
2015-07-18,3523
2015-07-19,3523
2015-07-20,3523
2015-07-21,3523
2015-07-22,3523
2015-07-23,3523
2015-07-24,3523
2015-07-25,3523
2015-07-26,3523
2015-07-27,3523
2015-07-28,3523
2015-07-29,3523
2015-07-30,3523
2015-07-31,3523
2015-08-01,3523
2015-08-02,3523
2015-08-03,3523
2015-08-04,3523
2015-08-05,3523
2015-08-06,3523
2015-08-07,3523
2015-08-08,3523
2015-08-09,3523
2015-08-10,3523
2015-08-11,3523
2015-08-12,3523
2015-08-13,3523
2015-08-14,3523
2015-08-15,3523
2015-08-16,3523
2015-08-17,3523
2015-08-18,3523
2015-08-19,3523
2015-08-20,3523
2015-08-21,3523
2015-08-22,3523
2015-08-23,3523
2015-08-24,3523
2015-08-25,3523
2015-08-26,3523
2015-08-27,3523
2015-08-28,3523
2015-08-29,3349
2015-08-30,3349
2015-08-31,3349
2015-09-01,3349
2015-09-02,3349
2015-09-03,3349
2015-09-04,3349
2015-09-05,3349
2015-09-06,3349
2015-09-07,3349
2015-09-08,3349
2015-09-09,3349
2015-09-10,3349
2015-09-11,3349
2015-09-12,3349
2015-09-13,3349
2015-09-14,3349
2015-09-15,3349
2015-09-16,3349
2015-09-17,3349
2015-09-18,3349
2015-09-19,3349
2015-09-20,3349
2015-09-21,3349
2015-09-22,3349
2015-09-23,3349
2015-09-24,3349
2015-09-25,3349
2015-09-27,3349
2015-09-28,3349
2015-09-29,3349
2015-09-30,3349
2015-10-05,3349
2015-10-06,3349
2015-10-07,3349
2015-10-08,3349
2015-10-09,3349
2015-10-10,3349
2015-10-11,3349
2015-10-12,3349
2015-10-13,3349
2015-10-14,3349
2015-10-15,3349
2015-10-16,3349
2015-10-17,3349
2015-10-18,3349
2015-10-19,3349
2015-10-20,3349
2015-10-22,3349
2015-10-23,3185
2015-10-24,3185
2015-10-25,3185
2015-10-26,3185
2015-10-27,3185
2015-10-29,3185
2015-10-30,3185
2015-10-31,3185
2015-11-01,3185
2015-11-02,3185
2015-11-03,3185
2015-11-04,3185
2015-11-05,3185
2015-11-06,3185
2015-11-07,3185
2015-11-08,3185
2015-11-09,3185
2015-11-10,3185
2015-11-11,3185
2015-11-12,3185
2015-11-13,3185
2015-11-14,3185
2015-11-15,3185
2015-11-16,3185
2015-11-17,3185
2015-11-18,3185
2015-11-19,3185
2015-11-20,3185
2015-11-21,3185
2015-11-22,3185
2015-11-23,3185
2015-11-24,3185
2015-11-25,3185
2015-11-26,3185
2015-11-27,3185
2015-11-28,3185
2015-11-29,3185
2015-11-30,3185
2015-12-01,3185
2015-12-02,3185
2015-12-03,3185
2015-12-04,3185
2015-12-05,3185
2015-12-06,3185
2015-12-07,3185
2015-12-08,3185
2015-12-09,3185
2015-12-10,3185
2015-12-11,3185
2015-12-12,3185
2015-12-13,3031
2015-12-14,3031
2015-12-15,3031
2015-12-16,3031
2015-12-17,3031
2015-12-18,3031
2015-12-19,3031
2015-12-20,3031
2015-12-21,3031
2015-12-22,3031
2015-12-23,3031
2015-12-24,3031
2015-12-25,3031
2015-12-26,3031
2015-12-27,3031
2015-12-28,3031
2015-12-29,3031
2015-12-30,3031
2015-12-31,3031
2016-01-01,3031
2016-01-02,3031
2016-01-03,3031
2016-01-04,3031
2016-01-05,3031
2016-01-06,3031
2016-01-07,3031
2016-01-08,3031
2016-01-09,3031
2016-01-10,3031
2016-01-11,3031
2016-01-12,3031
2016-01-13,3031
2016-01-14,3031
2016-01-15,3031
2016-01-16,3031
2016-01-17,3031
2016-01-18,3031
2016-01-19,3031
2016-01-20,3031
2016-01-21,3031
2016-01-22,3031
2016-01-23,3031
2016-01-24,2884
2016-01-25,2884
2016-01-26,2884
2016-01-27,2884
2016-01-28,2884
2016-01-29,2884
2016-01-30,2884
2016-01-31,2884
2016-02-01,2884
2016-02-02,2884
2016-02-03,2884
2016-02-04,2884
2016-02-05,2884
2016-02-06,2884
2016-02-07,2884
2016-02-08,2884
2016-02-09,2884
2016-02-10,2884
2016-02-11,2884
2016-02-12,2884
2016-02-13,2884
2016-02-14,2884
2016-02-15,2884
2016-02-16,2884
2016-02-17,2884
2016-02-18,2884
2016-02-19,2884
2016-02-20,2884
2016-02-21,2884
2016-02-22,2884
2016-02-23,2884
2016-02-24,2884
2016-02-25,2884
2016-02-26,2884
2016-02-27,2884
2016-02-28,2884
2016-02-29,2884
2016-03-01,2884
2016-03-02,2884
2016-03-03,2884
2016-03-04,2884
2016-03-05,2744
2016-03-06,2744
2016-03-07,2744
2016-03-08,2744
2016-03-09,2744
2016-03-10,2744
2016-03-11,2744
2016-03-12,2744
2016-03-13,2744
2016-03-14,2744
2016-03-15,2744
2016-03-16,2744
2016-03-17,2744
2016-03-18,2744
2016-03-19,2744
2016-03-20,2744
2016-03-21,2744
2016-03-22,2744
2016-03-23,2744
2016-03-24,2744
2016-03-25,2744
2016-03-26,2744
2016-03-27,2744
2016-03-28,2744
2016-03-29,2744
2016-03-30,2744
2016-03-31,2744
2016-04-01,2744
2016-04-02,2744
2016-04-03,2744
2016-04-04,2744
2016-04-05,2744
2016-04-06,2744
2016-04-07,2744
2016-04-08,2744
2016-04-09,2744
2016-04-10,2744
2016-04-11,2744
2016-04-12,2744
2016-04-13,2608
2016-04-14,2608
2016-04-15,2608
2016-04-16,2608
2016-04-17,2608
2016-04-18,2608
2016-04-19,2608
2016-04-20,2608
2016-04-21,2608
2016-04-22,2608
2016-04-23,2608
2016-04-24,2608
2016-04-25,2608
2016-04-26,2608
2016-04-27,2608
2016-04-28,2608
2016-04-29,2608
2016-04-30,2608
2016-05-01,2608
2016-05-02,2608
2016-05-03,2608
2016-05-04,2608
2016-05-05,2608
2016-05-06,2608
