date_obj,Mithril%20crossbow%20(u) price
2015-03-26,125
2015-03-27,125
2015-03-28,125
2015-03-29,125
2015-03-30,125
2015-03-31,125
2015-04-01,125
2015-04-02,125
2015-04-03,125
2015-04-04,125
2015-04-05,125
2015-04-06,125
2015-04-07,125
2015-04-08,125
2015-04-09,125
2015-04-10,125
2015-04-11,125
2015-04-12,125
2015-04-13,125
2015-04-14,125
2015-04-15,125
2015-04-16,125
2015-04-17,125
2015-04-18,125
2015-04-19,125
2015-04-20,128
2015-04-21,128
2015-04-22,128
2015-04-23,128
2015-04-24,128
2015-04-25,128
2015-04-26,128
2015-04-27,128
2015-04-28,128
2015-04-29,128
2015-04-30,128
2015-05-01,128
2015-05-02,128
2015-05-03,128
2015-05-04,128
2015-05-05,128
2015-05-06,128
2015-05-07,128
2015-05-08,128
2015-05-09,128
2015-05-10,128
2015-05-11,128
2015-05-12,128
2015-05-13,128
2015-05-14,128
2015-05-15,128
2015-05-16,128
2015-05-17,128
2015-05-18,128
2015-05-19,135
2015-05-20,135
2015-05-21,135
2015-05-22,135
2015-05-23,135
2015-05-24,135
2015-05-25,135
2015-05-26,135
2015-05-27,135
2015-05-28,135
2015-05-29,135
2015-05-30,135
2015-05-31,135
2015-06-01,135
2015-06-02,135
2015-06-03,135
2015-06-04,135
2015-06-05,135
2015-06-06,135
2015-06-07,135
2015-06-08,135
2015-06-09,135
2015-06-10,141
2015-06-11,141
2015-06-12,141
2015-06-13,141
2015-06-14,141
2015-06-15,141
2015-06-16,141
2015-06-17,141
2015-06-18,141
2015-06-19,141
2015-06-20,141
2015-06-21,141
2015-06-22,141
2015-06-23,141
2015-06-24,141
2015-06-25,141
2015-06-26,141
2015-06-27,141
2015-06-28,141
2015-06-29,141
2015-06-30,141
2015-07-01,141
2015-07-02,141
2015-07-03,148
2015-07-04,148
2015-07-05,148
2015-07-06,148
2015-07-07,148
2015-07-08,148
2015-07-09,148
2015-07-10,148
2015-07-11,148
2015-07-12,148
2015-07-13,148
2015-07-14,148
2015-07-15,148
2015-07-16,148
2015-07-17,148
2015-07-18,148
2015-07-19,148
2015-07-20,148
2015-07-21,148
2015-07-22,148
2015-07-23,148
2015-07-24,148
2015-07-25,148
2015-07-26,152
2015-07-27,152
2015-07-28,152
2015-07-29,152
2015-07-30,152
2015-07-31,152
2015-08-01,152
2015-08-02,152
2015-08-03,152
2015-08-04,152
2015-08-05,152
2015-08-06,152
2015-08-07,152
2015-08-08,152
2015-08-09,152
2015-08-10,152
2015-08-11,152
2015-08-12,152
2015-08-13,152
2015-08-14,152
2015-08-15,152
2015-08-16,152
2015-08-17,152
2015-08-18,160
2015-08-19,160
2015-08-20,160
2015-08-21,160
2015-08-22,160
2015-08-23,160
2015-08-24,160
2015-08-25,160
2015-08-26,160
2015-08-27,160
2015-08-28,160
2015-08-29,160
2015-08-30,160
2015-08-31,160
2015-09-01,160
2015-09-02,160
2015-09-03,160
2015-09-04,160
2015-09-05,160
2015-09-06,160
2015-09-07,160
2015-09-08,160
2015-09-09,160
2015-09-10,160
2015-09-11,160
2015-09-12,160
2015-09-13,160
2015-09-14,160
2015-09-15,160
2015-09-16,160
2015-09-17,165
2015-09-18,165
2015-09-19,165
2015-09-20,165
2015-09-21,165
2015-09-22,165
2015-09-23,165
2015-09-24,165
2015-09-25,165
2015-09-27,165
2015-09-28,165
2015-09-29,165
2015-09-30,165
2015-10-05,165
2015-10-06,165
2015-10-07,165
2015-10-08,165
2015-10-09,165
2015-10-10,165
2015-10-11,165
2015-10-12,165
2015-10-13,165
2015-10-14,165
2015-10-15,165
2015-10-16,165
2015-10-17,172
2015-10-18,172
2015-10-19,172
2015-10-20,172
2015-10-22,172
2015-10-23,172
2015-10-24,172
2015-10-25,172
2015-10-26,172
2015-10-27,172
2015-10-29,172
2015-10-30,172
2015-10-31,172
2015-11-01,172
2015-11-02,172
2015-11-03,172
2015-11-04,172
2015-11-05,172
2015-11-06,172
2015-11-07,172
2015-11-08,172
2015-11-09,172
2015-11-10,172
2015-11-11,172
2015-11-12,172
2015-11-13,172
2015-11-14,172
2015-11-15,180
2015-11-16,180
2015-11-17,180
2015-11-18,180
2015-11-19,180
2015-11-20,180
2015-11-21,180
2015-11-22,180
2015-11-23,180
2015-11-24,180
2015-11-25,180
2015-11-26,180
2015-11-27,180
2015-11-28,180
2015-11-29,180
2015-11-30,180
2015-12-01,180
2015-12-02,180
2015-12-03,180
2015-12-04,180
2015-12-05,180
2015-12-06,180
2015-12-07,180
2015-12-08,180
2015-12-09,180
2015-12-10,180
2015-12-11,186
2015-12-12,186
2015-12-13,186
2015-12-14,186
2015-12-15,186
2015-12-16,186
2015-12-17,186
2015-12-18,186
