date_obj,Mithril%20kiteshield%20(g) price
2015-03-26,28091
2015-03-27,28091
2015-03-28,26999
2015-03-29,26564
2015-03-30,27129
2015-03-31,26760
2015-04-01,26760
2015-04-02,26164
2015-04-03,25820
2015-04-04,25457
2015-04-05,25457
2015-04-06,24894
2015-04-07,24351
2015-04-08,24351
2015-04-09,23702
2015-04-10,23672
2015-04-11,23215
2015-04-12,22645
2015-04-13,22091
2015-04-14,22091
2015-04-15,21534
2015-04-16,21147
2015-04-17,20847
2015-04-18,20123
2015-04-19,20033
2015-04-20,20483
2015-04-21,21111
2015-04-22,21943
2015-04-23,22676
2015-04-24,23312
2015-04-25,23452
2015-04-26,23780
2015-04-27,23306
2015-04-28,23042
2015-04-29,23042
2015-04-30,22497
2015-05-01,21924
2015-05-02,20996
2015-05-03,20996
2015-05-04,20062
2015-05-05,19124
2015-05-06,18226
2015-05-07,17681
2015-05-08,16925
2015-05-09,16770
2015-05-10,16367
2015-05-11,16367
2015-05-12,15829
2015-05-13,15489
2015-05-14,15362
2015-05-15,15408
2015-05-16,15408
2015-05-17,15698
2015-05-18,15329
2015-05-19,15203
2015-05-20,15203
2015-05-21,15533
2015-05-22,15871
2015-05-23,16400
2015-05-24,16555
2015-05-25,16882
2015-05-26,17248
2015-05-27,17248
2015-05-28,17018
2015-05-29,16614
2015-05-30,16025
2015-05-31,15819
2015-06-01,15555
2015-06-02,15555
2015-06-03,15417
2015-06-04,15417
2015-06-05,15311
2015-06-06,15373
2015-06-07,15434
2015-06-08,15281
2015-06-09,15618
2015-06-10,15954
2015-06-11,15954
2015-06-12,16233
2015-06-13,16762
2015-06-14,16645
2015-06-15,16645
2015-06-16,16858
2015-06-17,16858
2015-06-18,17251
2015-06-19,17251
2015-06-20,17904
2015-06-21,17904
2015-06-22,17647
2015-06-23,17249
2015-06-24,17351
2015-06-25,17351
2015-06-26,17249
2015-06-27,17249
2015-06-28,17203
2015-06-29,17203
2015-06-30,17047
2015-07-01,17479
2015-07-02,17479
2015-07-03,17870
2015-07-04,18113
2015-07-05,18113
2015-07-06,18667
2015-07-07,19365
2015-07-08,19712
2015-07-09,19712
2015-07-10,19873
2015-07-11,19873
2015-07-12,20019
2015-07-13,19256
2015-07-14,19385
2015-07-15,19676
2015-07-16,19125
2015-07-17,18821
2015-07-18,18449
2015-07-19,18283
2015-07-20,18913
2015-07-21,18913
2015-07-22,19365
2015-07-23,19365
2015-07-24,20334
2015-07-25,20334
2015-07-26,21208
2015-07-27,22152
2015-07-28,22152
2015-07-29,23144
2015-07-30,23144
2015-07-31,23559
2015-08-01,23559
2015-08-02,22980
2015-08-03,22980
2015-08-04,22161
2015-08-05,21399
2015-08-06,20772
2015-08-07,20772
2015-08-08,20238
2015-08-09,19271
2015-08-10,19062
2015-08-11,18618
2015-08-12,18618
2015-08-13,18375
2015-08-14,17965
2015-08-15,17437
2015-08-16,17392
2015-08-17,17731
2015-08-18,17731
2015-08-19,18394
2015-08-20,18394
2015-08-21,18938
2015-08-22,19126
2015-08-23,19126
2015-08-24,18896
2015-08-25,18896
2015-08-26,18936
2015-08-27,18908
2015-08-28,18908
2015-08-29,18828
2015-08-30,18828
2015-08-31,18776
2015-09-01,19164
2015-09-02,19164
2015-09-03,18739
2015-09-04,19372
2015-09-05,19372
2015-09-06,19503
2015-09-07,19658
2015-09-08,20138
2015-09-09,20138
2015-09-10,20730
2015-09-11,20901
2015-09-12,20901
2015-09-13,21696
2015-09-14,21696
2015-09-15,22355
2015-09-16,22355
2015-09-17,22770
2015-09-18,22770
2015-09-19,21881
2015-09-20,21881
2015-09-21,22149
2015-09-22,21897
2015-09-23,22232
2015-09-24,22232
2015-09-25,22232
2015-09-27,22152
2015-09-28,21116
2015-09-29,21116
2015-09-30,20496
2015-10-05,20009
2015-10-06,20060
2015-10-07,20060
2015-10-08,19238
2015-10-09,18705
