date_obj,Mithril%20longsword price
2015-03-26,540
2015-03-27,540
2015-03-28,527
2015-03-29,527
2015-03-30,527
2015-03-31,541
2015-04-01,541
2015-04-02,541
2015-04-03,541
2015-04-04,551
2015-04-05,551
2015-04-06,551
2015-04-07,551
2015-04-08,541
2015-04-09,541
2015-04-10,541
2015-04-11,541
2015-04-12,529
2015-04-13,529
2015-04-14,529
2015-04-15,529
2015-04-16,523
2015-04-17,523
2015-04-18,523
2015-04-19,534
2015-04-20,534
2015-04-21,534
2015-04-22,534
2015-04-23,537
2015-04-24,537
2015-04-25,537
2015-04-26,537
2015-04-27,541
2015-04-28,541
2015-04-29,541
2015-04-30,541
2015-05-01,541
2015-05-02,541
2015-05-03,541
2015-05-04,541
2015-05-05,542
2015-05-06,542
2015-05-07,542
2015-05-08,542
2015-05-09,557
2015-05-10,557
2015-05-11,557
2015-05-12,557
2015-05-13,563
2015-05-14,563
2015-05-15,563
2015-05-16,563
2015-05-17,556
2015-05-18,556
2015-05-19,556
2015-05-20,556
2015-05-21,556
2015-05-22,561
2015-05-23,561
2015-05-24,561
2015-05-25,561
2015-05-26,539
2015-05-27,539
2015-05-28,539
2015-05-29,529
2015-05-30,529
2015-05-31,539
2015-06-01,539
2015-06-02,539
2015-06-03,534
2015-06-04,534
2015-06-05,534
2015-06-06,549
2015-06-07,549
2015-06-08,549
2015-06-09,548
2015-06-10,548
2015-06-11,548
2015-06-12,562
2015-06-13,562
2015-06-14,562
2015-06-15,582
2015-06-16,582
2015-06-17,582
2015-06-18,590
2015-06-19,590
2015-06-20,590
2015-06-21,589
2015-06-22,589
2015-06-23,589
2015-06-24,595
2015-06-25,595
2015-06-26,595
2015-06-27,605
2015-06-28,605
2015-06-29,605
2015-06-30,600
2015-07-01,600
2015-07-02,600
2015-07-03,600
2015-07-04,600
2015-07-05,600
2015-07-06,602
2015-07-07,602
2015-07-08,602
2015-07-09,603
2015-07-10,603
2015-07-11,603
2015-07-12,599
2015-07-13,599
2015-07-14,599
2015-07-15,617
2015-07-16,617
2015-07-17,617
2015-07-18,619
2015-07-19,619
2015-07-20,619
2015-07-21,614
2015-07-22,614
2015-07-23,614
2015-07-24,618
2015-07-25,618
2015-07-26,618
2015-07-27,613
2015-07-28,613
2015-07-29,613
2015-07-30,622
2015-07-31,622
2015-08-01,622
2015-08-02,623
2015-08-03,623
2015-08-04,623
2015-08-05,617
2015-08-06,617
2015-08-07,617
2015-08-08,620
2015-08-09,620
2015-08-10,625
2015-08-11,625
2015-08-12,625
2015-08-13,630
2015-08-14,630
2015-08-15,630
2015-08-16,633
2015-08-17,633
2015-08-18,633
2015-08-19,635
2015-08-20,635
2015-08-21,635
2015-08-22,634
2015-08-23,634
2015-08-24,634
2015-08-25,634
2015-08-26,641
2015-08-27,641
2015-08-28,641
2015-08-29,635
2015-08-30,635
2015-08-31,635
2015-09-01,641
2015-09-02,641
2015-09-03,641
2015-09-04,625
