date_obj,Mithril%20plateskirt price
2015-03-26,9892
2015-03-27,9892
2015-03-28,9412
2015-03-29,9412
2015-03-30,9412
2015-03-31,9412
2015-04-01,9412
2015-04-02,8960
2015-04-03,8960
2015-04-04,8960
2015-04-05,8960
2015-04-06,8960
2015-04-07,8529
2015-04-08,8529
2015-04-09,8529
2015-04-10,8529
2015-04-11,8529
2015-04-12,8151
2015-04-13,8151
2015-04-14,8151
2015-04-15,8151
2015-04-16,8151
2015-04-17,7748
2015-04-18,7748
2015-04-19,7748
2015-04-20,7748
2015-04-21,7748
2015-04-22,7388
2015-04-23,7388
2015-04-24,7388
2015-04-25,7388
2015-04-26,7023
2015-04-27,7023
2015-04-28,7023
2015-04-29,7023
2015-04-30,6692
2015-05-01,6692
2015-05-02,6692
2015-05-03,6379
2015-05-04,6379
2015-05-05,6379
2015-05-06,6060
2015-05-07,6060
2015-05-08,6060
2015-05-09,5762
2015-05-10,5762
2015-05-11,5762
2015-05-12,5487
2015-05-13,5487
2015-05-14,5487
2015-05-15,5252
2015-05-16,5252
2015-05-17,5252
2015-05-18,5252
2015-05-19,5002
2015-05-20,5002
2015-05-21,5002
2015-05-22,5002
2015-05-23,5002
2015-05-24,4751
2015-05-25,4751
2015-05-26,4751
2015-05-27,4751
2015-05-28,4513
2015-05-29,4513
2015-05-30,4292
2015-05-31,4292
2015-06-01,4292
2015-06-02,4292
2015-06-03,4086
2015-06-04,4086
2015-06-05,4086
2015-06-06,3898
2015-06-07,3898
2015-06-08,3898
2015-06-09,3898
2015-06-10,3718
2015-06-11,3718
2015-06-12,3718
2015-06-13,3718
2015-06-14,3586
2015-06-15,3586
2015-06-16,3586
2015-06-17,3586
2015-06-18,3433
2015-06-19,3433
2015-06-20,3433
2015-06-21,3433
2015-06-22,3275
2015-06-23,3275
2015-06-24,3275
2015-06-25,3275
2015-06-26,3133
2015-06-27,3133
2015-06-28,3133
2015-06-29,3133
2015-06-30,3007
2015-07-01,3007
2015-07-02,3007
2015-07-03,2859
2015-07-04,2859
2015-07-05,2859
2015-07-06,2859
2015-07-07,2731
2015-07-08,2731
2015-07-09,2731
2015-07-10,2731
2015-07-11,2597
2015-07-12,2597
2015-07-13,2597
2015-07-14,2597
2015-07-15,2467
2015-07-16,2467
2015-07-17,2467
2015-07-18,2467
2015-07-19,2354
2015-07-20,2354
2015-07-21,2354
2015-07-22,2248
2015-07-23,2248
2015-07-24,2248
2015-07-25,2248
2015-07-26,2162
2015-07-27,2162
2015-07-28,2162
2015-07-29,2091
2015-07-30,2091
2015-07-31,2091
2015-08-01,2091
2015-08-02,1988
2015-08-03,1988
2015-08-04,1988
2015-08-05,1919
2015-08-06,1919
2015-08-07,1919
2015-08-08,1833
2015-08-09,1833
2015-08-10,1833
2015-08-11,1784
2015-08-12,1784
2015-08-13,1784
2015-08-14,1755
2015-08-15,1755
2015-08-16,1755
2015-08-17,1755
2015-08-18,1691
2015-08-19,1691
2015-08-20,1691
2015-08-21,1615
2015-08-22,1615
2015-08-23,1615
2015-08-24,1615
2015-08-25,1551
2015-08-26,1551
2015-08-27,1551
2015-08-28,1542
2015-08-29,1542
2015-08-30,1542
2015-08-31,1542
2015-09-01,1524
2015-09-02,1524
2015-09-03,1524
2015-09-04,1524
2015-09-05,1524
2015-09-06,1469
2015-09-07,1469
2015-09-08,1469
2015-09-09,1469
2015-09-10,1443
2015-09-11,1443
2015-09-12,1443
2015-09-13,1443
2015-09-14,1447
2015-09-15,1447
2015-09-16,1447
2015-09-17,1447
2015-09-18,1409
2015-09-19,1409
2015-09-20,1409
2015-09-21,1409
2015-09-22,1385
2015-09-23,1385
2015-09-24,1385
2015-09-25,1385
2015-09-27,1379
2015-09-28,1379
2015-09-29,1379
2015-09-30,1379
2015-10-05,1372
2015-10-06,1372
2015-10-07,1372
2015-10-08,1372
2015-10-09,1404
2015-10-10,1404
2015-10-11,1404
2015-10-12,1404
2015-10-13,1404
2015-10-14,1398
2015-10-15,1398
2015-10-16,1398
2015-10-17,1398
2015-10-18,1400
2015-10-19,1400
2015-10-20,1400
2015-10-22,1377
2015-10-23,1377
2015-10-24,1377
2015-10-25,1377
2015-10-26,1398
2015-10-27,1398
2015-10-29,1398
2015-10-30,1398
2015-10-31,1404
2015-11-01,1404
2015-11-02,1404
2015-11-03,1404
2015-11-04,1404
2015-11-05,1444
2015-11-06,1444
2015-11-07,1444
2015-11-08,1444
2015-11-09,1444
2015-11-10,1443
2015-11-11,1443
2015-11-12,1443
2015-11-13,1443
2015-11-14,1443
2015-11-15,1467
2015-11-16,1467
2015-11-17,1467
2015-11-18,1467
2015-11-19,1467
2015-11-20,1440
2015-11-21,1440
2015-11-22,1440
2015-11-23,1440
2015-11-24,1440
2015-11-25,1404
2015-11-26,1404
2015-11-27,1404
2015-11-28,1404
2015-11-29,1401
2015-11-30,1401
2015-12-01,1401
2015-12-02,1401
2015-12-03,1375
2015-12-04,1375
2015-12-05,1375
2015-12-06,1375
2015-12-07,1389
2015-12-08,1389
2015-12-09,1389
2015-12-10,1389
2015-12-11,1421
2015-12-12,1421
2015-12-13,1421
2015-12-14,1421
2015-12-15,1434
2015-12-16,1434
2015-12-17,1434
2015-12-18,1434
2015-12-19,1443
2015-12-20,1443
2015-12-21,1443
2015-12-22,1443
2015-12-23,1426
2015-12-24,1426
2015-12-25,1426
2015-12-26,1426
2015-12-27,1429
2015-12-28,1429
2015-12-29,1429
2015-12-30,1442
2015-12-31,1442
2016-01-01,1442
2016-01-02,1442
2016-01-03,1418
2016-01-04,1418
2016-01-05,1418
2016-01-06,1432
2016-01-07,1432
2016-01-08,1432
2016-01-09,1432
2016-01-10,1460
2016-01-11,1460
2016-01-12,1460
2016-01-13,1460
2016-01-14,1461
2016-01-15,1461
2016-01-16,1461
2016-01-17,1461
2016-01-18,1474
2016-01-19,1474
2016-01-20,1474
2016-01-21,1474
2016-01-22,1487
2016-01-23,1487
2016-01-24,1487
2016-01-25,1431
2016-01-26,1431
2016-01-27,1431
2016-01-28,1431
2016-01-29,1441
2016-01-30,1441
2016-01-31,1441
2016-02-01,1463
2016-02-02,1463
2016-02-03,1463
2016-02-04,1463
2016-02-05,1468
2016-02-06,1468
2016-02-07,1468
2016-02-08,1492
2016-02-09,1492
2016-02-10,1492
2016-02-11,1465
2016-02-12,1465
2016-02-13,1465
2016-02-14,1468
2016-02-15,1468
2016-02-16,1468
2016-02-17,1444
2016-02-18,1444
2016-02-19,1444
2016-02-20,1422
2016-02-21,1422
2016-02-22,1422
2016-02-23,1425
2016-02-24,1425
2016-02-25,1425
2016-02-26,1398
2016-02-27,1398
2016-02-28,1398
2016-02-29,1441
2016-03-01,1441
2016-03-02,1441
2016-03-03,1465
2016-03-04,1465
2016-03-05,1465
2016-03-06,1523
2016-03-07,1523
2016-03-08,1523
2016-03-09,1523
2016-03-10,1512
2016-03-11,1512
2016-03-12,1512
2016-03-13,1504
2016-03-14,1504
2016-03-15,1504
2016-03-16,1535
2016-03-17,1535
2016-03-18,1535
2016-03-19,1535
2016-03-20,1501
2016-03-21,1501
2016-03-22,1501
2016-03-23,1450
2016-03-24,1450
2016-03-25,1450
2016-03-26,1453
2016-03-27,1453
2016-03-28,1453
2016-03-29,1470
2016-03-30,1470
2016-03-31,1470
2016-04-01,1470
2016-04-02,1500
2016-04-03,1500
2016-04-04,1500
2016-04-05,1489
2016-04-06,1489
2016-04-07,1489
2016-04-08,1471
2016-04-09,1471
2016-04-10,1471
2016-04-11,1461
2016-04-12,1461
2016-04-13,1461
2016-04-14,1496
2016-04-15,1496
2016-04-16,1496
2016-04-17,1528
2016-04-18,1528
2016-04-19,1528
2016-04-20,1555
2016-04-21,1555
2016-04-22,1555
2016-04-23,1527
2016-04-24,1527
2016-04-25,1531
2016-04-26,1531
2016-04-27,1531
2016-04-28,1523
2016-04-29,1523
2016-04-30,1523
2016-05-01,1532
2016-05-02,1532
2016-05-03,1532
2016-05-04,1521
2016-05-05,1521
2016-05-06,1521
2016-05-07,1506
2016-05-08,1506
2016-05-09,1506
2016-05-10,1481
2016-05-11,1481
2016-05-12,1481
2016-05-13,1478
2016-05-14,1478
2016-05-15,1478
2016-05-16,1489
2016-05-17,1489
2016-05-18,1489
2016-05-19,1476
2016-05-22,1501
2016-05-23,1501
2016-05-24,1501
2016-05-25,1486
2016-05-26,1486
2016-05-27,1469
2016-05-28,1469
2016-05-29,1469
2016-05-30,1449
2016-05-31,1449
2016-06-01,1449
2016-06-02,1446
2016-06-03,1446
2016-06-04,1446
2016-06-05,1487
2016-06-06,1487
2016-06-07,1487
2016-06-08,1466
2016-06-09,1466
2016-06-10,1452
2016-06-11,1452
2016-06-12,1452
2016-06-13,1434
2016-06-14,1434
2016-06-15,1434
2016-06-16,1455
2016-06-17,1455
2016-06-18,1512
2016-06-19,1512
2016-06-20,1512
2016-06-21,1490
2016-06-22,1490
2016-06-23,1490
2016-06-24,1460
2016-06-25,1460
2016-06-26,1460
2016-06-27,1466
2016-06-28,1466
2016-06-29,1466
2016-06-30,1440
2016-07-01,1440
2016-07-02,1440
2016-07-03,1426
2016-07-04,1426
2016-07-05,1426
2016-07-06,1429
2016-07-07,1429
2016-07-08,1454
2016-07-09,1454
2016-07-10,1475
2016-07-11,1532
2016-07-12,1532
2016-07-13,1551
2016-07-14,1551
2016-07-15,1555
2016-07-16,1555
2016-07-17,1533
2016-07-18,1533
2016-07-23,1462
2016-07-24,1462
2016-07-25,1462
2016-07-26,1462
2016-07-27,1457
2016-07-28,1457
2016-07-29,1463
2016-07-30,1463
2016-07-31,1463
2016-08-01,1417
2016-08-02,1417
2016-08-03,1411
2016-08-04,1411
2016-08-05,1411
2016-08-06,1390
2016-08-07,1390
2016-08-08,1388
2016-08-09,1388
2016-08-10,1355
2016-08-11,1355
2016-08-12,1355
2016-08-13,1353
2016-08-14,1353
2016-08-15,1353
2016-08-16,1360
2016-08-17,1360
2016-08-18,1360
2016-08-19,1391
2016-08-20,1391
2016-08-21,1391
2016-08-22,1432
2016-08-23,1432
2016-08-24,1432
2016-08-25,1442
