date_obj,Mystic%20gloves%20(dark) price
2015-03-04,15493
2015-03-05,15493
2015-03-06,14718
2015-03-07,14042
2015-03-08,13396
2015-03-09,12802
2015-03-10,12204
2015-03-11,12204
2015-03-12,11593
2015-03-13,11593
2015-03-14,11013
2015-03-15,11013
2015-03-16,10462
2015-03-17,9965
2015-03-18,9965
2015-03-19,9509
2015-03-20,9509
2015-03-21,9033
2015-03-22,8581
2015-03-23,8581
2015-03-24,8175
2015-03-25,8175
2015-03-26,7786
2015-03-27,7786
2015-03-28,7423
2015-03-29,7109
2015-03-30,7109
2015-03-31,6875
2015-04-01,6875
2015-04-02,6616
2015-04-03,6616
2015-04-04,6493
2015-04-05,6493
2015-04-06,6361
2015-04-07,6361
2015-04-08,6210
2015-04-09,6210
2015-04-10,6018
2015-04-11,6018
2015-04-12,6193
2015-04-13,6193
2015-04-14,6042
2015-04-15,6042
2015-04-16,6042
2015-04-17,6064
2015-04-18,6064
2015-04-19,5986
2015-04-20,5986
2015-04-21,5936
2015-04-22,5936
2015-04-23,5880
2015-04-24,5880
2015-04-25,5804
2015-04-26,5804
2015-04-27,5893
2015-04-28,5893
2015-04-29,6099
2015-04-30,6099
2015-05-01,6058
2015-05-02,6058
2015-05-03,5945
2015-05-04,5945
2015-05-05,6052
2015-05-06,6052
2015-05-07,6070
2015-05-08,6070
2015-05-09,6073
2015-05-10,6073
2015-05-11,5981
2015-05-12,5981
2015-05-13,5915
2015-05-14,5915
2015-05-15,5888
2015-05-16,5888
2015-05-17,5842
2015-05-18,5842
2015-05-19,5833
2015-05-20,5833
2015-05-21,5833
2015-05-22,5777
2015-05-23,5777
2015-05-24,5831
2015-05-25,5831
2015-05-26,5784
2015-05-27,5784
2015-05-28,5824
2015-05-29,5824
2015-05-30,5881
2015-05-31,5881
2015-06-01,6137
2015-06-02,6137
2015-06-03,6437
2015-06-04,6437
2015-06-05,6550
2015-06-06,6446
2015-06-07,6372
2015-06-08,6372
2015-06-09,6457
2015-06-10,6376
2015-06-11,6376
2015-06-12,6192
2015-06-13,6093
2015-06-14,6093
2015-06-15,6032
2015-06-16,6032
2015-06-17,6134
2015-06-18,6379
2015-06-19,6379
2015-06-20,6321
2015-06-21,6321
2015-06-22,6226
2015-06-23,6226
2015-06-24,6071
2015-06-25,6071
2015-06-26,5980
2015-06-27,5980
2015-06-28,5902
2015-06-29,5902
2015-06-30,5866
2015-07-01,5830
2015-07-02,5830
2015-07-03,5829
2015-07-04,5829
2015-07-05,5805
2015-07-06,5805
2015-07-07,5815
2015-07-08,5799
2015-07-09,5799
2015-07-10,5724
2015-07-11,5724
2015-07-12,5812
2015-07-13,6034
2015-07-14,6034
