date_obj,Mystic%20robe%20bottom price
2015-03-26,53802
2015-03-27,53802
2015-03-28,53921
2015-03-29,54186
2015-03-30,52775
2015-03-31,53176
2015-04-01,52743
2015-04-02,53084
2015-04-03,53841
2015-04-04,54968
2015-04-05,54967
2015-04-06,53758
2015-04-07,54422
2015-04-08,53104
2015-04-09,53984
2015-04-10,53916
2015-04-11,53246
2015-04-12,52794
2015-04-13,54352
2015-04-14,56323
2015-04-15,54788
2015-04-16,54797
2015-04-17,54128
2015-04-18,53629
2015-04-19,53850
2015-04-20,54790
2015-04-21,53676
2015-04-22,53995
2015-04-23,54096
2015-04-24,54784
2015-04-25,55545
2015-04-26,56216
2015-04-27,54897
2015-04-28,53603
2015-04-29,53603
2015-04-30,52805
2015-05-01,54019
2015-05-02,54758
2015-05-03,53276
2015-05-04,51914
2015-05-05,52924
2015-05-06,54092
2015-05-07,54134
2015-05-08,54723
2015-05-09,54726
2015-05-10,53026
2015-05-11,52078
2015-05-12,52179
2015-05-13,53594
2015-05-14,54369
2015-05-15,54609
2015-05-16,54407
2015-05-17,55210
2015-05-18,54278
2015-05-19,53996
2015-05-20,53624
2015-05-21,54334
2015-05-22,54464
2015-05-23,53141
2015-05-24,53313
2015-05-25,53777
2015-05-26,53720
2015-05-27,54090
2015-05-28,54583
2015-05-29,55702
2015-05-30,55684
2015-05-31,54787
2015-06-01,53497
2015-06-02,52658
2015-06-03,53566
2015-06-04,53217
2015-06-05,52592
2015-06-06,52433
2015-06-07,53609
2015-06-08,54196
2015-06-09,54710
2015-06-10,54300
2015-06-11,53963
2015-06-12,53922
2015-06-13,53800
2015-06-14,53981
2015-06-15,54733
2015-06-16,54777
2015-06-17,54721
2015-06-18,53928
2015-06-19,52931
2015-06-20,53552
2015-06-21,53899
2015-06-22,53309
2015-06-23,53168
2015-06-24,53691
2015-06-25,53684
2015-06-26,54345
2015-06-27,53380
2015-06-28,53650
2015-06-29,53963
2015-06-30,53658
2015-07-01,53884
2015-07-02,53630
2015-07-03,52662
2015-07-04,51259
2015-07-05,52010
2015-07-06,52553
2015-07-07,52807
2015-07-08,53758
2015-07-09,53998
2015-07-10,54693
2015-07-11,53994
2015-07-12,52823
2015-07-13,52386
2015-07-14,52860
2015-07-15,53155
2015-07-16,52793
2015-07-17,52548
2015-07-18,53393
2015-07-19,53391
2015-07-20,53752
2015-07-21,54005
2015-07-22,54364
2015-07-23,52980
2015-07-24,52326
2015-07-25,53399
2015-07-26,52047
2015-07-27,52577
2015-07-28,52103
2015-07-29,53644
2015-07-30,54308
2015-07-31,54271
2015-08-01,54746
2015-08-02,53815
2015-08-03,51977
2015-08-04,52720
2015-08-05,53654
2015-08-06,53951
2015-08-07,54215
2015-08-08,54443
2015-08-09,53498
2015-08-10,53411
2015-08-11,54166
2015-08-12,53737
2015-08-13,54317
2015-08-14,54249
2015-08-15,53900
2015-08-16,54127
2015-08-17,54473
2015-08-18,53306
2015-08-19,52944
2015-08-20,54608
2015-08-21,53881
2015-08-22,53790
2015-08-23,53885
2015-08-24,52599
2015-08-25,52361
2015-08-26,53168
2015-08-27,53735
2015-08-28,53085
2015-08-29,53602
2015-08-30,53562
2015-08-31,53200
2015-09-01,52734
2015-09-02,53990
2015-09-03,53870
2015-09-04,53988
2015-09-05,53747
2015-09-06,53666
2015-09-07,53829
2015-09-08,53307
2015-09-09,52698
2015-09-10,52049
2015-09-11,52673
2015-09-12,52880
2015-09-13,53267
2015-09-14,53926
2015-09-15,54721
2015-09-16,54456
2015-09-17,54014
2015-09-18,53338
2015-09-19,54162
2015-09-20,54699
2015-09-21,53424
2015-09-22,52848
2015-09-23,53296
2015-09-24,53546
2015-09-25,53362
2015-09-27,54552
2015-09-28,54746
2015-09-29,54909
2015-09-30,54728
2015-10-05,54411
2015-10-06,54204
2015-10-07,53264
2015-10-08,53530
2015-10-09,53643
2015-10-10,54314
2015-10-11,54400
2015-10-12,55034
2015-10-13,55191
2015-10-14,56108
2015-10-15,55333
2015-10-16,54877
2015-10-17,54026
2015-10-18,54187
2015-10-19,53138
2015-10-20,53226
2015-10-22,53735
2015-10-23,52821
