date_obj,Mystic%20robe%20top%20(light) price
2015-03-04,93761
2015-03-05,93761
2015-03-06,93761
2015-03-07,92467
2015-03-08,92467
2015-03-09,92467
2015-03-10,94498
2015-03-11,94498
2015-03-12,94498
2015-03-13,96946
2015-03-14,96946
2015-03-15,96946
2015-03-16,99548
2015-03-17,99548
2015-03-18,99548
2015-03-19,101813
2015-03-20,101813
2015-03-21,101813
2015-03-22,101010
2015-03-23,101010
2015-03-24,101010
2015-03-25,101010
2015-03-26,99360
2015-03-27,99360
2015-03-28,99360
2015-03-29,98279
2015-03-30,98279
2015-03-31,98279
2015-04-01,99079
2015-04-02,99079
2015-04-03,99079
2015-04-04,99420
2015-04-05,99420
2015-04-06,99420
2015-04-07,101782
2015-04-08,101782
2015-04-09,101782
2015-04-10,104713
2015-04-11,104713
2015-04-12,104713
2015-04-13,103381
2015-04-14,103381
2015-04-15,103381
2015-04-16,103381
2015-04-17,99022
2015-04-18,99022
2015-04-19,99022
2015-04-20,99022
2015-04-21,96269
2015-04-22,96269
2015-04-23,96269
2015-04-24,93864
2015-04-25,93864
2015-04-26,93864
2015-04-27,93034
2015-04-28,93034
2015-04-29,93034
2015-04-30,92130
2015-05-01,92130
2015-05-02,92130
2015-05-03,92855
2015-05-04,92855
2015-05-05,92855
2015-05-06,93719
2015-05-07,93719
2015-05-08,93719
2015-05-09,92590
2015-05-10,92590
2015-05-11,92590
2015-05-12,92698
2015-05-13,92698
2015-05-14,92698
2015-05-15,93152
2015-05-16,93152
2015-05-17,93152
2015-05-18,92301
2015-05-19,92301
2015-05-20,92301
2015-05-21,92301
2015-05-22,91875
2015-05-23,91875
2015-05-24,91875
2015-05-25,91070
2015-05-26,91070
2015-05-27,91070
2015-05-28,90156
2015-05-29,90156
2015-05-30,89266
2015-05-31,89266
2015-06-01,90522
2015-06-02,90522
2015-06-03,90522
2015-06-04,91123
2015-06-05,91123
2015-06-06,91567
2015-06-07,91567
2015-06-08,91567
2015-06-09,92898
2015-06-10,92898
2015-06-11,93427
2015-06-12,93427
2015-06-13,93922
2015-06-14,93922
2015-06-15,93922
2015-06-16,93771
2015-06-17,93771
2015-06-18,93379
2015-06-19,93379
2015-06-20,93149
2015-06-21,93149
2015-06-22,93149
2015-06-23,92747
2015-06-24,92747
2015-06-25,92747
2015-06-26,92185
2015-06-27,92185
2015-06-28,90053
2015-06-29,90053
2015-06-30,90053
2015-07-01,89566
2015-07-02,89566
2015-07-03,90655
2015-07-04,90655
2015-07-05,91185
2015-07-06,91185
2015-07-07,91185
2015-07-08,89512
2015-07-09,89512
2015-07-10,89512
2015-07-11,86171
2015-07-12,86171
2015-07-13,83212
2015-07-14,83212
2015-07-15,83887
2015-07-16,83887
2015-07-17,84017
2015-07-18,84017
2015-07-19,83578
2015-07-20,83578
2015-07-21,84813
2015-07-22,84449
2015-07-23,84449
2015-07-24,83078
2015-07-25,83078
2015-07-26,83627
2015-07-27,83627
2015-07-28,81614
2015-07-29,81614
2015-07-30,82997
2015-07-31,82997
2015-08-01,84375
2015-08-02,84653
2015-08-03,84653
2015-08-04,84653
2015-08-05,86285
2015-08-06,86285
2015-08-07,87114
2015-08-08,87114
2015-08-09,89679
2015-08-10,89679
2015-08-11,91179
2015-08-12,91179
2015-08-13,91179
2015-08-14,89473
2015-08-15,89473
2015-08-16,89473
2015-08-17,87384
2015-08-18,87384
2015-08-19,87890
2015-08-20,87890
2015-08-21,89930
2015-08-22,89930
2015-08-23,89780
2015-08-24,89780
2015-08-25,89780
2015-08-26,90207
2015-08-27,90207
2015-08-28,89144
2015-08-29,89144
2015-08-30,86658
2015-08-31,86658
2015-09-02,86196
2015-09-07,84364
2015-09-08,84364
2015-09-10,87324
2015-09-14,86683
2015-09-16,86864
2015-09-22,84119
2015-09-23,82924
2015-09-24,82924
2015-09-25,82924
2015-09-27,84881
2015-09-28,87615
2015-09-29,87615
2015-09-30,88275
2015-10-05,82610
2015-10-06,83922
2015-10-07,83922
2015-10-08,85255
2015-10-09,85255
2015-10-10,85531
2015-10-11,83487
2015-10-12,83487
2015-10-13,81875
2015-10-14,81875
2015-10-15,82498
2015-10-16,82498
2015-10-17,84661
2015-10-18,84661
2015-10-19,85157
2015-10-20,85157
2015-10-22,82863
2015-10-23,82873
2015-10-24,82873
2015-10-25,83927
2015-10-26,83927
2015-10-27,83559
2015-10-29,84511
2015-10-30,84511
2015-10-31,83439
2015-11-01,83439
2015-11-02,83309
2015-11-03,83309
2015-11-04,84007
2015-11-05,84007
2015-11-06,84244
2015-11-07,84244
2015-11-08,84803
2015-11-09,84803
2015-11-10,84524
2015-11-11,84524
2015-11-12,83933
2015-11-13,83933
2015-11-14,83473
2015-11-15,83473
2015-11-16,84487
2015-11-17,84487
2015-11-18,85020
2015-11-19,84814
2015-11-20,84814
2015-11-21,84996
2015-11-22,84898
2015-11-23,84898
2015-11-24,85360
2015-11-25,85748
2015-11-26,85748
2015-11-27,85585
2015-11-28,85585
2015-11-29,85536
2015-11-30,85536
2015-12-01,85312
2015-12-02,85312
2015-12-03,84750
2015-12-04,84750
2015-12-05,84311
2015-12-06,84311
2015-12-07,84258
2015-12-08,84258
2015-12-09,84073
2015-12-10,84073
2015-12-11,84506
2015-12-12,84506
2015-12-13,84349
2015-12-14,84349
2015-12-15,83852
2015-12-16,83852
2015-12-17,83851
2015-12-18,84049
2015-12-19,84049
2015-12-20,83992
2015-12-21,83992
2015-12-22,83273
2015-12-23,83273
2015-12-24,82840
2015-12-25,82840
2015-12-26,83031
2015-12-27,82983
2015-12-28,82983
2015-12-29,81569
2015-12-30,81569
2015-12-31,82226
2016-01-01,82226
2016-01-02,82853
2016-01-03,81142
2016-01-04,81756
2016-01-05,81756
2016-01-06,82362
2016-01-07,82362
2016-01-08,81816
2016-01-09,81816
2016-01-10,83258
2016-01-11,83258
2016-01-12,82563
2016-01-13,82563
2016-01-14,82915
2016-01-15,82915
2016-01-16,83123
2016-01-17,83123
2016-01-18,83570
2016-01-19,83570
2016-01-20,82603
2016-01-21,82603
2016-01-22,82981
2016-01-23,82981
2016-01-24,82744
2016-01-25,82474
2016-01-26,82474
2016-01-27,82592
2016-01-28,82592
2016-01-29,83188
2016-01-30,83188
2016-01-31,83351
2016-02-01,83351
2016-02-02,83299
2016-02-03,83299
2016-02-04,83317
2016-02-05,83317
2016-02-06,82688
2016-02-07,82688
2016-02-08,81982
2016-02-09,81982
2016-02-10,82465
2016-02-11,82465
2016-02-12,82450
