date_obj,Mystic%20set%20(dusk) price
2019-03-14,741951
2019-03-15,772740
2019-03-16,772740
2019-03-17,802826
2019-03-18,802826
2019-03-19,802826
2019-03-20,839343
2019-03-21,839343
2019-03-22,839343
2019-03-23,877012
2019-03-24,877012
2019-03-25,877012
2019-03-26,911941
2019-03-27,911941
2019-03-28,911941
2019-03-29,921319
2019-03-30,921319
2019-03-31,921319
2019-04-01,900523
2019-04-02,900523
2019-04-03,900523
2019-04-04,879491
2019-04-05,879491
2019-04-06,879491
2019-04-07,882458
2019-04-08,882458
2019-04-09,882458
2019-04-10,915052
2019-04-11,915052
2019-04-12,915052
2019-04-13,934846
2019-04-14,934846
2019-04-15,934846
2019-04-16,930756
2019-04-17,930756
2019-04-18,930756
2019-04-19,905017
2019-04-20,905017
2019-04-21,905017
2019-04-22,879291
2019-04-23,879291
2019-04-24,879291
2019-04-25,837665
2019-04-26,837665
2019-04-27,837665
2019-04-28,797586
2019-04-29,797586
2019-04-30,762961
2019-05-01,762961
2019-05-02,762961
2019-05-03,735595
2019-05-04,735595
2019-05-05,707350
2019-05-06,707350
2019-05-07,682492
2019-05-08,682492
2019-05-09,682492
2019-05-10,661191
2019-05-11,661191
2019-05-12,645455
2019-05-13,645455
2019-05-14,646133
2019-05-15,646133
2019-05-16,646133
2019-05-17,650720
2019-05-18,650720
2019-05-19,672368
2019-05-20,672368
2019-05-21,672368
2019-05-22,690073
2019-05-23,690073
2019-05-24,690073
2019-05-25,681788
2019-05-26,681788
2019-05-27,686105
2019-05-28,686105
2019-05-29,686105
2019-05-30,687670
2019-05-31,687670
2019-06-01,687670
2019-06-02,680860
2019-06-03,680860
2019-06-04,680860
2019-06-05,695731
2019-06-06,695731
2019-06-07,695731
2019-06-08,698879
2019-06-09,698879
2019-06-10,698879
2019-06-11,711628
2019-06-12,711628
2019-06-13,704226
2019-06-14,704226
2019-06-15,704226
2019-06-16,719221
2019-06-17,719221
2019-06-18,719221
2019-06-19,707372
2019-06-20,708681
2019-06-21,708681
2019-06-22,708681
2019-06-23,695934
2019-06-24,695934
2019-06-25,695934
2019-06-26,678523
2019-06-27,681353
2019-06-28,681353
2019-06-29,670789
2019-06-30,670789
2019-07-01,662395
2019-07-02,662395
2019-07-03,648997
2019-07-04,648997
2019-07-05,628121
2019-07-06,628121
2019-07-07,614511
2019-07-08,614511
2019-07-09,609662
2019-07-10,609662
2019-07-11,598051
2019-07-12,598051
2019-07-13,580305
2019-07-14,580305
2019-07-15,592289
2019-07-16,592289
2019-07-17,577904
2019-07-18,577904
2019-07-19,577904
2019-07-20,598192
2019-07-21,598192
2019-07-22,608686
2019-07-23,608686
2019-07-24,608686
2019-07-25,590491
2019-07-26,590491
2019-07-27,581895
2019-07-28,581895
2019-07-29,581895
2019-07-30,574419
2019-07-31,574419
2019-08-01,588978
2019-08-02,588978
2019-08-03,604850
2019-08-04,604850
2019-08-05,604850
2019-08-06,608842
2019-08-07,608842
2019-08-08,608842
2019-08-09,628203
2019-08-10,628203
2019-08-11,628203
2019-08-12,626126
2019-08-13,626126
2019-08-14,626126
2019-08-15,624671
2019-08-16,624671
2019-08-17,624671
2019-08-18,626253
2019-08-19,626253
2019-08-20,626253
2019-08-21,636458
2019-08-22,636458
2019-08-23,636458
2019-08-24,644728
2019-08-24,644728
2019-08-25,644728
2019-08-25,644728
2019-08-26,644728
2019-08-26,644728
2019-08-27,651213
2019-08-27,651213
2019-08-28,651213
2019-08-29,651213
2019-08-30,643330
2019-08-31,643330
2019-09-01,643330
2019-09-02,660928
2019-09-03,660928
2019-09-04,660928
2019-09-05,642689
2019-09-06,642689
2019-09-07,642689
2019-09-08,638573
2019-09-09,638573
2019-09-10,638573
2019-09-11,649326
2019-09-12,649326
2019-09-13,649326
2019-09-14,648692
2019-09-15,648692
2019-09-16,648692
2019-09-17,653664
2019-09-18,653664
2019-09-19,653664
2019-09-20,653664
2019-09-21,665869
2019-09-22,665869
2019-09-23,665869
2019-09-24,670366
2019-09-25,670366
2019-09-26,670366
2019-09-27,663119
2019-09-28,663119
2019-09-29,663119
2019-09-30,652162
2019-10-01,652162
2019-10-02,652162
2019-10-03,640396
2019-10-04,640396
2019-10-05,640396
2019-10-06,634323
2019-10-07,634323
2019-10-08,634323
2019-10-09,634323
2019-10-10,626649
2019-10-11,626649
2019-10-12,626649
2019-10-13,620397
2019-10-14,620397
2019-10-15,620397
2019-10-16,622796
2019-10-17,622796
2019-10-18,622796
2019-10-19,610053
2019-10-20,610053
2019-10-21,610053
2019-10-22,610053
2019-10-23,611568
2019-10-24,611568
2019-10-25,611568
2019-10-26,604423
2019-10-27,604423
2019-10-28,599874
2019-10-29,599874
2019-10-30,599874
2019-10-31,599874
2019-11-01,590126
2019-11-02,590126
2019-11-03,600237
2019-11-04,600237
2019-11-05,600237
2019-11-06,600237
2019-11-07,608840
2019-11-08,608840
2019-11-09,608840
2019-11-10,598038
2019-11-11,598038
2019-11-12,598038
2019-11-13,608937
2019-11-14,608937
2019-11-15,608937
2019-11-16,620479
2019-11-17,620479
2019-11-18,620479
2019-11-19,620479
2019-11-20,618783
2019-11-21,618783
2019-11-22,618783
2019-11-23,618783
2019-11-24,593619
2019-11-25,593619
2019-11-26,593619
2019-11-27,581941
2019-11-28,581941
2019-11-29,581941
2019-11-30,578704
2019-12-01,578704
2019-12-02,578704
2019-12-03,574299
2019-12-04,574299
2019-12-05,574299
2019-12-06,574299
2019-12-07,576066
2019-12-08,576066
2019-12-09,576066
2019-12-10,572125
2019-12-11,572125
2019-12-12,572125
2019-12-13,559711
2019-12-14,559711
2019-12-15,566747
2019-12-16,566747
2019-12-17,566747
2019-12-18,581432
2019-12-19,581432
2019-12-20,581432
2019-12-21,581688
2019-12-22,581688
2019-12-23,581688
2019-12-24,591306
2019-12-25,591306
2019-12-26,591306
2019-12-27,606274
2019-12-28,606274
2019-12-29,606274
2019-12-30,590408
2019-12-31,590408
2020-01-01,590408
2020-01-02,595325
2020-01-03,595325
2020-01-04,595325
2020-01-05,570104
2020-01-06,570104
2020-01-07,570104
2020-01-08,547492
2020-01-09,547492
2020-01-10,547492
2020-01-11,528779
2020-01-12,528779
2020-01-13,528779
2020-01-14,527347
2020-01-15,527347
2020-01-16,531057
2020-01-17,531057
2020-01-18,531057
2020-01-19,529778
2020-01-20,529778
2020-01-21,529778
2020-01-22,536191
2020-01-23,536191
2020-01-24,542256
2020-01-25,542256
2020-01-26,557489
2020-01-27,557489
2020-01-28,557489
2020-01-29,549981
2020-01-30,549981
2020-01-31,549981
2020-02-01,560731
2020-02-02,560731
2020-02-03,560731
2020-02-04,559254
2020-02-05,559254
2020-02-06,559254
2020-02-07,541670
2020-02-08,541670
2020-02-09,533328
2020-02-10,533328
2020-02-11,533225
2020-02-12,533225
2020-02-13,533225
2020-02-14,540778
2020-02-15,540778
2020-02-16,540778
2020-02-17,540779
2020-02-18,540779
2020-02-19,540779
2020-02-20,534825
2020-02-21,534825
2020-02-22,534825
2020-02-23,537631
2020-02-24,537631
