date_obj,Nature%20impling%20jar price
2015-03-26,3732
2015-03-27,3732
2015-03-28,3732
2015-03-29,3732
2015-03-30,3732
2015-03-31,3732
2015-04-01,3732
2015-04-02,3732
2015-04-03,3732
2015-04-04,3774
2015-04-05,3774
2015-04-06,3774
2015-04-07,3774
2015-04-08,3774
2015-04-09,3774
2015-04-10,3774
2015-04-11,3774
2015-04-12,3774
2015-04-13,3774
2015-04-14,3774
2015-04-15,3774
2015-04-16,3774
2015-04-17,3774
2015-04-18,3774
2015-04-19,3774
2015-04-20,3774
2015-04-21,3774
2015-04-22,3774
2015-04-23,3830
2015-04-24,3830
2015-04-25,3830
2015-04-26,3830
2015-04-27,3830
2015-04-28,3830
2015-04-29,3830
2015-04-30,3830
2015-05-01,3830
2015-05-02,3830
2015-05-03,3830
2015-05-04,3830
2015-05-05,3830
2015-05-06,3830
2015-05-07,3830
2015-05-08,3830
2015-05-09,3830
2015-05-10,3830
2015-05-11,3830
2015-05-12,3830
2015-05-13,3830
2015-05-14,3849
2015-05-15,3849
2015-05-16,3849
2015-05-17,3849
2015-05-18,3849
2015-05-19,3849
2015-05-20,3849
2015-05-21,3849
2015-05-22,3849
2015-05-23,3849
2015-05-24,3849
2015-05-25,3849
2015-05-26,3849
2015-05-27,3849
2015-05-28,3849
2015-05-29,3849
2015-05-30,3849
2015-05-31,3963
2015-06-01,3963
2015-06-02,3963
2015-06-03,3963
2015-06-04,3963
2015-06-05,3963
2015-06-06,3963
2015-06-07,3963
2015-06-08,3963
2015-06-09,3963
2015-06-10,3963
2015-06-11,3963
2015-06-12,3963
2015-06-13,3963
2015-06-14,3963
2015-06-15,3963
2015-06-16,3963
2015-06-17,3963
2015-06-18,3963
2015-06-19,3971
2015-06-20,3971
2015-06-21,3971
2015-06-22,3971
2015-06-23,3971
2015-06-24,3971
2015-06-25,3971
2015-06-26,3971
2015-06-27,3971
2015-06-28,3971
2015-06-29,3971
2015-06-30,3971
2015-07-01,3971
2015-07-02,3971
2015-07-03,3971
2015-07-04,3971
2015-07-05,3971
2015-07-06,3971
2015-07-07,3971
2015-07-08,3971
2015-07-09,3971
2015-07-10,3971
2015-07-11,4089
2015-07-12,4089
2015-07-13,4089
2015-07-14,4089
2015-07-15,4089
2015-07-16,4089
2015-07-17,4089
2015-07-18,4089
2015-07-19,4089
2015-07-20,4089
2015-07-21,4089
2015-07-22,4089
2015-07-23,4089
2015-07-24,4089
2015-07-25,4089
2015-07-26,4089
2015-07-27,4089
2015-07-28,4089
2015-07-29,4089
2015-07-30,4089
2015-07-31,4184
2015-08-01,4184
2015-08-02,4184
2015-08-03,4184
2015-08-04,4184
2015-08-05,4184
2015-08-06,4184
2015-08-07,4184
2015-08-08,4184
2015-08-09,4184
2015-08-10,4184
2015-08-11,4184
2015-08-12,4184
2015-08-13,4184
2015-08-14,4184
2015-08-15,4184
2015-08-16,4184
2015-08-17,4184
2015-08-18,4184
2015-08-19,4302
2015-08-20,4302
2015-08-21,4302
2015-08-22,4302
2015-08-23,4302
2015-08-24,4302
2015-08-25,4302
2015-08-26,4302
2015-08-27,4302
2015-08-28,4302
2015-08-29,4302
2015-08-30,4302
2015-08-31,4302
2015-09-01,4302
2015-09-02,4302
2015-09-03,4302
2015-09-04,4302
2015-09-05,4302
2015-09-06,4302
2015-09-07,4302
2015-09-08,4302
2015-09-09,4372
2015-09-10,4372
2015-09-11,4372
2015-09-12,4372
2015-09-13,4372
2015-09-14,4372
2015-09-15,4372
2015-09-16,4372
2015-09-17,4372
2015-09-18,4372
2015-09-19,4372
2015-09-20,4372
2015-09-21,4372
2015-09-22,4372
2015-09-23,4372
2015-09-24,4372
2015-09-25,4372
2015-09-27,4372
2015-09-28,4372
2015-09-29,4372
2015-09-30,4372
2015-10-05,4464
2015-10-06,4464
2015-10-07,4464
2015-10-08,4464
2015-10-09,4464
2015-10-10,4464
2015-10-11,4464
2015-10-12,4464
2015-10-13,4464
2015-10-14,4464
2015-10-15,4464
2015-10-16,4464
2015-10-17,4464
2015-10-18,4464
2015-10-19,4464
2015-10-20,4464
2015-10-22,4464
2015-10-23,4480
2015-10-24,4480
2015-10-25,4480
2015-10-26,4480
2015-10-27,4480
2015-10-29,4480
2015-10-30,4480
2015-10-31,4480
2015-11-01,4480
2015-11-02,4480
2015-11-03,4480
2015-11-04,4480
2015-11-05,4480
2015-11-06,4480
2015-11-07,4480
2015-11-08,4480
2015-11-09,4480
2015-11-10,4480
2015-11-11,4480
2015-11-12,4480
2015-11-13,4480
2015-11-14,4480
2015-11-15,4480
2015-11-16,4480
2015-11-17,4480
2015-11-18,4480
2015-11-19,4480
2015-11-20,4404
2015-11-21,4404
2015-11-22,4404
2015-11-23,4404
2015-11-24,4404
2015-11-25,4404
2015-11-26,4404
2015-11-27,4404
2015-11-28,4404
2015-11-29,4404
2015-11-30,4404
2015-12-01,4404
2015-12-02,4404
2015-12-03,4404
2015-12-04,4404
2015-12-05,4404
2015-12-06,4404
2015-12-07,4404
2015-12-08,4404
2015-12-09,4404
2015-12-10,4404
2015-12-11,4404
2015-12-12,4404
2015-12-13,4404
2015-12-14,4480
2015-12-15,4480
2015-12-16,4480
2015-12-17,4480
2015-12-18,4480
2015-12-19,4480
2015-12-20,4480
2015-12-21,4480
2015-12-22,4480
2015-12-23,4480
2015-12-24,4480
2015-12-25,4480
2015-12-26,4480
2015-12-27,4480
2015-12-28,4480
2015-12-29,4480
2015-12-30,4480
2015-12-31,4480
