date_obj,Nose%20peg price
2015-03-26,472
2015-03-27,472
2015-03-28,472
2015-03-29,472
2015-03-30,472
2015-03-31,472
2015-04-01,484
2015-04-02,484
2015-04-03,484
2015-04-04,484
2015-04-05,484
2015-04-06,484
2015-04-07,488
2015-04-08,488
2015-04-09,488
2015-04-10,488
2015-04-11,488
2015-04-12,488
2015-04-13,488
2015-04-14,500
2015-04-15,500
2015-04-16,500
2015-04-17,500
2015-04-18,500
2015-04-19,500
2015-04-20,502
2015-04-21,502
2015-04-22,502
2015-04-23,502
2015-04-24,502
2015-04-25,502
2015-04-26,501
2015-04-27,501
2015-04-28,501
2015-04-29,501
2015-04-30,501
2015-05-01,494
2015-05-02,494
2015-05-03,494
2015-05-04,494
2015-05-05,494
2015-05-06,494
2015-05-07,495
2015-05-08,495
2015-05-09,495
2015-05-10,495
2015-05-11,495
2015-05-12,501
2015-05-13,501
2015-05-14,501
2015-05-15,501
2015-05-16,501
2015-05-17,509
2015-05-18,509
2015-05-19,509
2015-05-20,509
2015-05-21,509
2015-05-22,509
2015-05-23,509
2015-05-24,524
2015-05-25,524
2015-05-26,524
2015-05-27,524
2015-05-28,541
2015-05-29,541
2015-05-30,541
2015-05-31,541
2015-06-01,536
2015-06-02,536
2015-06-03,536
2015-06-04,536
2015-06-05,536
2015-06-06,515
2015-06-07,515
2015-06-08,515
2015-06-09,515
2015-06-10,515
2015-06-11,516
2015-06-12,516
2015-06-13,516
2015-06-14,516
2015-06-15,516
2015-06-16,522
2015-06-17,522
2015-06-18,522
2015-06-19,522
2015-06-20,522
2015-06-21,532
2015-06-22,532
2015-06-23,532
2015-06-24,532
2015-06-25,532
2015-06-26,546
2015-06-27,546
2015-06-28,546
2015-06-29,546
2015-06-30,546
2015-07-01,547
2015-07-02,547
2015-07-03,547
2015-07-04,547
2015-07-05,547
2015-07-06,547
2015-07-07,555
2015-07-08,555
2015-07-09,555
2015-07-10,555
2015-07-11,555
2015-07-12,555
2015-07-13,542
2015-07-14,542
2015-07-15,542
2015-07-16,542
2015-07-17,542
2015-07-18,544
2015-07-19,544
2015-07-20,544
2015-07-21,544
2015-07-22,560
2015-07-23,560
2015-07-24,560
2015-07-25,560
2015-07-26,560
2015-07-27,560
2015-07-28,577
2015-07-29,577
2015-07-30,577
2015-07-31,577
2015-08-01,577
2015-08-02,590
2015-08-03,590
2015-08-04,590
2015-08-05,590
2015-08-06,590
2015-08-07,605
2015-08-08,605
2015-08-09,605
2015-08-10,605
2015-08-11,614
2015-08-12,614
2015-08-13,614
2015-08-14,614
2015-08-15,614
2015-08-16,609
2015-08-17,609
2015-08-18,609
2015-08-19,609
2015-08-20,609
2015-08-21,608
2015-08-22,608
