date_obj,Oak%20bed%20(flatpack) price
2015-03-05,50
2015-03-06,50
2015-03-07,50
2015-03-08,50
2015-03-09,50
2015-03-10,50
2015-03-11,50
2015-03-12,50
2015-03-13,50
2015-03-14,50
2015-03-15,50
2015-03-16,50
2015-03-17,50
2015-03-18,50
2015-03-19,50
2015-03-20,50
2015-03-21,50
2015-03-22,50
2015-03-23,50
2015-03-24,50
2015-03-25,50
2015-03-26,50
2015-03-27,50
2015-03-28,50
2015-03-29,50
2015-03-30,50
2015-03-31,50
2015-04-01,50
2015-04-02,50
2015-04-03,50
2015-04-04,50
2015-04-05,50
2015-04-06,50
2015-04-07,50
2015-04-08,50
2015-04-09,50
2015-04-10,50
2015-04-11,50
2015-04-12,50
2015-04-13,50
2015-04-14,50
2015-04-15,50
2015-04-16,50
2015-04-17,50
2015-04-18,50
2015-04-19,50
2015-04-20,50
2015-04-21,50
2015-04-22,50
2015-04-23,50
2015-04-24,50
2015-04-25,50
2015-04-26,50
2015-04-27,50
2015-04-28,50
2015-04-29,50
2015-04-30,50
2015-05-01,50
2015-05-02,50
2015-05-03,50
2015-05-04,50
2015-05-05,50
2015-05-06,50
2015-05-07,50
2015-05-08,50
2015-05-09,50
2015-05-10,50
2015-05-11,50
2015-05-12,50
2015-05-13,50
2015-05-14,50
2015-05-15,50
2015-05-16,50
2015-05-17,50
2015-05-18,50
2015-05-19,50
2015-05-20,50
2015-05-21,50
2015-05-22,50
2015-05-23,50
2015-05-24,50
2015-05-25,50
2015-05-26,50
2015-05-27,50
2015-05-28,50
2015-05-29,53
2015-05-30,53
2015-05-31,53
2015-06-01,53
2015-06-02,53
2015-06-03,53
2015-06-04,53
2015-06-05,53
2015-06-06,53
2015-06-07,53
2015-06-08,53
2015-06-09,53
2015-06-10,53
2015-06-11,53
2015-06-12,53
2015-06-13,53
2015-06-14,53
2015-06-15,53
2015-06-16,53
2015-06-17,53
2015-06-18,53
2015-06-19,53
2015-06-20,53
2015-06-21,53
2015-06-22,53
2015-06-23,53
2015-06-24,53
2015-06-25,53
2015-06-26,53
2015-06-27,53
2015-06-28,53
2015-06-29,53
2015-06-30,53
2015-07-01,53
2015-07-02,53
2015-07-03,53
2015-07-04,53
2015-07-05,53
2015-07-06,53
2015-07-07,53
2015-07-08,53
2015-07-09,53
2015-07-10,53
2015-07-11,53
2015-07-12,53
2015-07-13,53
2015-07-14,53
2015-07-15,53
2015-07-16,53
2015-07-17,53
2015-07-18,53
2015-07-19,53
2015-07-20,53
2015-07-21,53
2015-07-22,53
2015-07-23,53
2015-07-24,53
2015-07-25,53
2015-07-26,53
2015-07-27,53
2015-07-28,53
2015-07-29,53
2015-07-30,53
2015-07-31,53
2015-08-01,53
2015-08-02,53
2015-08-03,53
2015-08-04,53
2015-08-05,53
2015-08-06,53
2015-08-07,53
2015-08-08,53
2015-08-09,53
2015-08-10,53
2015-08-11,53
2015-08-12,53
2015-08-13,53
2015-08-14,53
2015-08-15,53
2015-08-16,53
2015-08-17,53
2015-08-18,53
2015-08-19,53
2015-08-20,53
2015-08-21,53
2015-08-22,53
2015-08-23,53
2015-08-24,53
2015-08-25,53
2015-08-26,53
2015-08-27,53
2015-08-28,53
2015-08-29,53
2015-08-30,53
