date_obj,Oak%20stock price
2015-03-26,1525
2015-03-27,1525
2015-03-28,1525
2015-03-29,1525
2015-03-30,1525
2015-03-31,1525
2015-04-01,1525
2015-04-02,1525
2015-04-03,1525
2015-04-04,1525
2015-04-05,1525
2015-04-06,1525
2015-04-07,1525
2015-04-08,1449
2015-04-09,1449
2015-04-10,1449
2015-04-11,1449
2015-04-12,1449
2015-04-13,1449
2015-04-14,1449
2015-04-15,1449
2015-04-16,1449
2015-04-17,1449
2015-04-18,1449
2015-04-19,1449
2015-04-20,1449
2015-04-21,1449
2015-04-22,1449
2015-04-23,1449
2015-04-24,1449
2015-04-25,1449
2015-04-26,1449
2015-04-27,1449
2015-04-28,1449
2015-04-29,1379
2015-04-30,1379
2015-05-01,1379
2015-05-02,1379
2015-05-03,1379
2015-05-04,1379
2015-05-05,1379
2015-05-06,1379
2015-05-07,1379
2015-05-08,1379
2015-05-09,1379
2015-05-10,1379
2015-05-11,1379
2015-05-12,1379
2015-05-13,1379
2015-05-14,1379
2015-05-15,1379
2015-05-16,1379
2015-05-17,1379
2015-05-18,1379
2015-05-19,1379
2015-05-20,1379
2015-05-21,1379
2015-05-22,1379
2015-05-23,1312
2015-05-24,1312
2015-05-25,1312
2015-05-26,1312
2015-05-27,1312
2015-05-28,1312
2015-05-29,1312
2015-05-30,1312
2015-05-31,1312
2015-06-01,1312
2015-06-02,1312
2015-06-03,1312
2015-06-04,1312
2015-06-05,1251
2015-06-06,1251
2015-06-07,1251
2015-06-08,1251
2015-06-09,1251
2015-06-10,1251
2015-06-11,1251
2015-06-12,1251
2015-06-13,1251
2015-06-14,1251
2015-06-15,1251
2015-06-16,1251
2015-06-17,1251
2015-06-18,1251
2015-06-19,1251
2015-06-20,1251
2015-06-21,1190
2015-06-22,1190
2015-06-23,1190
2015-06-24,1190
2015-06-25,1190
2015-06-26,1190
2015-06-27,1190
2015-06-28,1190
2015-06-29,1190
2015-06-30,1190
2015-07-01,1190
2015-07-02,1190
2015-07-03,1190
2015-07-04,1190
2015-07-05,1190
2015-07-06,1142
2015-07-07,1142
2015-07-08,1142
2015-07-09,1142
2015-07-10,1142
2015-07-11,1142
2015-07-12,1142
2015-07-13,1142
2015-07-14,1142
2015-07-15,1142
2015-07-16,1142
2015-07-17,1142
2015-07-18,1142
2015-07-19,1142
2015-07-20,1142
2015-07-21,1142
2015-07-22,1086
2015-07-23,1086
2015-07-24,1086
2015-07-25,1086
2015-07-26,1086
2015-07-27,1086
2015-07-28,1086
2015-07-29,1086
2015-07-30,1086
2015-07-31,1086
2015-08-01,1086
2015-08-02,1086
2015-08-03,1086
2015-08-04,1086
2015-08-05,1086
2015-08-06,1086
2015-08-07,1033
2015-08-08,1033
2015-08-09,1033
2015-08-10,1033
2015-08-11,1033
2015-08-12,1033
2015-08-13,1033
2015-08-14,1033
2015-08-15,1033
2015-08-16,1033
2015-08-17,1033
2015-08-18,1033
2015-08-19,1033
2015-08-20,1033
2015-08-21,1033
2015-08-22,984
2015-08-23,984
2015-08-24,984
2015-08-25,984
2015-08-26,984
2015-08-27,984
2015-08-28,984
2015-08-29,984
2015-08-30,984
2015-08-31,984
2015-09-01,984
2015-09-02,984
2015-09-03,984
2015-09-04,984
2015-09-05,984
2015-09-06,984
2015-09-07,984
2015-09-08,984
2015-09-09,984
2015-09-10,936
2015-09-11,936
2015-09-12,936
2015-09-13,936
2015-09-14,936
2015-09-15,936
2015-09-16,936
2015-09-17,936
2015-09-18,936
2015-09-19,936
2015-09-20,936
2015-09-21,936
2015-09-22,936
2015-09-23,936
2015-09-24,936
2015-09-25,936
2015-09-27,936
2015-09-28,891
2015-09-29,891
2015-09-30,891
2015-10-05,891
2015-10-06,891
2015-10-07,891
2015-10-08,891
2015-10-09,891
2015-10-10,891
2015-10-11,891
2015-10-12,891
2015-10-13,891
2015-10-14,891
2015-10-15,891
2015-10-16,849
2015-10-17,849
2015-10-18,849
2015-10-19,849
2015-10-20,849
2015-10-22,849
2015-10-23,849
2015-10-24,849
2015-10-25,849
2015-10-26,849
2015-10-27,849
2015-10-29,849
2015-10-30,849
2015-10-31,849
2015-11-01,849
2015-11-02,807
2015-11-03,807
2015-11-04,807
2015-11-05,807
2015-11-06,807
2015-11-07,807
2015-11-08,807
2015-11-09,807
2015-11-10,807
2015-11-11,807
2015-11-12,807
2015-11-13,807
2015-11-14,807
2015-11-15,807
2015-11-16,807
2015-11-17,807
2015-11-18,807
2015-11-19,768
2015-11-20,768
2015-11-21,768
2015-11-22,768
2015-11-23,768
2015-11-24,768
2015-11-25,768
2015-11-26,768
2015-11-27,768
2015-11-28,768
2015-11-29,768
2015-11-30,768
2015-12-01,768
2015-12-02,768
2015-12-03,768
2015-12-04,768
2015-12-05,739
2015-12-06,739
2015-12-07,739
2015-12-08,739
2015-12-09,739
