date_obj,Obsidian%20cape%20(r) price
2016-07-06,15000000
2016-07-07,15000000
2016-07-08,14470598
2016-07-09,14470598
2016-07-10,14470598
2016-07-11,13747068
2016-07-12,13747068
2016-07-13,13747068
2016-07-14,13747068
2016-07-15,13059714
2016-07-16,13059714
2016-07-17,13059714
2016-07-18,13059714
2016-07-23,12406728
2016-07-24,11786391
2016-07-25,11786391
2016-07-26,11786391
2016-07-27,11786391
2016-07-28,11786391
2016-07-29,11197071
2016-07-30,11197071
2016-07-31,11197071
2016-08-01,11197071
2016-08-02,11197071
2016-08-03,10637217
2016-08-04,10637217
2016-08-05,10637217
2016-08-06,10637217
2016-08-07,10637217
2016-08-08,10111842
2016-08-09,10111842
2016-08-10,10111842
2016-08-11,10111842
2016-08-12,10111842
2016-08-13,9606249
2016-08-14,9606249
2016-08-15,9606249
2016-08-16,9606249
2016-08-17,9129196
2016-08-18,9129196
2016-08-19,9129196
2016-08-20,9129196
2016-08-21,9129196
2016-08-22,8672736
2016-08-23,8672736
2016-08-24,8672736
2016-08-25,8672736
2016-08-26,8672736
2016-08-28,8239099
2016-08-31,8239099
2016-09-01,7827144
2016-09-02,7827144
2016-09-03,7827144
2016-09-04,7827144
2016-09-05,7437868
2016-09-06,7437868
2016-09-07,7437868
2016-09-08,7437868
2016-09-09,7437868
2016-09-10,7065974
2016-09-11,7065974
2016-09-12,7065974
2016-09-13,7065974
2016-09-14,7065974
2016-09-15,6712675
2016-09-16,6712675
2016-09-17,6712675
2016-09-18,6712675
2016-09-19,6712675
2016-09-20,6380838
2016-09-21,6380838
2016-09-22,6380838
2016-09-23,6380838
2016-09-24,6380838
2016-09-25,6061796
2016-09-26,6061796
2016-09-27,6061796
2016-09-28,6061796
2016-09-29,6061796
2016-09-30,5758706
2016-10-01,5758706
2016-10-02,5758706
2016-10-03,5758706
2016-10-04,5473925
2016-10-05,5473925
2016-10-06,5473925
2016-10-07,5473925
2016-10-08,5200228
2016-10-09,5200228
2016-10-10,5200228
2016-10-11,5200228
2016-10-12,5200228
2016-10-13,4940216
2016-10-14,4940216
2016-10-15,4940216
2016-10-16,4940216
2016-10-17,4694485
2016-10-18,4694485
2016-10-19,4694485
2016-10-20,4694485
2016-10-21,4694485
2016-10-22,4459760
2016-10-23,4459760
2016-10-24,4459760
2016-10-25,4459760
2016-10-26,4236772
2016-10-27,4236772
2016-10-28,4236772
2016-10-29,4236772
2016-10-30,4025442
2016-10-31,4025442
2016-11-01,4025442
2016-11-02,4025442
2016-11-03,3824169
2016-11-04,3824169
2016-11-05,3824169
2016-11-06,3722778
2016-11-07,3722778
2016-11-08,3722778
2016-11-09,3722778
2016-11-10,3783755
2016-11-11,3783755
2016-11-12,3783755
2016-11-13,3783755
2016-11-14,3874348
2016-12-07,3986115
2016-12-08,3877332
2016-12-09,3877332
2016-12-10,3877332
2016-12-11,3877332
2016-12-12,3813344
2016-12-13,3813344
2016-12-14,3813344
2016-12-15,3813344
2016-12-16,3710941
2016-12-17,3710941
2016-12-18,3710941
2016-12-19,3848764
2016-12-20,3848764
2016-12-21,3848764
2016-12-22,3848764
2016-12-23,3840018
2016-12-24,3840018
2016-12-25,3840018
2016-12-26,3840018
2016-12-27,3816319
2016-12-28,3816319
2016-12-29,3816319
2016-12-30,3836115
2016-12-31,3836115
2017-01-01,3836115
2017-01-03,3915299
2017-01-04,3915299
2017-01-05,3915299
2017-01-06,3746246
2017-01-07,3746246
2017-01-08,3746246
2017-01-09,3558933
2017-01-10,3558933
2017-01-11,3558933
2017-01-12,3400494
2017-01-13,3400494
2017-01-14,3400494
2017-01-15,3306123
2017-01-16,3306123
2017-01-17,3306123
2017-01-18,3309820
2017-01-19,3309820
2017-01-20,3309820
2017-01-21,3212209
2017-01-22,3212209
2017-01-27,3330939
2017-01-28,3330939
2017-01-29,3330939
2017-01-30,3258129
2017-01-31,3258129
2017-02-01,3258129
2017-02-02,3221152
2017-02-03,3221152
2017-02-04,3221152
2017-02-05,3179372
2017-02-06,3179372
2017-02-07,3179372
2017-02-08,3161779
2017-02-09,3161779
2017-02-10,3161779
2017-02-11,3093950
2017-02-12,3093950
2017-02-13,3093950
2017-02-14,3022173
2017-02-15,3022173
2017-02-16,3022173
2017-02-18,2942262
2017-02-19,2942262
2017-02-20,2889489
2017-02-21,2889489
2017-02-22,2889489
2017-02-23,2975018
2017-02-24,2975018
2017-02-25,2975018
2017-02-26,2851606
2017-02-27,2851606
2017-02-28,2752626
2017-03-01,2752626
2017-03-02,2752626
2017-03-03,2823818
2017-03-04,2823818
2017-03-05,2848561
2017-03-06,2848561
2017-03-07,2811478
2017-03-08,2811478
2017-03-09,2811478
2017-03-10,2698423
2017-03-11,2698423
2017-03-12,2698423
2017-03-13,2637129
2017-03-14,2637129
2017-03-15,2631019
2017-03-16,2631019
2017-03-17,2631019
2017-03-18,2659114
2017-03-19,2659114
2017-03-20,2744140
2017-03-21,2744140
2017-03-22,2744140
2017-03-23,2814238
2017-03-24,2814238
2017-03-25,2814238
2017-03-26,2868862
2017-03-27,2868862
2017-03-28,2868862
2017-03-29,2849764
2017-03-30,2849764
2017-03-31,2924565
2017-04-01,2924565
2017-04-02,2924565
2017-04-03,3037649
2017-04-04,3037649
2017-04-12,3371666
2017-04-13,3445795
2017-04-14,3445795
2017-04-15,3445795
2017-04-16,3581517
2017-04-17,3581517
2017-04-18,3581517
2017-04-19,3519880
2017-04-20,3519880
2017-04-21,3519880
2017-04-22,3562742
2017-04-23,3562742
2017-04-24,3562742
2017-04-25,3443962
2017-04-26,3443962
2017-04-27,3443962
2017-04-28,3280471
2017-04-29,3280471
2017-04-30,3324537
2017-05-01,3324537
2017-05-02,3324537
2017-05-03,3442000
2017-05-04,3442000
2017-05-05,3443123
2017-05-06,3443123
2017-05-07,3443123
2017-05-08,3468187
2017-05-09,3468187
2017-05-10,3468187
2017-05-11,3418136
2017-05-12,3418136
2017-05-13,3299072
2017-05-14,3299072
2017-05-15,3299072
2017-05-16,3145537
2017-05-17,3145537
2017-05-18,3145537
2017-05-19,2992477
2017-05-20,2992477
2017-05-21,2934614
2017-05-22,2934614
2017-05-23,2934614
2017-05-24,2913183
2017-05-25,2913183
2017-05-26,2913183
2017-05-27,2812664
2017-05-28,2812664
2017-05-29,2812664
2017-05-30,2823343
2017-05-31,2823343
2017-06-01,2940559
2017-06-02,2940559
2017-06-03,3072049
2017-06-06,3215595
2017-06-07,3246139
2017-06-08,3246139
2017-06-09,3246139
2017-06-10,3147911
2017-06-11,3147911
2017-06-12,3147911
2017-06-13,2991546
2017-06-14,2991546
2017-06-15,2991546
2017-06-16,2867646
2017-06-17,2867646
2017-06-18,2815563
2017-06-19,2815563
2017-06-20,2813151
