date_obj,Ogre%20arrow price
2015-03-26,369
2015-03-27,369
2015-03-28,375
2015-03-29,375
2015-03-30,375
2015-03-31,381
2015-04-01,381
2015-04-02,381
2015-04-03,381
2015-04-04,388
2015-04-05,388
2015-04-06,388
2015-04-07,380
2015-04-08,380
2015-04-09,380
2015-04-10,380
2015-04-11,375
2015-04-12,375
2015-04-13,375
2015-04-14,375
2015-04-15,370
2015-04-16,370
2015-04-17,370
2015-04-18,372
2015-04-19,372
2015-04-20,372
2015-04-21,372
2015-04-22,372
2015-04-23,372
2015-04-24,372
2015-04-25,373
2015-04-26,373
2015-04-27,373
2015-04-28,374
2015-04-29,374
2015-04-30,374
2015-05-01,374
2015-05-02,380
2015-05-03,380
2015-05-04,380
2015-05-05,380
2015-05-06,384
2015-05-07,384
2015-05-08,384
2015-05-09,383
2015-05-10,383
2015-05-11,383
2015-05-12,384
2015-05-13,384
2015-05-14,384
2015-05-15,399
2015-05-16,399
2015-05-17,399
2015-05-18,411
2015-05-19,411
2015-05-20,411
2015-05-21,411
2015-05-22,412
2015-05-23,412
2015-05-24,412
2015-05-25,397
2015-05-26,397
2015-05-27,397
2015-05-28,377
2015-05-29,377
2015-05-30,362
2015-05-31,362
2015-06-01,362
2015-06-02,360
2015-06-03,360
2015-06-04,360
2015-06-05,352
2015-06-06,352
2015-06-07,350
2015-06-08,350
2015-06-09,350
2015-06-10,348
2015-06-11,348
2015-06-12,348
2015-06-13,352
2015-06-14,352
2015-06-15,352
2015-06-16,362
2015-06-17,362
2015-06-18,362
2015-06-19,357
2015-06-20,357
2015-06-21,357
2015-06-22,339
2015-06-23,339
2015-06-24,323
2015-06-25,323
2015-06-26,323
2015-06-27,307
2015-06-28,307
2015-06-29,307
2015-06-30,299
2015-07-01,299
2015-07-02,299
2015-07-03,296
2015-07-04,296
2015-07-05,296
2015-07-06,309
2015-07-07,309
2015-07-08,309
2015-07-09,320
2015-07-10,320
2015-07-11,320
2015-07-12,311
2015-07-13,311
2015-07-14,311
2015-07-15,311
2015-07-16,311
2015-07-17,314
2015-07-18,314
2015-07-19,314
2015-07-20,321
2015-07-21,321
2015-07-22,327
2015-07-23,327
2015-07-24,327
2015-07-25,326
2015-07-26,326
2015-07-27,326
2015-07-28,327
2015-07-29,327
2015-07-30,327
2015-07-31,327
2015-08-01,327
2015-08-02,334
2015-08-03,334
2015-08-04,334
2015-08-05,337
2015-08-06,337
2015-08-07,337
2015-08-08,335
2015-08-09,335
2015-08-10,350
2015-08-11,350
2015-08-12,350
2015-08-13,352
2015-08-14,352
2015-08-15,352
2015-08-16,352
2015-08-17,358
2015-08-18,358
2015-08-19,358
2015-08-20,360
2015-08-21,360
2015-08-22,358
2015-08-23,358
2015-08-24,358
2015-08-25,358
2015-08-26,358
2015-08-27,354
2015-08-28,354
2015-08-29,351
2015-08-30,351
2015-08-31,351
2015-09-01,353
2015-09-02,353
2015-09-03,353
2015-09-04,359
2015-09-05,359
2015-09-06,359
2015-09-07,359
2015-09-08,359
2015-09-09,359
2015-09-10,355
2015-09-11,355
2015-09-12,355
2015-09-13,354
2015-09-14,354
2015-09-15,354
2015-09-16,355
2015-09-17,355
2015-09-18,355
2015-09-19,358
2015-09-20,358
2015-09-21,358
2015-09-22,358
2015-09-23,358
2015-09-24,358
2015-09-25,358
2015-09-27,358
2015-09-28,362
2015-09-29,362
2015-09-30,362
2015-10-05,359
2015-10-06,359
2015-10-07,360
2015-10-08,360
2015-10-09,359
2015-10-10,359
2015-10-11,359
2015-10-12,361
2015-10-13,361
2015-10-14,361
2015-10-15,361
2015-10-16,363
2015-10-17,363
2015-10-18,363
2015-10-19,363
2015-10-20,363
2015-10-22,371
2015-10-23,371
2015-10-24,371
2015-10-25,369
2015-10-26,369
2015-10-27,369
2015-10-29,367
2015-10-30,367
2015-10-31,364
2015-11-01,364
2015-11-02,364
2015-11-03,364
2015-11-04,362
2015-11-05,362
2015-11-06,362
2015-11-07,352
2015-11-08,352
2015-11-09,352
2015-11-10,352
2015-11-11,351
2015-11-12,351
2015-11-13,351
2015-11-14,351
2015-11-15,342
2015-11-16,342
2015-11-17,342
2015-11-18,342
2015-11-19,345
2015-11-20,345
2015-11-21,345
2015-11-22,355
2015-11-23,355
2015-11-24,355
2015-11-25,372
2015-11-26,372
2015-11-27,372
2015-11-28,378
2015-11-29,378
2015-11-30,376
2015-12-01,376
2015-12-02,376
2015-12-03,375
2015-12-04,375
2015-12-05,375
2015-12-06,372
2015-12-07,372
2015-12-08,372
2015-12-09,371
2015-12-10,371
2015-12-11,371
2015-12-12,372
2015-12-13,372
2015-12-14,372
2015-12-15,365
2015-12-16,365
2015-12-17,365
2015-12-18,359
2015-12-19,359
2015-12-20,355
2015-12-21,355
2015-12-22,355
2015-12-23,358
2015-12-24,358
2015-12-25,358
2015-12-26,358
2015-12-27,358
2015-12-28,368
2015-12-29,368
2015-12-30,376
2015-12-31,376
2016-01-01,376
2016-01-02,382
2016-01-03,382
2016-01-04,390
2016-01-05,390
2016-01-06,398
2016-01-07,398
2016-01-08,398
2016-01-09,398
2016-01-10,397
2016-01-11,397
2016-01-12,395
2016-01-13,395
2016-01-14,390
2016-01-15,390
2016-01-16,382
2016-01-17,382
2016-01-18,372
2016-01-19,372
2016-01-20,372
2016-01-21,366
2016-01-22,366
2016-01-23,361
2016-01-24,361
2016-01-25,360
2016-01-26,360
2016-01-27,359
2016-01-28,359
2016-01-29,359
2016-01-30,359
2016-01-31,359
2016-02-01,359
2016-02-02,359
2016-02-03,359
2016-02-04,367
2016-02-05,367
2016-02-06,372
2016-02-07,372
2016-02-08,372
2016-02-09,374
2016-02-10,374
2016-02-11,368
2016-02-12,368
2016-02-13,370
2016-02-14,370
2016-02-15,372
2016-02-16,372
2016-02-17,368
2016-02-18,368
2016-02-19,368
2016-02-20,365
2016-02-21,369
2016-02-22,369
2016-02-23,369
2016-02-24,368
2016-02-25,368
2016-02-26,361
2016-02-27,361
2016-02-28,358
2016-02-29,358
2016-03-01,354
2016-03-02,354
2016-03-03,354
2016-03-04,354
2016-03-05,350
2016-03-06,350
2016-03-07,353
2016-03-08,353
2016-03-09,353
2016-03-10,353
2016-03-11,353
2016-03-12,349
2016-03-13,349
2016-03-14,349
2016-03-15,362
2016-03-16,362
2016-03-17,360
2016-03-18,360
2016-03-19,360
2016-03-20,360
2016-03-21,365
2016-03-22,365
2016-03-23,369
2016-03-24,369
2016-03-25,370
2016-03-26,370
