date_obj,Oil%20lamp price
2015-03-26,10919
2015-03-27,10919
2015-03-28,10919
2015-03-29,10919
2015-03-30,10919
2015-03-31,10919
2015-04-01,10919
2015-04-02,10919
2015-04-03,10919
2015-04-04,10474
2015-04-05,10474
2015-04-06,10474
2015-04-07,10474
2015-04-08,10474
2015-04-09,10474
2015-04-10,10474
2015-04-11,10474
2015-04-12,10474
2015-04-13,10474
2015-04-14,10474
2015-04-15,10474
2015-04-16,9950
2015-04-17,9950
2015-04-18,9950
2015-04-19,9950
2015-04-20,9950
2015-04-21,9950
2015-04-22,9950
2015-04-23,9950
2015-04-24,9950
2015-04-25,9950
2015-04-26,9950
2015-04-27,9950
2015-04-28,9950
2015-04-29,9516
2015-04-30,9516
2015-05-01,9516
2015-05-02,9516
2015-05-03,9516
2015-05-04,9516
2015-05-05,9516
2015-05-06,9516
2015-05-07,9516
2015-05-08,9516
2015-05-09,9516
2015-05-10,9516
2015-05-11,9516
2015-05-12,9040
2015-05-13,9040
2015-05-14,9040
2015-05-15,9040
2015-05-16,9040
2015-05-17,9040
2015-05-18,9040
2015-05-19,9040
2015-05-20,9040
2015-05-21,9040
2015-05-22,9040
2015-05-23,9040
2015-05-24,9040
2015-05-25,9040
2015-05-26,9040
2015-05-27,9040
2015-05-28,8588
2015-05-29,8588
2015-05-30,8588
2015-05-31,8588
2015-06-01,8588
2015-06-02,8588
2015-06-03,8588
2015-06-04,8588
2015-06-05,8588
2015-06-06,8276
2015-06-07,8276
2015-06-08,8276
2015-06-09,8276
2015-06-10,8276
2015-06-11,8276
2015-06-12,8276
2015-06-13,8276
2015-06-14,8276
2015-06-15,8276
2015-06-16,8276
2015-06-17,8276
2015-06-18,7976
2015-06-19,7976
2015-06-20,7976
2015-06-21,7976
2015-06-22,7976
2015-06-23,7976
2015-06-24,7976
2015-06-25,7976
2015-06-26,7976
2015-06-27,7976
2015-06-28,7976
2015-06-29,7577
2015-06-30,7577
2015-07-01,7577
2015-07-02,7577
2015-07-03,7577
2015-07-04,7577
2015-07-05,7577
2015-07-06,7577
2015-07-07,7577
2015-07-08,7577
2015-07-09,7577
2015-07-10,7577
2015-07-11,7212
2015-07-12,7212
2015-07-13,7212
2015-07-14,7212
2015-07-15,7212
2015-07-16,7212
2015-07-17,7212
2015-07-18,7212
2015-07-19,7212
2015-07-20,7212
2015-07-21,7212
2015-07-22,6932
2015-07-23,6932
2015-07-24,6932
2015-07-25,6932
2015-07-26,6932
2015-07-27,6932
2015-07-28,6932
2015-07-29,6932
2015-07-30,6932
2015-07-31,6932
2015-08-01,6932
2015-08-02,6616
2015-08-03,6616
2015-08-04,6616
2015-08-05,6616
2015-08-06,6616
2015-08-07,6616
2015-08-08,6616
2015-08-09,6616
2015-08-10,6616
2015-08-11,6616
2015-08-12,6616
2015-08-13,6292
2015-08-14,6292
2015-08-15,6292
2015-08-16,6292
2015-08-17,6292
2015-08-18,6292
2015-08-19,6292
2015-08-20,6292
2015-08-21,6292
2015-08-22,6292
2015-08-23,5997
2015-08-24,5997
2015-08-25,5997
2015-08-26,5997
2015-08-27,5997
2015-08-28,5997
2015-08-29,5997
2015-08-30,5997
2015-08-31,5997
2015-09-01,5997
2015-09-02,5997
2015-09-03,5700
2015-09-04,5700
2015-09-05,5700
2015-09-06,5700
2015-09-07,5700
2015-09-08,5700
2015-09-09,5700
2015-09-10,5700
2015-09-11,5700
2015-09-12,5700
2015-09-13,5700
2015-09-14,5430
2015-09-15,5430
2015-09-16,5430
2015-09-17,5430
2015-09-18,5430
2015-09-19,5430
2015-09-20,5430
2015-09-21,5430
2015-09-22,5430
2015-09-23,5430
2015-09-24,5430
2015-09-25,5430
2015-09-27,5162
2015-09-28,5162
2015-09-29,5162
2015-09-30,5162
2015-10-05,5162
2015-10-06,5162
2015-10-07,5162
2015-10-08,4907
2015-10-09,4907
2015-10-10,4907
2015-10-11,4907
2015-10-12,4907
2015-10-13,4907
2015-10-14,4907
2015-10-15,4907
2015-10-16,4907
2015-10-17,4907
2015-10-18,4907
2015-10-19,4907
2015-10-20,4669
2015-10-22,4669
2015-10-23,4669
2015-10-24,4669
2015-10-25,4669
2015-10-26,4669
2015-10-27,4669
2015-10-29,4669
2015-10-30,4669
2015-10-31,4484
2015-11-01,4484
2015-11-02,4484
2015-11-03,4484
2015-11-04,4484
2015-11-05,4484
2015-11-06,4484
2015-11-07,4484
2015-11-08,4484
2015-11-09,4484
2015-11-10,4484
2015-11-11,4484
2015-11-12,4484
2015-11-13,4484
2015-11-14,4324
2015-11-15,4324
2015-11-16,4324
2015-11-17,4324
2015-11-18,4324
2015-11-19,4324
2015-11-20,4324
2015-11-21,4324
2015-11-22,4324
2015-11-23,4324
2015-11-24,4324
2015-11-25,4136
2015-11-26,4136
2015-11-27,4136
2015-11-28,4136
2015-11-29,4136
2015-11-30,4136
2015-12-01,4136
2015-12-02,4136
2015-12-03,4136
2015-12-04,4136
2015-12-05,4136
2015-12-06,4136
2015-12-07,3946
2015-12-08,3946
2015-12-09,3946
2015-12-10,3946
2015-12-11,3946
2015-12-12,3946
2015-12-13,3946
2015-12-14,3946
2015-12-15,3946
2015-12-16,3751
2015-12-17,3751
2015-12-18,3751
2015-12-19,3751
2015-12-20,3751
2015-12-21,3751
2015-12-22,3751
2015-12-23,3751
2015-12-24,3751
2015-12-25,3565
2015-12-26,3565
2015-12-27,3565
2015-12-28,3565
2015-12-29,3565
2015-12-30,3565
2015-12-31,3565
2016-01-01,3565
2016-01-02,3565
2016-01-03,3398
2016-01-04,3398
2016-01-05,3398
2016-01-06,3398
2016-01-07,3398
2016-01-08,3398
2016-01-09,3398
2016-01-10,3398
2016-01-11,3398
2016-01-12,3398
2016-01-13,3229
2016-01-14,3229
2016-01-15,3229
2016-01-16,3229
2016-01-17,3229
2016-01-18,3229
2016-01-19,3229
2016-01-20,3229
2016-01-21,3069
2016-01-22,3069
2016-01-23,3069
2016-01-24,3069
2016-01-25,3069
2016-01-26,3069
2016-01-27,3069
2016-01-28,3069
2016-01-29,2915
2016-01-30,2915
2016-01-31,2915
2016-02-01,2915
2016-02-02,2915
2016-02-03,2915
2016-02-04,2915
2016-02-05,2915
2016-02-06,2773
2016-02-07,2773
2016-02-08,2773
2016-02-09,2773
2016-02-10,2773
2016-02-11,2773
2016-02-12,2773
2016-02-13,2773
2016-02-14,2773
2016-02-15,2637
2016-02-16,2637
2016-02-17,2637
2016-02-18,2637
2016-02-19,2637
2016-02-20,2637
2016-02-21,2637
2016-02-22,2637
2016-02-23,2575
2016-02-24,2575
2016-02-25,2575
2016-02-26,2575
2016-02-27,2575
2016-02-28,2575
2016-02-29,2575
2016-03-01,2575
2016-03-02,2575
2016-03-03,2575
2016-03-04,2493
2016-03-05,2493
2016-03-06,2493
2016-03-07,2493
2016-03-08,2493
2016-03-09,2493
2016-03-10,2493
2016-03-11,2493
2016-03-12,2493
2016-03-13,2493
2016-03-14,2368
2016-03-15,2368
2016-03-16,2368
2016-03-17,2368
2016-03-18,2368
2016-03-19,2368
2016-03-20,2368
2016-03-21,2368
2016-03-22,2368
2016-03-23,2272
2016-03-24,2272
2016-03-25,2272
2016-03-26,2272
2016-03-27,2272
2016-03-28,2272
2016-03-29,2272
2016-03-30,2272
2016-03-31,2267
2016-04-01,2267
2016-04-02,2267
2016-04-03,2267
2016-04-04,2267
2016-04-05,2267
2016-04-06,2267
2016-04-07,2267
2016-04-08,2267
2016-04-09,2154
2016-04-10,2154
2016-04-11,2154
2016-04-12,2154
2016-04-13,2154
2016-04-14,2154
2016-04-15,2154
2016-04-16,2154
2016-04-17,2154
2016-04-18,2154
2016-04-19,2046
2016-04-20,2046
2016-04-21,2046
2016-04-22,2046
2016-04-23,2046
2016-04-24,2046
2016-04-25,2046
2016-04-26,2046
2016-04-27,2046
2016-04-28,1943
2016-04-29,1943
2016-04-30,1943
2016-05-01,1943
2016-05-02,1943
2016-05-03,1943
2016-05-04,1943
2016-05-05,1943
2016-05-06,1943
2016-05-07,1847
2016-05-08,1847
2016-05-09,1847
2016-05-10,1847
2016-05-11,1847
2016-05-12,1847
2016-05-13,1847
2016-05-14,1847
2016-05-15,1826
2016-05-16,1826
2016-05-17,1826
2016-05-18,1826
2016-05-19,1826
2016-05-22,1826
2016-05-23,1769
2016-05-24,1769
2016-05-25,1769
2016-05-26,1769
2016-05-27,1769
2016-05-28,1769
2016-05-29,1769
2016-05-30,1769
2016-05-31,1754
2016-06-01,1754
2016-06-02,1754
2016-06-03,1754
2016-06-04,1754
2016-06-05,1754
2016-06-06,1754
2016-06-07,1754
2016-06-08,1754
2016-06-09,1713
2016-06-10,1713
2016-06-11,1713
2016-06-12,1713
2016-06-13,1713
2016-06-14,1713
2016-06-15,1713
2016-06-16,1713
2016-06-17,1713
2016-06-18,1713
2016-06-19,1689
2016-06-20,1689
2016-06-21,1689
2016-06-22,1689
2016-06-23,1689
2016-06-24,1689
2016-06-25,1689
2016-06-26,1689
2016-06-27,1689
2016-06-28,1604
2016-06-29,1604
2016-06-30,1604
2016-07-01,1604
2016-07-02,1604
2016-07-03,1604
2016-07-04,1604
2016-07-05,1604
2016-07-06,1523
2016-07-07,1523
2016-07-08,1523
2016-07-09,1523
2016-07-10,1523
2016-07-11,1523
2016-07-12,1523
2016-07-13,1449
2016-07-14,1449
2016-07-15,1449
2016-07-16,1449
2016-07-17,1449
2016-07-18,1449
2016-07-23,1413
2016-07-24,1413
2016-07-25,1413
2016-07-26,1413
2016-07-27,1413
2016-07-28,1413
2016-07-29,1413
2016-07-30,1413
2016-07-31,1413
2016-08-01,1413
2016-08-02,1400
2016-08-03,1400
2016-08-04,1400
2016-08-05,1400
2016-08-06,1400
2016-08-07,1400
2016-08-08,1400
2016-08-09,1400
2016-08-10,1400
2016-08-11,1400
2016-08-12,1400
2016-08-13,1400
2016-08-14,1400
2016-08-15,1371
2016-08-16,1371
2016-08-17,1371
2016-08-18,1371
2016-08-19,1371
2016-08-20,1371
2016-08-21,1371
2016-08-22,1371
2016-08-23,1371
2016-08-24,1371
2016-08-25,1371
2016-08-26,1371
2016-08-28,1387
2016-08-31,1387
2016-09-01,1387
2016-09-02,1387
2016-09-03,1387
2016-09-04,1387
2016-09-05,1387
2016-09-06,1387
2016-09-07,1387
2016-09-08,1387
2016-09-09,1387
2016-09-10,1418
2016-09-11,1418
2016-09-12,1418
2016-09-13,1418
2016-09-14,1418
2016-09-15,1418
2016-09-16,1418
2016-09-17,1418
2016-09-18,1418
2016-09-19,1375
2016-09-20,1375
2016-09-21,1375
2016-09-22,1375
2016-09-23,1375
2016-09-24,1375
2016-09-25,1375
2016-09-26,1375
2016-09-27,1375
2016-09-28,1346
2016-09-29,1346
2016-09-30,1346
2016-10-01,1346
2016-10-02,1346
2016-10-03,1346
2016-10-04,1346
2016-10-05,1346
2016-10-06,1346
2016-10-07,1370
2016-10-08,1370
2016-10-09,1370
2016-10-10,1370
2016-10-11,1370
2016-10-12,1370
2016-10-13,1370
2016-10-14,1387
2016-10-15,1387
2016-10-16,1387
2016-10-17,1387
2016-10-18,1387
2016-10-19,1387
2016-10-20,1387
2016-10-21,1387
2016-10-22,1392
2016-10-23,1392
2016-10-24,1392
2016-10-25,1392
2016-10-26,1392
2016-10-27,1392
2016-10-28,1392
2016-10-29,1350
2016-10-30,1350
2016-10-31,1350
2016-11-01,1350
2016-11-02,1350
2016-11-03,1350
2016-11-04,1350
2016-11-05,1350
2016-11-06,1303
2016-11-07,1303
2016-11-08,1303
2016-11-09,1303
2016-11-10,1303
2016-11-11,1303
2016-11-12,1303
2016-11-13,1303
2016-11-14,1262
2016-12-07,1218
2016-12-08,1251
2016-12-09,1251
2016-12-10,1251
2016-12-11,1251
2016-12-12,1251
2016-12-13,1251
2016-12-14,1251
2016-12-15,1292
2016-12-16,1292
2016-12-17,1292
2016-12-18,1292
2016-12-19,1292
2016-12-20,1292
2016-12-21,1292
2016-12-22,1335
2016-12-23,1335
2016-12-24,1335
2016-12-25,1335
2016-12-26,1335
2016-12-27,1335
2016-12-28,1362
2016-12-29,1362
2016-12-30,1362
2016-12-31,1362
2017-01-01,1362
2017-01-03,1383
2017-01-04,1383
2017-01-05,1383
2017-01-06,1383
2017-01-07,1383
2017-01-08,1383
2017-01-09,1358
2017-01-10,1358
2017-01-11,1358
2017-01-12,1358
2017-01-13,1358
2017-01-14,1406
2017-01-15,1406
2017-01-16,1406
2017-01-17,1406
2017-01-18,1406
2017-01-19,1386
2017-01-20,1386
2017-01-21,1386
2017-01-22,1386
2017-01-27,1317
2017-01-28,1317
2017-01-29,1345
2017-01-30,1345
2017-01-31,1345
2017-02-01,1345
2017-02-02,1345
2017-02-03,1345
2017-02-04,1305
2017-02-05,1305
2017-02-06,1305
2017-02-07,1305
2017-02-08,1305
2017-02-09,1305
2017-02-10,1335
2017-02-11,1335
2017-02-12,1335
2017-02-13,1335
2017-02-14,1335
2017-02-15,1335
2017-02-16,1355
2017-02-18,1355
2017-02-19,1355
2017-02-20,1355
2017-02-21,1355
2017-02-22,1302
2017-02-23,1302
2017-02-24,1302
2017-02-25,1302
2017-02-26,1302
2017-02-27,1302
2017-02-28,1236
2017-03-01,1236
2017-03-02,1236
2017-03-03,1236
2017-03-04,1236
2017-03-05,1236
2017-03-06,1203
2017-03-07,1203
2017-03-08,1203
2017-03-09,1203
2017-03-10,1203
2017-03-11,1203
2017-03-12,1218
2017-03-13,1218
2017-03-14,1218
2017-03-15,1218
2017-03-16,1218
2017-03-17,1158
2017-03-18,1158
2017-03-19,1158
2017-03-20,1158
2017-03-21,1158
2017-03-22,1161
2017-03-23,1161
2017-03-24,1161
2017-03-25,1161
2017-03-26,1161
2017-03-27,1161
2017-03-28,1164
2017-03-29,1164
