date_obj,Old%20school%20bond price
2015-03-26,2000000
2015-03-27,2000000
2015-03-28,2000000
2015-03-29,1902808
2015-03-30,1807667
2015-03-31,1717283
2015-04-01,1631418
2015-04-02,1549847
2015-04-03,1472354
2015-04-04,1398736
2015-04-05,1328799
2015-04-06,1262359
2015-04-07,1199241
2015-04-08,1141222
2015-04-09,1096656
2015-04-10,1069685
2015-04-11,1064721
2015-04-12,1077218
2015-04-13,1121291
2015-04-14,1148370
2015-04-15,1170875
2015-04-16,1203975
2015-04-17,1232032
2015-04-18,1237233
2015-04-19,1214024
2015-04-20,1220601
2015-04-21,1249648
2015-04-22,1271111
2015-04-23,1275850
2015-04-24,1269083
2015-04-25,1270109
2015-04-26,1293008
2015-04-27,1296259
2015-04-28,1313779
2015-04-29,1338936
2015-04-30,1323573
2015-05-01,1301572
2015-05-02,1296248
2015-05-03,1285386
2015-05-04,1300202
2015-05-05,1334005
2015-05-06,1346376
2015-05-07,1367358
2015-05-08,1356791
2015-05-09,1366158
2015-05-10,1377398
2015-05-11,1402840
2015-05-12,1432989
2015-05-13,1453158
2015-05-14,1503651
2015-05-15,1526702
2015-05-16,1513934
2015-05-17,1521589
2015-05-18,1555329
2015-05-19,1581227
2015-05-20,1586131
2015-05-21,1605149
2015-05-22,1626608
2015-05-23,1609857
2015-05-24,1585851
2015-05-25,1593139
2015-05-26,1616926
2015-05-27,1607430
2015-05-28,1646697
2015-05-29,1601902
2015-05-30,1557359
2015-05-31,1543787
2015-06-01,1552111
2015-06-02,1546333
2015-06-03,1561524
2015-06-04,1569048
2015-06-05,1559633
2015-06-06,1546403
2015-06-07,1559967
2015-06-08,1579001
2015-06-09,1580802
2015-06-10,1600868
2015-06-11,1631610
2015-06-12,1640035
2015-06-13,1648903
2015-06-14,1644378
2015-06-15,1653056
2015-06-16,1697307
2015-06-17,1716903
2015-06-18,1708806
2015-06-19,1684218
2015-06-20,1634644
2015-06-21,1604547
2015-06-22,1595301
2015-06-23,1601708
2015-06-24,1642639
2015-06-25,1617406
2015-06-26,1643917
2015-06-27,1681062
2015-06-28,1676679
2015-06-29,1676556
2015-06-30,1691571
2015-07-01,1692446
2015-07-02,1670636
2015-07-03,1656228
2015-07-04,1655239
2015-07-05,1652286
2015-07-06,1675018
2015-07-07,1693706
2015-07-08,1731126
2015-07-09,1771693
2015-07-10,1783849
2015-07-11,1773943
2015-07-12,1745907
2015-07-13,1770592
2015-07-14,1799740
2015-07-15,1831146
2015-07-16,1856144
2015-07-17,1895406
2015-07-18,1884223
2015-07-19,1860391
2015-07-20,1889565
2015-07-21,1899354
2015-07-22,1945984
2015-07-23,1950271
2015-07-24,1983183
2015-07-25,1935818
2015-07-26,1906784
2015-07-27,1894660
2015-07-28,1924451
2015-07-29,1932330
2015-07-30,1935704
2015-07-31,1907862
2015-08-01,1871939
2015-08-02,1860884
2015-08-03,1869613
2015-08-04,1870177
2015-08-05,1922667
2015-08-06,1919130
2015-08-07,1946582
2015-08-08,1959888
2015-08-09,1963805
2015-08-10,1951485
2015-08-11,1933786
2015-08-12,1917173
2015-08-13,1936686
2015-08-14,1942654
2015-08-15,1917153
2015-08-16,1937839
2015-08-17,1974542
2015-08-18,2033736
2015-08-19,2040982
2015-08-20,2067995
2015-08-21,2111894
2015-08-22,2103895
2015-08-23,2122309
2015-08-24,2169482
2015-08-25,2185525
2015-08-26,2208164
2015-08-27,2136816
2015-08-28,2041581
2015-08-29,1949270
2015-08-30,1875340
2015-08-31,1861819
2015-09-01,1909084
2015-09-02,1973333
2015-09-03,1997747
2015-09-04,2033491
2015-09-05,2012226
2015-09-06,1995172
2015-09-07,2026464
2015-09-08,2038416
2015-09-09,2062330
2015-09-10,2077891
2015-09-11,2098649
2015-09-12,2057299
2015-09-13,2028983
2015-09-14,1992502
2015-09-15,2018360
2015-09-16,2040458
2015-09-17,2073086
2015-09-18,2119148
2015-09-19,2171444
2015-09-20,2206112
2015-09-21,2270832
2015-09-22,2320698
2015-09-23,2373215
2015-09-24,2373526
2015-09-25,2334229
2015-09-27,2260730
2015-09-28,2257612
2015-09-29,2256571
2015-09-30,2204167
2015-10-05,1971522
2015-10-06,2020523
2015-10-07,2055911
2015-10-08,2111399
2015-10-09,2152817
2015-10-10,2135814
2015-10-11,2150871
2015-10-12,2213740
2015-10-13,2289325
2015-10-14,2342031
2015-10-15,2404293
2015-10-16,2365673
2015-10-17,2271769
2015-10-18,2210375
2015-10-19,2210420
2015-10-20,2259478
2015-10-22,2346017
2015-10-23,2364687
2015-10-24,2362806
2015-10-25,2371479
2015-10-26,2417596
2015-10-27,2436990
2015-10-29,2631118
2015-10-30,2661280
2015-10-31,2614687
2015-11-01,2652107
2015-11-02,2721766
2015-11-03,2803076
2015-11-04,2825690
2015-11-05,2849228
2015-11-06,2798926
2015-11-07,2838681
2015-11-08,2863504
2015-11-09,2863420
2015-11-10,2859624
2015-11-11,2867213
2015-11-12,2835804
2015-11-13,2749516
2015-11-14,2685014
2015-11-15,2669929
2015-11-16,2706093
2015-11-17,2744116
2015-11-18,2810923
2015-11-19,2827248
2015-11-20,2778377
2015-11-21,2774969
2015-11-22,2748695
2015-11-23,2730147
2015-11-24,2704714
2015-11-25,2618655
2015-11-26,2520299
2015-11-27,2446018
2015-11-28,2382702
2015-11-29,2378893
2015-11-30,2382026
2015-12-01,2449427
2015-12-02,2443038
2015-12-03,2423019
2015-12-04,2415504
2015-12-05,2368174
2015-12-06,2349936
2015-12-07,2418902
2015-12-08,2493001
2015-12-09,2555399
2015-12-10,2583307
2015-12-11,2606770
2015-12-12,2581852
2015-12-13,2539911
2015-12-14,2493873
2015-12-15,2493514
2015-12-16,2514709
2015-12-17,2508058
2015-12-18,2530325
2015-12-19,2494492
2015-12-20,2497545
2015-12-21,2521064
2015-12-22,2506766
2015-12-23,2474084
2015-12-24,2375845
2015-12-25,2279161
2015-12-26,2207737
2015-12-27,2171682
2015-12-28,2188960
2015-12-29,2222693
2015-12-30,2239146
2015-12-31,2281601
2016-01-01,2279924
2016-01-02,2282324
2016-01-03,2312873
2016-01-04,2274411
2016-01-05,2223690
2016-01-06,2255050
2016-01-07,2285853
2016-01-08,2311613
2016-01-09,2328200
2016-01-10,2345434
2016-01-11,2341825
2016-01-12,2372934
2016-01-13,2408954
2016-01-14,2454628
2016-01-15,2465454
2016-01-16,2411897
2016-01-17,2385618
2016-01-18,2412445
2016-01-19,2423808
2016-01-20,2447405
2016-01-21,2482031
2016-01-22,2471271
2016-01-23,2379836
2016-01-24,2298450
2016-01-25,2274315
2016-01-26,2298671
2016-01-27,2352126
2016-01-28,2349235
2016-01-29,2356988
2016-01-30,2289700
2016-01-31,2234539
2016-02-01,2167970
2016-02-02,2095178
2016-02-03,2133956
2016-02-04,2207104
2016-02-05,2261946
2016-02-06,2305886
2016-02-07,2365547
2016-02-08,2335609
2016-02-09,2281013
2016-02-10,2282622
2016-02-11,2209026
2016-02-12,2199684
2016-02-13,2211780
2016-02-14,2194916
2016-02-15,2218636
2016-02-16,2225605
2016-02-17,2234647
2016-02-18,2308488
2016-02-19,2374689
2016-02-20,2329103
2016-02-21,2330813
2016-02-22,2362103
2016-02-23,2426247
2016-02-24,2460531
2016-02-25,2456237
2016-02-26,2421702
2016-02-27,2350097
2016-02-28,2302757
2016-02-29,2299756
2016-03-01,2340905
2016-03-02,2391668
2016-03-03,2497962
2016-03-04,2554553
2016-03-05,2484009
2016-03-06,2443169
2016-03-07,2432109
2016-03-08,2444842
2016-03-09,2467557
2016-03-10,2525336
2016-03-11,2536689
2016-03-12,2513450
2016-03-13,2520500
2016-03-14,2540993
2016-03-15,2528467
2016-03-16,2576988
2016-03-17,2641476
2016-03-18,2653472
2016-03-19,2602114
2016-03-20,2572685
2016-03-21,2573154
2016-03-22,2597634
2016-03-23,2631461
2016-03-24,2659340
2016-03-25,2721420
2016-03-26,2773109
2016-03-27,2786857
2016-03-28,2793871
2016-03-29,2787546
2016-03-30,2785238
2016-03-31,2800909
2016-04-01,2738402
2016-04-02,2624213
2016-04-03,2530660
2016-04-04,2547707
2016-04-05,2514775
2016-04-06,2510930
2016-04-07,2497614
2016-04-08,2425675
2016-04-09,2372688
2016-04-10,2433310
2016-04-11,2482207
2016-04-12,2506427
2016-04-13,2548674
2016-04-14,2525695
2016-04-15,2470425
2016-04-16,2403973
2016-04-17,2345045
2016-04-18,2425868
2016-04-19,2475770
2016-04-20,2537727
2016-04-21,2554987
2016-04-22,2518449
2016-04-23,2460667
2016-04-24,2414058
2016-04-25,2440645
2016-04-26,2464720
2016-04-27,2454481
2016-04-28,2439877
2016-04-29,2365866
2016-04-30,2309478
2016-05-01,2285088
2016-05-02,2350488
2016-05-03,2410551
2016-05-04,2427978
2016-05-05,2435225
2016-05-06,2393622
2016-05-07,2337454
2016-05-08,2306696
2016-05-09,2312028
2016-05-10,2350529
2016-05-11,2396747
2016-05-12,2462165
2016-05-13,2458436
2016-05-14,2446855
2016-05-15,2438037
2016-05-16,2463218
2016-05-17,2534041
2016-05-18,2484553
2016-05-19,2482368
2016-05-22,2482803
2016-05-23,2480685
2016-05-24,2479928
2016-05-25,2512621
2016-05-26,2508963
2016-05-27,2464472
2016-05-28,2406832
2016-05-29,2422918
2016-05-30,2396081
2016-05-31,2417884
2016-06-01,2456849
2016-06-02,2552291
2016-06-03,2620184
2016-06-04,2672631
2016-06-05,2735409
2016-06-06,2826885
2016-06-07,2889459
2016-06-08,2907429
2016-06-09,2810243
