date_obj,Onyx%20bolt%20tips price
2015-03-26,8361
2015-03-27,8361
2015-03-28,8364
2015-03-29,8415
2015-03-30,8437
2015-03-31,8392
2015-04-01,8276
2015-04-02,8306
2015-04-03,8354
2015-04-04,8393
2015-04-05,8444
2015-04-06,8585
2015-04-07,8710
2015-04-08,8621
2015-04-09,8514
2015-04-10,8254
2015-04-11,8300
2015-04-12,8309
2015-04-13,8350
2015-04-14,8363
2015-04-15,8361
2015-04-16,8400
2015-04-17,8423
2015-04-18,8420
2015-04-19,8416
2015-04-20,8448
2015-04-21,8462
2015-04-22,8473
2015-04-23,8491
2015-04-24,8439
2015-04-25,8447
2015-04-26,8437
2015-04-27,8415
2015-04-28,8383
2015-04-29,8383
2015-04-30,8424
2015-05-01,8471
2015-05-02,8482
2015-05-03,8467
2015-05-04,8346
2015-05-05,8356
2015-05-06,8353
2015-05-07,8372
2015-05-08,8391
2015-05-09,8437
2015-05-10,8439
2015-05-11,8441
2015-05-12,8456
2015-05-13,8471
2015-05-14,8479
2015-05-15,8471
2015-05-16,8477
2015-05-17,8406
2015-05-18,8395
2015-05-19,8386
2015-05-20,8404
2015-05-21,8391
2015-05-22,8401
2015-05-23,8371
2015-05-24,8263
2015-05-25,8382
2015-05-26,8396
2015-05-27,8424
2015-05-28,8397
2015-05-29,8382
2015-05-30,8376
2015-05-31,8422
2015-06-01,8425
2015-06-02,8445
2015-06-03,8436
2015-06-04,8353
2015-06-05,8398
2015-06-06,8381
2015-06-07,8448
2015-06-08,8435
2015-06-09,8454
2015-06-10,8426
2015-06-11,8488
2015-06-12,8426
2015-06-13,8438
2015-06-14,8503
2015-06-15,8488
2015-06-16,8435
2015-06-17,8407
2015-06-18,8397
2015-06-19,8416
2015-06-20,8437
2015-06-21,8532
2015-06-22,8505
2015-06-23,8555
2015-06-24,8505
2015-06-25,8501
2015-06-26,8480
2015-06-27,8148
2015-06-28,8311
2015-06-29,8407
2015-06-30,8486
2015-07-01,8379
2015-07-02,8304
2015-07-03,8260
2015-07-04,8391
2015-07-05,8421
2015-07-06,8473
2015-07-07,8476
2015-07-08,8496
2015-07-09,8517
2015-07-10,8519
2015-07-11,8534
2015-07-12,8449
2015-07-13,8435
2015-07-14,8363
2015-07-15,8366
2015-07-16,8381
2015-07-17,8369
2015-07-18,8423
2015-07-19,8383
2015-07-20,8404
2015-07-21,8470
2015-07-22,8468
2015-07-23,8350
2015-07-24,8330
2015-07-25,8372
2015-07-26,8386
2015-07-27,8333
2015-07-28,8369
2015-07-29,8390
2015-07-30,8398
2015-07-31,8367
2015-08-01,8391
2015-08-02,8394
2015-08-03,8387
2015-08-04,8407
2015-08-05,8382
2015-08-06,8389
2015-08-07,8429
2015-08-08,8479
2015-08-09,8517
2015-08-10,8517
2015-08-11,8504
2015-08-12,8402
2015-08-13,8389
2015-08-14,8353
2015-08-15,8280
2015-08-16,8177
2015-08-17,8259
2015-08-18,8426
2015-08-19,8435
2015-08-20,8449
2015-08-21,8487
2015-08-22,8519
2015-08-23,8521
2015-08-24,8529
2015-08-25,8503
2015-08-26,8439
2015-08-27,8484
2015-08-28,8498
2015-08-29,8485
2015-08-30,8420
2015-08-31,8505
2015-09-01,8520
2015-09-02,8549
2015-09-03,8557
2015-09-04,8554
2015-09-05,8518
2015-09-06,8449
2015-09-07,8483
2015-09-08,8472
2015-09-09,8518
2015-09-10,8430
2015-09-11,8407
2015-09-12,8445
2015-09-13,8460
2015-09-14,8474
2015-09-15,8473
2015-09-16,8483
2015-09-17,8472
2015-09-18,8533
2015-09-19,8478
2015-09-20,8548
2015-09-21,8529
2015-09-22,8473
2015-09-23,8501
2015-09-24,8496
2015-09-25,8558
2015-09-27,8582
2015-09-28,8527
2015-09-29,8614
2015-09-30,8517
2015-10-05,8519
2015-10-06,8569
2015-10-07,8557
2015-10-08,8581
2015-10-09,8589
2015-10-10,8577
2015-10-11,8485
2015-10-12,8481
2015-10-13,8506
2015-10-14,8464
2015-10-15,8479
2015-10-16,8535
2015-10-17,8549
2015-10-18,8516
2015-10-19,8562
2015-10-20,8538
2015-10-22,8592
2015-10-23,8532
2015-10-24,8492
2015-10-25,8461
2015-10-26,8444
2015-10-27,8447
2015-10-29,8392
2015-10-30,8451
2015-10-31,8455
2015-11-01,8452
2015-11-02,8511
2015-11-03,8497
2015-11-04,8555
2015-11-05,8599
2015-11-06,8576
2015-11-07,8539
2015-11-08,8579
2015-11-09,8533
2015-11-10,8545
2015-11-11,8523
2015-11-12,8468
2015-11-13,8417
2015-11-14,8476
2015-11-15,8455
2015-11-16,8514
2015-11-17,8540
2015-11-18,8578
2015-11-19,8597
2015-11-20,8582
2015-11-21,8582
2015-11-22,8569
2015-11-23,8569
2015-11-24,8583
2015-11-25,8566
2015-11-26,8566
2015-11-27,8574
2015-11-28,8508
2015-11-29,8521
2015-11-30,8548
2015-12-01,8551
2015-12-02,8540
2015-12-03,8535
2015-12-04,8582
2015-12-05,8536
2015-12-06,8438
2015-12-07,8488
2015-12-08,8542
