date_obj,Onyx%20dragon%20bolts price
2018-01-03,12500
2018-01-04,12500
2018-01-05,12747
2018-01-06,12747
2018-01-07,12747
2018-01-08,12747
2018-01-09,12192
2018-01-10,12192
2018-01-11,12192
2018-01-12,12192
2018-01-13,12192
2018-01-14,12192
2018-01-15,11583
2018-01-16,11583
2018-01-17,11583
2018-01-18,11583
2018-01-19,11583
2018-01-20,11583
2018-01-21,11583
2018-01-22,11583
2018-01-23,11583
2018-01-24,11005
2018-01-25,11005
2018-01-26,11005
2018-01-27,11005
2018-01-28,11005
2018-01-29,11005
2018-01-31,10455
2018-02-01,10455
2018-02-02,10455
2018-02-03,10455
2018-02-04,10455
2018-02-05,9951
2018-02-06,9951
2018-02-07,9951
2018-02-08,9951
2018-02-09,9951
2018-02-10,9529
2018-02-11,9529
2018-02-12,9529
2018-02-13,9061
2018-02-14,9061
2018-02-15,9061
2018-02-16,9042
2018-02-17,9042
2018-02-18,9257
2018-02-19,9257
2018-02-20,9257
2018-02-21,9299
2018-02-22,9299
2018-02-23,9299
2018-02-24,9299
2018-02-25,9299
2018-02-26,9299
2018-02-27,9591
2018-03-01,9591
2018-03-02,9591
2018-03-03,9591
2018-03-04,9591
2018-03-05,9591
2018-03-06,9977
2018-03-07,9977
2018-03-08,9977
2018-03-09,9977
2018-03-10,9977
2018-03-11,9977
2018-03-12,9977
2018-03-13,9977
2018-03-14,9977
2018-03-15,9769
2018-03-16,9769
2018-03-17,9769
2018-03-18,9769
2018-03-19,9769
2018-03-20,9769
2018-03-21,9769
2018-03-23,9769
2018-03-24,9769
2018-03-26,9868
2018-03-27,9868
2018-03-28,9868
2018-03-29,9868
2018-03-30,9868
2018-03-31,9868
2018-04-01,9868
2018-04-02,9868
2018-04-03,9868
2018-04-04,9641
2018-04-05,9641
2018-04-06,9641
2018-04-08,9641
2018-04-09,9641
2018-04-10,9641
2018-04-11,9641
2018-04-12,9641
2018-04-13,9641
2018-04-14,9641
2018-04-15,9641
2018-04-16,9641
2018-04-17,9886
2018-04-18,9886
2018-04-19,9886
2018-04-20,9886
2018-04-21,9886
2018-04-22,9886
2018-04-23,9886
2018-04-24,9886
2018-04-25,9886
2018-04-26,9886
2018-04-27,9886
2018-04-28,9886
2018-04-29,9886
2018-04-30,9869
2018-05-01,9869
2018-05-02,9869
2018-05-04,9869
2018-05-05,9869
2018-05-06,9869
2018-05-07,9869
2018-05-08,9869
2018-05-09,9869
2018-05-10,9869
2018-05-11,9884
2018-05-12,9884
2018-05-13,9884
2018-05-14,9884
2018-05-15,9884
2018-05-16,9884
2018-05-17,9884
2018-05-18,9884
2018-05-19,9884
2018-05-20,9884
2018-05-21,9884
2018-05-22,9881
2018-05-23,9881
2018-05-24,9881
2018-05-25,9881
2018-05-26,9881
2018-05-27,9881
2018-05-28,9881
2018-05-29,9881
2018-05-30,9881
2018-05-31,9881
2018-06-01,9881
2018-06-02,10147
2018-06-03,10147
2018-06-04,10147
2018-06-05,10147
2018-06-06,10147
2018-06-07,10147
2018-06-08,10147
2018-06-09,10147
2018-06-10,10147
2018-06-11,10147
2018-06-12,10147
2018-06-13,10147
2018-06-14,10147
2018-06-15,10147
2018-06-16,9772
2018-06-17,9772
2018-06-18,9772
2018-06-19,9772
2018-06-20,9772
2018-06-21,9772
2018-06-22,9772
2018-06-23,9772
2018-06-24,9772
2018-06-25,9772
2018-06-26,9772
2018-06-27,9772
2018-06-28,9659
2018-06-29,9659
2018-06-30,9659
2018-07-01,9659
2018-07-02,9659
2018-07-03,9659
2018-07-04,9659
2018-07-05,9659
2018-07-06,9659
2018-07-07,9659
2018-07-08,9782
2018-07-09,9782
2018-07-10,9782
2018-07-11,9782
2018-07-12,9782
2018-07-13,9782
2018-07-14,9782
2018-07-15,9782
2018-07-16,9782
2018-07-17,9782
2018-07-18,9782
2018-07-19,9782
2018-07-20,9782
2018-07-21,9782
2018-07-22,9782
2018-07-23,9904
2018-07-24,9904
2018-07-25,9904
2018-07-26,9904
2018-07-27,9904
2018-07-28,9904
2018-07-29,9904
2018-07-30,9904
2018-07-31,9904
2018-08-01,9904
2018-08-02,9904
2018-08-03,9904
2018-08-04,9904
2018-08-05,10014
2018-08-06,10014
2018-08-07,10014
2018-08-08,10014
2018-08-09,10014
2018-08-10,10014
2018-08-11,10014
2018-08-12,10014
2018-08-14,10014
2018-08-16,9578
2018-08-17,9578
2018-08-18,9578
2018-08-19,9578
2018-08-20,9578
2018-08-21,9578
2018-08-22,9578
2018-08-23,9578
2018-08-24,9578
2018-08-25,9578
2018-08-26,9578
2018-08-27,9677
2018-08-28,9677
2018-08-29,9677
2018-08-30,9677
2018-08-31,9677
2018-09-01,9677
2018-09-02,9677
2018-09-03,9677
2018-09-04,9677
2018-09-05,9677
2018-09-06,9677
2018-09-07,9641
2018-09-08,9641
2018-09-09,9641
2018-09-10,9641
2018-09-11,9641
2018-09-12,9641
2018-09-13,9641
2018-09-14,9641
2018-09-15,9641
2018-09-16,9641
2018-09-17,9641
2018-09-18,9641
2018-09-19,9641
2018-09-20,9641
2018-09-21,9880
2018-09-22,9880
2018-09-23,9880
2018-09-24,9880
2018-09-25,9880
2018-09-26,9880
2018-09-27,9880
2018-09-28,9880
2018-09-29,9880
2018-09-30,9880
2018-10-02,9880
2018-10-03,10015
2018-10-04,10015
2018-10-05,10015
2018-10-06,10015
2018-10-07,10015
2018-10-08,10015
2018-10-09,10015
2018-10-10,10015
2018-10-11,10015
2018-10-12,10015
2018-10-13,10015
2018-10-14,9735
2018-10-15,9735
2018-10-16,9735
2018-10-17,9735
2018-10-18,9735
2018-10-19,9735
2018-10-20,9735
2018-10-21,9735
2018-10-22,9735
2018-10-23,9735
2018-10-24,9735
2018-10-25,9677
2018-10-26,9677
2018-10-27,9677
2018-10-28,9677
2018-10-29,9677
2018-10-30,9677
2018-10-31,9677
2018-11-01,9677
2018-11-03,9674
2018-11-04,9674
2018-11-05,9674
2018-11-06,9674
2018-11-07,9674
2018-11-08,9674
2018-11-09,9674
2018-11-10,9769
2018-11-11,9769
2018-11-12,9769
2018-11-13,9769
2018-11-15,9769
2018-11-16,9769
2018-11-17,9769
2018-11-18,9872
2018-11-19,9872
2018-11-20,9872
2018-11-21,9872
2018-11-22,9872
2018-11-23,9872
2018-11-24,9872
2018-11-25,9872
2018-11-26,10050
2018-11-27,10050
2018-11-28,10050
2018-11-29,10050
2018-12-01,9669
2018-12-02,9669
2018-12-03,9669
2018-12-04,9669
2018-12-05,9669
2018-12-07,9669
2018-12-09,9746
2018-12-10,9746
2018-12-11,9746
2018-12-12,9746
2018-12-13,9746
2018-12-14,9746
2018-12-15,9746
2018-12-16,9467
2018-12-17,9467
2018-12-18,9467
2018-12-19,9467
2018-12-20,9467
2018-12-21,9467
2018-12-22,9467
2018-12-23,9467
2018-12-24,9504
2018-12-25,9504
2018-12-26,9504
2018-12-27,9504
2018-12-28,9504
2018-12-29,9504
2018-12-30,9618
2018-12-31,9618
2019-01-01,9618
2019-01-02,9618
2019-01-03,9618
2019-01-04,9618
2019-01-05,9618
2019-01-06,9618
2019-01-08,9693
2019-01-10,9693
2019-01-11,9693
2019-01-12,9693
2019-01-13,9693
2019-01-14,9606
2019-01-15,9606
2019-01-16,9606
2019-01-17,9606
2019-01-18,9606
2019-01-19,9757
2019-01-20,9757
2019-01-21,9757
2019-01-22,9757
2019-01-23,9757
2019-01-24,9757
2019-01-25,9481
2019-01-26,9481
2019-01-27,9481
2019-01-28,9481
2019-01-29,9481
2019-01-30,9481
2019-01-31,9481
2019-02-01,9518
2019-02-02,9518
2019-02-03,9518
2019-02-04,9518
2019-02-05,9518
2019-02-06,9518
2019-02-07,9518
2019-02-08,9510
2019-02-09,9510
2019-02-10,9510
2019-02-11,9510
2019-02-12,9510
2019-02-13,9510
2019-02-14,9510
2019-02-15,9510
