date_obj,Orange%20boater price
2015-03-26,22588
2015-03-27,22588
2015-03-28,22588
2015-03-29,22588
2015-03-30,21500
2015-03-31,21500
2015-04-01,21500
2015-04-02,21500
2015-04-03,21500
2015-04-04,21500
2015-04-05,21500
2015-04-06,21500
2015-04-07,21500
2015-04-08,21500
2015-04-09,20491
2015-04-10,20491
2015-04-11,20491
2015-04-12,20491
2015-04-13,20491
2015-04-14,20491
2015-04-15,20491
2015-04-16,20491
2015-04-17,20491
2015-04-18,20491
2015-04-19,19522
2015-04-20,19522
2015-04-21,19522
2015-04-22,19522
2015-04-23,19522
2015-04-24,19522
2015-04-25,19522
2015-04-26,19522
2015-04-27,19522
2015-04-28,19522
2015-04-29,19522
2015-04-30,18605
2015-05-01,18605
2015-05-02,18605
2015-05-03,18605
2015-05-04,18605
2015-05-05,18605
2015-05-06,18605
2015-05-07,18605
2015-05-08,18605
2015-05-09,17726
2015-05-10,17726
2015-05-11,17726
2015-05-12,17726
2015-05-13,17726
2015-05-14,17726
2015-05-15,17726
2015-05-16,17726
2015-05-17,17726
2015-05-18,17726
2015-05-19,16888
2015-05-20,16888
2015-05-21,16888
2015-05-22,16888
2015-05-23,16888
2015-05-24,16888
2015-05-25,16888
2015-05-26,16888
2015-05-27,16888
2015-05-28,16075
2015-05-29,16075
2015-05-30,16075
2015-05-31,16075
2015-06-01,15315
2015-06-02,15315
2015-06-03,15315
2015-06-04,15315
2015-06-05,15315
2015-06-06,15315
2015-06-07,15315
2015-06-08,14600
2015-06-09,14600
2015-06-10,14600
2015-06-11,14600
2015-06-12,14600
2015-06-13,14600
2015-06-14,14600
2015-06-15,13924
2015-06-16,13924
2015-06-17,13924
2015-06-18,13924
2015-06-19,13924
2015-06-20,13924
2015-06-21,13924
2015-06-22,13254
2015-06-23,13254
2015-06-24,13254
2015-06-25,13254
2015-06-26,13254
2015-06-27,13254
2015-06-28,12637
2015-06-29,12637
2015-06-30,12637
2015-07-01,12637
2015-07-02,12637
2015-07-03,12637
2015-07-04,12054
2015-07-05,12054
2015-07-06,12054
2015-07-07,12054
2015-07-08,12054
2015-07-09,12054
2015-07-10,12054
2015-07-11,11489
2015-07-12,11489
2015-07-13,11489
2015-07-14,11489
2015-07-15,11489
2015-07-16,11489
2015-07-17,10939
2015-07-18,10939
2015-07-19,10939
2015-07-20,10939
2015-07-21,10939
2015-07-22,10434
2015-07-23,10434
2015-07-24,10434
2015-07-25,10434
2015-07-26,10434
2015-07-27,10434
2015-07-28,10434
2015-07-29,9935
2015-07-30,9935
2015-07-31,9935
2015-08-01,9935
2015-08-02,9935
2015-08-03,9935
2015-08-04,9494
2015-08-05,9494
2015-08-06,9494
2015-08-07,9494
2015-08-08,9494
2015-08-09,9080
2015-08-10,9080
2015-08-11,9080
2015-08-12,9080
2015-08-13,9080
2015-08-14,9080
2015-08-15,9080
2015-08-16,8664
2015-08-17,8664
2015-08-18,8664
2015-08-19,8664
2015-08-20,8664
2015-08-21,8664
2015-08-22,8267
2015-08-23,8267
2015-08-24,8267
2015-08-25,8267
2015-08-26,8267
2015-08-27,8267
2015-08-28,8267
2015-08-29,7914
2015-08-30,7914
2015-08-31,7914
2015-09-01,7914
2015-09-02,7914
2015-09-03,7914
2015-09-04,7914
2015-09-05,7914
2015-09-06,7914
2015-09-07,7544
2015-09-08,7544
2015-09-09,7544
2015-09-10,7544
2015-09-11,7544
2015-09-12,7544
2015-09-13,7544
2015-09-14,7544
2015-09-15,7184
2015-09-16,7184
2015-09-17,7184
2015-09-18,7184
2015-09-19,7184
2015-09-20,7184
2015-09-21,7184
2015-09-22,7184
2015-09-23,6865
2015-09-24,6865
2015-09-25,6865
2015-09-27,6865
2015-09-28,6865
2015-09-29,6865
2015-09-30,6865
2015-10-05,6618
2015-10-06,6618
2015-10-07,6618
2015-10-08,6618
2015-10-09,6618
2015-10-10,6618
2015-10-11,6466
2015-10-12,6466
2015-10-13,6466
2015-10-14,6466
2015-10-15,6466
2015-10-16,6466
2015-10-17,6466
2015-10-18,6466
2015-10-19,6466
2015-10-20,6466
2015-10-22,6222
2015-10-23,6222
2015-10-24,6222
2015-10-25,6222
2015-10-26,6222
2015-10-27,6222
2015-10-29,6222
2015-10-30,6222
