date_obj,Pat%20of%20butter price
2015-03-26,210
2015-03-27,210
2015-03-28,210
2015-03-29,210
2015-03-30,210
2015-03-31,199
2015-04-01,199
2015-04-02,199
2015-04-03,199
2015-04-04,199
2015-04-05,199
2015-04-06,199
2015-04-07,199
2015-04-08,199
2015-04-09,199
2015-04-10,199
2015-04-11,199
2015-04-12,199
2015-04-13,199
2015-04-14,199
2015-04-15,199
2015-04-16,199
2015-04-17,199
2015-04-18,189
2015-04-19,189
2015-04-20,189
2015-04-21,189
2015-04-22,189
2015-04-23,189
2015-04-24,189
2015-04-25,189
2015-04-26,189
2015-04-27,189
2015-04-28,179
2015-04-29,179
2015-04-30,179
2015-05-01,179
2015-05-02,179
2015-05-03,179
2015-05-04,179
2015-05-05,179
2015-05-06,179
2015-05-07,179
2015-05-08,179
2015-05-09,170
2015-05-10,170
2015-05-11,170
2015-05-12,170
2015-05-13,170
2015-05-14,170
2015-05-15,170
2015-05-16,170
2015-05-17,170
2015-05-18,170
2015-05-19,170
2015-05-20,170
2015-05-21,170
2015-05-22,161
2015-05-23,161
2015-05-24,161
2015-05-25,161
2015-05-26,161
2015-05-27,161
2015-05-28,161
2015-05-29,161
2015-05-30,153
2015-05-31,153
2015-06-01,153
2015-06-02,153
2015-06-03,153
2015-06-04,153
2015-06-05,153
2015-06-06,153
2015-06-07,153
2015-06-08,145
2015-06-09,145
2015-06-10,145
2015-06-11,145
2015-06-12,145
2015-06-13,145
2015-06-14,145
2015-06-15,145
2015-06-16,137
2015-06-17,137
2015-06-18,137
2015-06-19,137
2015-06-20,137
2015-06-21,137
2015-06-22,137
2015-06-23,136
2015-06-24,136
2015-06-25,136
2015-06-26,136
2015-06-27,136
2015-06-28,136
2015-06-29,136
2015-06-30,136
2015-07-01,135
2015-07-02,135
2015-07-03,135
2015-07-04,135
2015-07-05,135
2015-07-06,135
2015-07-07,135
2015-07-08,135
2015-07-09,135
2015-07-10,128
2015-07-11,128
2015-07-12,128
2015-07-13,128
2015-07-14,128
2015-07-15,128
2015-07-16,128
2015-07-17,128
2015-07-18,128
2015-07-19,128
2015-07-20,128
2015-07-21,128
2015-07-22,128
2015-07-23,128
