date_obj,Pink%20elegant%20blouse price
2015-03-26,34287
2015-03-27,33628
2015-03-28,33628
2015-03-29,32141
2015-03-30,32141
2015-03-31,31095
2015-04-01,31095
2015-04-02,31095
2015-04-03,30216
2015-04-04,30216
2015-04-05,29215
2015-04-06,29215
2015-04-07,27876
2015-04-08,27876
2015-04-09,27876
2015-04-10,26812
2015-04-11,26812
2015-04-12,25725
2015-04-13,25725
2015-04-14,24561
2015-04-15,24561
2015-04-16,23386
2015-04-17,23386
2015-04-18,22606
2015-04-19,22606
2015-04-20,22606
2015-04-21,21553
2015-04-22,21553
2015-04-23,21553
2015-04-24,20475
2015-04-25,20475
2015-04-26,20475
2015-04-27,19451
2015-04-28,19451
2015-04-29,18488
2015-04-30,18488
2015-05-01,17563
2015-05-02,17563
2015-05-03,16855
2015-05-04,16855
2015-05-05,16075
2015-05-06,16075
2015-05-07,15300
2015-05-08,15300
2015-05-09,14990
2015-05-10,14990
2015-05-11,14990
2015-05-12,14570
2015-05-13,14570
2015-05-14,14033
2015-05-15,14033
2015-05-16,14033
2015-05-17,13525
2015-05-18,13525
2015-05-19,13087
2015-05-20,13087
2015-05-21,13087
2015-05-22,12655
2015-05-23,12655
2015-05-24,12655
2015-05-25,12178
2015-05-26,12178
2015-05-27,12178
2015-05-28,11778
2015-05-29,11778
2015-05-30,11931
2015-05-31,11931
2015-06-01,11931
2015-06-02,11931
2015-06-03,11931
2015-06-04,12161
2015-06-05,12161
2015-06-06,12318
2015-06-07,12318
2015-06-08,12318
2015-06-09,12762
2015-06-10,12762
2015-06-11,12762
2015-06-12,13294
2015-06-13,13294
2015-06-14,13294
2015-06-15,13659
2015-06-16,13659
2015-06-17,13659
2015-06-18,13859
2015-06-19,13859
2015-06-20,13859
2015-06-21,13729
2015-06-22,13729
2015-06-23,13729
2015-06-24,13110
2015-06-25,13110
2015-06-26,12477
2015-06-27,12477
2015-06-28,12072
2015-06-29,12072
2015-06-30,12072
2015-07-01,12011
2015-07-02,12011
2015-07-03,12011
2015-07-04,12187
2015-07-05,12187
2015-07-06,12187
2015-07-07,12587
2015-07-08,12587
2015-07-09,12587
2015-07-10,12155
2015-07-11,12155
2015-07-12,12155
2015-07-13,11552
2015-07-14,11552
2015-07-15,11552
2015-07-16,11604
2015-07-17,11604
2015-07-18,11604
2015-07-19,11729
2015-07-20,11729
2015-07-21,11943
2015-07-22,11943
2015-07-23,11796
2015-07-24,11796
2015-07-25,11796
2015-07-26,12032
2015-07-27,12032
2015-07-28,12032
2015-07-29,12462
2015-07-30,12462
2015-07-31,12462
2015-08-01,12712
2015-08-02,12712
2015-08-03,13214
2015-08-04,13214
2015-08-05,13597
2015-08-06,13597
2015-08-07,13597
2015-08-08,14140
2015-08-09,14140
2015-08-10,14634
2015-08-11,14634
2015-08-12,14634
2015-08-13,14418
2015-08-14,14418
2015-08-15,13786
2015-08-16,13786
2015-08-17,13786
2015-08-18,13742
2015-08-19,13742
2015-08-20,13742
2015-08-21,14237
2015-08-22,14237
2015-08-23,14237
2015-08-24,14383
2015-08-25,14383
2015-08-26,14383
2015-08-27,14250
2015-08-28,14250
2015-08-29,14250
2015-08-30,13914
2015-08-31,13914
2015-09-01,13935
2015-09-02,13935
2015-09-03,13935
2015-09-04,13867
2015-09-05,13867
2015-09-06,13867
2015-09-07,13597
2015-09-08,13597
2015-09-09,13410
2015-09-10,13410
2015-09-11,13410
2015-09-12,13363
2015-09-13,13363
2015-09-14,13363
2015-09-15,13355
2015-09-16,13355
2015-09-17,13355
2015-09-18,12896
2015-09-19,12896
2015-09-20,12896
2015-09-21,12570
2015-09-22,12570
2015-09-23,12570
2015-09-24,12120
2015-09-25,12120
2015-09-27,12246
2015-09-28,12246
2015-09-29,12246
2015-09-30,12239
2015-10-05,12148
2015-10-06,12025
2015-10-07,12025
2015-10-08,12025
2015-10-09,12411
2015-10-10,12411
2015-10-11,12411
2015-10-12,12308
2015-10-13,12308
2015-10-14,12308
2015-10-15,12308
2015-10-16,12025
2015-10-17,12025
2015-10-18,12025
2015-10-19,12025
2015-10-20,12501
2015-10-22,12501
2015-10-23,12881
2015-10-24,12881
2015-10-25,12881
2015-10-26,13438
2015-10-27,13438
2015-10-29,13438
2015-10-30,14027
2015-10-31,14027
2015-11-01,14027
2015-11-02,14027
2015-11-03,14659
2015-11-04,14659
2015-11-05,14659
2015-11-06,14659
2015-11-07,15306
2015-11-08,15306
2015-11-09,15306
2015-11-10,15306
2015-11-11,15799
2015-11-12,15799
2015-11-13,15799
2015-11-14,15799
2015-11-15,16120
2015-11-16,16120
2015-11-17,16120
2015-11-18,16120
2015-11-19,16494
2015-11-20,16494
2015-11-21,16494
2015-11-22,16762
2015-11-23,16762
2015-11-24,16762
2015-11-25,16711
2015-11-26,16711
2015-11-27,16711
2015-11-28,16711
2015-11-29,16990
2015-11-30,16990
2015-12-01,16990
2015-12-02,16955
2015-12-03,16955
2015-12-04,16955
2015-12-05,16418
2015-12-06,16418
2015-12-07,16418
2015-12-08,15615
2015-12-09,15615
2015-12-10,14834
2015-12-11,14834
2015-12-12,14834
2015-12-13,14279
2015-12-14,14279
2015-12-15,14279
2015-12-16,14205
2015-12-17,14205
2015-12-18,14205
2015-12-19,14139
2015-12-20,14139
2015-12-21,14139
2015-12-22,14284
2015-12-23,14284
2015-12-24,14284
2015-12-25,14284
2015-12-26,13915
2015-12-27,13915
2015-12-28,13915
2015-12-29,13381
2015-12-30,13381
2015-12-31,13381
2016-01-01,13464
2016-01-02,13464
2016-01-03,13464
2016-01-04,13326
2016-01-05,13326
2016-01-06,13326
2016-01-07,13149
2016-01-08,13149
2016-01-09,13149
2016-01-10,13015
2016-01-11,13015
2016-01-12,13015
2016-01-13,13350
2016-01-14,13350
2016-01-15,13350
2016-01-16,13525
2016-01-17,13525
2016-01-18,13808
2016-01-19,13808
2016-01-20,13808
2016-01-21,14003
2016-01-22,14003
2016-01-23,14376
2016-01-24,14376
2016-01-25,14376
2016-01-26,14944
2016-01-27,14944
2016-01-28,14944
2016-01-29,15073
2016-01-30,15073
2016-01-31,15073
2016-02-01,14717
2016-02-02,14717
2016-02-03,14717
2016-02-04,14736
2016-02-05,14736
2016-02-06,14736
2016-02-07,14475
2016-02-08,14475
2016-02-09,14475
2016-02-10,13822
2016-02-11,13822
2016-02-12,13822
2016-02-13,13168
2016-02-14,13168
2016-02-15,13168
2016-02-16,13007
2016-02-17,13007
2016-02-18,13007
2016-02-19,13015
2016-02-20,13015
2016-02-21,12876
2016-02-22,12876
2016-02-23,12876
2016-02-24,12491
2016-02-25,12491
2016-02-26,12491
2016-02-27,12503
2016-02-28,12503
2016-02-29,12503
2016-03-01,12170
2016-03-02,12170
2016-03-03,12170
2016-03-04,11772
2016-03-05,11772
2016-03-06,11547
2016-03-07,11547
2016-03-08,11547
2016-03-09,11380
2016-03-10,11380
2016-03-11,11380
2016-03-12,11195
2016-03-13,11195
2016-03-14,11195
2016-03-15,11012
2016-03-16,11012
2016-03-17,11012
2016-03-18,10527
2016-03-19,10527
2016-03-20,10796
2016-03-21,10796
2016-03-22,10796
2016-03-23,11043
2016-03-24,11043
2016-03-25,11043
2016-03-26,11029
2016-03-27,11029
2016-03-28,11029
2016-03-29,10705
2016-03-30,10705
2016-03-31,10705
2016-04-01,10871
2016-04-02,10871
2016-04-03,10871
2016-04-04,10596
2016-04-05,10596
2016-04-06,10596
2016-04-07,10328
2016-04-08,10328
2016-04-09,10328
2016-04-10,10009
2016-04-11,10009
2016-04-12,10009
2016-04-14,9758
2016-04-15,9758
2016-04-16,9421
2016-04-17,9421
2016-04-18,9279
2016-04-19,9279
2016-04-20,9279
2016-04-21,9266
2016-04-22,9266
2016-04-23,9266
2016-04-24,8910
2016-04-25,8910
2016-04-26,8756
2016-04-27,8756
2016-04-28,8756
2016-04-29,8718
2016-04-30,8718
2016-05-01,8718
2016-05-02,8815
2016-05-03,8815
2016-05-04,8815
2016-05-05,8795
2016-05-06,8795
2016-05-07,8795
2016-05-08,8795
2016-05-09,8807
2016-05-10,8807
2016-05-11,8807
2016-05-12,8636
2016-05-13,8636
2016-05-14,8636
2016-05-15,8380
2016-05-16,8380
2016-05-17,8380
2016-05-18,8270
2016-05-19,8270
2016-05-22,8018
2016-05-23,8018
2016-05-24,7880
2016-05-25,7880
2016-05-26,7880
2016-05-27,7691
2016-05-28,7691
2016-05-29,7586
2016-05-30,7586
2016-05-31,7586
2016-06-01,7737
2016-06-02,7737
2016-06-03,7737
2016-06-04,8023
2016-06-05,8023
2016-06-06,8400
2016-06-07,8400
2016-06-08,8400
2016-06-09,8820
2016-06-10,8820
2016-06-11,9093
2016-06-12,9093
2016-06-13,9392
2016-06-14,9392
2016-06-15,9392
2016-06-16,9711
2016-06-17,9711
2016-06-18,10065
2016-06-19,10065
2016-06-20,9956
2016-06-21,9956
2016-06-22,10035
2016-06-23,10035
2016-06-24,10035
2016-06-25,10068
2016-06-26,10068
2016-06-27,10068
2016-06-28,10068
2016-06-29,9879
2016-06-30,9879
2016-07-01,9840
2016-07-02,9840
2016-07-03,9840
2016-07-04,9892
2016-07-05,9892
2016-07-06,9892
2016-07-07,9787
2016-07-08,9787
2016-07-09,9598
2016-07-10,9598
2016-07-11,9519
2016-07-12,9519
2016-07-13,9519
2016-07-14,9696
2016-07-15,9696
2016-07-16,9696
2016-07-17,10093
2016-07-18,10093
2016-07-23,9724
2016-07-24,9724
2016-07-25,9450
2016-07-26,9450
2016-07-27,9450
2016-07-28,9665
2016-07-29,9665
2016-07-30,9665
2016-07-31,9917
2016-08-01,9917
2016-08-02,9917
2016-08-03,9815
2016-08-04,9815
2016-08-05,9815
2016-08-06,9815
2016-08-07,9917
2016-08-08,9917
2016-08-09,9917
2016-08-10,10062
2016-08-11,10062
2016-08-12,10062
2016-08-13,10251
2016-08-14,10251
2016-08-15,10251
2016-08-16,10083
2016-08-17,10083
2016-08-18,10083
2016-08-19,10083
2016-08-20,10324
2016-08-21,10324
2016-08-22,10324
2016-08-23,10375
2016-08-24,10375
2016-08-25,10375
2016-08-26,10375
2016-08-28,10656
2016-08-31,10976
2016-09-01,10976
2016-09-02,10976
2016-09-03,11110
2016-09-04,11110
2016-09-05,11110
2016-09-06,11110
2016-09-07,11285
2016-09-08,11285
2016-09-09,11285
2016-09-10,11285
2016-09-11,11435
2016-09-12,11435
2016-09-13,11435
2016-09-14,11435
2016-09-15,11469
2016-09-16,11469
2016-09-17,11469
2016-09-18,11469
2016-09-19,11471
2016-09-20,11471
2016-09-21,11471
2016-09-22,11471
2016-09-23,11430
2016-09-24,11430
2016-09-25,11430
2016-09-26,11430
2016-09-27,11432
2016-09-28,11432
2016-09-29,11432
2016-09-30,11432
2016-10-01,12004
2016-10-02,12004
2016-10-03,12004
2016-10-04,12004
2016-10-05,12004
2016-10-06,12534
2016-10-07,12534
2016-10-08,12534
2016-10-09,12892
2016-10-10,12892
2016-10-11,12892
2016-10-12,12892
2016-10-13,12918
2016-10-14,12918
2016-10-15,12918
2016-10-16,12918
2016-10-17,12941
2016-10-18,12941
2016-10-19,12941
2016-10-20,12941
2016-10-21,13170
2016-10-22,13170
2016-10-23,13170
2016-10-24,13170
2016-10-25,12905
2016-10-26,12905
2016-10-27,12905
2016-10-28,12905
2016-10-29,12392
2016-10-30,12392
2016-10-31,12392
2016-11-01,12392
2016-11-02,11896
2016-11-03,11896
2016-11-04,11896
2016-11-05,11896
2016-11-06,11448
2016-11-07,11448
2016-11-08,11448
2016-11-09,11448
2016-11-10,11311
2016-11-11,11311
2016-11-12,11311
2016-11-13,11311
2016-11-14,11577
2016-12-07,11069
2016-12-08,11069
2016-12-09,11069
2016-12-10,11046
2016-12-11,11046
2016-12-12,10570
2016-12-13,10570
2016-12-14,10570
2016-12-15,10475
2016-12-16,10475
2016-12-17,10475
2016-12-18,10475
2016-12-19,10095
2016-12-20,10095
2016-12-21,10095
2016-12-22,10095
2016-12-23,9926
2016-12-24,9926
2016-12-25,9926
2016-12-26,10156
2016-12-27,10156
2016-12-28,10156
2016-12-29,10083
2016-12-30,10083
2016-12-31,10083
2017-01-01,9796
2017-01-02,9796
2017-01-03,9796
2017-01-04,9484
2017-01-05,9484
2017-01-06,9484
2017-01-07,9009
2017-01-08,9009
2017-01-09,8658
2017-01-10,8658
2017-01-11,8377
2017-01-12,8377
2017-01-13,8377
2017-01-14,8348
2017-01-15,8348
2017-01-16,8252
2017-01-17,8252
2017-01-18,8273
2017-01-19,8273
2017-01-20,8273
2017-01-21,8381
2017-01-22,8381
2017-01-27,8365
2017-01-28,8365
2017-01-29,8056
2017-01-30,8056
2017-01-31,8056
2017-02-01,7962
2017-02-02,7962
2017-02-03,7962
2017-02-04,8095
2017-02-05,8095
2017-02-06,8095
2017-02-07,8095
2017-02-08,8401
2017-02-09,8401
2017-02-10,8401
2017-02-11,8488
2017-02-12,8488
2017-02-13,8488
2017-02-14,8401
2017-02-15,8401
2017-02-16,8205
2017-02-18,8205
2017-02-19,7883
2017-02-20,7883
2017-02-21,7883
2017-02-22,7883
2017-02-23,7766
2017-02-24,7766
2017-02-25,7766
2017-02-26,7557
2017-02-27,7557
2017-02-28,7264
2017-03-01,7264
2017-03-02,7194
