date_obj,Pink%20elegant%20legs price
2015-03-26,71871
2015-03-27,71871
2015-03-28,68471
2015-03-29,65135
2015-03-30,62019
2015-03-31,62019
2015-04-01,59057
2015-04-02,59057
2015-04-03,56316
2015-04-04,53679
2015-04-05,53679
2015-04-06,51184
2015-04-07,51184
2015-04-08,49194
2015-04-09,49194
2015-04-10,47133
2015-04-11,47133
2015-04-12,44776
2015-04-13,44776
2015-04-14,42586
2015-04-15,42586
2015-04-16,40715
2015-04-17,40715
2015-04-18,38836
2015-04-19,38836
2015-04-20,37035
2015-04-21,37035
2015-04-22,35256
2015-04-23,35256
2015-04-24,33757
2015-04-25,33757
2015-04-26,32163
2015-04-27,32163
2015-04-28,30554
2015-04-29,30554
2015-04-30,29154
2015-05-01,29154
2015-05-02,27747
2015-05-03,27747
2015-05-04,27747
2015-05-05,26577
2015-05-06,26577
2015-05-07,25860
2015-05-08,25860
2015-05-09,25860
2015-05-10,24920
2015-05-11,24920
2015-05-12,23823
2015-05-13,23823
2015-05-14,23119
2015-05-15,23119
2015-05-16,23119
2015-05-17,22037
2015-05-18,22037
2015-05-19,22037
2015-05-20,21043
2015-05-21,21043
2015-05-22,20067
2015-05-23,20067
2015-05-24,19188
2015-05-25,19188
2015-05-26,18296
2015-05-27,18296
2015-05-28,17458
2015-05-29,17458
2015-05-30,16641
2015-05-31,16641
2015-06-01,15861
2015-06-02,15861
2015-06-03,15861
2015-06-04,15114
2015-06-05,15114
2015-06-06,14408
2015-06-07,14408
2015-06-08,14408
2015-06-09,13720
2015-06-10,13720
2015-06-11,13720
2015-06-12,13090
2015-06-13,13090
2015-06-14,12511
2015-06-15,12511
2015-06-16,11942
2015-06-17,11942
2015-06-18,11400
2015-06-19,11400
2015-06-20,11400
2015-06-21,11400
2015-06-22,10938
2015-06-23,10938
2015-06-24,10938
2015-06-25,10559
2015-06-26,10559
2015-06-27,10559
2015-06-28,10338
2015-06-29,10338
2015-06-30,10338
2015-07-01,10130
2015-07-02,10130
2015-07-03,10130
2015-07-04,10130
2015-07-05,9989
2015-07-06,9989
2015-07-07,9989
2015-07-08,9489
2015-07-09,9489
2015-07-10,9489
2015-07-11,9212
2015-07-12,9212
2015-07-13,9212
2015-07-14,8974
2015-07-15,8974
2015-07-16,8974
2015-07-17,8855
2015-07-18,8855
2015-07-19,8855
2015-07-20,8743
2015-07-21,8743
2015-07-22,8743
2015-07-23,8743
2015-07-24,8685
2015-07-25,8685
2015-07-26,8685
2015-07-27,8636
2015-07-28,8636
2015-07-29,8636
2015-07-30,8444
2015-07-31,8444
2015-08-01,8444
2015-08-02,8368
2015-08-03,8368
2015-08-04,8368
2015-08-05,8203
2015-08-06,8203
2015-08-07,8203
2015-08-08,8173
2015-08-09,8173
2015-08-10,7900
2015-08-11,7900
2015-08-12,7807
2015-08-13,7807
2015-08-14,7807
2015-08-15,8097
2015-08-16,8097
2015-08-17,8097
2015-08-18,8445
2015-08-19,8445
2015-08-20,8445
2015-08-21,8501
2015-08-22,8501
2015-08-23,8501
2015-08-24,8709
2015-08-25,8709
2015-08-26,8709
2015-08-27,8709
2015-08-28,8677
2015-08-29,8677
2015-08-30,8677
2015-08-31,8637
2015-09-01,8637
2015-09-02,8637
2015-09-03,8637
2015-09-04,8626
2015-09-05,8626
2015-09-06,8626
2015-09-07,8951
2015-09-08,8951
2015-09-09,8951
2015-09-10,8968
2015-09-11,8968
2015-09-12,8968
2015-09-13,9067
2015-09-14,9067
2015-09-15,9067
2015-09-16,9193
2015-09-17,9193
2015-09-18,9193
2015-09-19,9043
2015-09-20,9043
2015-09-21,9043
2015-09-22,8775
2015-09-23,8775
2015-09-24,8775
2015-09-25,8775
2015-09-27,8665
2015-09-28,8665
2015-09-29,8665
2015-09-30,8516
2015-10-05,8186
2015-10-06,8186
2015-10-07,8186
2015-10-08,7839
2015-10-09,7839
2015-10-10,7839
2015-10-11,7485
2015-10-12,7485
2015-10-13,7485
2015-10-14,7485
2015-10-15,7124
2015-10-16,7124
2015-10-17,7124
2015-10-18,7124
2015-10-19,7192
2015-10-20,7192
2015-10-22,7192
2015-10-23,7063
2015-10-24,7063
2015-10-25,7063
2015-10-26,7198
2015-10-27,7198
2015-10-29,7198
2015-10-30,7424
2015-10-31,7424
2015-11-01,7424
2015-11-02,7424
2015-11-03,7690
2015-11-04,7690
2015-11-05,7690
2015-11-06,7690
2015-11-07,8063
2015-11-08,8063
2015-11-09,8063
2015-11-10,8063
2015-11-11,8063
2015-11-12,8284
2015-11-13,8284
2015-11-14,8284
2015-11-15,8284
2015-11-16,8421
2015-11-17,8421
2015-11-18,8421
2015-11-19,8421
2015-11-20,8306
2015-11-21,8306
2015-11-22,8306
2015-11-23,8306
2015-11-24,8044
2015-11-25,8044
2015-11-26,8044
2015-11-27,8044
2015-11-28,8132
2015-11-29,8132
2015-11-30,8132
2015-12-01,8132
2015-12-02,8496
2015-12-03,8496
2015-12-04,8496
2015-12-05,8496
2015-12-06,8619
2015-12-07,8619
2015-12-08,8619
2015-12-09,8653
2015-12-10,8653
2015-12-11,8653
2015-12-12,8653
2015-12-13,8615
2015-12-14,8615
2015-12-15,8615
2015-12-16,8743
2015-12-17,8743
2015-12-18,8743
2015-12-19,8743
2015-12-20,8780
2015-12-21,8780
2015-12-22,8780
2015-12-23,8887
2015-12-24,8887
2015-12-25,8887
2015-12-26,8887
2015-12-27,8974
2015-12-28,8974
2015-12-29,8974
2015-12-30,8974
2015-12-31,8810
2016-01-01,8810
2016-01-02,8810
2016-01-03,8810
2016-01-04,8668
2016-01-05,8668
2016-01-06,8668
2016-01-07,8587
2016-01-08,8587
2016-01-09,8587
2016-01-10,8435
2016-01-11,8435
2016-01-12,8435
2016-01-13,8435
2016-01-14,8392
2016-01-15,8392
2016-01-16,8392
2016-01-17,8392
2016-01-18,8370
2016-01-19,8370
2016-01-20,8370
2016-01-21,8291
2016-01-22,8291
2016-01-23,8291
2016-01-24,8151
2016-01-25,8151
2016-01-26,8151
2016-01-27,8086
2016-01-28,8086
2016-01-29,8086
2016-01-30,8118
2016-01-31,8118
2016-02-01,8100
2016-02-02,8100
2016-02-03,8100
2016-02-04,8100
2016-02-05,7979
2016-02-06,7979
2016-02-07,7979
2016-02-08,7920
2016-02-09,7920
2016-02-10,7920
2016-02-11,7920
2016-02-12,7825
2016-02-13,7825
2016-02-14,7825
2016-02-15,7771
2016-02-16,7771
2016-02-17,7771
2016-02-18,7771
2016-02-19,7714
2016-02-20,7714
2016-02-21,7714
2016-02-22,7572
2016-02-23,7572
2016-02-24,7572
2016-02-25,7517
2016-02-26,7517
2016-02-27,7517
2016-02-28,7517
2016-02-29,7517
2016-03-01,7517
2016-03-02,7410
2016-03-03,7410
2016-03-04,7410
2016-03-05,7116
2016-03-06,7116
2016-03-07,7116
2016-03-08,6950
2016-03-09,6950
2016-03-10,6719
2016-03-11,6719
2016-03-12,6719
2016-03-13,6528
2016-03-14,6528
2016-03-15,6528
2016-03-16,6236
2016-03-17,6236
2016-03-18,6236
2016-03-19,5933
2016-03-20,5933
2016-03-21,5933
2016-03-22,5655
2016-03-23,5655
2016-03-24,5385
2016-03-25,5385
2016-03-26,5140
2016-03-27,5140
2016-03-28,4905
2016-03-29,4905
2016-03-30,4905
2016-03-31,4687
2016-04-01,4687
2016-04-02,4687
2016-04-03,4468
2016-04-04,4468
2016-04-05,4468
2016-04-06,4273
2016-04-07,4273
2016-04-08,4273
2016-04-09,4080
2016-04-10,4080
2016-04-11,4080
2016-04-12,3876
2016-04-14,3876
2016-04-15,3715
2016-04-16,3715
2016-04-17,3546
2016-04-18,3546
2016-04-19,3392
2016-04-20,3392
2016-04-21,3392
2016-04-22,3339
2016-04-23,3339
2016-04-24,3339
2016-04-25,3189
2016-04-26,3189
2016-04-27,3189
2016-04-28,3098
2016-04-29,3098
2016-04-30,3098
2016-05-01,3080
2016-05-02,3080
2016-05-03,3080
2016-05-04,3067
2016-05-05,3067
2016-05-06,3067
2016-05-07,3109
2016-05-08,3109
2016-05-09,3109
2016-05-10,3006
2016-05-11,3006
2016-05-12,3006
2016-05-13,2920
2016-05-14,2920
2016-05-15,2920
2016-05-16,2906
2016-05-17,2906
2016-05-18,2874
2016-05-19,2874
2016-05-22,2737
2016-05-23,2680
2016-05-24,2680
2016-05-25,2680
2016-05-26,2632
2016-05-27,2632
2016-05-28,2632
2016-05-29,2612
2016-05-30,2612
2016-05-31,2612
2016-06-01,2677
2016-06-02,2677
2016-06-03,2677
2016-06-04,2608
2016-06-05,2608
2016-06-06,2530
2016-06-07,2530
2016-06-08,2530
2016-06-09,2527
2016-06-10,2527
2016-06-11,2527
2016-06-12,2568
2016-06-13,2568
2016-06-14,2568
2016-06-15,2530
2016-06-16,2530
2016-06-17,2547
2016-06-18,2547
2016-06-19,2547
2016-06-20,2601
2016-06-21,2601
2016-06-22,2601
2016-06-23,2606
2016-06-24,2606
2016-06-25,2606
2016-06-26,2647
2016-06-27,2647
2016-06-28,2647
2016-06-29,2714
2016-06-30,2714
2016-07-01,2714
2016-07-02,2707
2016-07-03,2707
2016-07-04,2707
2016-07-05,2791
2016-07-06,2791
2016-07-07,2863
2016-07-08,2863
2016-07-09,2834
2016-07-10,2834
2016-07-11,2761
2016-07-12,2761
2016-07-13,2761
2016-07-14,2762
2016-07-15,2762
2016-07-16,2762
2016-07-17,2715
2016-07-18,2715
2016-07-23,2645
2016-07-24,2645
2016-07-25,2612
2016-07-26,2612
2016-07-27,2508
2016-07-28,2508
2016-07-29,2508
2016-07-30,2558
2016-07-31,2558
2016-08-01,2558
2016-08-02,2477
2016-08-03,2477
2016-08-04,2477
2016-08-05,2477
2016-08-06,2414
2016-08-07,2414
2016-08-08,2414
2016-08-09,2347
2016-08-10,2347
2016-08-11,2347
2016-08-12,2347
2016-08-13,2240
2016-08-14,2240
2016-08-15,2240
2016-08-16,2235
2016-08-17,2235
2016-08-18,2235
2016-08-19,2235
2016-08-20,2181
2016-08-21,2181
2016-08-22,2181
2016-08-23,2181
2016-08-24,2133
2016-08-25,2133
2016-08-26,2133
2016-08-28,2104
2016-08-31,2104
2016-09-01,2051
2016-09-02,2051
2016-09-03,2051
2016-09-04,2051
2016-09-05,2004
2016-09-06,2004
2016-09-07,2004
2016-09-08,2004
2016-09-09,2004
2016-09-10,1983
2016-09-11,1983
2016-09-12,1983
2016-09-13,1983
2016-09-14,1893
2016-09-15,1893
2016-09-16,1893
2016-09-17,1893
2016-09-18,1804
2016-09-19,1804
2016-09-20,1804
2016-09-21,1804
2016-09-22,1788
2016-09-23,1788
2016-09-24,1788
2016-09-25,1788
2016-09-26,1802
2016-09-27,1802
2016-09-28,1802
2016-09-29,1802
2016-09-30,1802
2016-10-01,1798
2016-10-02,1798
2016-10-03,1798
2016-10-04,1798
2016-10-05,1798
2016-10-06,1822
2016-10-07,1822
2016-10-08,1822
2016-10-09,1822
2016-10-10,1866
2016-10-11,1866
2016-10-12,1866
2016-10-13,1866
2016-10-14,1894
2016-10-15,1894
2016-10-16,1894
2016-10-17,1894
2016-10-18,1825
2016-10-19,1825
2016-10-20,1825
2016-10-21,1825
2016-10-22,1825
2016-10-23,1795
2016-10-24,1795
2016-10-25,1795
2016-10-26,1795
2016-10-27,1775
2016-10-28,1775
2016-10-29,1775
2016-10-30,1775
2016-10-31,1761
2016-11-01,1761
2016-11-02,1761
2016-11-03,1761
2016-11-04,1752
2016-11-05,1752
2016-11-06,1752
2016-11-07,1752
2016-11-08,1757
2016-11-09,1757
2016-11-10,1757
2016-11-11,1757
2016-11-12,1824
2016-11-13,1824
2016-11-14,1824
2016-12-07,1980
2016-12-08,1986
2016-12-09,1986
2016-12-10,1986
2016-12-11,1987
2016-12-12,1987
2016-12-13,1987
2016-12-14,1987
2016-12-15,2004
2016-12-16,2004
2016-12-17,2004
2016-12-18,2004
2016-12-19,1978
2016-12-20,1978
2016-12-21,1978
2016-12-22,1978
2016-12-23,1960
2016-12-24,1960
2016-12-25,1960
2016-12-26,1960
2016-12-27,1927
2016-12-28,1927
2016-12-29,1927
2016-12-30,1927
2016-12-31,1960
2017-01-01,1960
2017-01-02,1960
2017-01-03,1908
2017-01-04,1908
2017-01-05,1908
2017-01-06,1871
2017-01-07,1871
2017-01-08,1871
2017-01-09,1836
2017-01-10,1836
2017-01-11,1836
2017-01-12,1802
2017-01-13,1802
2017-01-14,1802
2017-01-15,1786
2017-01-16,1786
2017-01-17,1786
2017-01-18,1865
2017-01-19,1865
2017-01-20,1865
2017-01-21,1933
2017-01-22,1933
2017-01-27,1964
2017-01-28,1964
2017-01-29,1982
2017-01-30,1982
2017-01-31,1982
2017-02-01,1982
2017-02-02,1979
2017-02-03,1979
2017-02-04,1894
2017-02-05,1894
2017-02-06,1894
2017-02-07,1918
2017-02-08,1918
2017-02-09,1934
2017-02-10,1934
2017-02-11,1950
2017-02-12,1950
2017-02-13,1950
2017-02-14,1958
2017-02-15,1958
2017-02-16,1958
2017-02-18,1955
2017-02-19,1938
2017-02-20,1938
2017-02-21,1938
2017-02-22,1938
2017-02-23,1938
2017-02-24,1938
2017-02-25,1938
2017-02-26,1905
2017-02-27,1905
2017-02-28,1905
2017-03-01,1913
2017-03-02,1913
2017-03-03,1913
2017-03-04,1872
2017-03-05,1872
2017-03-06,1872
2017-03-07,1934
2017-03-08,1934
2017-03-09,1934
2017-03-10,1906
2017-03-11,1853
2017-03-12,1853
2017-03-13,1772
2017-03-14,1772
2017-03-15,1683
2017-03-16,1683
2017-03-17,1683
2017-03-18,1598
2017-03-19,1598
2017-03-20,1556
2017-03-21,1556
2017-03-22,1556
2017-03-23,1536
2017-03-24,1536
2017-03-25,1536
2017-03-26,1462
2017-03-27,1462
2017-03-28,1462
2017-03-29,1394
2017-03-30,1394
2017-03-31,1345
2017-04-01,1345
2017-04-02,1345
2017-04-03,1340
2017-04-04,1340
2017-04-12,1332
2017-04-13,1398
2017-04-14,1398
2017-04-15,1398
2017-04-16,1432
2017-04-17,1432
2017-04-18,1432
2017-04-19,1456
2017-04-20,1456
2017-04-21,1456
2017-04-22,1504
2017-04-23,1504
2017-04-24,1504
2017-04-25,1475
2017-04-26,1475
2017-04-27,1475
2017-04-28,1475
2017-04-29,1469
2017-04-30,1469
2017-05-01,1469
2017-05-02,1430
2017-05-03,1430
2017-05-04,1430
2017-05-05,1387
2017-05-06,1387
2017-05-07,1387
2017-05-08,1334
2017-05-09,1334
2017-05-10,1334
2017-05-11,1278
2017-05-12,1278
2017-05-13,1245
2017-05-14,1245
2017-05-15,1245
2017-05-16,1258
2017-05-17,1258
2017-05-18,1258
2017-05-19,1253
2017-05-20,1253
2017-05-21,1253
2017-05-22,1217
2017-05-23,1217
2017-05-24,1217
2017-05-25,1163
2017-05-26,1163
2017-05-27,1163
2017-05-28,1131
2017-05-29,1131
2017-05-30,1131
2017-05-31,1106
2017-06-01,1106
2017-06-02,1106
2017-06-03,1075
2017-06-06,1095
2017-06-07,1148
2017-06-08,1148
2017-06-09,1203
2017-06-10,1203
2017-06-11,1213
2017-06-12,1213
2017-06-13,1179
2017-06-14,1179
2017-06-15,1179
2017-06-16,1149
2017-06-17,1149
2017-06-18,1149
2017-06-19,1121
2017-06-20,1121
2017-06-21,1108
2017-06-22,1108
2017-06-23,1108
2017-06-24,1108
2017-06-25,1089
2017-06-26,1089
2017-06-27,1053
2017-06-28,1053
2017-06-29,1053
2017-06-30,1014
2017-07-01,1014
2017-07-02,1014
2017-07-03,1016
2017-07-04,1016
2017-07-05,1016
2017-07-06,1016
2017-07-07,1000
2017-07-08,1000
2017-07-13,1046
2017-07-14,1021
2017-07-15,1021
2017-07-16,1021
2017-07-17,1022
2017-07-18,1022
2017-07-19,1022
2017-07-20,1022
2017-07-21,1028
2017-07-22,1028
2017-07-23,1028
2017-07-24,1028
2017-07-25,1046
2017-07-26,1046
2017-07-27,1046
2017-07-28,1045
2017-07-29,1045
2017-07-30,1045
2017-07-31,1049
2017-08-01,1049
2017-08-02,1049
2017-08-03,1051
2017-08-04,1051
2017-08-05,1051
2017-08-06,1056
2017-08-09,1060
2017-08-10,1060
2017-08-11,1060
2017-08-12,1099
2017-08-13,1099
2017-08-14,1099
2017-08-15,1138
2017-08-17,1138
2017-08-18,1188
2017-08-19,1188
2017-08-20,1188
2017-08-22,1231
2017-08-23,1231
2017-08-24,1273
2017-08-25,1273
2017-08-26,1273
2017-08-27,1317
2017-08-28,1317
2017-08-29,1317
2017-08-30,1317
2017-08-31,1372
2017-09-01,1372
2017-09-02,1372
2017-09-03,1416
2017-09-04,1416
2017-09-05,1416
2017-09-06,1478
2017-09-07,1478
2017-09-08,1478
2017-09-09,1514
2017-09-10,1514
2017-09-11,1559
2017-09-12,1559
2017-09-13,1559
2017-09-14,1584
2017-09-15,1584
2017-09-16,1584
2017-09-17,1630
2017-09-19,1630
2017-09-20,1587
2017-09-21,1587
2017-09-22,1587
2017-09-23,1587
2017-09-24,1594
2017-09-25,1594
2017-09-26,1594
2017-09-27,1594
2017-09-28,1557
2017-09-29,1557
2017-09-30,1503
2017-10-01,1503
2017-10-02,1503
2017-10-03,1503
2017-10-04,1514
2017-10-05,1514
2017-10-06,1514
2017-10-07,1514
2017-10-08,1529
2017-10-09,1529
2017-10-10,1459
2017-10-11,1459
2017-10-12,1459
2017-10-13,1409
2017-10-14,1409
2017-10-15,1409
2017-10-16,1355
2017-10-17,1355
2017-10-18,1355
2017-10-19,1355
2017-10-20,1326
2017-10-21,1326
2017-10-22,1326
2017-10-23,1293
2017-10-24,1293
2017-10-25,1293
2017-10-26,1231
2017-10-27,1231
2017-10-28,1231
2017-10-29,1187
2017-10-30,1187
