date_obj,Piscatoris%20teleport price
2015-03-26,2972
2015-03-27,2972
2015-03-28,2823
2015-03-29,2823
2015-03-30,2681
2015-03-31,2681
2015-04-01,2551
2015-04-02,2551
2015-04-03,2430
2015-04-04,2430
2015-04-05,2310
2015-04-06,2310
2015-04-07,2196
2015-04-08,2196
2015-04-09,2196
2015-04-10,2088
2015-04-11,2088
2015-04-12,1987
2015-04-13,1987
2015-04-14,1987
2015-04-15,1893
2015-04-16,1893
2015-04-17,1802
2015-04-18,1802
2015-04-19,1718
2015-04-20,1718
2015-04-21,1718
2015-04-22,1642
2015-04-23,1642
2015-04-24,1592
2015-04-25,1592
2015-04-26,1592
2015-04-27,1519
2015-04-28,1519
2015-04-29,1519
2015-04-30,1466
2015-05-01,1466
2015-05-02,1409
2015-05-03,1409
2015-05-04,1381
2015-05-05,1381
2015-05-06,1400
2015-05-07,1400
2015-05-08,1347
2015-05-09,1347
2015-05-10,1294
2015-05-11,1294
2015-05-12,1290
2015-05-13,1290
2015-05-14,1256
2015-05-15,1256
2015-05-16,1256
2015-05-17,1221
2015-05-18,1221
2015-05-19,1205
2015-05-20,1205
2015-05-21,1205
2015-05-22,1174
2015-05-23,1174
2015-05-24,1174
2015-05-25,1164
2015-05-26,1164
2015-05-27,1164
2015-05-28,1141
2015-05-29,1141
2015-05-30,1195
2015-05-31,1195
2015-06-01,1255
2015-06-02,1255
2015-06-03,1316
2015-06-04,1316
2015-06-05,1332
2015-06-06,1332
2015-06-07,1320
2015-06-08,1320
2015-06-09,1317
2015-06-10,1317
2015-06-11,1286
2015-06-12,1286
2015-06-13,1293
2015-06-14,1293
2015-06-15,1329
2015-06-16,1329
2015-06-17,1323
2015-06-18,1323
2015-06-19,1299
2015-06-20,1299
2015-06-21,1294
2015-06-22,1294
2015-06-23,1257
2015-06-24,1257
2015-06-25,1225
2015-06-26,1225
2015-06-27,1178
2015-06-28,1178
2015-06-29,1144
2015-06-30,1144
2015-07-01,1121
2015-07-02,1121
2015-07-03,1154
2015-07-04,1154
2015-07-05,1154
2015-07-06,1145
2015-07-07,1145
2015-07-08,1134
2015-07-09,1134
2015-07-10,1102
2015-07-11,1102
2015-07-12,1102
2015-07-13,1096
2015-07-14,1096
2015-07-15,1074
2015-07-16,1074
2015-07-17,1023
2015-07-18,1023
2015-07-19,1023
2015-07-20,985
2015-07-21,985
2015-07-22,970
2015-07-23,970
2015-07-24,944
2015-07-25,944
2015-07-26,944
2015-07-27,910
2015-07-28,910
2015-07-29,897
2015-07-30,897
2015-07-31,897
2015-08-01,873
2015-08-02,873
2015-08-03,848
2015-08-04,848
2015-08-05,845
2015-08-06,845
2015-08-07,858
2015-08-08,858
2015-08-09,839
2015-08-10,839
