date_obj,Potato%20with%20cheese price
2015-03-26,607
2015-03-27,607
2015-03-28,607
2015-03-29,611
2015-03-30,611
2015-03-31,613
2015-04-01,613
2015-04-02,619
2015-04-03,619
2015-04-04,620
2015-04-05,620
2015-04-06,621
2015-04-07,621
2015-04-08,621
2015-04-09,623
2015-04-10,623
2015-04-11,597
2015-04-12,597
2015-04-13,586
2015-04-14,586
2015-04-15,559
2015-04-16,559
2015-04-17,555
2015-04-18,555
2015-04-19,564
2015-04-20,564
2015-04-21,561
2015-04-22,561
2015-04-23,570
2015-04-24,570
2015-04-25,582
2015-04-26,582
2015-04-27,565
2015-04-28,565
2015-04-29,565
2015-04-30,548
2015-05-01,548
2015-05-02,524
2015-05-03,524
2015-05-04,524
2015-05-05,530
2015-05-06,530
2015-05-07,549
2015-05-08,549
2015-05-09,556
2015-05-10,556
2015-05-11,556
2015-05-12,551
2015-05-13,551
2015-05-14,552
2015-05-15,552
2015-05-16,552
2015-05-17,543
2015-05-18,543
2015-05-19,549
2015-05-20,549
2015-05-21,549
2015-05-22,524
2015-05-23,524
2015-05-24,512
2015-05-25,512
2015-05-26,496
2015-05-27,496
2015-05-28,499
2015-05-29,499
2015-05-30,522
2015-05-31,522
2015-06-01,540
2015-06-02,540
2015-06-03,531
2015-06-04,531
2015-06-05,507
2015-06-06,503
2015-06-07,503
2015-06-08,488
2015-06-09,510
2015-06-10,527
2015-06-11,527
2015-06-12,500
2015-06-13,479
2015-06-14,496
2015-06-15,496
2015-06-16,491
2015-06-17,511
2015-06-18,534
2015-06-19,558
2015-06-20,572
2015-06-21,572
2015-06-22,592
2015-06-23,592
2015-06-24,582
2015-06-25,582
2015-06-26,566
2015-06-27,566
2015-06-28,577
2015-06-29,577
2015-06-30,602
2015-07-01,622
2015-07-02,622
2015-07-03,606
2015-07-04,596
2015-07-05,596
2015-07-06,606
2015-07-07,624
2015-07-08,615
2015-07-09,615
2015-07-10,590
2015-07-11,590
2015-07-12,577
2015-07-13,595
2015-07-14,595
2015-07-15,601
2015-07-16,601
2015-07-17,598
2015-07-18,598
2015-07-19,611
2015-07-20,611
2015-07-21,584
2015-07-22,575
2015-07-23,575
2015-07-24,554
2015-07-25,554
2015-07-26,531
2015-07-27,531
2015-07-28,508
2015-07-29,508
2015-07-30,483
2015-07-31,483
2015-08-01,475
2015-08-02,490
2015-08-03,490
2015-08-04,496
2015-08-05,496
2015-08-06,480
2015-08-07,480
2015-08-08,484
2015-08-09,484
2015-08-10,481
2015-08-11,481
2015-08-12,490
2015-08-13,490
2015-08-14,491
2015-08-15,491
2015-08-16,499
2015-08-17,499
2015-08-18,492
2015-08-19,492
2015-08-20,486
2015-08-21,486
2015-08-22,485
2015-08-23,485
2015-08-24,485
2015-08-25,485
2015-08-26,485
2015-08-27,489
2015-08-28,489
2015-08-29,496
2015-08-30,496
2015-08-31,491
2015-09-01,491
2015-09-02,491
2015-09-03,481
2015-09-04,481
2015-09-05,475
2015-09-06,475
2015-09-07,482
2015-09-08,482
2015-09-09,461
2015-09-10,461
2015-09-11,453
2015-09-12,453
2015-09-13,449
2015-09-14,449
2015-09-15,450
2015-09-16,450
2015-09-17,459
2015-09-18,459
2015-09-19,455
2015-09-20,455
2015-09-21,455
2015-09-22,455
2015-09-23,456
2015-09-24,456
2015-09-25,456
2015-09-27,454
2015-09-28,453
2015-09-29,453
2015-09-30,457
2015-10-05,455
2015-10-06,454
2015-10-07,454
2015-10-08,465
2015-10-09,474
2015-10-10,474
2015-10-11,485
2015-10-12,504
2015-10-13,504
2015-10-14,514
2015-10-15,514
2015-10-16,514
2015-10-17,510
2015-10-18,510
2015-10-19,514
2015-10-20,514
2015-10-22,500
2015-10-23,502
2015-10-24,502
2015-10-25,511
2015-10-26,511
2015-10-27,502
2015-10-29,500
2015-10-30,500
2015-10-31,498
2015-11-01,498
2015-11-02,498
2015-11-03,494
2015-11-04,494
2015-11-05,494
2015-11-06,494
2015-11-07,494
2015-11-08,494
2015-11-09,487
2015-11-10,487
2015-11-11,487
2015-11-12,474
2015-11-13,474
2015-11-14,474
2015-11-15,456
2015-11-16,456
2015-11-17,456
2015-11-18,442
2015-11-19,442
2015-11-20,455
2015-11-21,455
2015-11-22,463
2015-11-23,463
2015-11-24,463
2015-11-25,467
2015-11-26,467
2015-11-27,478
2015-11-28,478
2015-11-29,478
