date_obj,Pottery%20scarab price
2015-03-26,2
2015-03-27,2
2015-03-28,2
2015-03-29,2
2015-03-30,2
2015-03-31,2
2015-04-01,2
2015-04-02,2
2015-04-03,2
2015-04-04,2
2015-04-05,2
2015-04-06,2
2015-04-07,2
2015-04-08,2
2015-04-09,2
2015-04-10,2
2015-04-11,2
2015-04-12,2
2015-04-13,2
2015-04-14,2
2015-04-15,2
2015-04-16,2
2015-04-17,2
2015-04-18,2
2015-04-19,2
2015-04-20,2
2015-04-21,2
2015-04-22,2
2015-04-23,2
2015-04-24,2
2015-04-25,2
2015-04-26,2
2015-04-27,2
2015-04-28,2
2015-04-29,2
2015-04-30,2
2015-05-01,2
2015-05-02,2
2015-05-03,3
2015-05-04,3
2015-05-05,3
2015-05-06,3
2015-05-07,3
2015-05-08,3
2015-05-09,3
2015-05-10,3
2015-05-11,3
2015-05-12,3
2015-05-13,3
2015-05-14,3
2015-05-15,3
2015-05-16,4
2015-05-17,4
2015-05-18,4
2015-05-19,4
2015-05-20,4
2015-05-21,4
2015-05-22,4
2015-05-23,4
2015-05-24,4
2015-05-25,4
2015-05-26,4
2015-05-27,4
2015-05-28,5
2015-05-29,5
2015-05-30,5
2015-05-31,5
2015-06-01,5
2015-06-02,5
2015-06-03,5
2015-06-04,5
2015-06-05,5
2015-06-06,5
2015-06-07,6
2015-06-08,6
2015-06-09,6
2015-06-10,6
2015-06-11,6
2015-06-12,6
2015-06-13,6
2015-06-14,6
2015-06-15,6
2015-06-16,6
2015-06-17,6
2015-06-18,7
2015-06-19,7
2015-06-20,7
2015-06-21,7
2015-06-22,7
2015-06-23,7
2015-06-24,7
2015-06-25,7
2015-06-26,7
2015-06-27,7
2015-06-28,8
2015-06-29,8
2015-06-30,8
2015-07-01,8
2015-07-02,8
2015-07-03,8
2015-07-04,8
2015-07-05,8
2015-07-06,8
2015-07-07,8
2015-07-08,8
2015-07-09,9
2015-07-10,9
2015-07-11,9
2015-07-12,9
2015-07-13,9
2015-07-14,9
2015-07-15,9
2015-07-16,9
2015-07-17,9
2015-07-18,9
2015-07-19,10
2015-07-20,10
2015-07-21,10
2015-07-22,10
2015-07-23,10
2015-07-24,10
2015-07-25,10
2015-07-26,10
2015-07-27,10
2015-07-28,10
2015-07-29,11
2015-07-30,11
2015-07-31,11
2015-08-01,11
2015-08-02,11
2015-08-03,11
2015-08-04,11
2015-08-05,11
2015-08-06,11
2015-08-07,12
2015-08-08,12
2015-08-09,12
2015-08-10,12
2015-08-11,12
2015-08-12,12
2015-08-13,12
2015-08-14,12
2015-08-15,12
2015-08-16,13
2015-08-17,13
2015-08-18,13
2015-08-19,13
2015-08-20,13
2015-08-21,13
2015-08-22,13
2015-08-23,13
2015-08-24,13
2015-08-25,13
2015-08-26,14
2015-08-27,14
2015-08-28,14
2015-08-29,14
2015-08-30,14
2015-08-31,14
2015-09-01,14
2015-09-02,14
2015-09-03,14
2015-09-04,14
2015-09-05,14
2015-09-06,15
2015-09-07,15
2015-09-08,15
2015-09-09,15
2015-09-10,15
2015-09-11,15
2015-09-12,15
2015-09-13,15
2015-09-14,15
2015-09-15,16
2015-09-16,16
2015-09-17,16
2015-09-18,16
2015-09-19,16
2015-09-20,16
2015-09-21,16
2015-09-22,16
2015-09-23,16
2015-09-24,16
2015-09-25,16
2015-09-27,17
2015-09-28,17
2015-09-29,17
2015-09-30,17
2015-10-05,17
2015-10-06,17
2015-10-07,18
2015-10-08,18
2015-10-09,18
2015-10-10,18
2015-10-11,18
2015-10-12,18
2015-10-13,18
2015-10-14,18
2015-10-15,18
2015-10-16,18
2015-10-17,19
2015-10-18,19
2015-10-19,19
2015-10-20,19
2015-10-22,19
2015-10-23,19
2015-10-24,19
2015-10-25,19
2015-10-26,20
2015-10-27,20
2015-10-29,20
2015-10-30,20
2015-10-31,20
2015-11-01,20
2015-11-02,20
2015-11-03,20
2015-11-04,20
2015-11-05,20
2015-11-06,20
2015-11-07,21
2015-11-08,21
2015-11-09,21
2015-11-10,21
2015-11-11,21
2015-11-12,21
2015-11-13,21
2015-11-14,21
2015-11-15,21
2015-11-16,21
2015-11-17,21
2015-11-18,21
2015-11-19,23
2015-11-20,23
2015-11-21,23
2015-11-22,23
2015-11-23,23
2015-11-24,23
2015-11-25,23
2015-11-26,23
2015-11-27,23
2015-11-28,23
2015-11-29,24
2015-11-30,24
2015-12-01,24
2015-12-02,24
2015-12-03,24
2015-12-04,24
2015-12-05,24
2015-12-06,24
2015-12-07,24
2015-12-08,24
2015-12-09,26
2015-12-10,26
2015-12-11,26
2015-12-12,26
2015-12-13,26
2015-12-14,26
2015-12-15,26
2015-12-16,26
2015-12-17,26
2015-12-18,28
2015-12-19,28
2015-12-20,28
2015-12-21,28
2015-12-22,28
2015-12-23,28
2015-12-24,28
2015-12-25,28
2015-12-26,30
2015-12-27,30
2015-12-28,30
2015-12-29,30
2015-12-30,30
2015-12-31,30
2016-01-01,30
2016-01-02,30
2016-01-03,32
2016-01-04,32
2016-01-05,32
2016-01-06,32
2016-01-07,32
2016-01-08,32
2016-01-09,32
2016-01-10,34
2016-01-11,34
2016-01-12,34
2016-01-13,34
2016-01-14,34
2016-01-15,34
2016-01-16,36
2016-01-17,36
2016-01-18,36
