date_obj,Priest%20gown%20(bottom) price
2015-03-04,1040
2015-03-05,1040
2015-03-06,988
2015-03-07,988
2015-03-08,938
2015-03-09,938
2015-03-10,938
2015-03-11,891
2015-03-12,891
2015-03-13,891
2015-03-14,850
2015-03-15,850
2015-03-16,820
2015-03-17,820
2015-03-18,792
2015-03-19,792
2015-03-20,756
2015-03-21,756
2015-03-22,718
2015-03-23,718
2015-03-24,718
2015-03-25,682
2015-03-26,682
2015-03-27,682
2015-03-28,649
2015-03-29,649
2015-03-30,628
2015-03-31,628
2015-04-01,597
2015-04-02,597
2015-04-03,568
2015-04-04,568
2015-04-05,562
2015-04-06,562
2015-04-07,549
2015-04-08,549
2015-04-09,549
2015-04-10,521
2015-04-11,521
2015-04-12,494
2015-04-13,494
2015-04-14,469
2015-04-15,469
2015-04-16,445
2015-04-17,445
2015-04-18,422
2015-04-19,422
2015-04-20,422
2015-04-21,400
2015-04-22,400
2015-04-23,380
2015-04-24,380
2015-04-25,362
2015-04-26,362
2015-04-27,343
2015-04-28,343
2015-04-29,343
2015-04-30,325
2015-05-01,325
2015-05-02,308
2015-05-03,308
2015-05-04,308
2015-05-05,293
2015-05-06,293
2015-05-07,278
2015-05-08,278
2015-05-09,266
2015-05-10,266
2015-05-11,266
2015-05-12,257
2015-05-13,257
2015-05-14,248
2015-05-15,248
2015-05-16,248
2015-05-17,240
2015-05-18,240
2015-05-19,240
2015-05-20,228
2015-05-21,228
2015-05-22,228
2015-05-23,216
2015-05-24,216
2015-05-25,213
2015-05-26,213
2015-05-27,213
2015-05-28,204
2015-05-29,204
2015-05-30,193
2015-05-31,193
2015-06-01,183
2015-06-02,183
2015-06-03,179
2015-06-04,179
2015-06-05,170
2015-06-06,170
2015-06-07,166
2015-06-08,166
2015-06-09,164
2015-06-10,164
2015-06-11,161
2015-06-12,161
2015-06-13,161
2015-06-14,161
2015-06-15,161
2015-06-16,161
2015-06-17,154
2015-06-18,154
2015-06-19,151
2015-06-20,151
2015-06-21,149
2015-06-22,149
2015-06-23,145
2015-06-24,145
2015-06-25,142
2015-06-26,142
2015-06-27,140
2015-06-28,140
2015-06-29,138
2015-06-30,138
2015-07-01,131
2015-07-02,131
2015-07-03,124
2015-07-04,124
2015-07-05,117
2015-07-06,117
2015-07-07,111
2015-07-08,111
2015-07-09,106
2015-07-10,106
2015-07-11,100
2015-07-12,100
2015-07-13,95
2015-07-14,95
2015-07-15,96
2015-07-16,96
2015-07-17,95
2015-07-18,95
2015-07-19,92
2015-07-20,92
2015-07-21,89
2015-07-22,91
2015-07-23,91
2015-07-24,93
2015-07-25,93
2015-07-26,98
2015-07-27,98
2015-07-28,102
2015-07-29,102
2015-07-30,102
2015-07-31,98
2015-08-01,98
2015-08-02,97
2015-08-03,97
2015-08-04,102
2015-08-05,102
2015-08-06,106
2015-08-07,106
2015-08-08,107
2015-08-09,107
2015-08-10,110
2015-08-11,110
2015-08-12,111
2015-08-13,111
2015-08-14,111
2015-08-15,111
2015-08-16,109
2015-08-17,109
2015-08-18,105
2015-08-19,105
2015-08-20,104
2015-08-21,102
2015-08-22,102
2015-08-23,104
2015-08-24,104
2015-08-25,103
2015-08-26,103
2015-08-27,100
2015-08-28,100
2015-08-29,95
2015-08-30,95
2015-08-31,90
2015-09-01,187
2015-09-02,85
2015-09-07,81
2015-09-08,81
2015-09-10,82
2015-09-14,85
2015-09-16,89
2015-09-22,91
2015-09-23,91
2015-09-24,91
2015-09-25,91
2015-09-27,92
2015-09-28,92
2015-09-29,92
2015-09-30,92
2015-10-05,91
2015-10-06,91
2015-10-07,91
2015-10-08,91
2015-10-09,91
2015-10-10,91
2015-10-11,89
2015-10-12,89
2015-10-13,89
2015-10-14,90
2015-10-15,90
2015-10-16,86
2015-10-17,86
2015-10-18,86
2015-10-19,81
2015-10-20,81
2015-10-22,77
2015-10-23,77
2015-10-24,75
2015-10-25,75
2015-10-26,73
2015-10-27,73
2015-10-29,70
2015-10-30,70
2015-10-31,71
2015-11-01,71
2015-11-02,71
2015-11-03,71
2015-11-04,71
2015-11-05,70
2015-11-06,70
2015-11-07,71
2015-11-08,71
2015-11-09,71
2015-11-10,73
2015-11-11,73
2015-11-12,74
2015-11-13,74
2015-11-14,74
2015-11-15,75
2015-11-16,75
2015-11-17,75
2015-11-18,74
2015-11-19,74
2015-11-20,76
2015-11-21,76
2015-11-22,80
2015-11-23,80
2015-11-24,80
2015-11-25,84
2015-11-26,84
2015-11-27,84
2015-11-28,87
2015-11-29,87
2015-11-30,86
2015-12-01,86
2015-12-02,86
2015-12-03,86
2015-12-04,86
2015-12-05,86
2015-12-06,87
2015-12-07,87
2015-12-08,90
2015-12-09,90
2015-12-10,90
2015-12-11,90
2015-12-12,92
2015-12-13,92
2015-12-14,92
2015-12-15,95
2015-12-16,95
2015-12-17,98
2015-12-18,98
2015-12-19,102
2015-12-20,102
2015-12-21,103
2015-12-22,103
2015-12-23,102
2015-12-24,102
2015-12-25,102
2015-12-26,100
2015-12-27,100
2015-12-28,100
2015-12-29,101
2015-12-30,101
2015-12-31,101
2016-01-01,101
2016-01-02,98
2016-01-03,98
2016-01-04,97
2016-01-05,97
2016-01-06,96
2016-01-07,96
2016-01-08,97
2016-01-09,97
2016-01-10,97
2016-01-11,97
2016-01-12,98
2016-01-13,98
2016-01-14,97
2016-01-15,97
2016-01-16,96
2016-01-17,96
2016-01-18,97
2016-01-19,97
2016-01-20,99
2016-01-21,99
2016-01-22,97
2016-01-23,97
2016-01-24,93
2016-01-25,93
2016-01-26,94
2016-01-27,93
2016-01-28,93
2016-01-29,94
2016-01-30,94
2016-01-31,95
2016-02-01,95
2016-02-02,91
2016-02-03,91
2016-02-04,92
2016-02-05,92
2016-02-06,92
2016-02-07,92
2016-02-08,94
2016-02-09,94
2016-02-10,93
2016-02-11,93
2016-02-12,94
2016-02-13,94
2016-02-14,94
2016-02-15,96
2016-02-16,96
2016-02-17,95
2016-02-18,95
2016-02-19,91
2016-02-20,91
2016-02-21,88
2016-02-22,88
2016-02-23,88
2016-02-24,88
2016-02-25,85
2016-02-26,85
2016-02-27,80
2016-02-28,80
2016-02-29,76
2016-03-01,76
2016-03-02,72
2016-03-03,68
2016-03-04,68
2016-03-05,64
2016-03-06,60
2016-03-07,60
2016-03-08,61
2016-03-09,61
2016-03-10,58
2016-03-11,58
2016-03-12,58
2016-03-13,58
2016-03-14,57
2016-03-15,57
2016-03-16,58
2016-03-17,58
2016-03-18,59
2016-03-19,59
2016-03-20,60
2016-03-21,60
2016-03-22,60
2016-03-23,60
2016-03-24,58
2016-03-25,59
2016-03-26,60
2016-03-27,60
2016-03-28,61
2016-03-29,61
2016-03-30,59
2016-03-31,59
2016-04-01,59
2016-04-02,59
2016-04-03,61
2016-04-04,61
