date_obj,Pumpkin price
2015-03-26,10935
2015-03-27,10935
2015-03-28,11109
2015-03-29,11109
2015-03-30,10884
2015-03-31,10884
2015-04-01,10884
2015-04-02,10369
2015-04-03,10369
2015-04-04,9882
2015-04-05,9882
2015-04-06,9882
2015-04-07,9410
2015-04-08,9410
2015-04-09,9410
2015-04-10,9410
2015-04-11,8939
2015-04-12,8939
2015-04-13,8939
2015-04-14,8504
2015-04-15,8504
2015-04-16,8504
2015-04-17,8100
2015-04-18,8100
2015-04-19,8100
2015-04-20,7710
2015-04-21,7710
2015-04-22,7710
2015-04-23,7458
2015-04-24,7458
2015-04-25,7458
2015-04-26,7458
2015-04-27,7404
2015-04-28,7404
2015-04-29,7404
2015-04-30,7154
2015-05-01,7154
2015-05-02,7154
2015-05-03,7154
2015-05-04,6922
2015-05-05,6922
2015-05-06,6922
2015-05-07,6922
2015-05-08,6623
2015-05-09,6623
2015-05-10,6623
2015-05-11,6623
2015-05-12,6550
2015-05-13,6550
2015-05-14,6550
2015-05-15,6550
2015-05-16,6550
2015-05-17,6626
2015-05-18,6626
2015-05-19,6626
2015-05-20,6626
2015-05-21,6626
2015-05-22,6729
2015-05-23,6729
2015-05-24,6729
2015-05-25,6729
2015-05-26,6759
2015-05-27,6759
2015-05-28,6759
2015-05-29,6599
2015-05-30,6599
2015-05-31,6328
2015-06-01,6328
2015-06-02,6328
2015-06-03,6103
2015-06-04,6103
2015-06-05,6103
2015-06-06,5998
2015-06-07,5998
2015-06-08,5998
2015-06-09,6174
2015-06-10,6174
2015-06-11,6174
2015-06-12,6107
2015-06-13,6107
2015-06-14,5973
2015-06-15,5973
2015-06-16,5973
2015-06-17,6082
2015-06-18,6082
2015-06-19,6082
2015-06-20,6001
2015-06-21,6001
2015-06-22,6001
2015-06-23,5700
2015-06-24,5700
2015-06-25,5700
2015-06-26,5586
2015-06-27,5586
2015-06-28,5586
2015-06-29,5586
2015-06-30,5470
2015-07-01,5470
2015-07-02,5470
2015-07-03,5509
2015-07-04,5509
2015-07-05,5509
2015-07-06,5509
2015-07-07,5587
2015-07-08,5587
2015-07-09,5587
2015-07-10,5587
2015-07-11,5578
2015-07-12,5578
2015-07-13,5578
2015-07-14,5578
2015-07-15,5652
2015-07-16,5652
2015-07-17,5652
2015-07-18,5652
2015-07-19,5513
2015-07-20,5513
2015-07-21,5513
2015-07-22,5547
2015-07-23,5547
2015-07-24,5547
2015-07-25,5547
2015-07-26,5585
2015-07-27,5585
2015-07-28,5585
2015-07-29,5650
2015-07-30,5650
2015-07-31,5650
2015-08-01,5650
2015-08-02,5915
2015-08-03,5915
2015-08-04,5915
2015-08-05,5915
2015-08-06,6067
2015-08-07,6067
2015-08-08,6067
2015-08-09,6303
2015-08-10,6303
2015-08-11,6583
2015-08-12,6583
2015-08-13,6583
2015-08-14,6897
2015-08-15,6897
2015-08-16,6897
2015-08-17,7212
2015-08-18,7212
2015-08-19,7212
2015-08-20,7212
2015-08-21,7535
2015-08-22,7535
2015-08-23,7535
2015-08-24,7878
2015-08-25,7878
2015-08-26,7878
2015-08-27,8253
2015-08-28,8253
2015-08-29,8253
2015-08-30,8646
2015-08-31,8646
2015-09-01,9035
2015-09-02,9035
2015-09-03,9035
2015-09-04,9462
2015-09-05,9462
2015-09-06,9462
2015-09-07,9462
2015-09-08,9908
2015-09-09,9908
2015-09-10,9908
2015-09-11,10390
2015-09-12,10390
2015-09-13,10890
2015-09-14,10890
2015-09-15,11394
2015-09-16,11394
2015-09-17,11394
2015-09-18,11935
2015-09-19,11935
2015-09-20,12502
2015-09-21,12502
2015-09-22,12502
2015-09-23,12812
2015-09-24,12812
2015-09-25,12812
2015-09-27,12812
2015-09-28,13441
2015-09-29,13441
2015-09-30,13441
2015-10-05,14044
2015-10-06,14541
2015-10-07,14541
2015-10-08,14541
2015-10-09,14541
2015-10-10,14696
2015-10-11,14696
2015-10-12,14696
2015-10-13,14696
2015-10-14,14460
2015-10-15,14460
2015-10-16,14460
2015-10-17,14460
2015-10-18,13906
2015-10-19,13906
2015-10-20,13906
2015-10-22,13876
2015-10-23,13876
2015-10-24,13876
2015-10-25,13876
2015-10-26,13824
2015-10-27,13824
2015-10-29,13143
2015-10-30,12485
2015-10-31,11860
2015-11-01,11267
2015-11-02,10703
2015-11-03,10168
2015-11-04,9687
2015-11-05,9455
2015-11-06,9267
2015-11-07,8926
2015-11-08,8577
2015-11-09,8325
2015-11-10,8079
2015-11-11,7891
2015-11-12,7891
2015-11-13,7962
2015-11-14,7962
2015-11-15,7959
2015-11-16,7959
2015-11-17,8063
2015-11-18,8063
2015-11-19,7981
2015-11-20,7981
2015-11-21,7776
2015-11-22,7847
2015-11-23,7847
2015-11-24,7847
2015-11-25,7830
2015-11-26,7830
2015-11-27,7682
2015-11-28,7682
2015-11-29,7479
2015-11-30,7479
2015-12-01,7126
2015-12-02,7126
2015-12-03,6777
2015-12-04,6777
2015-12-05,6777
2015-12-06,6438
2015-12-07,6438
2015-12-08,6438
2015-12-09,6116
2015-12-10,6116
2015-12-11,6116
2015-12-12,5886
2015-12-13,5886
2015-12-14,5886
2015-12-15,5769
2015-12-16,5769
2015-12-17,5761
2015-12-18,5761
2015-12-19,5925
2015-12-20,5925
2015-12-21,5851
2015-12-22,5851
2015-12-23,5843
2015-12-24,5843
2015-12-25,5843
2015-12-26,5764
2015-12-27,5764
2015-12-28,5764
2015-12-29,5719
2015-12-30,5719
2015-12-31,5719
2016-01-01,5638
2016-01-02,5638
2016-01-03,5638
2016-01-04,5527
2016-01-05,5527
2016-01-06,5527
2016-01-07,5527
2016-01-08,5458
2016-01-09,5458
2016-01-10,5458
2016-01-11,5473
2016-01-12,5473
2016-01-13,5473
2016-01-14,5586
2016-01-15,5586
2016-01-16,5586
2016-01-17,5523
2016-01-18,5523
2016-01-19,5523
2016-01-20,5586
2016-01-21,5586
2016-01-22,5586
2016-01-23,5615
2016-01-24,5615
2016-01-25,5615
2016-01-26,5696
2016-01-27,5696
2016-01-28,5696
2016-01-29,5613
2016-01-30,5613
2016-01-31,5613
2016-02-01,5657
2016-02-02,5657
2016-02-03,5657
2016-02-04,5657
2016-02-05,5798
2016-02-06,5798
2016-02-07,5798
2016-02-08,5927
2016-02-09,5927
2016-02-10,5927
2016-02-11,5927
2016-02-12,6037
2016-02-13,6037
2016-02-14,6037
2016-02-15,6095
2016-02-16,6095
2016-02-17,6095
2016-02-18,6095
2016-02-19,6119
2016-02-20,6119
2016-02-21,6119
2016-02-22,6119
2016-02-23,6384
2016-02-24,6384
2016-02-25,6384
2016-02-26,6384
2016-02-27,6675
2016-02-28,6675
2016-02-29,6675
2016-03-01,6675
2016-03-02,6821
2016-03-03,6821
2016-03-04,6821
2016-03-05,6821
2016-03-06,7134
2016-03-07,7134
2016-03-08,7134
2016-03-09,7134
2016-03-10,7370
2016-03-11,7370
2016-03-12,7370
2016-03-13,7370
2016-03-14,7503
2016-03-15,7503
2016-03-16,7503
2016-03-17,7503
2016-03-18,7687
2016-03-19,7687
2016-03-20,7687
2016-03-21,7687
2016-03-22,7788
2016-03-23,7788
2016-03-24,7788
2016-03-25,7788
2016-03-26,7532
2016-03-27,7532
2016-03-28,7532
2016-03-29,7532
2016-03-30,7315
2016-03-31,7315
2016-04-01,7315
2016-04-02,7315
2016-04-03,7389
