date_obj,Purple%20elegant%20skirt price
2015-03-26,22954
2015-03-27,22954
2015-03-28,22954
2015-03-29,21898
2015-03-30,21898
2015-03-31,20830
2015-04-01,20830
2015-04-02,20830
2015-04-03,19859
2015-04-04,19859
2015-04-05,18977
2015-04-06,18977
2015-04-07,18096
2015-04-08,18096
2015-04-09,18096
2015-04-10,17280
2015-04-11,17280
2015-04-12,17280
2015-04-13,16448
2015-04-14,16448
2015-04-15,15707
2015-04-16,15707
2015-04-17,15707
2015-04-18,15014
2015-04-19,15014
2015-04-20,15014
2015-04-21,14339
2015-04-22,14339
2015-04-23,14339
2015-04-24,13736
2015-04-25,13736
2015-04-26,13736
2015-04-27,13736
2015-04-28,13128
2015-04-29,13128
2015-04-30,13128
2015-05-01,12516
2015-05-02,12516
2015-05-03,12516
2015-05-04,11958
2015-05-05,11958
2015-05-06,11437
2015-05-07,11437
2015-05-08,11437
2015-05-09,10928
2015-05-10,10928
2015-05-11,10928
2015-05-12,10432
2015-05-13,10432
2015-05-14,10432
2015-05-15,9962
2015-05-16,9962
2015-05-17,9962
2015-05-18,9537
2015-05-19,9537
2015-05-20,9537
2015-05-21,9537
2015-05-22,9106
2015-05-23,9106
2015-05-24,9106
2015-05-25,8686
2015-05-26,8686
2015-05-27,8686
2015-05-28,8686
2015-05-29,8266
2015-05-30,8266
2015-05-31,8266
2015-06-01,7881
2015-06-02,7881
2015-06-03,7881
2015-06-04,7881
2015-06-05,7881
2015-06-06,7528
2015-06-07,7528
2015-06-08,7528
2015-06-09,7528
2015-06-10,7528
2015-06-11,7183
2015-06-12,7183
2015-06-13,7183
2015-06-14,7183
2015-06-15,7183
2015-06-16,6842
2015-06-17,6842
2015-06-18,6842
2015-06-19,6842
2015-06-20,6528
2015-06-21,6528
2015-06-22,6528
2015-06-23,6528
2015-06-24,6230
2015-06-25,6230
2015-06-26,6230
2015-06-27,6230
2015-06-28,5933
2015-06-29,5933
2015-06-30,5933
2015-07-01,5933
2015-07-02,5933
2015-07-03,5667
2015-07-04,5667
2015-07-05,5667
2015-07-06,5667
2015-07-07,5667
2015-07-08,5413
2015-07-09,5413
2015-07-10,5413
2015-07-11,5413
2015-07-12,5184
2015-07-13,5184
2015-07-14,5184
2015-07-15,5184
2015-07-16,4969
2015-07-17,4969
2015-07-18,4969
2015-07-19,4969
2015-07-20,4779
2015-07-21,4779
2015-07-22,4779
2015-07-23,4779
2015-07-24,4573
2015-07-25,4573
2015-07-26,4573
2015-07-27,4573
2015-07-28,4364
2015-07-29,4364
2015-07-30,4364
2015-07-31,4364
2015-08-01,4181
2015-08-02,4181
2015-08-03,4181
2015-08-04,4181
2015-08-05,4000
2015-08-06,4000
2015-08-07,4000
2015-08-08,4000
2015-08-09,3816
2015-08-10,3816
2015-08-11,3816
2015-08-12,3816
2015-08-13,3668
2015-08-14,3668
2015-08-15,3668
2015-08-16,3668
2015-08-17,3487
2015-08-18,3487
2015-08-19,3487
2015-08-20,3487
2015-08-21,3369
2015-08-22,3369
2015-08-23,3369
2015-08-24,3369
2015-08-25,3302
2015-08-26,3302
2015-08-27,3302
2015-08-28,3302
2015-08-29,3194
2015-08-30,3194
2015-08-31,3194
2015-09-01,3194
2015-09-02,3194
2015-09-03,3272
2015-09-04,3272
2015-09-05,3272
2015-09-06,3272
2015-09-07,3272
2015-09-08,3272
2015-09-09,3410
2015-09-10,3410
2015-09-11,3410
2015-09-12,3410
2015-09-13,3415
2015-09-14,3415
2015-09-15,3415
2015-09-16,3415
2015-09-17,3415
2015-09-18,3327
2015-09-19,3327
2015-09-20,3327
2015-09-21,3327
2015-09-22,3327
2015-09-23,3246
2015-09-24,3246
2015-09-25,3246
2015-09-27,3246
2015-09-28,3246
2015-09-29,3129
2015-09-30,3129
2015-10-05,3004
2015-10-06,3004
2015-10-07,3004
2015-10-08,3004
2015-10-09,2865
2015-10-10,2865
2015-10-11,2865
2015-10-12,2865
2015-10-13,2865
2015-10-14,2730
2015-10-15,2730
2015-10-16,2730
2015-10-17,2730
2015-10-18,2657
2015-10-19,2657
2015-10-20,2657
2015-10-22,2657
2015-10-23,2615
2015-10-24,2615
2015-10-25,2615
2015-10-26,2615
2015-10-27,2615
2015-10-29,2540
2015-10-30,2540
2015-10-31,2540
2015-11-01,2540
2015-11-02,2540
2015-11-03,2445
2015-11-04,2445
2015-11-05,2445
2015-11-06,2445
2015-11-07,2445
2015-11-08,2445
2015-11-09,2340
2015-11-10,2340
2015-11-11,2340
2015-11-12,2340
2015-11-13,2340
2015-11-14,2340
2015-11-15,2264
2015-11-16,2264
2015-11-17,2264
2015-11-18,2264
2015-11-19,2264
2015-11-20,2264
2015-11-21,2264
2015-11-22,2180
2015-11-23,2180
2015-11-24,2180
2015-11-25,2180
2015-11-26,2180
2015-11-27,2180
2015-11-28,2125
2015-11-29,2125
2015-11-30,2125
2015-12-01,2125
2015-12-02,2125
2015-12-03,2030
2015-12-04,2030
2015-12-05,2030
2015-12-06,2030
2015-12-07,2030
2015-12-08,1945
2015-12-09,1945
2015-12-10,1945
2015-12-11,1945
2015-12-12,1945
2015-12-13,1874
2015-12-14,1874
2015-12-15,1874
2015-12-16,1874
2015-12-17,1874
2015-12-18,1789
2015-12-19,1789
2015-12-20,1789
2015-12-21,1789
2015-12-22,1789
2015-12-23,1802
2015-12-24,1802
2015-12-25,1802
2015-12-26,1802
2015-12-27,1802
2015-12-28,1802
2015-12-29,1720
2015-12-30,1720
2015-12-31,1720
2016-01-01,1720
2016-01-02,1720
2016-01-03,1644
2016-01-04,1644
2016-01-05,1644
2016-01-06,1644
2016-01-07,1644
2016-01-08,1597
2016-01-09,1597
2016-01-10,1597
2016-01-11,1597
2016-01-12,1597
2016-01-13,1597
2016-01-14,1522
2016-01-15,1522
2016-01-16,1522
2016-01-17,1522
2016-01-18,1522
2016-01-19,1447
2016-01-20,1447
2016-01-21,1447
2016-01-22,1447
2016-01-23,1384
2016-01-24,1384
2016-01-25,1384
2016-01-26,1324
2016-01-27,1324
2016-01-28,1324
2016-01-29,1266
2016-01-30,1266
2016-01-31,1266
2016-02-01,1207
2016-02-02,1207
2016-02-03,1207
2016-02-04,1207
2016-02-05,1151
2016-02-06,1151
2016-02-07,1151
2016-02-08,1095
2016-02-09,1095
2016-02-10,1095
2016-02-11,1043
2016-02-12,1043
2016-02-13,993
2016-02-14,993
2016-02-15,993
2016-02-16,993
2016-02-17,945
2016-02-18,945
2016-02-19,945
2016-02-20,945
2016-02-21,918
2016-02-22,918
2016-02-23,918
2016-02-24,918
2016-02-25,918
2016-02-26,882
2016-02-27,882
2016-02-28,882
2016-02-29,882
2016-03-01,875
2016-03-02,875
2016-03-03,875
2016-03-04,875
2016-03-05,897
2016-03-06,897
2016-03-07,897
2016-03-08,897
2016-03-09,897
2016-03-10,907
2016-03-11,907
2016-03-12,907
2016-03-13,907
2016-03-14,907
2016-03-15,936
2016-03-16,936
2016-03-17,936
2016-03-18,936
2016-03-19,936
2016-03-20,950
2016-03-21,950
2016-03-22,950
2016-03-23,950
2016-03-24,950
2016-03-25,937
2016-03-26,937
2016-03-27,937
2016-03-28,937
2016-03-29,937
2016-03-30,937
2016-03-31,925
2016-04-01,925
2016-04-02,925
2016-04-03,925
2016-04-04,925
2016-04-05,925
2016-04-06,900
2016-04-07,900
2016-04-08,900
2016-04-09,900
2016-04-10,904
2016-04-11,904
2016-04-12,904
2016-04-13,904
2016-04-14,904
2016-04-15,904
2016-04-16,909
2016-04-17,909
2016-04-18,909
2016-04-19,909
2016-04-20,909
2016-04-21,916
2016-04-22,916
2016-04-23,916
2016-04-24,916
2016-04-25,916
2016-04-26,916
2016-04-27,932
2016-04-28,932
2016-04-29,932
2016-04-30,932
2016-05-01,932
2016-05-02,915
2016-05-03,915
2016-05-04,915
2016-05-05,909
2016-05-06,909
2016-05-07,909
2016-05-08,909
2016-05-09,909
2016-05-10,909
2016-05-11,908
2016-05-12,908
2016-05-13,908
2016-05-14,908
2016-05-15,920
2016-05-16,920
2016-05-17,920
2016-05-18,920
2016-05-19,920
2016-05-22,946
2016-05-23,946
2016-05-24,943
2016-05-25,943
2016-05-26,943
2016-05-27,943
2016-05-28,986
2016-05-29,986
2016-05-30,986
2016-05-31,986
2016-06-01,986
2016-06-02,1007
2016-06-03,1007
2016-06-04,1007
2016-06-05,1007
2016-06-06,1007
2016-06-07,1041
2016-06-08,1041
2016-06-09,1041
2016-06-10,1041
2016-06-11,1041
2016-06-12,1032
2016-06-13,1032
2016-06-14,1032
2016-06-15,1032
2016-06-16,1032
2016-06-17,1031
2016-06-18,1031
2016-06-19,1031
2016-06-20,1031
2016-06-21,1031
2016-06-22,1020
2016-06-23,1020
2016-06-24,1020
2016-06-25,1020
2016-06-26,1020
2016-06-27,1000
2016-06-28,1000
2016-06-29,1000
2016-06-30,1000
2016-07-01,998
2016-07-02,998
2016-07-03,998
2016-07-04,998
2016-07-05,998
2016-07-06,963
2016-07-07,963
2016-07-08,963
2016-07-09,932
2016-07-10,932
2016-07-11,932
2016-07-12,926
2016-07-13,926
2016-07-14,926
2016-07-15,926
2016-07-16,943
2016-07-17,943
2016-07-18,943
2016-07-23,931
2016-07-24,950
2016-07-25,950
2016-07-26,950
2016-07-27,950
2016-07-28,972
2016-07-29,972
2016-07-30,972
2016-07-31,972
2016-08-01,972
2016-08-02,972
2016-08-03,972
2016-08-04,972
2016-08-05,972
2016-08-06,972
2016-08-07,960
2016-08-08,960
2016-08-09,960
2016-08-10,960
2016-08-11,960
2016-08-12,993
2016-08-13,993
2016-08-14,993
2016-08-15,993
2016-08-16,993
2016-08-17,969
2016-08-18,969
2016-08-19,969
2016-08-20,969
2016-08-21,969
2016-08-22,964
2016-08-23,964
2016-08-24,964
2016-08-25,964
2016-08-26,964
2016-08-28,946
2016-08-31,946
2016-09-01,946
2016-09-02,939
2016-09-03,939
2016-09-04,939
2016-09-05,939
2016-09-06,930
2016-09-07,930
2016-09-08,930
2016-09-09,930
2016-09-10,930
2016-09-11,930
2016-09-12,930
2016-09-13,933
2016-09-14,933
2016-09-15,933
2016-09-16,933
2016-09-17,933
2016-09-18,933
2016-09-19,933
2016-09-20,949
2016-09-21,949
2016-09-22,949
2016-09-23,949
2016-09-24,949
2016-09-25,949
2016-09-26,949
2016-09-27,920
2016-09-28,920
2016-09-29,920
2016-09-30,920
2016-10-01,920
2016-10-02,920
2016-10-03,885
2016-10-04,885
2016-10-05,885
2016-10-06,885
2016-10-07,885
2016-10-08,878
2016-10-09,878
2016-10-10,878
2016-10-11,878
2016-10-12,878
2016-10-13,878
2016-10-14,889
2016-10-15,889
2016-10-16,889
2016-10-17,889
2016-10-18,889
2016-10-19,889
2016-10-20,889
2016-10-21,912
2016-10-22,912
2016-10-23,912
2016-10-24,912
2016-10-25,912
2016-10-26,926
2016-10-27,926
2016-10-28,926
