date_obj,Purple%20hat price
2015-03-04,1400
2015-03-05,1400
2015-03-06,1400
2015-03-07,1400
2015-03-08,1400
2015-03-09,1397
2015-03-10,1397
2015-03-11,1397
2015-03-12,1397
2015-03-13,1397
2015-03-14,1397
2015-03-15,1397
2015-03-16,1397
2015-03-17,1397
2015-03-18,1397
2015-03-19,1397
2015-03-20,1397
2015-03-21,1397
2015-03-22,1364
2015-03-23,1364
2015-03-24,1364
2015-03-25,1364
2015-03-26,1364
2015-03-27,1364
2015-03-28,1364
2015-03-29,1364
2015-03-30,1364
2015-03-31,1364
2015-04-01,1364
2015-04-02,1364
2015-04-03,1348
2015-04-04,1348
2015-04-05,1348
2015-04-06,1348
2015-04-07,1348
2015-04-08,1348
2015-04-09,1348
2015-04-10,1348
2015-04-11,1348
2015-04-12,1348
2015-04-13,1348
2015-04-14,1348
2015-04-15,1347
2015-04-16,1347
2015-04-17,1347
2015-04-18,1347
2015-04-19,1347
2015-04-20,1347
2015-04-21,1347
2015-04-22,1347
2015-04-23,1347
2015-04-24,1347
2015-04-25,1347
2015-04-26,1347
2015-04-27,1347
2015-04-28,1304
2015-04-29,1304
2015-04-30,1304
2015-05-01,1304
2015-05-02,1304
2015-05-03,1304
2015-05-04,1304
2015-05-05,1304
2015-05-06,1304
2015-05-07,1304
2015-05-08,1304
2015-05-09,1304
2015-05-10,1304
2015-05-11,1304
2015-05-12,1264
2015-05-13,1264
2015-05-14,1264
2015-05-15,1264
2015-05-16,1264
2015-05-17,1264
2015-05-18,1264
2015-05-19,1264
2015-05-20,1264
2015-05-21,1264
2015-05-22,1264
2015-05-23,1264
2015-05-24,1264
2015-05-25,1264
2015-05-26,1264
2015-05-27,1264
2015-05-28,1242
2015-05-29,1242
2015-05-30,1242
2015-05-31,1242
2015-06-01,1242
2015-06-02,1242
2015-06-03,1242
2015-06-04,1242
2015-06-05,1242
2015-06-06,1242
2015-06-07,1268
2015-06-08,1268
2015-06-09,1268
2015-06-10,1268
2015-06-11,1268
2015-06-12,1268
2015-06-13,1268
2015-06-14,1268
2015-06-15,1268
2015-06-16,1268
2015-06-17,1268
2015-06-18,1268
2015-06-19,1305
2015-06-20,1305
2015-06-21,1305
