date_obj,Raw%20anglerfish price
2016-01-08,1003
2016-01-09,1003
2016-01-10,1048
2016-01-11,1048
2016-01-12,1100
2016-01-13,1100
2016-01-14,1100
2016-01-15,1154
2016-01-16,1154
2016-01-17,1154
2016-01-18,1210
2016-01-19,1210
2016-01-20,1210
2016-01-21,1210
2016-01-22,1271
2016-01-23,1271
2016-01-24,1271
2016-01-25,1271
2016-01-26,1333
2016-01-27,1333
2016-01-28,1333
2016-01-29,1398
2016-01-30,1398
2016-01-31,1398
2016-02-01,1462
2016-02-02,1462
2016-02-03,1462
2016-02-04,1462
2016-02-05,1533
2016-02-06,1533
2016-02-07,1533
2016-02-08,1607
2016-02-09,1607
2016-02-10,1607
2016-02-11,1607
2016-02-12,1658
2016-02-13,1658
2016-02-14,1658
2016-02-15,1658
2016-02-16,1658
2016-02-17,1704
2016-02-18,1704
2016-02-19,1704
2016-02-20,1704
2016-02-21,1704
2016-02-22,1737
2016-02-23,1737
2016-02-24,1737
2016-02-25,1737
2016-02-26,1737
2016-02-27,1763
2016-02-28,1763
2016-02-29,1763
2016-03-01,1763
2016-03-02,1763
2016-03-03,1724
2016-03-04,1724
2016-03-05,1724
2016-03-06,1724
2016-03-07,1724
2016-03-08,1673
2016-03-09,1673
2016-03-10,1673
2016-03-11,1673
2016-03-12,1673
2016-03-13,1644
2016-03-14,1644
2016-03-15,1644
2016-03-16,1644
2016-03-17,1644
2016-03-18,1601
2016-03-19,1601
2016-03-20,1601
2016-03-21,1601
2016-03-22,1601
2016-03-23,1556
2016-03-24,1556
2016-03-25,1556
2016-03-26,1556
2016-03-27,1556
2016-03-28,1545
2016-03-29,1545
2016-03-30,1545
2016-03-31,1545
2016-04-01,1545
2016-04-02,1545
2016-04-03,1500
2016-04-04,1500
2016-04-05,1500
2016-04-06,1500
2016-04-07,1500
2016-04-08,1500
2016-04-09,1464
2016-04-10,1464
2016-04-11,1464
2016-04-12,1464
2016-04-13,1464
2016-04-14,1464
2016-04-15,1442
2016-04-16,1442
2016-04-17,1442
2016-04-18,1442
2016-04-19,1501
2016-04-20,1501
2016-04-21,1501
2016-04-22,1501
2016-04-23,1501
2016-04-24,1569
2016-04-25,1569
2016-04-26,1569
2016-04-27,1569
2016-04-28,1633
2016-04-29,1633
2016-04-30,1633
2016-05-01,1633
2016-05-02,1708
2016-05-03,1708
2016-05-04,1708
2016-05-05,1708
2016-05-06,1787
2016-05-07,1787
2016-05-08,1787
2016-05-09,1863
2016-05-10,1863
2016-05-11,1863
2016-05-12,1863
2016-05-13,1902
2016-05-14,1902
2016-05-15,1902
2016-05-16,1902
2016-05-17,1902
2016-05-18,1902
2016-05-19,1902
2016-05-22,1906
2016-05-23,1906
2016-05-24,1906
2016-05-25,1906
2016-05-26,1859
2016-05-27,1859
2016-05-28,1859
2016-05-29,1859
2016-05-30,1871
2016-05-31,1871
2016-06-01,1871
2016-06-02,1871
2016-06-03,1873
2016-06-04,1873
2016-06-05,1873
2016-06-06,1873
2016-06-07,1884
2016-06-08,1884
2016-06-09,1884
2016-06-10,1862
2016-06-11,1862
2016-06-12,1862
2016-06-13,1862
2016-06-14,1833
2016-06-15,1833
2016-06-16,1828
2016-06-17,1828
2016-06-18,1800
2016-06-19,1800
2016-06-20,1800
2016-06-21,1779
2016-06-22,1779
2016-06-23,1779
2016-06-24,1798
2016-06-25,1798
2016-06-26,1798
2016-06-27,1798
2016-06-28,1803
2016-06-29,1803
2016-06-30,1803
2016-07-01,1824
2016-07-02,1824
2016-07-03,1824
2016-07-04,1838
2016-07-05,1838
2016-07-06,1838
2016-07-07,1867
2016-07-08,1867
2016-07-09,1867
2016-07-10,1882
2016-07-11,1882
2016-07-12,1882
2016-07-13,1862
2016-07-14,1862
2016-07-15,1862
2016-07-16,1824
2016-07-17,1824
2016-07-18,1824
2016-07-23,1929
2016-07-24,1929
2016-07-25,1932
2016-07-26,1932
2016-07-27,1932
2016-07-28,1932
2016-07-29,1933
2016-07-30,1933
2016-07-31,1933
2016-08-01,1933
2016-08-02,1932
2016-08-03,1932
2016-08-04,1932
2016-08-05,1932
2016-08-06,1947
2016-08-07,1947
2016-08-08,1947
2016-08-09,1909
2016-08-10,1909
2016-08-11,1909
2016-08-12,1909
2016-08-13,1880
2016-08-14,1880
2016-08-15,1880
2016-08-16,1880
2016-08-17,1834
2016-08-18,1834
2016-08-19,1834
2016-08-20,1881
2016-08-21,1881
2016-08-22,1881
2016-08-23,1895
2016-08-24,1895
2016-08-25,1895
2016-08-26,1895
2016-08-28,1838
2016-08-31,1770
2016-09-01,1770
2016-09-02,1770
2016-09-03,1770
2016-09-04,1769
2016-09-05,1769
2016-09-06,1769
2016-09-07,1797
2016-09-08,1797
2016-09-09,1797
2016-09-10,1797
2016-09-11,1763
2016-09-12,1763
2016-09-13,1763
2016-09-14,1764
2016-09-15,1764
2016-09-16,1764
2016-09-17,1767
2016-09-18,1767
2016-09-19,1767
2016-09-20,1783
2016-09-21,1783
2016-09-22,1783
2016-09-23,1790
2016-09-24,1790
2016-09-25,1790
2016-09-26,1790
2016-09-27,1812
2016-09-28,1812
2016-09-29,1812
2016-09-30,1800
2016-10-01,1800
2016-10-02,1800
2016-10-03,1800
2016-10-04,1750
2016-10-05,1750
2016-10-06,1750
2016-10-07,1708
2016-10-08,1708
2016-10-09,1708
2016-10-10,1718
2016-10-11,1718
2016-10-12,1718
2016-10-13,1748
2016-10-14,1748
2016-10-15,1748
2016-10-16,1721
2016-10-17,1721
2016-10-18,1721
2016-10-19,1701
2016-10-20,1701
2016-10-21,1725
2016-10-22,1725
2016-10-23,1725
2016-10-24,1776
2016-10-25,1776
2016-10-26,1776
2016-10-27,1788
2016-10-28,1788
2016-10-29,1788
2016-10-30,1791
2016-10-31,1791
2016-11-01,1791
2016-11-02,1780
2016-11-03,1780
2016-11-04,1780
2016-11-05,1788
2016-11-06,1788
2016-11-07,1778
2016-11-08,1778
2016-11-09,1828
2016-11-10,1828
2016-11-11,1828
2016-11-12,1780
2016-11-13,1780
2016-11-14,1780
2016-12-08,1700
2016-12-09,1700
2016-12-10,1700
2016-12-11,1660
2016-12-12,1660
2016-12-13,1660
2016-12-14,1645
2016-12-15,1645
2016-12-16,1645
2016-12-17,1645
2016-12-18,1645
2016-12-19,1645
2016-12-20,1634
2016-12-21,1634
2016-12-22,1634
2016-12-23,1620
2016-12-24,1620
2016-12-25,1620
2016-12-26,1609
2016-12-27,1609
2016-12-28,1589
2016-12-29,1589
2016-12-30,1560
2016-12-31,1560
2017-01-01,1502
2017-01-02,1444
2017-01-03,1444
2017-01-04,1468
2017-01-05,1468
2017-01-06,1471
2017-01-07,1471
2017-01-08,1430
2017-01-09,1430
2017-01-10,1416
2017-01-11,1416
2017-01-12,1456
2017-01-13,1456
2017-01-14,1472
2017-01-15,1472
2017-01-16,1449
2017-01-17,1449
2017-01-18,1432
2017-01-19,1432
2017-01-20,1432
2017-01-21,1423
2017-01-22,1423
2017-01-27,1408
2017-01-28,1408
2017-01-29,1393
2017-01-30,1393
2017-01-31,1373
2017-02-01,1361
2017-02-02,1361
2017-02-03,1374
2017-02-04,1374
2017-02-05,1350
2017-02-06,1350
2017-02-07,1370
2017-02-08,1370
2017-02-09,1385
2017-02-10,1384
2017-02-11,1384
2017-02-12,1418
2017-02-13,1418
2017-02-14,1430
2017-02-15,1430
2017-02-16,1452
2017-02-18,1452
2017-02-19,1447
2017-02-20,1447
2017-02-21,1444
2017-02-22,1444
2017-02-23,1444
2017-02-24,1433
2017-02-25,1433
2017-02-26,1452
2017-02-27,1452
2017-02-28,1493
2017-03-01,1493
2017-03-02,1532
2017-03-03,1532
2017-03-04,1604
2017-03-05,1604
2017-03-06,1649
2017-03-07,1649
2017-03-08,1633
2017-03-09,1633
2017-03-10,1601
2017-03-11,1601
2017-03-12,1576
2017-03-13,1576
2017-03-14,1576
2017-03-15,1576
2017-03-16,1582
2017-03-17,1582
2017-03-18,1587
2017-03-19,1587
2017-03-20,1602
2017-03-21,1602
2017-03-22,1619
2017-03-23,1619
2017-03-24,1596
2017-03-25,1596
2017-03-26,1554
2017-03-27,1554
2017-03-28,1538
2017-03-29,1538
2017-03-30,1556
2017-03-31,1556
2017-04-01,1622
2017-04-02,1622
2017-04-03,1622
2017-04-04,1622
2017-04-12,1550
2017-04-13,1583
2017-04-14,1583
2017-04-15,1605
2017-04-16,1605
2017-04-17,1608
2017-04-18,1608
2017-04-19,1583
2017-04-20,1583
2017-04-21,1600
2017-04-22,1600
2017-04-23,1646
2017-04-24,1646
2017-04-25,1625
2017-04-26,1625
2017-04-27,1589
2017-04-28,1589
2017-04-29,1588
2017-04-30,1588
2017-05-01,1583
2017-05-02,1583
2017-05-03,1582
2017-05-04,1539
2017-05-05,1534
2017-05-06,1545
2017-05-07,1542
2017-05-08,1511
2017-05-09,1515
2017-05-10,1552
2017-05-11,1552
2017-05-12,1558
2017-05-13,1566
2017-05-14,1566
