date_obj,Raw%20dark%20crab price
2015-03-26,1043
2015-03-27,1043
2015-03-28,1043
2015-03-29,1043
2015-03-30,1043
2015-03-31,1043
2015-04-01,1043
2015-04-02,1043
2015-04-03,1043
2015-04-04,1043
2015-04-05,1043
2015-04-06,1043
2015-04-07,1095
2015-04-08,1095
2015-04-09,1095
2015-04-10,1095
2015-04-11,1095
2015-04-12,1095
2015-04-13,1095
2015-04-14,1095
2015-04-15,1095
2015-04-16,1095
2015-04-17,1095
2015-04-18,1095
2015-04-19,1095
2015-04-20,1095
2015-04-21,1095
2015-04-22,1095
2015-04-23,1095
2015-04-24,1095
2015-04-25,1095
2015-04-26,1095
2015-04-27,1095
2015-04-28,1095
2015-04-29,1145
2015-04-30,1145
2015-05-01,1145
2015-05-02,1145
2015-05-03,1145
2015-05-04,1145
2015-05-05,1145
2015-05-06,1145
2015-05-07,1145
2015-05-08,1145
2015-05-09,1145
2015-05-10,1145
2015-05-11,1145
2015-05-12,1145
2015-05-13,1145
2015-05-14,1145
2015-05-15,1145
2015-05-16,1145
2015-05-17,1145
2015-05-18,1145
2015-05-19,1145
2015-05-20,1145
2015-05-21,1145
2015-05-22,1173
2015-05-23,1173
2015-05-24,1173
2015-05-25,1173
2015-05-26,1173
2015-05-27,1173
2015-05-28,1173
2015-05-29,1173
2015-05-30,1173
2015-05-31,1173
2015-06-01,1173
2015-06-02,1173
2015-06-03,1173
2015-06-04,1173
2015-06-05,1173
2015-06-06,1173
2015-06-07,1198
2015-06-08,1198
2015-06-09,1198
2015-06-10,1198
2015-06-11,1198
2015-06-12,1198
2015-06-13,1198
2015-06-14,1198
2015-06-15,1198
2015-06-16,1198
2015-06-17,1198
2015-06-18,1198
2015-06-19,1198
2015-06-20,1198
2015-06-21,1198
2015-06-22,1198
2015-06-23,1198
2015-06-24,1249
2015-06-25,1249
2015-06-26,1249
2015-06-27,1249
2015-06-28,1249
2015-06-29,1249
2015-06-30,1249
2015-07-01,1249
2015-07-02,1249
2015-07-03,1249
2015-07-04,1249
2015-07-05,1249
2015-07-06,1249
2015-07-07,1249
2015-07-08,1249
2015-07-09,1249
2015-07-10,1299
2015-07-11,1299
2015-07-12,1299
2015-07-13,1299
2015-07-14,1299
2015-07-15,1299
2015-07-16,1299
2015-07-17,1299
2015-07-18,1299
2015-07-19,1299
2015-07-20,1299
2015-07-21,1299
2015-07-22,1299
2015-07-23,1299
2015-07-24,1351
2015-07-25,1351
2015-07-26,1351
2015-07-27,1351
2015-07-28,1351
2015-07-29,1351
2015-07-30,1351
2015-07-31,1351
2015-08-01,1351
2015-08-02,1351
2015-08-03,1351
2015-08-04,1351
2015-08-05,1351
2015-08-06,1351
2015-08-07,1351
2015-08-08,1353
2015-08-09,1353
2015-08-10,1353
2015-08-11,1353
2015-08-12,1353
2015-08-13,1353
2015-08-14,1353
2015-08-15,1353
2015-08-16,1353
2015-08-17,1353
2015-08-18,1353
2015-08-19,1353
2015-08-20,1353
2015-08-21,1353
2015-08-22,1356
2015-08-23,1356
2015-08-24,1356
2015-08-25,1356
2015-08-26,1356
2015-08-27,1356
2015-08-28,1356
2015-08-29,1356
2015-08-30,1356
2015-08-31,1356
2015-09-01,1356
2015-09-02,1356
2015-09-03,1356
2015-09-04,1315
2015-09-05,1315
2015-09-06,1315
2015-09-07,1315
2015-09-08,1315
2015-09-09,1315
2015-09-10,1315
2015-09-11,1315
2015-09-12,1315
2015-09-13,1315
2015-09-14,1315
2015-09-15,1315
2015-09-16,1315
2015-09-17,1330
2015-09-18,1330
2015-09-19,1330
2015-09-20,1330
2015-09-21,1330
2015-09-22,1330
2015-09-23,1330
2015-09-24,1330
2015-09-25,1330
2015-09-27,1330
2015-09-28,1330
2015-09-29,1330
2015-09-30,1331
2015-10-05,1331
2015-10-06,1331
2015-10-07,1331
2015-10-08,1331
2015-10-09,1331
2015-10-10,1331
2015-10-11,1331
2015-10-12,1314
2015-10-13,1314
2015-10-14,1314
2015-10-15,1314
2015-10-16,1314
2015-10-17,1314
2015-10-18,1314
2015-10-19,1314
2015-10-20,1314
2015-10-22,1314
2015-10-23,1351
2015-10-24,1351
2015-10-25,1351
2015-10-26,1351
2015-10-27,1351
2015-10-29,1351
2015-10-30,1351
2015-10-31,1351
