date_obj,Raw%20rabbit price
2015-03-26,11414
2015-03-27,11414
2015-03-28,11414
2015-03-29,11414
2015-03-30,11414
2015-03-31,11414
2015-04-01,11414
2015-04-02,11414
2015-04-03,11414
2015-04-04,11414
2015-04-05,11414
2015-04-06,11414
2015-04-07,11414
2015-04-08,11414
2015-04-09,11414
2015-04-10,11414
2015-04-11,11414
2015-04-12,11414
2015-04-13,11414
2015-04-14,11414
2015-04-15,11414
2015-04-16,11414
2015-04-17,11414
2015-04-18,11414
2015-04-19,11414
2015-04-20,10847
2015-04-21,10847
2015-04-22,10847
2015-04-23,10847
2015-04-24,10847
2015-04-25,10847
2015-04-26,10847
2015-04-27,10847
2015-04-28,10847
2015-04-29,10847
2015-04-30,10847
2015-05-01,10847
2015-05-02,10847
2015-05-03,10847
2015-05-04,10847
2015-05-05,10847
2015-05-06,10847
2015-05-07,10847
2015-05-08,10847
2015-05-09,10847
2015-05-10,10847
2015-05-11,10847
2015-05-12,10847
2015-05-13,10847
2015-05-14,10847
2015-05-15,10847
2015-05-16,10847
2015-05-17,10847
2015-05-18,10847
2015-05-19,10847
2015-05-20,10847
2015-05-21,10847
2015-05-22,10847
2015-05-23,10847
2015-05-24,10309
2015-05-25,10309
2015-05-26,10309
2015-05-27,10309
2015-05-28,10309
2015-05-29,10309
2015-05-30,10309
2015-05-31,10309
2015-06-01,10309
2015-06-02,10309
2015-06-03,10309
2015-06-04,10309
2015-06-05,10309
2015-06-06,10309
2015-06-07,10309
2015-06-08,10309
2015-06-09,10309
2015-06-10,10309
2015-06-11,10309
2015-06-12,10309
2015-06-13,10309
2015-06-14,10309
2015-06-15,10309
2015-06-16,10309
2015-06-17,9796
2015-06-18,9796
2015-06-19,9796
2015-06-20,9796
2015-06-21,9796
2015-06-22,9796
2015-06-23,9796
2015-06-24,9796
2015-06-25,9796
2015-06-26,9796
2015-06-27,9796
2015-06-28,9796
2015-06-29,9796
2015-06-30,9796
2015-07-01,9796
2015-07-02,9796
2015-07-03,9796
2015-07-04,9796
2015-07-05,9796
2015-07-06,9796
2015-07-07,9796
2015-07-08,9796
2015-07-09,9796
2015-07-10,9796
2015-07-11,9796
2015-07-12,9796
2015-07-13,9796
2015-07-14,9796
2015-07-15,9333
2015-07-16,9333
2015-07-17,9333
2015-07-18,9333
2015-07-19,9333
2015-07-20,9333
2015-07-21,9333
2015-07-22,9333
2015-07-23,9333
2015-07-24,9333
2015-07-25,9333
2015-07-26,9333
2015-07-27,9333
2015-07-28,9333
2015-07-29,9333
2015-07-30,9333
2015-07-31,9333
2015-08-01,9333
2015-08-02,9333
2015-08-03,9333
2015-08-04,9333
2015-08-05,9333
2015-08-06,9333
2015-08-07,9333
2015-08-08,9333
2015-08-09,9333
2015-08-10,8882
2015-08-11,8882
2015-08-12,8882
2015-08-13,8882
2015-08-14,8882
2015-08-15,8882
2015-08-16,8882
2015-08-17,8882
2015-08-18,8882
2015-08-19,8882
2015-08-20,8882
2015-08-21,8882
2015-08-22,8882
2015-08-23,8882
2015-08-24,8882
2015-08-25,8882
2015-08-26,8882
2015-08-27,8882
2015-08-28,8882
2015-08-29,8882
2015-08-30,8882
2015-08-31,8882
2015-09-01,8882
2015-09-02,8882
2015-09-03,8440
2015-09-04,8440
2015-09-05,8440
2015-09-06,8440
2015-09-07,8440
2015-09-08,8440
2015-09-09,8440
2015-09-10,8440
2015-09-11,8440
2015-09-12,8440
2015-09-13,8440
2015-09-14,8440
2015-09-15,8440
2015-09-16,8440
2015-09-17,8440
2015-09-18,8440
2015-09-19,8440
2015-09-20,8440
2015-09-21,8440
2015-09-22,8020
2015-09-23,8020
2015-09-24,8020
2015-09-25,8020
2015-09-27,8020
2015-09-28,8020
2015-09-29,8020
2015-09-30,8020
2015-10-05,8020
2015-10-06,8020
2015-10-07,8020
2015-10-08,8020
2015-10-09,8020
2015-10-10,8020
2015-10-11,8020
2015-10-12,8020
2015-10-13,8020
2015-10-14,8020
2015-10-15,7622
2015-10-16,7622
2015-10-17,7622
2015-10-18,7622
2015-10-19,7622
2015-10-20,7622
