date_obj,Raw%20rat%20meat price
2015-03-26,124
2015-03-27,124
2015-03-28,122
2015-03-29,118
2015-03-30,116
2015-03-31,114
2015-04-01,114
2015-04-02,111
2015-04-03,106
2015-04-04,101
2015-04-05,101
2015-04-06,96
2015-04-07,92
2015-04-08,92
2015-04-09,89
2015-04-10,86
2015-04-11,81
2015-04-12,77
2015-04-13,75
2015-04-14,75
2015-04-15,75
2015-04-16,75
2015-04-17,72
2015-04-18,68
2015-04-19,65
2015-04-20,65
2015-04-21,63
2015-04-22,63
2015-04-23,61
2015-04-24,61
2015-04-25,57
2015-04-26,57
2015-04-27,54
2015-04-28,53
2015-04-29,53
2015-04-30,51
2015-05-01,50
2015-05-02,48
2015-05-03,48
2015-05-04,46
2015-05-05,46
2015-05-06,45
2015-05-07,46
2015-05-08,46
2015-05-09,46
2015-05-10,45
2015-05-11,45
2015-05-12,45
2015-05-13,45
2015-05-14,45
2015-05-15,45
2015-05-16,45
2015-05-17,46
2015-05-18,48
2015-05-19,48
2015-05-20,49
2015-05-21,49
2015-05-22,50
2015-05-23,50
2015-05-24,50
2015-05-25,48
2015-05-26,48
2015-05-27,46
2015-05-28,46
2015-05-29,49
2015-05-30,51
2015-05-31,53
2015-06-01,55
2015-06-02,55
2015-06-03,53
2015-06-04,51
2015-06-05,51
2015-06-06,53
2015-06-07,52
2015-06-08,51
2015-06-09,50
2015-06-10,49
2015-06-11,49
2015-06-12,46
2015-06-13,44
2015-06-14,44
2015-06-15,44
2015-06-16,45
2015-06-17,45
2015-06-18,45
2015-06-19,44
2015-06-20,44
2015-06-21,43
2015-06-22,42
2015-06-23,41
2015-06-24,39
2015-06-25,39
2015-06-26,37
2015-06-27,37
2015-06-28,35
2015-06-29,35
2015-06-30,34
2015-07-01,34
2015-07-02,34
2015-07-03,33
2015-07-04,34
2015-07-05,34
2015-07-06,34
2015-07-07,35
2015-07-08,34
2015-07-09,34
2015-07-10,34
2015-07-11,34
2015-07-12,34
2015-07-13,34
2015-07-14,33
2015-07-15,33
2015-07-16,32
2015-07-17,31
2015-07-18,31
2015-07-19,30
2015-07-20,30
2015-07-21,30
2015-07-22,30
2015-07-23,30
2015-07-24,29
2015-07-25,27
2015-07-26,25
2015-07-27,24
2015-07-28,23
2015-07-29,23
2015-07-30,23
2015-07-31,23
2015-08-01,22
2015-08-02,22
2015-08-03,23
2015-08-04,23
2015-08-05,23
2015-08-06,22
2015-08-07,22
2015-08-08,22
2015-08-09,21
2015-08-10,20
2015-08-11,20
2015-08-12,20
2015-08-13,20
2015-08-14,20
2015-08-15,20
2015-08-16,19
2015-08-17,19
2015-08-18,19
2015-08-19,18
2015-08-20,18
2015-08-21,18
2015-08-22,19
2015-08-23,19
2015-08-24,18
2015-08-25,18
2015-08-26,19
2015-08-27,20
2015-08-28,20
2015-08-29,20
2015-08-30,20
2015-08-31,21
2015-09-01,21
2015-09-02,21
2015-09-03,21
2015-09-04,21
2015-09-05,21
2015-09-06,22
2015-09-07,21
2015-09-08,21
2015-09-09,21
2015-09-10,23
2015-09-11,24
2015-09-12,24
2015-09-13,24
2015-09-14,24
2015-09-15,23
2015-09-16,23
2015-09-17,24
2015-09-18,24
2015-09-19,24
2015-09-20,24
2015-09-21,23
2015-09-22,23
2015-09-23,23
2015-09-24,23
2015-09-25,22
