date_obj,Raw%20shark price
2015-03-26,880
2015-03-27,873
2015-03-28,867
2015-03-29,862
2015-03-30,866
2015-03-31,876
2015-04-01,882
2015-04-02,886
2015-04-03,893
2015-04-04,914
2015-04-05,928
2015-04-06,920
2015-04-07,915
2015-04-08,892
2015-04-09,869
2015-04-10,857
2015-04-11,839
2015-04-12,808
2015-04-13,769
2015-04-14,749
2015-04-15,755
2015-04-16,779
2015-04-17,795
2015-04-18,784
2015-04-19,788
2015-04-20,771
2015-04-21,756
2015-04-22,764
2015-04-23,772
2015-04-24,785
2015-04-25,790
2015-04-26,793
2015-04-27,794
2015-04-28,806
2015-04-29,800
2015-04-30,807
2015-05-01,790
2015-05-02,781
2015-05-03,775
2015-05-04,781
2015-05-05,785
2015-05-06,809
2015-05-07,840
2015-05-08,852
2015-05-09,865
2015-05-10,865
2015-05-11,850
2015-05-12,845
2015-05-13,865
2015-05-14,884
2015-05-15,882
2015-05-16,879
2015-05-17,880
2015-05-18,877
2015-05-19,865
2015-05-20,856
2015-05-21,861
2015-05-22,847
2015-05-23,838
2015-05-24,844
2015-05-25,855
2015-05-26,861
2015-05-27,874
2015-05-28,891
2015-05-29,923
2015-05-30,895
2015-05-31,883
2015-06-01,853
2015-06-02,839
2015-06-03,836
2015-06-04,827
2015-06-05,845
2015-06-06,868
2015-06-07,860
2015-06-08,858
2015-06-09,855
2015-06-10,847
2015-06-11,842
2015-06-12,851
2015-06-13,847
2015-06-14,846
2015-06-15,850
2015-06-16,854
2015-06-17,842
2015-06-18,847
2015-06-19,842
2015-06-20,840
2015-06-21,841
2015-06-22,823
2015-06-23,809
2015-06-24,792
2015-06-25,800
2015-06-26,786
2015-06-27,774
2015-06-28,754
2015-06-29,745
2015-06-30,748
2015-07-01,732
2015-07-02,731
2015-07-03,721
2015-07-04,698
2015-07-05,675
2015-07-06,683
2015-07-07,679
2015-07-08,694
2015-07-09,726
2015-07-10,711
2015-07-11,699
2015-07-12,681
2015-07-13,662
2015-07-14,642
2015-07-15,640
2015-07-16,658
2015-07-17,640
2015-07-18,645
2015-07-19,634
2015-07-20,631
2015-07-21,653
2015-07-22,631
2015-07-23,632
2015-07-24,613
2015-07-25,609
2015-07-26,617
2015-07-27,625
2015-07-28,626
2015-07-29,640
2015-07-30,650
2015-07-31,657
2015-08-01,647
2015-08-02,647
2015-08-03,637
2015-08-04,637
2015-08-05,631
2015-08-06,633
2015-08-07,636
2015-08-08,622
2015-08-09,625
2015-08-10,627
2015-08-11,613
2015-08-12,604
2015-08-13,600
2015-08-14,588
2015-08-15,595
2015-08-16,593
2015-08-17,577
2015-08-18,579
2015-08-19,566
2015-08-20,569
2015-08-21,576
2015-08-22,567
2015-08-23,555
2015-08-24,545
2015-08-25,566
2015-08-26,565
2015-08-27,562
2015-08-28,558
2015-08-29,545
2015-08-30,539
2015-08-31,529
2015-09-01,521
2015-09-02,520
2015-09-03,518
2015-09-04,513
2015-09-05,503
2015-09-06,495
2015-09-07,478
2015-09-08,485
2015-09-09,508
2015-09-10,534
2015-09-11,559
2015-09-12,584
2015-09-13,601
2015-09-14,616
2015-09-15,613
2015-09-16,618
2015-09-17,616
2015-09-18,619
2015-09-19,628
2015-09-20,642
2015-09-21,645
2015-09-22,672
2015-09-23,685
2015-09-24,695
2015-09-25,698
2015-09-27,711
2015-09-28,733
2015-09-29,768
2015-09-30,807
2015-10-05,861
2015-10-06,857
2015-10-07,838
2015-10-08,844
2015-10-09,838
2015-10-10,824
2015-10-11,809
2015-10-12,782
2015-10-13,809
2015-10-14,820
2015-10-15,851
2015-10-16,877
2015-10-17,884
2015-10-18,881
2015-10-19,861
2015-10-20,858
2015-10-22,847
2015-10-23,839
2015-10-24,815
2015-10-25,788
2015-10-26,780
2015-10-27,798
2015-10-29,789
2015-10-30,780
2015-10-31,750
2015-11-01,737
2015-11-02,707
2015-11-03,692
2015-11-04,705
2015-11-05,701
2015-11-06,724
2015-11-07,707
2015-11-08,723
2015-11-09,724
2015-11-10,738
2015-11-11,762
2015-11-12,789
2015-11-13,821
2015-11-14,850
2015-11-15,866
2015-11-16,898
2015-11-17,922
2015-11-18,934
2015-11-19,968
2015-11-20,1010
2015-11-21,1034
2015-11-22,1060
2015-11-23,1057
2015-11-24,1086
2015-11-25,1127
2015-11-26,1151
2015-11-27,1196
2015-11-28,1230
2015-11-29,1258
2015-11-30,1265
2015-12-01,1274
2015-12-02,1242
2015-12-03,1201
2015-12-04,1200
2015-12-05,1228
2015-12-06,1240
2015-12-07,1267
2015-12-08,1282
2015-12-09,1263
2015-12-10,1211
2015-12-11,1208
2015-12-12,1202
2015-12-13,1160
2015-12-14,1110
2015-12-15,1054
2015-12-16,1001
2015-12-17,950
2015-12-18,902
2015-12-19,868
2015-12-20,826
2015-12-21,784
2015-12-22,762
2015-12-23,741
2015-12-24,715
2015-12-25,707
2015-12-26,706
2015-12-27,710
2015-12-28,715
2015-12-29,734
2015-12-30,765
2015-12-31,760
2016-01-01,750
2016-01-02,744
2016-01-03,746
2016-01-04,755
2016-01-05,748
2016-01-06,730
2016-01-07,694
2016-01-08,670
2016-01-09,679
2016-01-10,678
2016-01-11,667
2016-01-12,672
2016-01-13,684
2016-01-14,692
2016-01-15,711
2016-01-16,692
2016-01-17,689
2016-01-18,666
2016-01-19,659
2016-01-20,671
2016-01-21,682
2016-01-22,689
2016-01-23,692
2016-01-24,690
2016-01-25,684
2016-01-26,684
2016-01-27,698
2016-01-28,718
2016-01-29,713
2016-01-30,706
2016-01-31,687
2016-02-01,685
2016-02-02,704
2016-02-03,714
2016-02-04,720
2016-02-05,721
2016-02-06,712
2016-02-07,711
2016-02-08,713
2016-02-09,710
2016-02-10,715
2016-02-11,723
2016-02-12,722
2016-02-13,721
2016-02-14,720
2016-02-15,715
2016-02-16,731
2016-02-17,741
2016-02-18,742
2016-02-19,752
2016-02-20,784
2016-02-21,791
2016-02-22,791
2016-02-23,809
2016-02-24,830
2016-02-25,840
2016-02-26,856
2016-02-27,837
2016-02-28,805
2016-02-29,800
2016-03-01,821
2016-03-03,846
2016-03-04,876
2016-03-05,887
2016-03-06,890
2016-03-07,906
2016-03-08,914
2016-03-09,935
2016-03-10,929
2016-03-11,913
2016-03-12,905
2016-03-13,901
2016-03-14,886
2016-03-15,864
2016-03-16,879
2016-03-17,887
2016-03-18,872
2016-03-19,880
2016-03-20,889
2016-03-21,899
2016-03-22,915
2016-03-23,942
2016-03-24,976
2016-03-25,991
2016-03-26,972
2016-03-27,959
2016-03-28,961
2016-03-29,969
2016-03-30,963
2016-03-31,949
2016-04-01,943
2016-04-02,932
2016-04-03,951
2016-04-04,966
2016-04-05,980
2016-04-06,989
2016-04-07,1015
2016-04-08,1016
2016-04-09,999
2016-04-10,1014
2016-04-11,1065
2016-04-12,1080
2016-04-13,1092
2016-04-14,1107
2016-04-15,1096
2016-04-16,1058
2016-04-17,1044
2016-04-18,1015
2016-04-19,1024
2016-04-20,1022
2016-04-21,1002
2016-04-22,973
2016-04-23,969
2016-04-24,949
2016-04-25,940
2016-04-26,983
2016-04-27,1006
2016-04-28,1004
2016-04-29,1002
2016-04-30,958
2016-05-01,929
2016-05-02,909
2016-05-03,943
2016-05-04,983
2016-05-05,986
2016-05-06,952
2016-05-07,922
2016-05-08,933
2016-05-09,913
2016-05-10,939
2016-05-11,975
2016-05-12,982
2016-05-13,933
2016-05-14,888
2016-05-15,843
2016-05-16,822
2016-05-17,836
2016-05-18,869
2016-05-19,907
2016-05-22,870
2016-05-23,855
2016-05-24,874
2016-05-25,889
2016-05-26,904
2016-05-27,895
2016-05-28,896
2016-05-29,916
2016-05-30,924
2016-05-31,933
2016-06-01,972
2016-06-02,999
2016-06-03,1023
2016-06-04,1004
2016-06-05,1010
2016-06-06,1036
2016-06-07,1047
2016-06-08,1063
2016-06-09,1110
2016-06-10,1139
2016-06-11,1153
2016-06-12,1180
2016-06-13,1219
2016-06-14,1274
2016-06-15,1300
2016-06-16,1318
2016-06-17,1356
2016-06-18,1357
2016-06-19,1340
2016-06-20,1359
2016-06-21,1384
2016-06-22,1356
2016-06-23,1313
2016-06-24,1259
2016-06-25,1298
2016-06-26,1340
2016-06-27,1361
2016-06-28,1373
2016-06-29,1377
2016-06-30,1385
2016-07-01,1389
2016-07-02,1380
2016-07-03,1410
2016-07-04,1438
2016-07-05,1481
2016-07-06,1460
2016-07-07,1434
2016-07-08,1422
2016-07-09,1421
2016-07-10,1432
2016-07-11,1442
2016-07-12,1452
2016-07-13,1447
2016-07-14,1434
2016-07-15,1395
2016-07-16,1339
2016-07-17,1275
2016-07-18,1248
2016-07-23,1236
2016-07-24,1208
2016-07-25,1205
2016-07-26,1206
2016-07-27,1219
2016-07-28,1227
2016-07-29,1235
2016-07-30,1234
2016-07-31,1230
2016-08-01,1235
2016-08-02,1254
2016-08-03,1268
2016-08-04,1257
2016-08-05,1221
2016-08-06,1173
2016-08-07,1118
2016-08-08,1082
2016-08-09,1061
2016-08-10,1057
2016-08-11,1061
2016-08-12,1055
2016-08-13,1038
2016-08-14,1014
2016-08-15,999
2016-08-16,990
2016-08-17,1011
2016-08-18,1033
2016-08-19,1027
2016-08-20,1005
2016-08-21,992
2016-08-22,991
2016-08-23,1018
2016-08-24,1015
2016-08-25,981
2016-08-26,974
2016-08-28,988
2016-08-31,1031
2016-09-01,1050
2016-09-02,1065
2016-09-03,1078
2016-09-04,1109
2016-09-05,1134
2016-09-06,1177
2016-09-07,1193
2016-09-08,1156
2016-09-09,1102
2016-09-10,1084
2016-09-11,1085
2016-09-12,1068
2016-09-13,1056
2016-09-14,1054
2016-09-15,1062
2016-09-16,1063
2016-09-17,1085
2016-09-18,1088
2016-09-19,1086
2016-09-20,1106
2016-09-21,1120
2016-09-22,1125
2016-09-23,1087
2016-09-24,1103
2016-09-25,1090
2016-09-26,1083
2016-09-27,1079
2016-09-28,1090
2016-09-29,1088
2016-09-30,1068
2016-10-01,1078
2016-10-02,1092
2016-10-03,1081
2016-10-04,1091
2016-10-05,1108
2016-10-06,1105
2016-10-07,1123
2016-10-08,1134
2016-10-09,1150
2016-10-10,1166
2016-10-11,1179
2016-10-12,1191
2016-10-13,1211
2016-10-14,1208
2016-10-15,1214
2016-10-16,1228
2016-10-17,1252
2016-10-18,1275
2016-10-19,1308
2016-10-20,1314
2016-10-21,1326
2016-10-22,1323
2016-10-23,1322
2016-10-24,1332
2016-10-25,1323
2016-10-26,1317
2016-10-27,1328
2016-10-28,1317
2016-10-29,1298
2016-10-30,1275
2016-10-31,1251
2016-11-01,1264
2016-11-02,1298
2016-11-03,1334
2016-11-04,1312
2016-11-05,1312
2016-11-06,1310
2016-11-07,1303
2016-11-08,1301
2016-11-09,1295
2016-11-10,1266
2016-11-11,1223
2016-11-12,1215
2016-11-13,1227
2016-11-14,1253
2016-12-08,1105
2016-12-09,1077
2016-12-10,1075
2016-12-11,1082
2016-12-12,1076
2016-12-13,1082
2016-12-14,1104
2016-12-15,1129
2016-12-16,1128
2016-12-17,1130
2016-12-18,1130
2016-12-19,1119
2016-12-20,1111
2016-12-21,1105
2016-12-22,1094
2016-12-23,1080
2016-12-24,1082
2016-12-25,1074
2016-12-26,1047
2016-12-27,1026
2016-12-28,1041
2016-12-29,1015
2016-12-30,990
2016-12-31,950
2017-01-01,911
2017-01-02,929
2017-01-03,919
2017-01-04,909
2017-01-05,892
2017-01-06,882
2017-01-07,888
2017-01-08,910
2017-01-09,921
2017-01-10,928
2017-01-11,936
2017-01-12,941
2017-01-13,943
2017-01-14,939
2017-01-15,926
2017-01-16,914
2017-01-17,894
2017-01-18,898
2017-01-19,897
2017-01-20,892
2017-01-21,896
2017-01-22,902
2017-01-27,890
2017-01-28,888
2017-01-29,888
2017-01-30,889
2017-01-31,891
2017-02-01,891
2017-02-02,885
2017-02-03,875
2017-02-04,868
2017-02-05,865
2017-02-06,869
2017-02-07,871
2017-02-08,878
2017-02-09,874
2017-02-10,876
2017-02-11,876
2017-02-12,881
2017-02-13,876
2017-02-14,870
2017-02-15,868
2017-02-16,854
2017-02-18,837
2017-02-19,841
2017-02-20,841
2017-02-21,856
2017-02-22,865
2017-02-23,872
2017-02-24,870
2017-02-25,859
2017-02-26,843
2017-02-27,844
2017-02-28,853
2017-03-01,857
2017-03-02,853
2017-03-03,850
2017-03-04,856
2017-03-05,859
2017-03-06,860
2017-03-07,861
2017-03-08,863
2017-03-09,860
2017-03-10,849
2017-03-11,837
2017-03-12,828
2017-03-13,823
2017-03-14,823
2017-03-15,830
2017-03-16,824
2017-03-17,812
2017-03-18,796
2017-03-19,799
2017-03-20,812
2017-03-21,816
2017-03-22,826
2017-03-23,817
2017-03-24,815
2017-03-25,808
2017-03-26,808
2017-03-27,808
2017-03-28,806
2017-03-29,803
2017-03-30,801
2017-03-31,800
2017-04-01,796
2017-04-02,795
2017-04-03,792
2017-04-04,797
2017-04-12,794
2017-04-13,784
2017-04-14,780
2017-04-15,770
2017-04-16,762
2017-04-17,757
2017-04-18,760
2017-04-19,765
2017-04-20,766
2017-04-21,754
2017-04-22,744
2017-04-23,738
2017-04-24,734
2017-04-25,729
2017-04-26,728
2017-04-27,728
2017-04-28,754
2017-04-29,778
2017-04-30,779
2017-05-01,779
2017-05-02,775
2017-05-03,776
2017-05-04,764
2017-05-05,759
2017-05-06,770
2017-05-07,781
2017-05-08,795
2017-05-09,818
2017-05-10,814
2017-05-11,826
2017-05-12,829
2017-05-13,836
2017-05-14,840
2017-05-15,840
2017-05-16,829
2017-05-17,824
2017-05-18,830
2017-05-19,826
2017-05-20,819
2017-05-21,814
2017-05-22,817
2017-05-23,815
2017-05-24,839
2017-05-25,881
2017-05-26,926
2017-05-27,954
2017-05-28,938
2017-05-29,906
2017-05-30,891
2017-05-31,908
2017-06-01,913
2017-06-02,901
2017-06-03,911
2017-06-06,1003
2017-06-07,1019
2017-06-08,1017
2017-06-09,1016
2017-06-10,1001
2017-06-11,965
2017-06-12,955
2017-06-13,954
2017-06-14,982
2017-06-15,990
2017-06-16,995
2017-06-17,998
2017-06-18,1023
2017-06-19,1053
2017-06-20,1074
2017-06-21,1089
2017-06-22,1092
2017-06-23,1108
2017-06-24,1103
2017-06-25,1133
2017-06-26,1153
2017-06-27,1155
2017-06-28,1132
2017-06-29,1094
2017-06-30,1099
2017-07-01,1111
2017-07-02,1113
2017-07-03,1095
2017-07-04,1078
2017-07-05,1024
2017-07-06,972
2017-07-07,923
2017-07-08,886
2017-07-13,924
2017-07-14,921
2017-07-15,913
2017-07-16,898
2017-07-17,897
2017-07-18,900
2017-07-19,908
2017-07-20,903
2017-07-21,906
2017-07-22,899
2017-07-23,891
2017-07-24,889
2017-07-25,886
2017-07-26,886
2017-07-27,883
2017-07-28,885
2017-07-29,891
2017-07-30,892
2017-07-31,895
2017-08-01,903
2017-08-02,907
2017-08-03,921
2017-08-04,932
2017-08-05,933
2017-08-06,919
2017-08-09,907
2017-08-10,902
2017-08-11,897
2017-08-12,899
2017-08-13,902
2017-08-14,907
2017-08-15,901
2017-08-16,900
2017-08-17,902
2017-08-18,903
2017-08-19,902
2017-08-20,887
2017-08-22,883
2017-08-23,882
2017-08-24,886
2017-08-25,892
2017-08-26,898
2017-08-27,894
2017-08-28,892
2017-08-29,890
2017-08-30,891
2017-08-31,887
2017-09-01,890
2017-09-02,880
2017-09-03,880
2017-09-04,849
2017-09-05,854
2017-09-06,865
2017-09-07,865
2017-09-08,863
2017-09-09,868
2017-09-10,881
2017-09-11,888
2017-09-12,897
2017-09-13,908
2017-09-14,897
2017-09-15,887
2017-09-16,873
2017-09-17,867
2017-09-19,884
2017-09-20,886
2017-09-21,885
2017-09-22,876
2017-09-23,874
2017-09-24,861
2017-09-25,854
2017-09-26,844
2017-09-27,841
2017-09-28,827
2017-09-29,803
2017-09-30,775
2017-10-01,752
2017-10-02,748
2017-10-03,770
2017-10-04,778
2017-10-05,776
2017-10-06,774
2017-10-07,772
2017-10-08,763
2017-10-09,760
2017-10-10,752
2017-10-11,747
2017-10-12,738
2017-10-13,727
2017-10-14,725
2017-10-15,727
2017-10-16,720
2017-10-17,722
2017-10-18,717
2017-10-19,726
2017-10-20,729
2017-10-21,738
2017-10-22,750
2017-10-23,742
2017-10-24,737
2017-10-25,712
2017-10-26,678
2017-10-27,665
2017-10-28,650
2017-10-29,630
2017-10-30,636
2017-10-31,660
2017-11-01,676
2017-11-02,665
2017-11-03,657
2017-11-04,649
2017-11-05,649
2017-11-06,644
2017-11-07,657
2017-11-08,656
2017-11-09,652
2017-11-10,657
2017-11-11,670
2017-11-12,669
2017-11-13,673
2017-11-14,680
2017-11-15,671
2017-11-16,661
2017-11-17,654
2017-11-18,659
2017-11-19,646
2017-11-20,643
2017-11-21,640
2017-11-22,647
2017-11-23,636
2017-11-24,627
2017-11-25,615
2017-11-26,599
2017-11-27,597
2017-11-28,597
2017-11-29,608
2017-11-30,601
2017-12-01,599
2017-12-02,604
2017-12-03,608
2017-12-04,606
2017-12-05,613
2017-12-06,613
2017-12-07,610
2017-12-08,603
2017-12-09,594
2017-12-10,589
2017-12-11,587
2017-12-12,592
2017-12-14,587
2017-12-15,586
2017-12-16,590
2017-12-17,597
2017-12-18,593
2017-12-19,597
2017-12-20,587
2017-12-21,566
2017-12-22,556
2017-12-23,550
2017-12-24,538
2017-12-25,531
2017-12-26,524
2017-12-27,513
2017-12-28,521
2017-12-29,532
2017-12-30,540
2017-12-31,542
2018-01-01,535
2018-01-02,538
2018-01-03,536
2018-01-04,523
2018-01-05,522
2018-01-06,525
2018-01-07,524
2018-01-08,512
2018-01-09,522
2018-01-10,529
2018-01-11,531
2018-01-12,535
2018-01-13,537
2018-01-14,556
2018-01-15,539
2018-01-16,543
2018-01-17,541
2018-01-18,546
2018-01-19,563
2018-01-20,577
2018-01-21,579
2018-01-22,576
2018-01-23,580
2018-01-24,581
2018-01-25,580
2018-01-26,582
2018-01-27,587
2018-01-28,591
2018-01-29,592
2018-01-31,596
2018-02-01,593
2018-02-02,608
2018-02-03,616
2018-02-04,614
2018-02-05,625
2018-02-06,648
2018-02-07,638
2018-02-08,620
2018-02-09,617
2018-02-10,617
2018-02-11,615
2018-02-12,608
2018-02-13,606
2018-02-14,602
2018-02-15,594
2018-02-16,584
2018-02-17,579
2018-02-18,578
2018-02-19,576
2018-02-20,583
2018-02-21,581
2018-02-22,589
2018-02-23,604
2018-02-24,608
2018-02-25,599
2018-02-26,589
2018-02-27,589
2018-02-28,579
2018-03-01,576
2018-03-02,574
2018-03-03,577
2018-03-04,572
2018-03-05,570
2018-03-06,579
2018-03-07,576
2018-03-08,573
2018-03-09,571
2018-03-10,580
2018-03-11,583
2018-03-12,580
2018-03-13,588
2018-03-14,595
2018-03-15,600
2018-03-16,599
2018-03-17,607
2018-03-18,597
2018-03-19,599
2018-03-20,599
2018-03-21,598
2018-03-23,606
2018-03-24,604
2018-03-26,595
2018-03-27,595
2018-03-28,592
2018-03-29,585
2018-03-30,586
2018-03-31,577
2018-04-01,571
2018-04-02,566
2018-04-03,569
2018-04-04,579
2018-04-05,584
2018-04-06,583
2018-04-08,560
2018-04-09,548
2018-04-10,546
2018-04-11,544
2018-04-12,544
2018-04-13,540
2018-04-14,535
2018-04-15,527
2018-04-16,528
2018-04-17,528
2018-04-18,526
2018-04-19,525
2018-04-20,508
2018-04-21,510
2018-04-22,501
2018-04-23,503
2018-04-24,502
2018-04-25,508
2018-04-26,504
2018-04-27,508
2018-04-28,487
2018-04-29,471
2018-04-30,468
2018-05-01,469
2018-05-02,465
2018-05-03,464
2018-05-04,470
2018-05-05,472
2018-05-06,471
2018-05-07,468
2018-05-08,473
2018-05-09,486
2018-05-10,487
2018-05-11,484
2018-05-12,481
2018-05-13,488
2018-05-14,495
2018-05-15,511
2018-05-16,516
2018-05-17,522
2018-05-18,527
2018-05-19,522
2018-05-20,518
2018-05-21,515
2018-05-22,520
2018-05-23,529
2018-05-24,551
2018-05-25,574
2018-05-26,602
2018-05-27,613
2018-05-28,627
2018-05-29,639
2018-05-30,638
2018-05-31,648
2018-06-01,681
2018-06-02,715
2018-06-03,751
2018-06-04,789
2018-06-05,793
2018-06-06,790
2018-06-07,786
2018-06-08,782
2018-06-09,789
2018-06-10,783
2018-06-11,755
2018-06-12,740
2018-06-13,753
2018-06-14,780
2018-06-15,815
2018-06-16,852
2018-06-17,862
2018-06-18,875
2018-06-19,895
2018-06-20,881
2018-06-21,880
2018-06-22,889
2018-06-23,894
2018-06-24,900
2018-06-25,913
2018-06-26,926
2018-06-27,939
2018-06-28,932
2018-06-29,956
2018-06-30,945
2018-07-01,913
2018-07-02,916
2018-07-03,915
2018-07-04,926
2018-07-05,941
2018-07-06,963
2018-07-07,964
2018-07-08,959
2018-07-09,965
2018-07-10,995
2018-07-11,999
2018-07-12,1006
2018-07-13,1004
2018-07-14,986
2018-07-15,989
2018-07-16,993
2018-07-17,1031
2018-07-18,1075
2018-07-19,1091
2018-07-20,1093
2018-07-21,1075
2018-07-22,1043
2018-07-23,1045
2018-07-24,1051
2018-07-25,1072
2018-07-26,1063
2018-07-27,1042
2018-07-28,1002
2018-07-29,997
2018-07-30,993
2018-07-31,990
2018-08-01,984
2018-08-02,974
2018-08-03,952
2018-08-04,939
2018-08-05,937
2018-08-06,935
2018-08-07,957
2018-08-08,974
2018-08-09,978
2018-08-10,964
2018-08-11,953
2018-08-12,936
2018-08-14,929
2018-08-16,912
2018-08-17,897
2018-08-18,897
2018-08-19,897
2018-08-20,898
2018-08-21,902
2018-08-22,918
2018-08-23,940
2018-08-24,953
2018-08-25,934
2018-08-26,920
2018-08-27,912
2018-08-28,910
2018-08-29,916
2018-08-30,928
2018-08-31,936
2018-09-01,922
2018-09-02,903
2018-09-03,897
2018-09-04,913
2018-09-05,924
2018-09-06,934
2018-09-07,929
2018-09-08,921
2018-09-09,896
2018-09-10,891
2018-09-11,884
2018-09-12,877
2018-09-13,878
2018-09-14,884
2018-09-15,881
2018-09-16,879
2018-09-17,885
2018-09-18,889
2018-09-19,884
2018-09-20,882
2018-09-21,875
2018-09-22,857
2018-09-23,854
2018-09-24,851
2018-09-25,848
2018-09-26,846
2018-09-27,851
2018-09-28,850
2018-09-29,846
2018-09-30,847
2018-10-02,867
2018-10-03,868
2018-10-04,866
2018-10-05,864
2018-10-06,858
2018-10-07,837
2018-10-08,830
2018-10-09,827
2018-10-10,824
2018-10-11,828
2018-10-12,826
2018-10-13,820
2018-10-14,808
2018-10-15,804
2018-10-16,810
2018-10-17,813
2018-10-18,830
2018-10-19,823
2018-10-20,822
2018-10-21,805
2018-10-22,791
2018-10-23,779
2018-10-24,763
2018-10-25,756
2018-10-26,753
2018-10-27,741
2018-10-28,733
2018-10-29,734
2018-10-30,740
2018-10-31,760
2018-11-01,792
2018-11-03,811
2018-11-04,796
2018-11-05,800
2018-11-06,801
2018-11-07,805
2018-11-08,826
2018-11-09,819
2018-11-10,812
2018-11-11,803
2018-11-12,809
2018-11-13,849
2018-11-14,874
2018-11-15,882
2018-11-16,861
2018-11-17,838
2018-11-18,816
2018-11-19,812
2018-11-20,806
2018-11-21,803
2018-11-22,815
2018-11-23,834
2018-11-24,832
2018-11-25,831
2018-11-26,838
2018-11-27,845
2018-11-28,849
2018-11-29,867
2018-12-01,845
2018-12-02,838
2018-12-03,847
2018-12-04,855
2018-12-05,860
2018-12-07,857
2018-12-09,830
2018-12-11,826
2018-12-12,823
2018-12-13,813
2018-12-14,792
2018-12-15,766
2018-12-16,730
2018-12-17,729
2018-12-18,717
2018-12-19,716
2018-12-20,716
2018-12-21,698
2018-12-22,668
2018-12-23,649
2018-12-24,657
2018-12-25,684
2018-12-26,716
2018-12-27,730
2018-12-28,739
2018-12-29,713
2018-12-30,691
2018-12-31,677
2019-01-01,682
2019-01-02,690
2019-01-03,706
2019-01-04,717
2019-01-05,722
2019-01-06,707
2019-01-08,716
2019-01-10,695
2019-01-11,672
2019-01-12,669
2019-01-13,683
2019-01-14,703
2019-01-15,717
2019-01-16,723
2019-01-17,732
2019-01-18,737
2019-01-19,722
2019-01-20,706
2019-01-21,719
2019-01-22,732
2019-01-23,741
2019-01-25,758
2019-01-26,739
2019-01-27,724
2019-01-28,723
2019-01-29,735
2019-01-30,743
2019-01-31,750
2019-02-01,744
2019-02-02,719
2019-02-03,699
2019-02-04,709
2019-02-05,708
2019-02-06,698
2019-02-07,691
2019-02-08,676
2019-02-09,656
2019-02-10,642
2019-02-11,636
2019-02-12,637
2019-02-13,639
2019-02-14,640
2019-02-15,626
2019-02-16,605
2019-02-17,585
2019-02-18,593
2019-02-19,606
2019-02-20,626
2019-02-21,637
2019-02-22,628
2019-02-23,609
2019-02-24,595
2019-02-25,606
2019-02-26,608
2019-02-27,612
2019-02-28,609
2019-03-01,608
2019-03-02,591
2019-03-03,571
2019-03-04,569
2019-03-05,580
2019-03-06,596
2019-03-07,615
2019-03-08,625
2019-03-09,628
2019-03-10,623
2019-03-11,618
2019-03-12,612
2019-03-13,610
2019-03-14,613
2019-03-15,612
2019-03-16,599
2019-03-17,593
2019-03-18,608
2019-03-19,617
2019-03-20,618
2019-03-21,620
2019-03-22,613
2019-03-23,596
2019-03-24,585
2019-03-25,590
2019-03-26,606
2019-03-27,605
2019-03-28,606
2019-03-29,607
2019-03-30,609
2019-03-31,604
2019-04-01,620
2019-04-02,627
2019-04-03,623
2019-04-04,621
2019-04-05,615
2019-04-06,613
2019-04-07,609
2019-04-08,620
2019-04-09,629
2019-04-10,643
2019-04-11,652
2019-04-12,650
2019-04-13,640
2019-04-14,624
2019-04-15,615
2019-04-16,625
2019-04-17,631
2019-04-18,634
2019-04-19,627
2019-04-20,623
2019-04-21,615
2019-04-22,625
2019-04-23,631
2019-04-24,629
2019-04-25,636
2019-04-26,634
2019-04-27,615
2019-04-28,615
2019-04-29,624
2019-04-30,617
2019-05-01,615
2019-05-02,621
2019-05-03,620
