date_obj,Raw%20swordfish price
2015-03-26,435
2015-03-27,435
2015-03-28,442
2015-03-29,451
2015-03-30,435
2015-03-31,425
2015-04-01,415
2015-04-02,426
2015-04-03,429
2015-04-04,428
2015-04-05,424
2015-04-06,426
2015-04-07,435
2015-04-08,439
2015-04-09,436
2015-04-10,429
2015-04-11,422
2015-04-12,431
2015-04-13,441
2015-04-14,436
2015-04-15,435
2015-04-16,421
2015-04-17,420
2015-04-18,413
2015-04-19,416
2015-04-20,426
2015-04-21,428
2015-04-22,439
2015-04-23,438
2015-04-24,429
2015-04-25,423
2015-04-26,415
2015-04-27,408
2015-04-28,408
2015-04-29,408
2015-04-30,409
2015-05-01,401
2015-05-02,402
2015-05-03,404
2015-05-04,399
2015-05-05,405
2015-05-06,403
2015-05-07,405
2015-05-08,411
2015-05-09,418
2015-05-10,425
2015-05-11,430
2015-05-12,430
2015-05-13,421
2015-05-14,410
2015-05-15,398
2015-05-16,390
2015-05-17,386
2015-05-18,386
2015-05-19,381
2015-05-20,381
2015-05-21,379
2015-05-22,375
2015-05-23,371
2015-05-24,378
2015-05-25,377
2015-05-26,379
2015-05-27,374
2015-05-28,370
2015-05-29,365
2015-05-30,358
2015-05-31,353
2015-06-01,361
2015-06-02,367
2015-06-03,364
2015-06-04,362
2015-06-05,372
2015-06-06,377
2015-06-07,374
2015-06-08,377
2015-06-09,375
2015-06-10,369
2015-06-11,362
2015-06-12,359
2015-06-13,356
2015-06-14,357
2015-06-15,357
2015-06-16,356
2015-06-17,365
2015-06-18,374
2015-06-19,381
2015-06-20,388
2015-06-21,381
2015-06-22,378
2015-06-23,376
2015-06-24,371
2015-06-25,370
2015-06-26,376
2015-06-27,375
2015-06-28,366
2015-06-29,363
2015-06-30,365
2015-07-01,369
2015-07-02,369
2015-07-03,362
2015-07-04,350
2015-07-05,349
2015-07-06,361
2015-07-07,362
2015-07-08,352
2015-07-09,349
2015-07-10,344
2015-07-11,338
2015-07-12,336
2015-07-13,335
2015-07-14,325
2015-07-15,317
2015-07-16,310
2015-07-17,301
2015-07-18,303
2015-07-19,303
2015-07-20,299
2015-07-21,298
2015-07-22,293
2015-07-23,293
2015-07-24,292
2015-07-25,295
2015-07-26,296
2015-07-27,292
2015-07-28,288
2015-07-29,292
2015-07-30,294
2015-07-31,298
2015-08-01,299
2015-08-02,300
2015-08-03,301
2015-08-04,303
2015-08-05,304
2015-08-06,307
2015-08-07,301
2015-08-08,297
2015-08-09,300
2015-08-10,299
2015-08-11,307
2015-08-12,314
2015-08-13,320
2015-08-14,331
2015-08-15,333
2015-08-16,332
2015-08-17,322
2015-08-18,326
2015-08-19,325
2015-08-20,335
2015-08-21,337
2015-08-22,334
2015-08-23,333
2015-08-24,337
2015-08-25,340
2015-08-26,349
2015-08-27,342
2015-08-28,332
2015-08-29,327
2015-08-30,326
2015-08-31,338
2015-09-01,339
2015-09-02,342
2015-09-03,341
2015-09-04,354
2015-09-05,359
2015-09-06,370
2015-09-07,365
2015-09-08,365
2015-09-09,362
2015-09-10,365
2015-09-11,369
2015-09-12,375
2015-09-13,374
2015-09-14,385
2015-09-15,392
2015-09-16,402
2015-09-17,387
2015-09-18,376
2015-09-19,386
2015-09-20,389
2015-09-21,381
2015-09-22,398
2015-09-23,403
2015-09-24,390
2015-09-25,389
2015-09-27,386
2015-09-28,376
2015-09-29,368
2015-09-30,358
2015-10-05,311
2015-10-06,296
2015-10-07,299
2015-10-08,288
2015-10-09,282
2015-10-10,283
2015-10-11,272
2015-10-12,276
2015-10-13,275
2015-10-14,271
2015-10-15,259
2015-10-16,247
2015-10-17,234
2015-10-18,222
2015-10-19,217
2015-10-20,217
2015-10-22,229
2015-10-23,232
2015-10-24,233
2015-10-25,231
2015-10-26,232
2015-10-27,241
2015-10-29,232
2015-10-30,233
2015-10-31,229
2015-11-01,232
2015-11-02,232
2015-11-03,235
2015-11-04,235
2015-11-05,236
2015-11-06,236
2015-11-07,233
2015-11-08,239
2015-11-09,243
2015-11-10,256
2015-11-11,266
2015-11-12,277
2015-11-13,285
2015-11-14,292
2015-11-15,297
2015-11-16,308
2015-11-17,316
2015-11-18,325
2015-11-19,340
2015-11-20,353
2015-11-21,353
2015-11-22,367
2015-11-23,367
2015-11-24,386
2015-11-25,405
2015-11-26,405
2015-11-27,424
2015-11-28,433
2015-11-29,451
2015-11-30,469
2015-12-01,492
2015-12-02,516
2015-12-03,542
2015-12-04,565
2015-12-05,577
2015-12-06,567
2015-12-07,539
2015-12-08,512
2015-12-09,488
2015-12-10,463
2015-12-11,439
2015-12-12,417
2015-12-13,396
2015-12-14,376
2015-12-15,357
2015-12-16,339
2015-12-17,322
2015-12-18,305
2015-12-19,289
2015-12-20,275
2015-12-21,265
2015-12-22,255
2015-12-23,246
2015-12-24,241
2015-12-25,249
2015-12-26,259
2015-12-27,271
2015-12-28,284
2015-12-29,296
2015-12-30,308
2015-12-31,304
2016-01-01,295
2016-01-02,294
2016-01-03,284
2016-01-04,292
2016-01-05,301
2016-01-06,290
2016-01-07,290
2016-01-08,287
2016-01-09,293
2016-01-10,288
2016-01-11,275
2016-01-12,266
2016-01-13,258
2016-01-14,254
2016-01-15,246
2016-01-16,248
2016-01-17,255
2016-01-18,267
2016-01-19,280
2016-01-20,283
2016-01-21,289
2016-01-22,285
2016-01-23,291
2016-01-24,297
2016-01-25,309
2016-01-26,320
2016-01-27,330
2016-01-28,340
2016-01-29,340
2016-01-30,350
2016-01-31,337
2016-02-01,323
2016-02-02,312
2016-02-03,302
2016-02-04,290
2016-02-05,282
2016-02-06,268
2016-02-07,276
2016-02-08,285
2016-02-09,287
2016-02-10,294
2016-02-11,303
2016-02-12,311
2016-02-13,316
2016-02-14,313
2016-02-15,310
2016-02-16,319
2016-02-17,328
2016-02-18,335
2016-02-19,330
2016-02-20,326
2016-02-21,334
2016-02-22,344
2016-02-23,328
2016-02-24,322
2016-02-25,323
2016-02-26,323
2016-02-27,315
2016-02-28,322
2016-02-29,314
2016-03-01,326
2016-03-03,342
2016-03-04,343
2016-03-05,345
2016-03-06,353
2016-03-07,370
2016-03-08,380
2016-03-09,392
2016-03-10,407
2016-03-11,422
2016-03-12,440
2016-03-13,460
2016-03-14,467
2016-03-15,489
2016-03-16,505
2016-03-17,511
2016-03-18,494
2016-03-19,471
2016-03-20,450
2016-03-21,440
2016-03-22,428
2016-03-23,406
2016-03-24,397
2016-03-25,398
2016-03-26,398
2016-03-27,403
2016-03-28,385
2016-03-29,371
2016-03-30,355
2016-03-31,339
2016-04-01,339
2016-04-02,336
2016-04-03,350
2016-04-04,357
2016-04-05,365
2016-04-06,379
2016-04-07,397
2016-04-08,410
2016-04-09,403
2016-04-10,396
2016-04-11,396
2016-04-12,401
2016-04-13,395
2016-04-14,384
2016-04-15,381
2016-04-16,379
2016-04-17,369
2016-04-18,366
2016-04-19,375
2016-04-20,373
2016-04-21,373
2016-04-22,374
2016-04-23,368
2016-04-24,363
2016-04-25,351
2016-04-26,344
2016-04-27,347
2016-04-28,353
2016-04-29,355
2016-04-30,361
2016-05-01,355
2016-05-02,338
2016-05-03,321
2016-05-04,305
2016-05-05,294
2016-05-06,285
2016-05-07,277
2016-05-08,275
2016-05-09,264
2016-05-10,253
2016-05-11,246
2016-05-12,238
2016-05-13,234
2016-05-14,242
2016-05-15,248
2016-05-16,255
2016-05-17,265
2016-05-18,264
2016-05-19,264
2016-05-22,254
2016-05-23,259
2016-05-24,270
2016-05-25,284
2016-05-26,297
2016-05-27,309
2016-05-28,318
2016-05-29,330
2016-05-30,325
2016-05-31,320
2016-06-01,317
2016-06-02,327
2016-06-03,328
2016-06-04,338
2016-06-05,348
2016-06-06,360
2016-06-07,368
2016-06-08,376
2016-06-09,371
2016-06-10,382
2016-06-11,379
2016-06-12,378
2016-06-13,393
2016-06-14,410
2016-06-15,431
2016-06-16,450
2016-06-17,454
2016-06-18,445
2016-06-19,437
2016-06-20,435
2016-06-21,450
2016-06-22,448
2016-06-23,442
2016-06-24,430
2016-06-25,414
2016-06-26,409
2016-06-27,421
2016-06-28,438
2016-06-29,443
2016-06-30,441
2016-07-01,431
2016-07-02,421
2016-07-03,424
2016-07-04,415
2016-07-05,426
2016-07-06,431
2016-07-07,431
2016-07-08,415
2016-07-09,400
2016-07-10,380
2016-07-11,362
2016-07-12,364
2016-07-13,355
2016-07-14,348
2016-07-15,345
2016-07-16,351
2016-07-17,353
2016-07-18,355
2016-07-23,395
2016-07-24,403
2016-07-25,416
2016-07-26,431
2016-07-27,423
2016-07-28,410
2016-07-29,392
2016-07-30,372
2016-07-31,353
2016-08-01,338
2016-08-02,341
2016-08-03,328
2016-08-04,332
2016-08-05,336
2016-08-06,328
2016-08-07,321
2016-08-08,321
2016-08-09,322
2016-08-10,332
2016-08-11,345
2016-08-12,352
2016-08-13,359
2016-08-14,360
2016-08-15,354
2016-08-16,352
2016-08-17,351
2016-08-18,348
2016-08-19,340
2016-08-20,327
2016-08-21,317
2016-08-22,320
2016-08-23,332
2016-08-24,347
2016-08-25,353
2016-08-26,353
2016-08-28,352
2016-08-31,347
2016-09-01,362
2016-09-02,362
2016-09-03,372
2016-09-04,368
2016-09-05,376
2016-09-06,385
2016-09-07,387
2016-09-08,386
2016-09-09,394
2016-09-10,404
2016-09-11,422
2016-09-12,433
2016-09-13,448
2016-09-14,468
2016-09-15,485
2016-09-16,474
2016-09-17,472
2016-09-18,448
2016-09-19,425
2016-09-20,403
2016-09-21,382
2016-09-22,362
2016-09-23,343
2016-09-24,326
2016-09-25,333
2016-09-26,343
2016-09-27,349
2016-09-28,352
2016-09-29,352
2016-09-30,348
2016-10-01,349
2016-10-02,339
2016-10-03,344
2016-10-04,358
2016-10-05,360
2016-10-06,363
2016-10-07,372
2016-10-08,361
2016-10-09,359
2016-10-10,359
2016-10-11,364
2016-10-12,378
2016-10-13,385
2016-10-14,379
2016-10-15,375
2016-10-16,360
2016-10-17,362
2016-10-18,365
2016-10-19,373
2016-10-20,374
2016-10-21,384
2016-10-22,381
2016-10-23,370
2016-10-24,375
2016-10-25,390
2016-10-26,401
2016-10-27,402
2016-10-28,392
2016-10-29,388
2016-10-30,392
2016-10-31,400
2016-11-01,408
2016-11-02,411
2016-11-03,422
2016-11-04,409
2016-11-05,412
2016-11-06,398
2016-11-07,394
2016-11-08,406
2016-11-09,418
2016-11-10,436
2016-11-11,454
2016-11-12,473
2016-11-13,476
2016-11-14,491
2016-12-08,407
2016-12-09,410
2016-12-10,403
2016-12-11,396
2016-12-12,388
2016-12-13,393
2016-12-14,407
2016-12-15,418
2016-12-16,417
2016-12-17,422
2016-12-18,418
2016-12-19,420
2016-12-20,424
2016-12-21,425
2016-12-22,428
2016-12-23,428
2016-12-24,422
2016-12-25,406
2016-12-26,403
2016-12-27,403
2016-12-28,414
2016-12-29,415
2016-12-30,412
2016-12-31,414
2017-01-01,412
2017-01-02,405
2017-01-03,405
2017-01-04,415
2017-01-05,420
2017-01-06,423
2017-01-07,415
2017-01-08,409
2017-01-09,399
2017-01-10,395
2017-01-11,387
2017-01-12,385
2017-01-13,381
2017-01-14,393
2017-01-15,386
2017-01-16,382
2017-01-17,385
2017-01-18,385
2017-01-19,388
2017-01-20,389
2017-01-21,393
2017-01-22,391
2017-01-27,428
2017-01-28,431
2017-01-29,433
2017-01-30,443
2017-01-31,448
2017-02-01,444
2017-02-02,436
2017-02-03,438
2017-02-04,433
2017-02-05,427
2017-02-06,421
2017-02-07,413
2017-02-08,412
2017-02-09,414
2017-02-10,420
2017-02-11,436
2017-02-12,450
2017-02-13,435
2017-02-14,416
2017-02-15,402
2017-02-16,407
2017-02-18,404
2017-02-19,401
2017-02-20,395
2017-02-21,393
2017-02-22,396
2017-02-23,405
2017-02-24,410
2017-02-25,418
2017-02-26,417
2017-02-27,422
2017-02-28,435
2017-03-01,456
2017-03-02,476
2017-03-03,479
2017-03-04,492
2017-03-05,493
2017-03-06,480
2017-03-07,477
2017-03-08,475
2017-03-09,467
2017-03-10,444
2017-03-11,422
2017-03-12,417
2017-03-13,423
2017-03-14,442
2017-03-15,455
2017-03-16,446
2017-03-17,432
2017-03-18,426
2017-03-19,426
2017-03-20,430
2017-03-21,434
2017-03-22,448
2017-03-23,445
2017-03-24,436
2017-03-25,433
2017-03-26,420
2017-03-27,411
2017-03-28,415
2017-03-29,421
2017-03-30,432
2017-03-31,437
2017-04-01,438
2017-04-02,433
2017-04-03,427
2017-04-04,434
2017-04-12,443
2017-04-13,437
2017-04-14,435
2017-04-15,435
2017-04-16,436
2017-04-17,444
2017-04-18,443
2017-04-19,438
2017-04-20,437
2017-04-21,428
2017-04-22,425
2017-04-23,411
2017-04-24,395
2017-04-25,382
2017-04-26,390
2017-04-27,389
2017-04-28,384
2017-04-29,370
2017-04-30,368
2017-05-01,381
2017-05-02,369
2017-05-03,365
2017-05-04,360
2017-05-05,372
2017-05-06,374
2017-05-07,383
2017-05-08,382
2017-05-09,385
2017-05-10,392
2017-05-11,399
2017-05-12,392
2017-05-13,392
2017-05-14,389
2017-05-15,388
2017-05-16,392
2017-05-17,400
2017-05-18,403
2017-05-19,399
2017-05-20,397
2017-05-21,409
2017-05-22,394
2017-05-23,388
2017-05-24,383
2017-05-25,395
2017-05-26,401
2017-05-27,401
2017-05-28,397
2017-05-29,398
2017-05-30,394
2017-05-31,403
2017-06-01,404
2017-06-02,415
2017-06-03,421
2017-06-06,416
2017-06-07,417
2017-06-08,418
2017-06-09,412
2017-06-10,397
2017-06-11,386
2017-06-12,390
2017-06-13,391
2017-06-14,401
2017-06-15,401
2017-06-16,392
2017-06-17,386
2017-06-18,389
2017-06-19,397
2017-06-20,393
2017-06-21,388
2017-06-22,383
2017-06-23,390
2017-06-24,392
2017-06-25,394
2017-06-26,389
2017-06-27,387
2017-06-28,388
2017-06-29,387
2017-06-30,380
2017-07-01,378
2017-07-02,378
2017-07-03,370
2017-07-04,374
2017-07-05,376
2017-07-06,367
2017-07-07,366
2017-07-08,361
2017-07-13,365
2017-07-14,359
2017-07-15,364
2017-07-16,360
2017-07-17,354
2017-07-18,352
2017-07-19,355
2017-07-20,365
2017-07-21,369
2017-07-22,373
2017-07-23,368
2017-07-24,365
2017-07-25,365
2017-07-26,366
2017-07-27,370
2017-07-28,377
2017-07-29,377
2017-07-30,367
2017-07-31,364
2017-08-01,363
2017-08-02,361
2017-08-03,360
2017-08-04,364
2017-08-05,352
2017-08-06,337
2017-08-09,333
2017-08-10,344
2017-08-11,354
2017-08-12,354
2017-08-13,343
2017-08-14,337
2017-08-15,337
2017-08-16,340
2017-08-17,337
2017-08-18,335
2017-08-19,331
2017-08-20,333
2017-08-22,332
2017-08-23,338
2017-08-24,338
2017-08-25,350
2017-08-26,355
2017-08-27,346
2017-08-28,343
2017-08-29,342
2017-08-30,338
2017-08-31,339
2017-09-01,338
2017-09-02,338
2017-09-03,344
2017-09-04,342
2017-09-05,349
2017-09-06,343
2017-09-07,340
2017-09-08,342
2017-09-09,339
2017-09-10,334
2017-09-11,337
2017-09-12,345
2017-09-13,344
2017-09-14,343
2017-09-15,346
2017-09-16,343
2017-09-17,334
2017-09-19,343
2017-09-20,347
2017-09-21,352
2017-09-22,345
2017-09-23,335
2017-09-24,327
2017-09-25,325
2017-09-26,323
2017-09-27,331
2017-09-28,328
2017-09-29,326
2017-09-30,318
2017-10-01,314
2017-10-02,311
2017-10-03,313
2017-10-04,319
2017-10-05,316
2017-10-06,311
2017-10-07,304
2017-10-08,296
2017-10-09,293
2017-10-10,300
2017-10-11,312
2017-10-12,311
2017-10-13,307
2017-10-14,300
2017-10-15,299
2017-10-16,293
2017-10-17,295
2017-10-18,295
2017-10-19,293
2017-10-20,298
2017-10-21,302
2017-10-22,296
2017-10-23,292
2017-10-24,295
2017-10-25,291
2017-10-26,288
2017-10-27,285
2017-10-28,284
2017-10-29,282
2017-10-30,288
2017-10-31,295
2017-11-01,296
2017-11-02,292
2017-11-03,287
2017-11-04,285
2017-11-05,285
2017-11-06,288
2017-11-07,290
2017-11-08,294
2017-11-09,303
2017-11-10,304
2017-11-11,300
2017-11-12,296
2017-11-13,300
2017-11-14,305
2017-11-15,305
2017-11-16,306
2017-11-17,311
2017-11-18,309
2017-11-19,307
2017-11-20,306
2017-11-21,311
2017-11-22,312
2017-11-23,313
2017-11-24,310
2017-11-25,308
2017-11-26,304
2017-11-27,307
2017-11-28,305
2017-11-29,306
2017-11-30,306
2017-12-01,301
2017-12-02,298
2017-12-03,294
2017-12-04,299
2017-12-05,297
2017-12-06,299
2017-12-07,301
2017-12-08,303
