date_obj,Red%20cape price
2015-03-04,33
2015-03-05,33
2015-03-06,35
2015-03-07,35
2015-03-08,37
2015-03-09,37
2015-03-10,37
2015-03-11,39
2015-03-12,39
2015-03-13,39
2015-03-14,41
2015-03-15,41
2015-03-16,41
2015-03-17,44
2015-03-18,44
2015-03-19,44
2015-03-20,46
2015-03-21,46
2015-03-22,49
2015-03-23,49
2015-03-24,49
2015-03-25,52
2015-03-26,52
2015-03-27,52
2015-03-28,53
2015-03-29,53
2015-03-30,53
2015-03-31,55
2015-04-01,55
2015-04-02,55
2015-04-03,57
2015-04-04,57
2015-04-05,57
2015-04-06,59
2015-04-07,59
2015-04-08,59
2015-04-09,59
2015-04-10,62
2015-04-11,62
2015-04-12,62
2015-04-13,65
2015-04-14,65
2015-04-15,65
2015-04-16,68
2015-04-17,68
2015-04-18,72
2015-04-19,72
2015-04-20,72
2015-04-21,76
2015-04-22,76
2015-04-23,80
2015-04-24,80
2015-04-25,80
2015-04-26,84
2015-04-27,84
2015-04-28,88
2015-04-29,88
2015-04-30,88
2015-05-01,93
2015-05-02,93
2015-05-03,93
2015-05-04,97
2015-05-05,97
2015-05-06,97
2015-05-07,98
2015-05-08,98
2015-05-09,98
2015-05-10,101
2015-05-11,101
2015-05-12,101
2015-05-13,104
2015-05-14,104
2015-05-15,104
2015-05-16,107
2015-05-17,107
2015-05-18,111
2015-05-19,111
2015-05-20,111
2015-05-21,111
2015-05-22,115
2015-05-23,115
2015-05-24,115
2015-05-25,115
2015-05-26,115
2015-05-27,115
2015-05-28,119
2015-05-29,119
2015-05-30,121
2015-05-31,121
2015-06-01,122
2015-06-02,122
2015-06-03,122
2015-06-04,125
2015-06-05,125
2015-06-06,123
2015-06-07,123
2015-06-08,123
2015-06-09,126
2015-06-10,126
2015-06-11,126
2015-06-12,132
2015-06-13,132
2015-06-14,133
2015-06-15,133
2015-06-16,133
2015-06-17,135
2015-06-18,135
2015-06-19,138
2015-06-20,138
2015-06-21,138
2015-06-22,139
2015-06-23,139
2015-06-24,141
2015-06-25,141
2015-06-26,141
2015-06-27,142
2015-06-28,142
2015-06-29,139
2015-06-30,139
2015-07-01,139
2015-07-02,140
2015-07-03,140
2015-07-04,143
2015-07-05,143
2015-07-06,143
2015-07-07,148
2015-07-08,148
2015-07-09,148
2015-07-10,151
2015-07-11,151
2015-07-12,151
2015-07-13,151
2015-07-14,151
2015-07-15,151
2015-07-16,152
2015-07-17,152
2015-07-18,152
2015-07-19,148
2015-07-20,148
2015-07-21,148
2015-07-22,145
2015-07-23,145
2015-07-24,145
2015-07-25,151
2015-07-26,151
2015-07-27,151
2015-07-28,153
2015-07-29,153
2015-07-30,156
2015-07-31,156
2015-08-01,156
2015-08-02,161
2015-08-03,161
2015-08-04,161
2015-08-05,169
2015-08-06,169
2015-08-07,169
2015-08-08,174
2015-08-09,174
2015-08-10,179
2015-08-11,179
2015-08-12,179
2015-08-13,179
2015-08-14,184
2015-08-15,184
2015-08-16,184
2015-08-17,184
2015-08-18,188
2015-08-19,188
2015-08-20,188
2015-08-21,188
2015-08-22,187
2015-08-23,187
2015-08-24,187
2015-08-25,187
2015-08-26,187
2015-08-27,188
2015-08-28,188
2015-08-29,188
2015-08-30,188
2015-08-31,193
2015-09-01,119
2015-09-02,193
2015-09-07,193
2015-09-08,195
2015-09-10,195
2015-09-14,197
2015-09-16,195
2015-09-22,197
2015-09-23,197
2015-09-24,197
2015-09-25,202
2015-09-27,202
2015-09-28,202
2015-09-29,202
2015-09-30,202
2015-10-05,204
2015-10-06,204
2015-10-07,210
2015-10-08,210
2015-10-09,210
2015-10-10,210
2015-10-11,217
2015-10-12,217
2015-10-13,217
2015-10-14,217
2015-10-15,218
2015-10-16,218
2015-10-17,218
2015-10-18,218
2015-10-19,214
2015-10-20,214
2015-10-22,214
2015-10-23,213
2015-10-24,213
2015-10-25,213
2015-10-26,212
2015-10-27,212
2015-10-29,212
2015-10-30,212
2015-10-31,213
2015-11-01,213
2015-11-02,213
2015-11-03,213
2015-11-04,213
2015-11-05,211
2015-11-06,211
2015-11-07,211
2015-11-08,211
2015-11-09,212
2015-11-10,212
2015-11-11,212
2015-11-12,212
2015-11-13,212
2015-11-14,208
2015-11-15,208
2015-11-16,208
2015-11-17,208
2015-11-18,207
2015-11-19,207
2015-11-20,207
2015-11-21,207
2015-11-22,209
2015-11-23,209
2015-11-24,209
2015-11-25,209
2015-11-26,209
2015-11-27,208
2015-11-28,208
2015-11-29,208
2015-11-30,208
2015-12-01,208
